Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Australia,Northern Territory,AU-NT,367.63,488.34,0.64,0.64,ntesmo.com.au,false,
2023-01-01 01:00:00,Australia,Northern Territory,AU-NT,367.67,488.36,0.63,0.63,ntesmo.com.au,false,
2023-01-01 02:00:00,Australia,Northern Territory,AU-NT,367.73,488.4,0.61,0.61,ntesmo.com.au,false,
2023-01-01 03:00:00,Australia,Northern Territory,AU-NT,367.86,488.5,0.58,0.58,ntesmo.com.au,false,
2023-01-01 04:00:00,Australia,Northern Territory,AU-NT,367.93,488.54,0.56,0.56,ntesmo.com.au,false,
2023-01-01 05:00:00,Australia,Northern Territory,AU-NT,368.14,488.69,0.5,0.5,ntesmo.com.au,false,
2023-01-01 06:00:00,Australia,Northern Territory,AU-NT,368.23,488.75,0.48,0.48,ntesmo.com.au,false,
2023-01-01 07:00:00,Australia,Northern Territory,AU-NT,367.69,488.38,0.62,0.62,ntesmo.com.au,false,
2023-01-01 08:00:00,Australia,Northern Territory,AU-NT,367.57,488.29,0.66,0.66,ntesmo.com.au,false,
2023-01-01 09:00:00,Australia,Northern Territory,AU-NT,367.68,488.37,0.63,0.63,ntesmo.com.au,false,
2023-01-01 10:00:00,Australia,Northern Territory,AU-NT,367.68,488.37,0.63,0.63,ntesmo.com.au,false,
2023-01-01 11:00:00,Australia,Northern Territory,AU-NT,367.6,488.32,0.65,0.65,ntesmo.com.au,false,
2023-01-01 12:00:00,Australia,Northern Territory,AU-NT,367.45,488.21,0.69,0.69,ntesmo.com.au,false,
2023-01-01 13:00:00,Australia,Northern Territory,AU-NT,367.31,488.11,0.73,0.73,ntesmo.com.au,false,
2023-01-01 14:00:00,Australia,Northern Territory,AU-NT,367.26,488.07,0.74,0.74,ntesmo.com.au,false,
2023-01-01 15:00:00,Australia,Northern Territory,AU-NT,367.17,488.01,0.77,0.77,ntesmo.com.au,false,
2023-01-01 16:00:00,Australia,Northern Territory,AU-NT,367.12,487.98,0.78,0.78,ntesmo.com.au,false,
2023-01-01 17:00:00,Australia,Northern Territory,AU-NT,367.06,487.93,0.8,0.8,ntesmo.com.au,false,
2023-01-01 18:00:00,Australia,Northern Territory,AU-NT,367.03,487.91,0.8,0.8,ntesmo.com.au,false,
2023-01-01 19:00:00,Australia,Northern Territory,AU-NT,367.12,487.98,0.78,0.78,ntesmo.com.au,false,
2023-01-01 20:00:00,Australia,Northern Territory,AU-NT,367.26,488.07,0.74,0.74,ntesmo.com.au,false,
2023-01-01 21:00:00,Australia,Northern Territory,AU-NT,367.48,488.23,0.68,0.68,ntesmo.com.au,false,
2023-01-01 22:00:00,Australia,Northern Territory,AU-NT,367.52,488.26,0.67,0.67,ntesmo.com.au,false,
2023-01-01 23:00:00,Australia,Northern Territory,AU-NT,367.42,488.19,0.7,0.7,ntesmo.com.au,false,
2023-01-02 00:00:00,Australia,Northern Territory,AU-NT,367.29,488.09,0.73,0.73,ntesmo.com.au,false,
2023-01-02 01:00:00,Australia,Northern Territory,AU-NT,367.38,488.16,0.71,0.71,ntesmo.com.au,false,
2023-01-02 02:00:00,Australia,Northern Territory,AU-NT,367.71,488.39,0.62,0.62,ntesmo.com.au,false,
2023-01-02 03:00:00,Australia,Northern Territory,AU-NT,367.6,488.31,0.65,0.65,ntesmo.com.au,false,
2023-01-02 04:00:00,Australia,Northern Territory,AU-NT,368.11,488.67,0.51,0.51,ntesmo.com.au,false,
2023-01-02 05:00:00,Australia,Northern Territory,AU-NT,369.98,489.98,0.01,0.01,ntesmo.com.au,false,
2023-01-02 06:00:00,Australia,Northern Territory,AU-NT,369.98,489.98,0.01,0.01,ntesmo.com.au,false,
