Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Australia,Queensland,AU-QLD,348.93,401.54,53.33,53.33,opennem.org.au,false,
2023-01-01 01:00:00,Australia,Queensland,AU-QLD,347.57,400.11,53.53,53.53,opennem.org.au,false,
2023-01-01 02:00:00,Australia,Queensland,AU-QLD,358.27,411.05,52.15,52.15,opennem.org.au,false,
2023-01-01 03:00:00,Australia,Queensland,AU-QLD,363.31,416.38,51.48,51.48,opennem.org.au,false,
2023-01-01 04:00:00,Australia,Queensland,AU-QLD,379.97,433.2,49.3,49.3,opennem.org.au,false,
2023-01-01 05:00:00,Australia,Queensland,AU-QLD,412.26,466.06,44.97,44.97,opennem.org.au,false,
2023-01-01 06:00:00,Australia,Queensland,AU-QLD,468.02,524.02,36.76,36.76,opennem.org.au,false,
2023-01-01 07:00:00,Australia,Queensland,AU-QLD,531.13,589.88,27.01,27.01,opennem.org.au,false,
2023-01-01 08:00:00,Australia,Queensland,AU-QLD,611.48,674.44,13.72,13.72,opennem.org.au,false,
2023-01-01 09:00:00,Australia,Queensland,AU-QLD,634.17,696.6,10.75,10.75,opennem.org.au,false,
2023-01-01 10:00:00,Australia,Queensland,AU-QLD,643.33,705.48,9.95,9.95,opennem.org.au,false,
2023-01-01 11:00:00,Australia,Queensland,AU-QLD,653.77,716.09,8.86,8.86,opennem.org.au,false,
2023-01-01 12:00:00,Australia,Queensland,AU-QLD,668.42,728.04,8.96,8.96,opennem.org.au,false,
2023-01-01 13:00:00,Australia,Queensland,AU-QLD,672.0,729.98,9.86,9.86,opennem.org.au,false,
2023-01-01 14:00:00,Australia,Queensland,AU-QLD,674.26,731.46,10.1,10.1,opennem.org.au,false,
2023-01-01 15:00:00,Australia,Queensland,AU-QLD,679.64,737.1,9.5,9.5,opennem.org.au,false,
2023-01-01 16:00:00,Australia,Queensland,AU-QLD,682.67,740.42,9.09,9.09,opennem.org.au,false,
2023-01-01 17:00:00,Australia,Queensland,AU-QLD,712.54,771.75,5.13,5.13,opennem.org.au,false,
2023-01-01 18:00:00,Australia,Queensland,AU-QLD,708.7,767.57,5.64,5.64,opennem.org.au,false,
2023-01-01 19:00:00,Australia,Queensland,AU-QLD,698.7,757.5,6.97,6.97,opennem.org.au,false,
2023-01-01 20:00:00,Australia,Queensland,AU-QLD,597.71,655.5,20.34,20.34,opennem.org.au,false,
2023-01-01 21:00:00,Australia,Queensland,AU-QLD,447.87,502.68,40.19,40.19,opennem.org.au,false,
2023-01-01 22:00:00,Australia,Queensland,AU-QLD,395.93,449.83,47.12,47.12,opennem.org.au,false,
2023-01-01 23:00:00,Australia,Queensland,AU-QLD,352.78,405.68,52.83,52.83,opennem.org.au,false,
2023-01-02 00:00:00,Australia,Queensland,AU-QLD,335.24,387.62,55.17,55.17,opennem.org.au,false,
2023-01-02 01:00:00,Australia,Queensland,AU-QLD,335.82,388.32,55.1,55.1,opennem.org.au,false,
2023-01-02 02:00:00,Australia,Queensland,AU-QLD,346.98,399.71,53.63,53.63,opennem.org.au,false,
2023-01-02 03:00:00,Australia,Queensland,AU-QLD,366.27,419.27,51.11,51.11,opennem.org.au,false,
2023-01-02 04:00:00,Australia,Queensland,AU-QLD,364.43,417.44,51.34,51.34,opennem.org.au,false,
2023-01-02 05:00:00,Australia,Queensland,AU-QLD,411.5,465.81,44.88,44.88,opennem.org.au,false,
2023-01-02 06:00:00,Australia,Queensland,AU-QLD,445.27,501.49,39.46,39.46,opennem.org.au,false,
2023-01-02 07:00:00,Australia,Queensland,AU-QLD,518.18,576.56,28.79,28.79,opennem.org.au,false,
2023-01-02 08:00:00,Australia,Queensland,AU-QLD,622.91,683.54,14.13,14.13,opennem.org.au,false,
2023-01-02 09:00:00,Australia,Queensland,AU-QLD,641.45,701.5,11.71,11.71,opennem.org.au,false,
2023-01-02 10:00:00,Australia,Queensland,AU-QLD,648.87,709.79,10.3,10.3,opennem.org.au,false,
2023-01-02 11:00:00,Australia,Queensland,AU-QLD,656.24,717.57,9.41,9.41,opennem.org.au,false,
2023-01-02 12:00:00,Australia,Queensland,AU-QLD,667.22,726.93,9.33,9.33,opennem.org.au,false,
2023-01-02 13:00:00,Australia,Queensland,AU-QLD,669.06,728.27,9.4,9.4,opennem.org.au,false,
2023-01-02 14:00:00,Australia,Queensland,AU-QLD,666.88,726.02,9.59,9.59,opennem.org.au,false,
2023-01-02 15:00:00,Australia,Queensland,AU-QLD,665.7,725.07,9.7,9.7,opennem.org.au,false,
2023-01-02 16:00:00,Australia,Queensland,AU-QLD,670.99,730.78,8.95,8.95,opennem.org.au,false,
2023-01-02 17:00:00,Australia,Queensland,AU-QLD,699.28,760.68,5.12,5.12,opennem.org.au,false,
2023-01-02 18:00:00,Australia,Queensland,AU-QLD,708.89,770.97,3.84,3.84,opennem.org.au,false,
2023-01-02 19:00:00,Australia,Queensland,AU-QLD,696.56,758.93,5.06,5.06,opennem.org.au,false,
2023-01-02 20:00:00,Australia,Queensland,AU-QLD,570.54,628.56,23.19,23.19,opennem.org.au,false,
2023-01-02 21:00:00,Australia,Queensland,AU-QLD,444.18,498.6,40.72,40.72,opennem.org.au,false,
2023-01-02 22:00:00,Australia,Queensland,AU-QLD,383.64,436.9,48.76,48.76,opennem.org.au,false,
2023-01-02 23:00:00,Australia,Queensland,AU-QLD,338.37,390.96,54.76,54.76,opennem.org.au,false,
2023-01-03 00:00:00,Australia,Queensland,AU-QLD,312.82,365.07,58.17,58.17,opennem.org.au,false,
2023-01-03 01:00:00,Australia,Queensland,AU-QLD,313.46,365.58,58.1,58.1,opennem.org.au,false,
2023-01-03 02:00:00,Australia,Queensland,AU-QLD,333.98,386.44,55.42,55.42,opennem.org.au,false,
2023-01-03 03:00:00,Australia,Queensland,AU-QLD,371.12,424.23,50.44,50.44,opennem.org.au,false,
2023-01-03 04:00:00,Australia,Queensland,AU-QLD,373.09,426.51,49.93,49.93,opennem.org.au,false,
2023-01-03 05:00:00,Australia,Queensland,AU-QLD,402.35,456.81,45.68,45.68,opennem.org.au,false,
2023-01-03 06:00:00,Australia,Queensland,AU-QLD,447.81,505.38,38.03,38.03,opennem.org.au,false,
2023-01-03 07:00:00,Australia,Queensland,AU-QLD,523.2,585.09,25.75,25.75,opennem.org.au,false,
2023-01-03 08:00:00,Australia,Queensland,AU-QLD,618.16,684.39,10.83,10.83,opennem.org.au,false,
2023-01-03 09:00:00,Australia,Queensland,AU-QLD,651.14,718.47,6.27,6.27,opennem.org.au,false,
2023-01-03 10:00:00,Australia,Queensland,AU-QLD,662.51,730.0,5.05,5.05,opennem.org.au,false,
2023-01-03 11:00:00,Australia,Queensland,AU-QLD,656.27,719.46,8.23,8.23,opennem.org.au,false,
2023-01-03 12:00:00,Australia,Queensland,AU-QLD,673.24,737.5,5.86,5.86,opennem.org.au,false,
2023-01-03 13:00:00,Australia,Queensland,AU-QLD,687.36,749.11,6.08,6.08,opennem.org.au,false,
2023-01-03 14:00:00,Australia,Queensland,AU-QLD,680.15,740.3,7.74,7.74,opennem.org.au,false,
2023-01-03 15:00:00,Australia,Queensland,AU-QLD,687.02,747.66,6.82,6.82,opennem.org.au,false,
2023-01-03 16:00:00,Australia,Queensland,AU-QLD,694.07,755.24,5.86,5.86,opennem.org.au,false,
2023-01-03 17:00:00,Australia,Queensland,AU-QLD,698.82,760.38,5.2,5.2,opennem.org.au,false,
2023-01-03 18:00:00,Australia,Queensland,AU-QLD,706.75,768.78,4.17,4.17,opennem.org.au,false,
2023-01-03 19:00:00,Australia,Queensland,AU-QLD,699.13,761.96,4.5,4.5,opennem.org.au,false,
2023-01-03 20:00:00,Australia,Queensland,AU-QLD,565.63,623.75,23.85,23.85,opennem.org.au,false,
2023-01-03 21:00:00,Australia,Queensland,AU-QLD,447.63,502.38,40.31,40.31,opennem.org.au,false,
2023-01-03 22:00:00,Australia,Queensland,AU-QLD,389.18,442.82,48.09,48.09,opennem.org.au,false,
2023-01-03 23:00:00,Australia,Queensland,AU-QLD,344.79,397.52,53.98,53.98,opennem.org.au,false,
2023-01-04 00:00:00,Australia,Queensland,AU-QLD,326.16,378.49,56.46,56.46,opennem.org.au,false,
2023-01-04 01:00:00,Australia,Queensland,AU-QLD,319.79,371.96,57.3,57.3,opennem.org.au,false,
2023-01-04 02:00:00,Australia,Queensland,AU-QLD,321.93,373.99,57.02,57.02,opennem.org.au,false,
2023-01-04 03:00:00,Australia,Queensland,AU-QLD,352.25,405.75,52.44,52.44,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 04:00:00,Australia,Queensland,AU-QLD,382.99,437.96,47.79,47.79,opennem.org.au,false,
2023-01-04 05:00:00,Australia,Queensland,AU-QLD,428.03,488.22,38.26,38.26,opennem.org.au,false,
2023-01-04 06:00:00,Australia,Queensland,AU-QLD,489.12,553.2,27.88,27.88,opennem.org.au,false,
2023-01-04 07:00:00,Australia,Queensland,AU-QLD,533.43,600.5,19.85,19.85,opennem.org.au,false,
2023-01-04 08:00:00,Australia,Queensland,AU-QLD,597.93,669.28,9.3,9.3,opennem.org.au,false,
2023-01-04 09:00:00,Australia,Queensland,AU-QLD,621.38,695.59,5.04,5.04,opennem.org.au,false,
2023-01-04 10:00:00,Australia,Queensland,AU-QLD,614.81,684.26,8.44,8.44,opennem.org.au,false,
2023-01-04 11:00:00,Australia,Queensland,AU-QLD,641.39,709.89,6.67,6.67,opennem.org.au,false,
2023-01-04 12:00:00,Australia,Queensland,AU-QLD,649.83,717.53,6.25,6.25,opennem.org.au,false,
2023-01-04 13:00:00,Australia,Queensland,AU-QLD,653.66,719.92,6.72,6.72,opennem.org.au,false,
2023-01-04 14:00:00,Australia,Queensland,AU-QLD,666.76,732.86,5.7,5.7,opennem.org.au,false,
2023-01-04 15:00:00,Australia,Queensland,AU-QLD,661.35,725.05,7.68,7.68,opennem.org.au,false,
2023-01-04 16:00:00,Australia,Queensland,AU-QLD,674.69,739.77,5.63,5.63,opennem.org.au,false,
