Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Australia,Flinders Island,AU-TAS-FI,0.0,11.36,100.0,100.0,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/flinders-island,false,
2023-01-01 01:00:00,Australia,Flinders Island,AU-TAS-FI,0.0,11.32,100.0,100.0,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/flinders-island,false,
2023-01-01 02:00:00,Australia,Flinders Island,AU-TAS-FI,0.0,11.16,100.0,100.0,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/flinders-island,false,
2023-01-01 03:00:00,Australia,Flinders Island,AU-TAS-FI,0.0,11.16,100.0,100.0,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/flinders-island,false,
2023-01-01 04:00:00,Australia,Flinders Island,AU-TAS-FI,0.35,11.54,100.0,100.0,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/flinders-island,false,
2023-01-01 05:00:00,Australia,Flinders Island,AU-TAS-FI,0.0,11.39,100.0,100.0,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/flinders-island,false,
2023-01-01 06:00:00,Australia,Flinders Island,AU-TAS-FI,0.0,11.23,100.0,100.0,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/flinders-island,false,
2023-01-01 07:00:00,Australia,Flinders Island,AU-TAS-FI,0.0,11.24,100.0,100.0,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/flinders-island,false,
2023-01-01 08:00:00,Australia,Flinders Island,AU-TAS-FI,0.0,11.27,100.0,100.0,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/flinders-island,false,
2023-01-01 09:00:00,Australia,Flinders Island,AU-TAS-FI,0.0,11.01,100.0,100.0,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/flinders-island,false,
2023-01-01 10:00:00,Australia,Flinders Island,AU-TAS-FI,211.97,341.48,49.17,49.17,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/flinders-island,false,
2023-01-01 11:00:00,Australia,Flinders Island,AU-TAS-FI,272.21,439.43,32.95,32.95,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/flinders-island,false,
2023-01-01 12:00:00,Australia,Flinders Island,AU-TAS-FI,95.16,160.77,76.56,76.56,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/flinders-island,false,
2023-01-01 13:00:00,Australia,Flinders Island,AU-TAS-FI,0.0,11.0,100.0,100.0,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/flinders-island,false,
2023-01-01 14:00:00,Australia,Flinders Island,AU-TAS-FI,2.01,13.03,100.0,100.0,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/flinders-island,false,
2023-01-01 15:00:00,Australia,Flinders Island,AU-TAS-FI,0.0,11.0,100.0,100.0,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/flinders-island,false,
