Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Australia,King Island,AU-TAS-KI,0.0,13.23,100.0,100.0,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-01 01:00:00,Australia,King Island,AU-TAS-KI,0.86,15.26,100.0,100.0,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-01 02:00:00,Australia,King Island,AU-TAS-KI,26.33,66.41,100.0,100.0,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-01 03:00:00,Australia,King Island,AU-TAS-KI,60.23,134.17,100.0,100.0,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-01 04:00:00,Australia,King Island,AU-TAS-KI,89.34,189.94,100.0,100.0,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-01 05:00:00,Australia,King Island,AU-TAS-KI,220.35,386.62,61.99,61.99,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-01 06:00:00,Australia,King Island,AU-TAS-KI,359.67,578.92,11.41,11.41,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-01 07:00:00,Australia,King Island,AU-TAS-KI,369.95,594.3,8.88,8.88,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-01 08:00:00,Australia,King Island,AU-TAS-KI,360.28,578.4,11.26,11.26,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-01 09:00:00,Australia,King Island,AU-TAS-KI,305.3,491.56,24.8,24.8,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-01 10:00:00,Australia,King Island,AU-TAS-KI,335.51,539.06,17.36,17.36,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-01 11:00:00,Australia,King Island,AU-TAS-KI,305.25,491.43,24.82,24.82,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-01 12:00:00,Australia,King Island,AU-TAS-KI,277.16,447.22,31.73,31.73,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-01 13:00:00,Australia,King Island,AU-TAS-KI,309.85,498.67,23.68,23.68,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-01 14:00:00,Australia,King Island,AU-TAS-KI,213.5,347.03,47.41,47.41,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-01 15:00:00,Australia,King Island,AU-TAS-KI,210.22,341.86,48.22,48.22,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-01 16:00:00,Australia,King Island,AU-TAS-KI,239.46,387.89,41.02,41.02,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-01 17:00:00,Australia,King Island,AU-TAS-KI,259.34,419.17,36.12,36.12,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-01 18:00:00,Australia,King Island,AU-TAS-KI,326.8,525.36,19.51,19.51,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-01 19:00:00,Australia,King Island,AU-TAS-KI,378.54,606.82,6.76,6.76,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-01 20:00:00,Australia,King Island,AU-TAS-KI,346.32,556.27,14.7,14.7,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-01 21:00:00,Australia,King Island,AU-TAS-KI,284.31,458.87,29.97,29.97,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-01 22:00:00,Australia,King Island,AU-TAS-KI,288.99,466.57,28.82,28.82,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-01 23:00:00,Australia,King Island,AU-TAS-KI,291.55,470.62,28.19,28.19,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-02 00:00:00,Australia,King Island,AU-TAS-KI,316.58,509.97,22.02,22.02,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-02 01:00:00,Australia,King Island,AU-TAS-KI,188.34,309.27,53.61,53.61,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-02 02:00:00,Australia,King Island,AU-TAS-KI,16.83,49.86,100.0,100.0,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-02 03:00:00,Australia,King Island,AU-TAS-KI,10.75,37.94,100.0,100.0,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-02 04:00:00,Australia,King Island,AU-TAS-KI,0.0,15.84,100.0,100.0,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-02 05:00:00,Australia,King Island,AU-TAS-KI,94.18,198.34,100.0,100.0,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-02 06:00:00,Australia,King Island,AU-TAS-KI,253.03,409.82,37.68,37.68,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-02 07:00:00,Australia,King Island,AU-TAS-KI,177.14,290.45,56.37,56.37,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-02 08:00:00,Australia,King Island,AU-TAS-KI,174.0,285.11,57.14,57.14,https://www.hydro.com.au/clean-energy/hybrid-energy-solutions/success-stories/king-island,false,
2023-01-02 09:00:00,Australia,King Island,AU-TAS-KI,206.11,335.59,49.23,49.23,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 10:00:00,Australia,King Island,AU-TAS-KI,243.07,393.57,40.13,40.13,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
