Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Australia,Rottnest Island,AU-WA-RI,283.8,461.95,30.1,30.1,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 01:00:00,Australia,Rottnest Island,AU-WA-RI,261.26,428.52,35.65,35.65,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 02:00:00,Australia,Rottnest Island,AU-WA-RI,262.24,431.55,35.41,35.41,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 03:00:00,Australia,Rottnest Island,AU-WA-RI,261.46,431.18,35.6,35.6,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 04:00:00,Australia,Rottnest Island,AU-WA-RI,264.61,436.09,34.82,34.82,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 05:00:00,Australia,Rottnest Island,AU-WA-RI,251.65,415.09,38.02,38.02,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 06:00:00,Australia,Rottnest Island,AU-WA-RI,228.68,378.61,43.68,43.68,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 07:00:00,Australia,Rottnest Island,AU-WA-RI,251.83,413.17,37.97,37.97,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 08:00:00,Australia,Rottnest Island,AU-WA-RI,274.04,446.32,32.5,32.5,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 09:00:00,Australia,Rottnest Island,AU-WA-RI,295.59,478.47,27.19,27.19,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 10:00:00,Australia,Rottnest Island,AU-WA-RI,312.44,503.3,23.05,23.05,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 11:00:00,Australia,Rottnest Island,AU-WA-RI,320.41,515.29,21.08,21.08,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 12:00:00,Australia,Rottnest Island,AU-WA-RI,309.03,497.38,23.88,23.88,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 13:00:00,Australia,Rottnest Island,AU-WA-RI,307.02,494.21,24.38,24.38,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 14:00:00,Australia,Rottnest Island,AU-WA-RI,302.54,487.17,25.48,25.48,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 15:00:00,Australia,Rottnest Island,AU-WA-RI,305.63,492.02,24.72,24.72,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 16:00:00,Australia,Rottnest Island,AU-WA-RI,313.87,504.99,22.69,22.69,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 17:00:00,Australia,Rottnest Island,AU-WA-RI,310.04,498.98,23.63,23.63,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 18:00:00,Australia,Rottnest Island,AU-WA-RI,323.84,520.69,20.24,20.24,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 19:00:00,Australia,Rottnest Island,AU-WA-RI,313.62,504.6,22.75,22.75,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 20:00:00,Australia,Rottnest Island,AU-WA-RI,335.49,539.02,17.37,17.37,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 21:00:00,Australia,Rottnest Island,AU-WA-RI,334.08,536.81,17.71,17.71,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 22:00:00,Australia,Rottnest Island,AU-WA-RI,327.71,527.16,19.28,19.28,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 23:00:00,Australia,Rottnest Island,AU-WA-RI,315.48,509.41,22.3,22.3,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 00:00:00,Australia,Rottnest Island,AU-WA-RI,280.47,456.93,30.92,30.92,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 01:00:00,Australia,Rottnest Island,AU-WA-RI,268.54,440.31,33.86,33.86,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 02:00:00,Australia,Rottnest Island,AU-WA-RI,258.67,426.13,36.29,36.29,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 03:00:00,Australia,Rottnest Island,AU-WA-RI,246.12,406.86,39.38,39.38,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 04:00:00,Australia,Rottnest Island,AU-WA-RI,239.55,396.89,41.0,41.0,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 05:00:00,Australia,Rottnest Island,AU-WA-RI,235.18,389.72,42.07,42.07,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 06:00:00,Australia,Rottnest Island,AU-WA-RI,234.52,387.66,42.24,42.24,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 07:00:00,Australia,Rottnest Island,AU-WA-RI,225.37,372.24,44.49,44.49,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
