Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Australia,Western Australia,AU-WA,216.33,277.37,61.54,61.54,opennem.org.au,false,
2023-01-01 01:00:00,Australia,Western Australia,AU-WA,190.07,248.74,66.92,66.92,opennem.org.au,false,
2023-01-01 02:00:00,Australia,Western Australia,AU-WA,165.25,221.27,71.93,71.93,opennem.org.au,false,
2023-01-01 03:00:00,Australia,Western Australia,AU-WA,161.81,218.31,72.13,72.13,opennem.org.au,false,
2023-01-01 04:00:00,Australia,Western Australia,AU-WA,152.91,207.57,74.13,74.13,opennem.org.au,false,
2023-01-01 05:00:00,Australia,Western Australia,AU-WA,155.82,210.99,73.05,73.05,opennem.org.au,false,
2023-01-01 06:00:00,Australia,Western Australia,AU-WA,163.35,220.41,70.69,70.69,opennem.org.au,false,
2023-01-01 07:00:00,Australia,Western Australia,AU-WA,170.22,227.4,68.53,68.53,opennem.org.au,false,
2023-01-01 08:00:00,Australia,Western Australia,AU-WA,181.73,238.31,65.24,65.24,opennem.org.au,false,
2023-01-01 09:00:00,Australia,Western Australia,AU-WA,227.8,287.62,55.76,55.76,opennem.org.au,false,
2023-01-01 10:00:00,Australia,Western Australia,AU-WA,284.15,352.13,42.18,42.18,opennem.org.au,false,
2023-01-01 11:00:00,Australia,Western Australia,AU-WA,326.35,398.96,33.58,33.58,opennem.org.au,false,
2023-01-01 12:00:00,Australia,Western Australia,AU-WA,324.96,395.1,34.84,34.84,opennem.org.au,false,
2023-01-01 13:00:00,Australia,Western Australia,AU-WA,315.9,384.12,36.88,36.88,opennem.org.au,false,
2023-01-01 14:00:00,Australia,Western Australia,AU-WA,300.92,368.47,38.71,38.71,opennem.org.au,false,
2023-01-01 15:00:00,Australia,Western Australia,AU-WA,299.58,364.96,40.19,40.19,opennem.org.au,false,
2023-01-01 16:00:00,Australia,Western Australia,AU-WA,296.3,359.56,41.8,41.8,opennem.org.au,false,
2023-01-01 17:00:00,Australia,Western Australia,AU-WA,289.52,349.74,44.27,44.27,opennem.org.au,false,
2023-01-01 18:00:00,Australia,Western Australia,AU-WA,285.84,344.57,45.53,45.53,opennem.org.au,false,
2023-01-01 19:00:00,Australia,Western Australia,AU-WA,284.32,342.22,46.17,46.17,opennem.org.au,false,
2023-01-01 20:00:00,Australia,Western Australia,AU-WA,287.44,345.97,45.51,45.51,opennem.org.au,false,
2023-01-01 21:00:00,Australia,Western Australia,AU-WA,281.5,338.83,47.32,47.32,opennem.org.au,false,
2023-01-01 22:00:00,Australia,Western Australia,AU-WA,250.31,304.45,55.03,55.03,opennem.org.au,false,
2023-01-01 23:00:00,Australia,Western Australia,AU-WA,228.42,284.66,59.61,59.61,opennem.org.au,false,
2023-01-02 00:00:00,Australia,Western Australia,AU-WA,205.84,263.42,64.29,64.29,opennem.org.au,false,
2023-01-02 01:00:00,Australia,Western Australia,AU-WA,185.45,242.31,68.04,68.04,opennem.org.au,false,
2023-01-02 02:00:00,Australia,Western Australia,AU-WA,176.07,234.29,69.09,69.09,opennem.org.au,false,
2023-01-02 03:00:00,Australia,Western Australia,AU-WA,167.82,225.03,70.45,70.45,opennem.org.au,false,
2023-01-02 04:00:00,Australia,Western Australia,AU-WA,169.56,227.52,69.34,69.34,opennem.org.au,false,
2023-01-02 05:00:00,Australia,Western Australia,AU-WA,166.67,225.32,69.43,69.43,opennem.org.au,false,
2023-01-02 06:00:00,Australia,Western Australia,AU-WA,182.14,244.72,64.44,64.44,opennem.org.au,false,
2023-01-02 07:00:00,Australia,Western Australia,AU-WA,190.72,253.78,61.35,61.35,opennem.org.au,false,
2023-01-02 08:00:00,Australia,Western Australia,AU-WA,218.38,284.05,54.64,54.64,opennem.org.au,false,
2023-01-02 09:00:00,Australia,Western Australia,AU-WA,276.18,347.98,42.69,42.69,opennem.org.au,false,
2023-01-02 10:00:00,Australia,Western Australia,AU-WA,345.52,424.89,29.04,29.04,opennem.org.au,false,
2023-01-02 11:00:00,Australia,Western Australia,AU-WA,369.35,452.31,23.2,23.2,opennem.org.au,false,
2023-01-02 12:00:00,Australia,Western Australia,AU-WA,347.49,425.62,27.85,27.85,opennem.org.au,false,
2023-01-02 13:00:00,Australia,Western Australia,AU-WA,326.07,401.28,31.59,31.59,opennem.org.au,false,
2023-01-02 14:00:00,Australia,Western Australia,AU-WA,309.17,382.3,34.5,34.5,opennem.org.au,false,
2023-01-02 15:00:00,Australia,Western Australia,AU-WA,297.52,365.3,38.86,38.86,opennem.org.au,false,
2023-01-02 16:00:00,Australia,Western Australia,AU-WA,290.21,353.93,42.03,42.03,opennem.org.au,false,
2023-01-02 17:00:00,Australia,Western Australia,AU-WA,285.72,346.85,44.02,44.02,opennem.org.au,false,
2023-01-02 18:00:00,Australia,Western Australia,AU-WA,282.59,342.09,45.3,45.3,opennem.org.au,false,
2023-01-02 19:00:00,Australia,Western Australia,AU-WA,285.48,345.57,44.7,44.7,opennem.org.au,false,
2023-01-02 20:00:00,Australia,Western Australia,AU-WA,291.92,354.21,42.75,42.75,opennem.org.au,false,
2023-01-02 21:00:00,Australia,Western Australia,AU-WA,286.12,347.67,44.06,44.06,opennem.org.au,false,
2023-01-02 22:00:00,Australia,Western Australia,AU-WA,268.16,329.15,47.62,47.62,opennem.org.au,false,
2023-01-02 23:00:00,Australia,Western Australia,AU-WA,234.39,290.9,55.8,55.8,opennem.org.au,false,
2023-01-03 00:00:00,Australia,Western Australia,AU-WA,284.85,339.88,49.23,49.23,opennem.org.au,false,
2023-01-03 01:00:00,Australia,Western Australia,AU-WA,301.93,357.41,47.8,47.8,opennem.org.au,false,
2023-01-03 02:00:00,Australia,Western Australia,AU-WA,305.18,360.84,47.9,47.9,opennem.org.au,false,
2023-01-03 03:00:00,Australia,Western Australia,AU-WA,310.57,370.16,44.77,44.77,opennem.org.au,false,
2023-01-03 04:00:00,Australia,Western Australia,AU-WA,326.8,394.26,38.64,38.64,opennem.org.au,false,
2023-01-03 05:00:00,Australia,Western Australia,AU-WA,322.62,388.71,39.48,39.48,opennem.org.au,false,
2023-01-03 06:00:00,Australia,Western Australia,AU-WA,323.39,389.3,39.11,39.11,opennem.org.au,false,
2023-01-03 07:00:00,Australia,Western Australia,AU-WA,352.4,421.12,34.37,34.37,opennem.org.au,false,
2023-01-03 08:00:00,Australia,Western Australia,AU-WA,365.12,439.94,29.2,29.2,opennem.org.au,false,
2023-01-03 09:00:00,Australia,Western Australia,AU-WA,376.84,454.13,26.26,26.26,opennem.org.au,false,
2023-01-03 10:00:00,Australia,Western Australia,AU-WA,400.54,475.17,25.06,25.06,opennem.org.au,false,
2023-01-03 11:00:00,Australia,Western Australia,AU-WA,383.86,460.84,25.09,25.09,opennem.org.au,false,
2023-01-03 12:00:00,Australia,Western Australia,AU-WA,359.09,436.6,27.08,27.08,opennem.org.au,false,
2023-01-03 13:00:00,Australia,Western Australia,AU-WA,346.95,420.6,30.57,30.57,opennem.org.au,false,
2023-01-03 14:00:00,Australia,Western Australia,AU-WA,334.46,406.3,32.84,32.84,opennem.org.au,false,
2023-01-03 15:00:00,Australia,Western Australia,AU-WA,330.01,398.23,35.5,35.5,opennem.org.au,false,
2023-01-03 16:00:00,Australia,Western Australia,AU-WA,321.48,383.77,39.91,39.91,opennem.org.au,false,
2023-01-03 17:00:00,Australia,Western Australia,AU-WA,322.63,382.73,41.16,41.16,opennem.org.au,false,
2023-01-03 18:00:00,Australia,Western Australia,AU-WA,326.84,386.52,41.03,41.03,opennem.org.au,false,
2023-01-03 19:00:00,Australia,Western Australia,AU-WA,326.1,384.63,41.81,41.81,opennem.org.au,false,
2023-01-03 20:00:00,Australia,Western Australia,AU-WA,320.56,377.15,43.5,43.5,opennem.org.au,false,
2023-01-03 21:00:00,Australia,Western Australia,AU-WA,304.9,362.61,44.5,44.5,opennem.org.au,false,
2023-01-03 22:00:00,Australia,Western Australia,AU-WA,290.1,343.95,49.14,49.14,opennem.org.au,false,
2023-01-03 23:00:00,Australia,Western Australia,AU-WA,291.14,340.33,52.47,52.47,opennem.org.au,false,
2023-01-04 00:00:00,Australia,Western Australia,AU-WA,318.92,371.54,48.14,48.14,opennem.org.au,false,
2023-01-04 01:00:00,Australia,Western Australia,AU-WA,347.09,403.85,43.3,43.3,opennem.org.au,false,
2023-01-04 02:00:00,Australia,Western Australia,AU-WA,339.42,394.37,45.13,45.13,opennem.org.au,false,
2023-01-04 03:00:00,Australia,Western Australia,AU-WA,339.55,396.32,43.92,43.92,opennem.org.au,false,
2023-01-04 04:00:00,Australia,Western Australia,AU-WA,359.27,417.73,40.77,40.77,opennem.org.au,false,
2023-01-04 05:00:00,Australia,Western Australia,AU-WA,389.76,463.71,28.33,28.33,opennem.org.au,false,
2023-01-04 06:00:00,Australia,Western Australia,AU-WA,411.72,495.29,20.15,20.15,opennem.org.au,false,
2023-01-04 07:00:00,Australia,Western Australia,AU-WA,414.32,498.86,18.97,18.97,opennem.org.au,false,
2023-01-04 08:00:00,Australia,Western Australia,AU-WA,426.46,511.66,17.16,17.16,opennem.org.au,false,
2023-01-04 09:00:00,Australia,Western Australia,AU-WA,422.59,511.6,14.9,14.9,opennem.org.au,false,
2023-01-04 10:00:00,Australia,Western Australia,AU-WA,436.35,524.05,13.87,13.87,opennem.org.au,false,
2023-01-04 11:00:00,Australia,Western Australia,AU-WA,433.42,516.54,16.77,16.77,opennem.org.au,false,
2023-01-04 12:00:00,Australia,Western Australia,AU-WA,400.5,480.19,21.92,21.92,opennem.org.au,false,
2023-01-04 13:00:00,Australia,Western Australia,AU-WA,352.69,427.7,29.2,29.2,opennem.org.au,false,
2023-01-04 14:00:00,Australia,Western Australia,AU-WA,324.88,398.08,32.92,32.92,opennem.org.au,false,
2023-01-04 15:00:00,Australia,Western Australia,AU-WA,319.65,389.86,35.26,35.26,opennem.org.au,false,
2023-01-04 16:00:00,Australia,Western Australia,AU-WA,315.65,382.72,37.55,37.55,opennem.org.au,false,
2023-01-04 17:00:00,Australia,Western Australia,AU-WA,311.42,375.56,39.73,39.73,opennem.org.au,false,
