Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Aruba,Aruba,AW,300.07,483.36,26.11,26.11,webaruba.com,false,
2023-01-01 01:00:00,Aruba,Aruba,AW,298.52,481.03,26.48,26.48,webaruba.com,false,
2023-01-01 02:00:00,Aruba,Aruba,AW,81.74,140.75,79.87,79.87,webaruba.com,false,
2023-01-01 03:00:00,Aruba,Aruba,AW,283.72,457.57,30.15,30.15,webaruba.com,false,
2023-01-01 04:00:00,Aruba,Aruba,AW,282.62,455.81,30.41,30.41,webaruba.com,false,
2023-01-01 05:00:00,Aruba,Aruba,AW,285.32,460.26,29.73,29.73,webaruba.com,false,
2023-01-01 06:00:00,Aruba,Aruba,AW,249.04,402.78,38.74,38.74,webaruba.com,false,
2023-01-01 07:00:00,Aruba,Aruba,AW,303.31,487.95,25.39,25.39,webaruba.com,false,
2023-01-01 08:00:00,Aruba,Aruba,AW,279.58,450.48,31.28,31.28,webaruba.com,false,
2023-01-01 09:00:00,Aruba,Aruba,AW,178.5,292.49,56.04,56.04,webaruba.com,false,
2023-01-01 10:00:00,Aruba,Aruba,AW,243.04,392.86,40.34,40.34,webaruba.com,false,
2023-01-01 11:00:00,Aruba,Aruba,AW,209.98,342.01,48.3,48.3,webaruba.com,false,
2023-01-01 12:00:00,Aruba,Aruba,AW,292.92,472.1,27.91,27.91,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 13:00:00,Aruba,Aruba,AW,272.38,440.55,32.92,32.92,webaruba.com,false,
2023-01-01 14:00:00,Aruba,Aruba,AW,321.34,516.3,21.04,21.04,webaruba.com,false,
2023-01-01 15:00:00,Aruba,Aruba,AW,318.45,512.62,21.58,21.58,webaruba.com,false,
2023-01-01 16:00:00,Aruba,Aruba,AW,320.8,515.66,21.11,21.11,webaruba.com,false,
2023-01-01 17:00:00,Aruba,Aruba,AW,304.18,489.96,25.16,25.16,webaruba.com,false,
2023-01-01 18:00:00,Aruba,Aruba,AW,313.47,504.04,22.97,22.97,webaruba.com,false,
2023-01-01 19:00:00,Aruba,Aruba,AW,328.1,527.26,19.26,19.26,webaruba.com,false,
