Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Åland Islands,Åland Islands,AX,5.95,21.47,99.15,84.05,kraftnat.ax,false,
2023-01-01 01:00:00,Åland Islands,Åland Islands,AX,9.15,26.78,98.71,70.94,kraftnat.ax,false,
2023-01-01 02:00:00,Åland Islands,Åland Islands,AX,8.85,26.76,98.77,67.05,kraftnat.ax,false,
2023-01-01 03:00:00,Åland Islands,Åland Islands,AX,7.75,24.81,98.91,73.4,kraftnat.ax,false,
2023-01-01 04:00:00,Åland Islands,Åland Islands,AX,7.89,25.64,98.9,67.08,kraftnat.ax,false,
2023-01-01 05:00:00,Åland Islands,Åland Islands,AX,6.88,24.36,99.04,66.46,kraftnat.ax,false,
2023-01-01 06:00:00,Åland Islands,Åland Islands,AX,5.95,22.57,99.17,72.83,kraftnat.ax,false,
2023-01-01 07:00:00,Åland Islands,Åland Islands,AX,8.51,27.23,98.82,61.21,kraftnat.ax,false,
2023-01-01 08:00:00,Åland Islands,Åland Islands,AX,8.81,27.81,98.8,63.74,kraftnat.ax,false,
2023-01-01 09:00:00,Åland Islands,Åland Islands,AX,11.02,30.95,98.58,63.2,kraftnat.ax,false,
2023-01-01 10:00:00,Åland Islands,Åland Islands,AX,10.93,29.82,98.61,69.32,kraftnat.ax,false,
2023-01-01 11:00:00,Åland Islands,Åland Islands,AX,10.63,29.63,98.63,71.4,kraftnat.ax,false,
2023-01-01 12:00:00,Åland Islands,Åland Islands,AX,11.91,30.86,98.49,74.34,kraftnat.ax,false,
2023-01-01 13:00:00,Åland Islands,Åland Islands,AX,9.18,27.55,98.81,77.58,kraftnat.ax,false,
2023-01-01 14:00:00,Åland Islands,Åland Islands,AX,6.44,24.88,99.13,76.35,kraftnat.ax,false,
2023-01-01 15:00:00,Åland Islands,Åland Islands,AX,6.65,25.56,99.1,75.0,kraftnat.ax,false,
2023-01-01 16:00:00,Åland Islands,Åland Islands,AX,7.83,27.08,98.92,74.63,kraftnat.ax,false,
2023-01-01 17:00:00,Åland Islands,Åland Islands,AX,7.4,25.03,98.97,78.22,kraftnat.ax,false,
2023-01-01 18:00:00,Åland Islands,Åland Islands,AX,9.14,28.02,98.75,72.95,kraftnat.ax,false,
2023-01-01 19:00:00,Åland Islands,Åland Islands,AX,10.93,30.72,98.49,66.72,kraftnat.ax,false,
2023-01-01 20:00:00,Åland Islands,Åland Islands,AX,8.74,27.82,98.8,67.97,kraftnat.ax,false,
2023-01-01 21:00:00,Åland Islands,Åland Islands,AX,10.23,30.5,98.59,62.71,kraftnat.ax,false,
2023-01-01 22:00:00,Åland Islands,Åland Islands,AX,12.35,33.56,98.29,58.72,kraftnat.ax,false,
2023-01-01 23:00:00,Åland Islands,Åland Islands,AX,12.46,34.18,98.27,56.22,kraftnat.ax,false,
2023-01-02 00:00:00,Åland Islands,Åland Islands,AX,14.0,36.79,98.08,53.27,kraftnat.ax,false,
2023-01-02 01:00:00,Åland Islands,Åland Islands,AX,16.11,39.37,97.81,53.05,kraftnat.ax,false,
2023-01-02 02:00:00,Åland Islands,Åland Islands,AX,16.19,39.48,97.78,52.43,kraftnat.ax,false,
2023-01-02 03:00:00,Åland Islands,Åland Islands,AX,16.94,40.33,97.69,53.53,kraftnat.ax,false,
2023-01-02 04:00:00,Åland Islands,Åland Islands,AX,14.45,37.03,98.06,59.43,kraftnat.ax,false,
2023-01-02 05:00:00,Åland Islands,Åland Islands,AX,13.1,35.02,98.25,67.76,kraftnat.ax,false,
2023-01-02 06:00:00,Åland Islands,Åland Islands,AX,7.55,25.29,98.95,83.05,kraftnat.ax,false,
2023-01-02 07:00:00,Åland Islands,Åland Islands,AX,5.92,21.57,99.15,91.15,kraftnat.ax,false,
2023-01-02 08:00:00,Åland Islands,Åland Islands,AX,4.82,18.73,99.29,97.39,kraftnat.ax,false,
2023-01-02 09:00:00,Åland Islands,Åland Islands,AX,4.34,18.16,99.36,98.16,kraftnat.ax,false,
2023-01-02 10:00:00,Åland Islands,Åland Islands,AX,3.94,17.66,99.42,98.32,kraftnat.ax,false,
2023-01-02 11:00:00,Åland Islands,Åland Islands,AX,5.49,20.35,99.21,95.11,kraftnat.ax,false,
2023-01-02 12:00:00,Åland Islands,Åland Islands,AX,8.33,25.54,98.84,88.47,kraftnat.ax,false,
2023-01-02 13:00:00,Åland Islands,Åland Islands,AX,11.98,33.41,98.33,75.61,kraftnat.ax,false,
2023-01-02 14:00:00,Åland Islands,Åland Islands,AX,13.01,35.54,98.17,72.45,kraftnat.ax,false,
2023-01-02 15:00:00,Åland Islands,Åland Islands,AX,14.17,37.59,98.06,70.36,kraftnat.ax,false,
2023-01-02 16:00:00,Åland Islands,Åland Islands,AX,13.42,36.99,98.18,69.12,kraftnat.ax,false,
2023-01-02 17:00:00,Åland Islands,Åland Islands,AX,8.82,33.04,98.81,65.14,kraftnat.ax,false,
2023-01-02 18:00:00,Åland Islands,Åland Islands,AX,8.86,33.21,98.83,64.1,kraftnat.ax,false,
2023-01-02 19:00:00,Åland Islands,Åland Islands,AX,9.5,33.18,98.72,66.1,kraftnat.ax,false,
2023-01-02 20:00:00,Åland Islands,Åland Islands,AX,11.65,35.34,98.33,67.6,kraftnat.ax,false,
2023-01-02 21:00:00,Åland Islands,Åland Islands,AX,10.78,34.2,98.44,67.55,kraftnat.ax,false,
2023-01-02 22:00:00,Åland Islands,Åland Islands,AX,8.95,31.51,98.77,68.32,kraftnat.ax,false,
2023-01-02 23:00:00,Åland Islands,Åland Islands,AX,10.13,33.59,98.62,64.39,kraftnat.ax,false,
2023-01-03 00:00:00,Åland Islands,Åland Islands,AX,11.66,34.53,98.38,67.37,kraftnat.ax,false,
2023-01-03 01:00:00,Åland Islands,Åland Islands,AX,10.96,32.38,98.44,73.17,kraftnat.ax,false,
2023-01-03 02:00:00,Åland Islands,Åland Islands,AX,9.77,27.42,98.58,85.79,kraftnat.ax,false,
2023-01-03 03:00:00,Åland Islands,Åland Islands,AX,7.21,21.97,98.93,94.57,kraftnat.ax,false,
2023-01-03 04:00:00,Åland Islands,Åland Islands,AX,6.75,20.92,99.0,96.44,kraftnat.ax,false,
2023-01-03 05:00:00,Åland Islands,Åland Islands,AX,6.08,20.07,99.1,96.98,kraftnat.ax,false,
2023-01-03 06:00:00,Åland Islands,Åland Islands,AX,5.28,19.06,99.22,97.51,kraftnat.ax,false,
2023-01-03 07:00:00,Åland Islands,Åland Islands,AX,5.07,18.76,99.25,97.73,kraftnat.ax,false,
2023-01-03 08:00:00,Åland Islands,Åland Islands,AX,4.82,18.49,99.28,98.02,kraftnat.ax,false,
2023-01-03 09:00:00,Åland Islands,Åland Islands,AX,27.5,49.28,95.76,94.52,kraftnat.ax,false,
2023-01-03 10:00:00,Åland Islands,Åland Islands,AX,5.35,19.14,99.21,97.92,kraftnat.ax,false,
2023-01-03 11:00:00,Åland Islands,Åland Islands,AX,6.33,20.71,99.07,96.44,kraftnat.ax,false,
2023-01-03 12:00:00,Åland Islands,Åland Islands,AX,6.61,20.69,99.02,97.47,kraftnat.ax,false,
2023-01-03 13:00:00,Åland Islands,Åland Islands,AX,6.15,20.14,99.09,97.65,kraftnat.ax,false,
2023-01-03 14:00:00,Åland Islands,Åland Islands,AX,6.97,22.86,98.99,92.45,kraftnat.ax,false,
2023-01-03 15:00:00,Åland Islands,Åland Islands,AX,7.71,25.06,98.9,88.64,kraftnat.ax,false,
2023-01-03 16:00:00,Åland Islands,Åland Islands,AX,7.56,25.09,98.92,88.58,kraftnat.ax,false,
2023-01-03 17:00:00,Åland Islands,Åland Islands,AX,8.7,26.96,98.76,86.51,kraftnat.ax,false,
2023-01-03 18:00:00,Åland Islands,Åland Islands,AX,9.99,29.02,98.55,84.71,kraftnat.ax,false,
2023-01-03 19:00:00,Åland Islands,Åland Islands,AX,12.55,32.6,98.17,82.18,kraftnat.ax,false,
2023-01-03 20:00:00,Åland Islands,Åland Islands,AX,12.76,33.3,98.15,80.73,kraftnat.ax,false,
2023-01-03 21:00:00,Åland Islands,Åland Islands,AX,11.22,30.89,98.37,81.87,kraftnat.ax,false,
2023-01-03 22:00:00,Åland Islands,Åland Islands,AX,11.31,32.17,98.35,77.68,kraftnat.ax,false,
2023-01-03 23:00:00,Åland Islands,Åland Islands,AX,11.93,33.91,98.28,74.15,kraftnat.ax,false,
2023-01-04 00:00:00,Åland Islands,Åland Islands,AX,12.86,37.23,98.15,67.33,kraftnat.ax,false,
2023-01-04 01:00:00,Åland Islands,Åland Islands,AX,13.17,38.04,98.12,64.48,kraftnat.ax,false,
2023-01-04 02:00:00,Åland Islands,Åland Islands,AX,13.69,38.54,98.05,64.43,kraftnat.ax,false,
