Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,502.33,549.76,33.67,24.61,entsoe.eu,false,
2023-01-01 01:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,551.6,601.9,27.21,19.49,entsoe.eu,false,
2023-01-01 02:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,576.26,627.64,23.95,17.51,entsoe.eu,false,
2023-01-01 03:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,638.77,692.58,15.73,13.02,entsoe.eu,false,
2023-01-01 04:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,621.85,675.01,17.95,14.22,entsoe.eu,false,
2023-01-01 05:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,592.82,644.27,21.76,17.69,entsoe.eu,false,
2023-01-01 06:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,587.3,638.08,22.5,19.36,entsoe.eu,false,
2023-01-01 07:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,574.55,624.05,24.15,21.99,entsoe.eu,false,
2023-01-01 08:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,520.64,567.24,31.21,27.84,entsoe.eu,false,
2023-01-01 09:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,467.33,511.69,38.14,32.19,entsoe.eu,false,
2023-01-01 10:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,474.74,519.11,37.14,32.49,entsoe.eu,false,
2023-01-01 11:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,481.67,527.61,36.05,29.28,entsoe.eu,false,
2023-01-01 12:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,520.4,569.01,30.91,23.82,entsoe.eu,false,
2023-01-01 13:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,459.01,505.1,38.88,27.43,entsoe.eu,false,
2023-01-01 14:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,414.16,457.39,44.91,32.87,entsoe.eu,false,
2023-01-01 15:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,375.95,415.93,50.27,37.71,entsoe.eu,false,
2023-01-01 16:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,362.01,395.31,54.0,42.63,entsoe.eu,false,
2023-01-01 17:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,373.36,407.0,52.53,42.27,entsoe.eu,false,
2023-01-01 18:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,378.64,410.86,52.63,42.02,entsoe.eu,false,
2023-01-01 19:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,411.93,447.46,47.79,37.06,entsoe.eu,false,
2023-01-01 20:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,431.11,468.39,44.99,34.39,entsoe.eu,false,
2023-01-01 21:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,459.54,499.77,40.72,30.59,entsoe.eu,false,
2023-01-01 22:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,401.27,444.51,46.51,31.67,entsoe.eu,false,
2023-01-01 23:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,498.47,546.95,34.08,19.84,entsoe.eu,false,
2023-01-02 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,515.18,564.46,31.61,18.93,entsoe.eu,false,
2023-01-02 01:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,581.0,633.5,22.88,14.78,entsoe.eu,false,
2023-01-02 02:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,581.22,633.7,22.83,15.32,entsoe.eu,false,
2023-01-02 03:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,544.91,595.92,27.52,17.44,entsoe.eu,false,
2023-01-02 04:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,555.76,606.72,26.26,16.98,entsoe.eu,false,
2023-01-02 05:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,522.93,571.34,30.67,22.58,entsoe.eu,false,
2023-01-02 06:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,501.7,546.95,33.68,30.6,entsoe.eu,false,
2023-01-02 07:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,512.33,557.22,32.43,31.36,entsoe.eu,false,
2023-01-02 08:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,508.62,552.83,33.05,32.29,entsoe.eu,false,
