Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Barbados,Barbados,BB,573.7,698.66,0.0,0.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 01:00:00,Barbados,Barbados,BB,573.9,698.87,0.0,0.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 02:00:00,Barbados,Barbados,BB,573.62,698.58,0.0,0.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 03:00:00,Barbados,Barbados,BB,573.73,698.7,0.0,0.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 04:00:00,Barbados,Barbados,BB,573.6,698.56,0.0,0.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 05:00:00,Barbados,Barbados,BB,573.55,698.51,0.0,0.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 06:00:00,Barbados,Barbados,BB,573.48,698.44,0.0,0.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 07:00:00,Barbados,Barbados,BB,573.32,698.28,0.0,0.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 08:00:00,Barbados,Barbados,BB,573.87,698.84,0.0,0.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 09:00:00,Barbados,Barbados,BB,552.39,674.36,3.75,3.75,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 10:00:00,Barbados,Barbados,BB,552.18,674.08,3.86,3.86,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 11:00:00,Barbados,Barbados,BB,551.72,673.55,3.94,3.94,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 12:00:00,Barbados,Barbados,BB,539.54,659.66,6.08,6.08,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 13:00:00,Barbados,Barbados,BB,548.96,670.42,4.4,4.4,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 14:00:00,Barbados,Barbados,BB,554.04,676.23,3.48,3.48,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 15:00:00,Barbados,Barbados,BB,544.84,665.76,5.08,5.08,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
