Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Bangladesh,Bangladesh,BD,442.91,558.55,0.93,0.93,erp.pgcb.gov.bd,false,
2023-01-01 01:00:00,Bangladesh,Bangladesh,BD,441.53,564.45,0.97,0.97,erp.pgcb.gov.bd,false,
2023-01-01 02:00:00,Bangladesh,Bangladesh,BD,439.16,566.29,1.38,1.38,erp.pgcb.gov.bd,false,
2023-01-01 03:00:00,Bangladesh,Bangladesh,BD,441.08,571.38,1.98,1.98,erp.pgcb.gov.bd,false,
2023-01-01 04:00:00,Bangladesh,Bangladesh,BD,440.14,573.47,2.12,2.12,erp.pgcb.gov.bd,false,
2023-01-01 05:00:00,Bangladesh,Bangladesh,BD,428.57,565.09,3.03,3.03,erp.pgcb.gov.bd,false,
2023-01-01 06:00:00,Bangladesh,Bangladesh,BD,420.18,559.0,3.81,3.81,erp.pgcb.gov.bd,false,
2023-01-01 07:00:00,Bangladesh,Bangladesh,BD,423.23,562.48,3.64,3.64,erp.pgcb.gov.bd,false,
2023-01-01 08:00:00,Bangladesh,Bangladesh,BD,428.95,567.22,2.92,2.92,erp.pgcb.gov.bd,false,
2023-01-01 09:00:00,Bangladesh,Bangladesh,BD,431.42,568.29,2.29,2.29,erp.pgcb.gov.bd,false,
2023-01-01 10:00:00,Bangladesh,Bangladesh,BD,444.35,584.96,1.23,1.23,erp.pgcb.gov.bd,false,
2023-01-01 11:00:00,Bangladesh,Bangladesh,BD,448.96,594.78,0.35,0.35,erp.pgcb.gov.bd,false,
2023-01-01 12:00:00,Bangladesh,Bangladesh,BD,447.82,602.9,0.21,0.21,erp.pgcb.gov.bd,false,
2023-01-01 13:00:00,Bangladesh,Bangladesh,BD,448.72,600.9,0.33,0.33,erp.pgcb.gov.bd,false,
2023-01-01 14:00:00,Bangladesh,Bangladesh,BD,447.49,596.8,0.7,0.7,erp.pgcb.gov.bd,false,
2023-01-01 15:00:00,Bangladesh,Bangladesh,BD,447.86,592.2,0.69,0.69,erp.pgcb.gov.bd,false,
2023-01-01 16:00:00,Bangladesh,Bangladesh,BD,452.32,589.65,0.22,0.22,erp.pgcb.gov.bd,false,
2023-01-01 17:00:00,Bangladesh,Bangladesh,BD,448.31,580.25,0.6,0.6,erp.pgcb.gov.bd,false,
2023-01-01 18:00:00,Bangladesh,Bangladesh,BD,457.46,579.04,0.82,0.82,erp.pgcb.gov.bd,false,
2023-01-01 19:00:00,Bangladesh,Bangladesh,BD,440.15,564.75,0.64,0.64,erp.pgcb.gov.bd,false,
2023-01-01 20:00:00,Bangladesh,Bangladesh,BD,438.67,561.41,0.71,0.71,erp.pgcb.gov.bd,false,
2023-01-01 21:00:00,Bangladesh,Bangladesh,BD,441.3,561.04,0.74,0.74,erp.pgcb.gov.bd,false,
2023-01-01 22:00:00,Bangladesh,Bangladesh,BD,441.18,559.45,0.75,0.75,erp.pgcb.gov.bd,false,
2023-01-01 23:00:00,Bangladesh,Bangladesh,BD,441.65,559.07,0.76,0.76,erp.pgcb.gov.bd,false,
2023-01-02 00:00:00,Bangladesh,Bangladesh,BD,441.89,562.96,0.73,0.73,erp.pgcb.gov.bd,false,
2023-01-02 01:00:00,Bangladesh,Bangladesh,BD,442.87,572.77,0.77,0.77,erp.pgcb.gov.bd,false,
2023-01-02 02:00:00,Bangladesh,Bangladesh,BD,441.73,576.46,1.51,1.51,erp.pgcb.gov.bd,false,
2023-01-02 03:00:00,Bangladesh,Bangladesh,BD,441.09,576.07,2.62,2.62,erp.pgcb.gov.bd,false,
2023-01-02 04:00:00,Bangladesh,Bangladesh,BD,435.73,569.4,3.4,3.4,erp.pgcb.gov.bd,false,
2023-01-02 05:00:00,Bangladesh,Bangladesh,BD,431.57,567.11,4.34,4.34,erp.pgcb.gov.bd,false,
2023-01-02 06:00:00,Bangladesh,Bangladesh,BD,424.98,564.51,4.41,4.41,erp.pgcb.gov.bd,false,
2023-01-02 07:00:00,Bangladesh,Bangladesh,BD,425.03,564.94,3.98,3.98,erp.pgcb.gov.bd,false,
2023-01-02 08:00:00,Bangladesh,Bangladesh,BD,434.04,569.32,3.54,3.54,erp.pgcb.gov.bd,false,
2023-01-02 09:00:00,Bangladesh,Bangladesh,BD,433.99,570.05,2.62,2.62,erp.pgcb.gov.bd,false,
2023-01-02 10:00:00,Bangladesh,Bangladesh,BD,436.0,573.72,1.32,1.32,erp.pgcb.gov.bd,false,
2023-01-02 11:00:00,Bangladesh,Bangladesh,BD,440.63,586.9,0.36,0.36,erp.pgcb.gov.bd,false,
2023-01-02 12:00:00,Bangladesh,Bangladesh,BD,440.61,594.35,0.7,0.7,erp.pgcb.gov.bd,false,
2023-01-02 13:00:00,Bangladesh,Bangladesh,BD,447.04,596.44,0.69,0.69,erp.pgcb.gov.bd,false,
2023-01-02 14:00:00,Bangladesh,Bangladesh,BD,448.49,596.36,0.7,0.7,erp.pgcb.gov.bd,false,
2023-01-02 15:00:00,Bangladesh,Bangladesh,BD,450.68,591.7,0.72,0.72,erp.pgcb.gov.bd,false,
2023-01-02 16:00:00,Bangladesh,Bangladesh,BD,452.74,589.37,0.74,0.74,erp.pgcb.gov.bd,false,
2023-01-02 17:00:00,Bangladesh,Bangladesh,BD,457.93,584.99,0.78,0.78,erp.pgcb.gov.bd,false,
2023-01-02 18:00:00,Bangladesh,Bangladesh,BD,479.04,595.17,0.61,0.61,erp.pgcb.gov.bd,false,
2023-01-02 19:00:00,Bangladesh,Bangladesh,BD,455.62,572.42,0.88,0.88,erp.pgcb.gov.bd,false,
2023-01-02 20:00:00,Bangladesh,Bangladesh,BD,453.53,567.82,0.91,0.91,erp.pgcb.gov.bd,false,
2023-01-02 21:00:00,Bangladesh,Bangladesh,BD,452.94,566.95,0.94,0.94,erp.pgcb.gov.bd,false,
2023-01-02 22:00:00,Bangladesh,Bangladesh,BD,445.63,561.06,0.97,0.97,erp.pgcb.gov.bd,false,
2023-01-02 23:00:00,Bangladesh,Bangladesh,BD,445.52,560.79,0.97,0.97,erp.pgcb.gov.bd,false,
2023-01-03 00:00:00,Bangladesh,Bangladesh,BD,449.22,569.48,1.11,1.11,Electricity Maps Estimation; erp.pgcb.gov.bd,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 01:00:00,Bangladesh,Bangladesh,BD,450.64,570.32,0.91,0.91,erp.pgcb.gov.bd,false,
2023-01-03 02:00:00,Bangladesh,Bangladesh,BD,451.64,576.46,1.36,1.36,erp.pgcb.gov.bd,false,
2023-01-03 03:00:00,Bangladesh,Bangladesh,BD,448.84,579.44,1.98,1.98,erp.pgcb.gov.bd,false,
2023-01-03 04:00:00,Bangladesh,Bangladesh,BD,451.47,585.44,2.29,2.29,erp.pgcb.gov.bd,false,
2023-01-03 05:00:00,Bangladesh,Bangladesh,BD,449.09,579.92,3.53,3.53,erp.pgcb.gov.bd,false,
2023-01-03 06:00:00,Bangladesh,Bangladesh,BD,445.19,577.67,4.12,4.12,erp.pgcb.gov.bd,false,
2023-01-03 07:00:00,Bangladesh,Bangladesh,BD,448.53,580.98,4.05,4.05,erp.pgcb.gov.bd,false,
2023-01-03 08:00:00,Bangladesh,Bangladesh,BD,454.08,583.05,3.53,3.53,erp.pgcb.gov.bd,false,
2023-01-03 09:00:00,Bangladesh,Bangladesh,BD,459.91,587.11,2.8,2.8,erp.pgcb.gov.bd,false,
2023-01-03 10:00:00,Bangladesh,Bangladesh,BD,461.08,592.37,1.7,1.7,erp.pgcb.gov.bd,false,
2023-01-03 11:00:00,Bangladesh,Bangladesh,BD,462.8,600.66,0.73,0.73,erp.pgcb.gov.bd,false,
2023-01-03 12:00:00,Bangladesh,Bangladesh,BD,466.41,610.01,0.51,0.51,erp.pgcb.gov.bd,false,
2023-01-03 13:00:00,Bangladesh,Bangladesh,BD,470.86,612.51,0.5,0.5,erp.pgcb.gov.bd,false,
2023-01-03 14:00:00,Bangladesh,Bangladesh,BD,472.72,611.74,0.52,0.52,erp.pgcb.gov.bd,false,
2023-01-03 15:00:00,Bangladesh,Bangladesh,BD,473.96,608.22,0.53,0.53,erp.pgcb.gov.bd,false,
2023-01-03 16:00:00,Bangladesh,Bangladesh,BD,474.19,605.62,0.54,0.54,erp.pgcb.gov.bd,false,
2023-01-03 17:00:00,Bangladesh,Bangladesh,BD,478.58,599.42,0.57,0.57,erp.pgcb.gov.bd,false,
2023-01-03 18:00:00,Bangladesh,Bangladesh,BD,469.54,591.48,0.59,0.59,erp.pgcb.gov.bd,false,
2023-01-03 19:00:00,Bangladesh,Bangladesh,BD,476.02,589.58,0.63,0.63,erp.pgcb.gov.bd,false,
2023-01-03 20:00:00,Bangladesh,Bangladesh,BD,472.65,585.35,0.66,0.66,erp.pgcb.gov.bd,false,
2023-01-03 21:00:00,Bangladesh,Bangladesh,BD,464.58,578.94,0.68,0.68,erp.pgcb.gov.bd,false,
2023-01-03 22:00:00,Bangladesh,Bangladesh,BD,465.67,579.28,0.68,0.68,erp.pgcb.gov.bd,false,
2023-01-03 23:00:00,Bangladesh,Bangladesh,BD,463.52,577.04,0.69,0.69,erp.pgcb.gov.bd,false,
2023-01-04 00:00:00,Bangladesh,Bangladesh,BD,461.04,574.67,0.65,0.65,erp.pgcb.gov.bd,false,
2023-01-04 01:00:00,Bangladesh,Bangladesh,BD,458.15,575.62,0.67,0.67,erp.pgcb.gov.bd,false,
2023-01-04 02:00:00,Bangladesh,Bangladesh,BD,459.56,583.8,0.91,0.91,erp.pgcb.gov.bd,false,
2023-01-04 03:00:00,Bangladesh,Bangladesh,BD,463.35,592.81,1.32,1.32,erp.pgcb.gov.bd,false,
2023-01-04 04:00:00,Bangladesh,Bangladesh,BD,459.33,590.87,1.9,1.9,erp.pgcb.gov.bd,false,
2023-01-04 05:00:00,Bangladesh,Bangladesh,BD,454.55,585.41,2.89,2.89,erp.pgcb.gov.bd,false,
2023-01-04 06:00:00,Bangladesh,Bangladesh,BD,446.09,576.8,3.85,3.85,erp.pgcb.gov.bd,false,
2023-01-04 07:00:00,Bangladesh,Bangladesh,BD,447.49,578.97,3.72,3.72,erp.pgcb.gov.bd,false,
2023-01-04 08:00:00,Bangladesh,Bangladesh,BD,447.46,579.52,3.24,3.24,erp.pgcb.gov.bd,false,
2023-01-04 09:00:00,Bangladesh,Bangladesh,BD,452.52,582.96,2.59,2.59,erp.pgcb.gov.bd,false,
2023-01-04 10:00:00,Bangladesh,Bangladesh,BD,457.15,587.97,1.55,1.55,erp.pgcb.gov.bd,false,
2023-01-04 11:00:00,Bangladesh,Bangladesh,BD,458.69,596.82,0.67,0.67,erp.pgcb.gov.bd,false,
2023-01-04 12:00:00,Bangladesh,Bangladesh,BD,458.73,603.69,0.51,0.51,erp.pgcb.gov.bd,false,
2023-01-04 13:00:00,Bangladesh,Bangladesh,BD,458.76,603.26,0.49,0.49,erp.pgcb.gov.bd,false,
2023-01-04 14:00:00,Bangladesh,Bangladesh,BD,459.18,601.6,0.5,0.5,erp.pgcb.gov.bd,false,
2023-01-04 15:00:00,Bangladesh,Bangladesh,BD,460.43,599.61,0.51,0.51,erp.pgcb.gov.bd,false,
2023-01-04 16:00:00,Bangladesh,Bangladesh,BD,463.55,598.72,0.53,0.53,erp.pgcb.gov.bd,false,
2023-01-04 17:00:00,Bangladesh,Bangladesh,BD,467.79,595.8,0.57,0.57,erp.pgcb.gov.bd,false,
2023-01-04 18:00:00,Bangladesh,Bangladesh,BD,467.21,593.12,0.57,0.57,erp.pgcb.gov.bd,false,
2023-01-04 19:00:00,Bangladesh,Bangladesh,BD,467.35,586.49,0.59,0.59,erp.pgcb.gov.bd,false,
2023-01-04 20:00:00,Bangladesh,Bangladesh,BD,469.08,583.75,0.64,0.64,erp.pgcb.gov.bd,false,
2023-01-04 21:00:00,Bangladesh,Bangladesh,BD,465.28,580.73,0.64,0.64,erp.pgcb.gov.bd,false,
2023-01-04 22:00:00,Bangladesh,Bangladesh,BD,464.17,578.17,0.66,0.66,erp.pgcb.gov.bd,false,
2023-01-04 23:00:00,Bangladesh,Bangladesh,BD,465.0,578.55,0.67,0.67,erp.pgcb.gov.bd,false,
2023-01-05 00:00:00,Bangladesh,Bangladesh,BD,457.75,575.93,0.63,0.63,erp.pgcb.gov.bd,false,
2023-01-05 01:00:00,Bangladesh,Bangladesh,BD,427.76,607.8,0.35,0.35,erp.pgcb.gov.bd,false,
2023-01-05 02:00:00,Bangladesh,Bangladesh,BD,461.95,584.42,0.89,0.89,erp.pgcb.gov.bd,false,
2023-01-05 03:00:00,Bangladesh,Bangladesh,BD,463.22,591.18,1.23,1.23,erp.pgcb.gov.bd,false,
2023-01-05 04:00:00,Bangladesh,Bangladesh,BD,462.54,593.01,1.61,1.61,erp.pgcb.gov.bd,false,
2023-01-05 05:00:00,Bangladesh,Bangladesh,BD,458.18,589.16,2.27,2.27,erp.pgcb.gov.bd,false,
2023-01-05 06:00:00,Bangladesh,Bangladesh,BD,448.88,580.61,3.92,3.92,erp.pgcb.gov.bd,false,
2023-01-05 07:00:00,Bangladesh,Bangladesh,BD,447.88,580.24,3.79,3.79,erp.pgcb.gov.bd,false,
2023-01-05 08:00:00,Bangladesh,Bangladesh,BD,452.11,583.0,3.36,3.36,erp.pgcb.gov.bd,false,
2023-01-05 09:00:00,Bangladesh,Bangladesh,BD,456.36,585.29,2.72,2.72,erp.pgcb.gov.bd,false,
2023-01-05 10:00:00,Bangladesh,Bangladesh,BD,462.39,590.49,1.62,1.62,erp.pgcb.gov.bd,false,
2023-01-05 11:00:00,Bangladesh,Bangladesh,BD,458.48,595.15,0.69,0.69,erp.pgcb.gov.bd,false,
2023-01-05 12:00:00,Bangladesh,Bangladesh,BD,453.8,601.7,0.5,0.5,erp.pgcb.gov.bd,false,
2023-01-05 13:00:00,Bangladesh,Bangladesh,BD,458.24,606.5,0.48,0.48,erp.pgcb.gov.bd,false,
2023-01-05 14:00:00,Bangladesh,Bangladesh,BD,458.69,604.81,0.49,0.49,erp.pgcb.gov.bd,false,
2023-01-05 15:00:00,Bangladesh,Bangladesh,BD,460.09,602.07,0.51,0.51,erp.pgcb.gov.bd,false,
2023-01-05 16:00:00,Bangladesh,Bangladesh,BD,462.38,598.56,0.52,0.52,erp.pgcb.gov.bd,false,
2023-01-05 17:00:00,Bangladesh,Bangladesh,BD,465.17,595.37,0.56,0.56,erp.pgcb.gov.bd,false,
2023-01-05 18:00:00,Bangladesh,Bangladesh,BD,471.21,583.01,0.62,0.62,erp.pgcb.gov.bd,false,
2023-01-05 19:00:00,Bangladesh,Bangladesh,BD,468.83,585.42,0.62,0.62,erp.pgcb.gov.bd,false,
2023-01-05 20:00:00,Bangladesh,Bangladesh,BD,466.88,581.85,0.65,0.65,erp.pgcb.gov.bd,false,
2023-01-05 21:00:00,Bangladesh,Bangladesh,BD,469.46,579.81,0.65,0.65,erp.pgcb.gov.bd,false,
2023-01-05 22:00:00,Bangladesh,Bangladesh,BD,469.83,580.2,0.66,0.66,erp.pgcb.gov.bd,false,
2023-01-05 23:00:00,Bangladesh,Bangladesh,BD,467.45,579.26,0.67,0.67,erp.pgcb.gov.bd,false,
2023-01-06 00:00:00,Bangladesh,Bangladesh,BD,463.2,580.17,0.66,0.66,erp.pgcb.gov.bd,false,
2023-01-06 01:00:00,Bangladesh,Bangladesh,BD,462.36,587.5,0.69,0.69,erp.pgcb.gov.bd,false,
2023-01-06 02:00:00,Bangladesh,Bangladesh,BD,453.99,579.29,1.18,1.18,erp.pgcb.gov.bd,false,
2023-01-06 03:00:00,Bangladesh,Bangladesh,BD,454.11,578.91,1.83,1.83,erp.pgcb.gov.bd,false,
2023-01-06 04:00:00,Bangladesh,Bangladesh,BD,446.03,574.68,2.95,2.95,erp.pgcb.gov.bd,false,
2023-01-06 05:00:00,Bangladesh,Bangladesh,BD,435.15,564.91,4.27,4.27,erp.pgcb.gov.bd,false,
2023-01-06 06:00:00,Bangladesh,Bangladesh,BD,431.36,561.14,4.47,4.47,erp.pgcb.gov.bd,false,
2023-01-06 07:00:00,Bangladesh,Bangladesh,BD,439.03,568.46,4.41,4.41,erp.pgcb.gov.bd,false,
2023-01-06 08:00:00,Bangladesh,Bangladesh,BD,440.67,566.85,4.46,4.46,erp.pgcb.gov.bd,false,
2023-01-06 09:00:00,Bangladesh,Bangladesh,BD,447.01,569.85,3.71,3.71,erp.pgcb.gov.bd,false,
2023-01-06 10:00:00,Bangladesh,Bangladesh,BD,453.6,575.26,2.05,2.05,erp.pgcb.gov.bd,false,
2023-01-06 11:00:00,Bangladesh,Bangladesh,BD,454.29,581.93,0.83,0.83,erp.pgcb.gov.bd,false,
2023-01-06 12:00:00,Bangladesh,Bangladesh,BD,451.74,592.17,0.55,0.55,erp.pgcb.gov.bd,false,
2023-01-06 13:00:00,Bangladesh,Bangladesh,BD,450.98,589.69,0.53,0.53,erp.pgcb.gov.bd,false,
2023-01-06 14:00:00,Bangladesh,Bangladesh,BD,451.74,589.74,0.53,0.53,erp.pgcb.gov.bd,false,
2023-01-06 15:00:00,Bangladesh,Bangladesh,BD,457.01,587.24,0.55,0.55,erp.pgcb.gov.bd,false,
2023-01-06 16:00:00,Bangladesh,Bangladesh,BD,464.51,590.63,0.57,0.57,erp.pgcb.gov.bd,false,
2023-01-06 17:00:00,Bangladesh,Bangladesh,BD,468.58,588.38,0.59,0.59,erp.pgcb.gov.bd,false,
2023-01-06 18:00:00,Bangladesh,Bangladesh,BD,466.49,591.53,0.65,0.65,erp.pgcb.gov.bd,false,
2023-01-06 19:00:00,Bangladesh,Bangladesh,BD,463.92,576.11,0.71,0.71,erp.pgcb.gov.bd,false,
2023-01-06 20:00:00,Bangladesh,Bangladesh,BD,459.92,571.3,0.74,0.74,erp.pgcb.gov.bd,false,
2023-01-06 21:00:00,Bangladesh,Bangladesh,BD,459.36,569.78,0.76,0.76,erp.pgcb.gov.bd,false,
2023-01-06 22:00:00,Bangladesh,Bangladesh,BD,460.77,570.72,0.77,0.77,erp.pgcb.gov.bd,false,
2023-01-06 23:00:00,Bangladesh,Bangladesh,BD,461.72,571.59,0.79,0.79,erp.pgcb.gov.bd,false,
2023-01-07 00:00:00,Bangladesh,Bangladesh,BD,459.59,569.91,0.78,0.78,erp.pgcb.gov.bd,false,
2023-01-07 01:00:00,Bangladesh,Bangladesh,BD,456.17,573.02,0.77,0.77,erp.pgcb.gov.bd,false,
2023-01-07 02:00:00,Bangladesh,Bangladesh,BD,448.65,572.27,1.11,1.11,erp.pgcb.gov.bd,false,
2023-01-07 03:00:00,Bangladesh,Bangladesh,BD,450.24,575.71,1.5,1.5,erp.pgcb.gov.bd,false,
2023-01-07 04:00:00,Bangladesh,Bangladesh,BD,448.77,575.4,2.04,2.04,erp.pgcb.gov.bd,false,
2023-01-07 05:00:00,Bangladesh,Bangladesh,BD,443.73,570.55,3.05,3.05,erp.pgcb.gov.bd,false,
2023-01-07 06:00:00,Bangladesh,Bangladesh,BD,437.46,565.47,3.91,3.91,erp.pgcb.gov.bd,false,
2023-01-07 07:00:00,Bangladesh,Bangladesh,BD,438.95,567.32,3.55,3.55,erp.pgcb.gov.bd,false,
2023-01-07 08:00:00,Bangladesh,Bangladesh,BD,441.89,570.47,3.33,3.33,erp.pgcb.gov.bd,false,
2023-01-07 09:00:00,Bangladesh,Bangladesh,BD,445.73,575.57,2.61,2.61,erp.pgcb.gov.bd,false,
2023-01-07 10:00:00,Bangladesh,Bangladesh,BD,450.21,579.95,1.6,1.6,erp.pgcb.gov.bd,false,
2023-01-07 11:00:00,Bangladesh,Bangladesh,BD,457.87,590.26,0.67,0.67,erp.pgcb.gov.bd,false,
2023-01-07 12:00:00,Bangladesh,Bangladesh,BD,458.89,600.25,0.55,0.55,erp.pgcb.gov.bd,false,
2023-01-07 13:00:00,Bangladesh,Bangladesh,BD,457.37,603.3,0.53,0.53,erp.pgcb.gov.bd,false,
2023-01-07 14:00:00,Bangladesh,Bangladesh,BD,456.09,601.13,0.53,0.53,erp.pgcb.gov.bd,false,
2023-01-07 15:00:00,Bangladesh,Bangladesh,BD,458.55,599.96,0.54,0.54,erp.pgcb.gov.bd,false,
2023-01-07 16:00:00,Bangladesh,Bangladesh,BD,461.32,599.09,0.57,0.57,erp.pgcb.gov.bd,false,
2023-01-07 17:00:00,Bangladesh,Bangladesh,BD,465.44,596.73,0.62,0.62,erp.pgcb.gov.bd,false,
2023-01-07 18:00:00,Bangladesh,Bangladesh,BD,465.19,590.19,0.55,0.54,erp.pgcb.gov.bd,false,
2023-01-07 19:00:00,Bangladesh,Bangladesh,BD,466.48,587.1,0.59,0.59,erp.pgcb.gov.bd,false,
2023-01-07 20:00:00,Bangladesh,Bangladesh,BD,465.86,581.75,0.6,0.6,erp.pgcb.gov.bd,false,
2023-01-07 21:00:00,Bangladesh,Bangladesh,BD,464.6,577.01,0.64,0.64,erp.pgcb.gov.bd,false,
2023-01-07 22:00:00,Bangladesh,Bangladesh,BD,463.78,574.85,0.65,0.64,erp.pgcb.gov.bd,false,
2023-01-07 23:00:00,Bangladesh,Bangladesh,BD,461.4,572.97,0.66,0.65,erp.pgcb.gov.bd,false,
2023-01-08 00:00:00,Bangladesh,Bangladesh,BD,462.82,577.36,0.65,0.64,erp.pgcb.gov.bd,false,
2023-01-08 01:00:00,Bangladesh,Bangladesh,BD,464.45,587.64,0.64,0.63,erp.pgcb.gov.bd,false,
2023-01-08 02:00:00,Bangladesh,Bangladesh,BD,457.88,592.86,0.97,0.96,erp.pgcb.gov.bd,false,
2023-01-08 03:00:00,Bangladesh,Bangladesh,BD,457.5,593.24,1.43,1.43,erp.pgcb.gov.bd,false,
2023-01-08 04:00:00,Bangladesh,Bangladesh,BD,456.27,592.2,1.83,1.83,erp.pgcb.gov.bd,false,
2023-01-08 05:00:00,Bangladesh,Bangladesh,BD,446.93,581.86,2.95,2.95,erp.pgcb.gov.bd,false,
2023-01-08 06:00:00,Bangladesh,Bangladesh,BD,439.05,573.3,4.26,4.26,erp.pgcb.gov.bd,false,
2023-01-08 07:00:00,Bangladesh,Bangladesh,BD,443.27,577.78,2.97,2.97,erp.pgcb.gov.bd,false,
2023-01-08 08:00:00,Bangladesh,Bangladesh,BD,440.23,574.24,3.61,3.61,erp.pgcb.gov.bd,false,
2023-01-08 09:00:00,Bangladesh,Bangladesh,BD,445.69,579.44,2.76,2.76,erp.pgcb.gov.bd,false,
2023-01-08 10:00:00,Bangladesh,Bangladesh,BD,451.69,584.89,1.67,1.67,erp.pgcb.gov.bd,false,
2023-01-08 11:00:00,Bangladesh,Bangladesh,BD,454.88,592.18,0.69,0.69,erp.pgcb.gov.bd,false,
2023-01-08 12:00:00,Bangladesh,Bangladesh,BD,453.62,597.14,0.52,0.52,erp.pgcb.gov.bd,false,
2023-01-08 13:00:00,Bangladesh,Bangladesh,BD,457.26,599.81,0.51,0.51,erp.pgcb.gov.bd,false,
2023-01-08 14:00:00,Bangladesh,Bangladesh,BD,458.13,600.04,0.51,0.51,erp.pgcb.gov.bd,false,
2023-01-08 15:00:00,Bangladesh,Bangladesh,BD,459.06,598.29,0.52,0.52,erp.pgcb.gov.bd,false,
2023-01-08 16:00:00,Bangladesh,Bangladesh,BD,459.94,595.88,0.53,0.53,erp.pgcb.gov.bd,false,
2023-01-08 17:00:00,Bangladesh,Bangladesh,BD,461.69,592.85,0.56,0.56,erp.pgcb.gov.bd,false,
2023-01-08 18:00:00,Bangladesh,Bangladesh,BD,461.37,591.29,0.57,0.57,erp.pgcb.gov.bd,false,
2023-01-08 19:00:00,Bangladesh,Bangladesh,BD,468.85,583.46,0.61,0.61,erp.pgcb.gov.bd,false,
2023-01-08 20:00:00,Bangladesh,Bangladesh,BD,465.81,576.9,0.64,0.64,erp.pgcb.gov.bd,false,
2023-01-08 21:00:00,Bangladesh,Bangladesh,BD,463.02,573.69,0.65,0.65,erp.pgcb.gov.bd,false,
2023-01-08 22:00:00,Bangladesh,Bangladesh,BD,439.3,556.05,0.68,0.68,erp.pgcb.gov.bd,false,
2023-01-08 23:00:00,Bangladesh,Bangladesh,BD,440.19,559.34,0.66,0.66,erp.pgcb.gov.bd,false,
2023-01-09 00:00:00,Bangladesh,Bangladesh,BD,445.11,567.08,0.66,0.66,erp.pgcb.gov.bd,false,
2023-01-09 01:00:00,Bangladesh,Bangladesh,BD,444.16,570.9,0.76,0.76,erp.pgcb.gov.bd,false,
2023-01-09 02:00:00,Bangladesh,Bangladesh,BD,442.46,568.58,1.81,1.81,erp.pgcb.gov.bd,false,
2023-01-09 03:00:00,Bangladesh,Bangladesh,BD,436.72,564.07,3.38,3.38,erp.pgcb.gov.bd,false,
2023-01-09 04:00:00,Bangladesh,Bangladesh,BD,432.05,558.98,4.2,4.2,erp.pgcb.gov.bd,false,
2023-01-09 05:00:00,Bangladesh,Bangladesh,BD,428.89,557.82,4.71,4.71,erp.pgcb.gov.bd,false,
2023-01-09 06:00:00,Bangladesh,Bangladesh,BD,427.16,557.94,4.93,4.93,erp.pgcb.gov.bd,false,
2023-01-09 07:00:00,Bangladesh,Bangladesh,BD,427.92,559.01,4.82,4.82,erp.pgcb.gov.bd,false,
2023-01-09 08:00:00,Bangladesh,Bangladesh,BD,431.24,561.38,4.32,4.32,erp.pgcb.gov.bd,false,
2023-01-09 09:00:00,Bangladesh,Bangladesh,BD,436.53,566.84,3.31,3.31,erp.pgcb.gov.bd,false,
2023-01-09 10:00:00,Bangladesh,Bangladesh,BD,438.51,572.04,1.92,1.92,erp.pgcb.gov.bd,false,
2023-01-09 11:00:00,Bangladesh,Bangladesh,BD,438.88,579.4,0.76,0.76,erp.pgcb.gov.bd,false,
2023-01-09 12:00:00,Bangladesh,Bangladesh,BD,436.63,587.92,0.55,0.55,erp.pgcb.gov.bd,false,
2023-01-09 13:00:00,Bangladesh,Bangladesh,BD,435.94,588.49,0.54,0.54,erp.pgcb.gov.bd,false,
2023-01-09 14:00:00,Bangladesh,Bangladesh,BD,441.27,592.36,0.53,0.53,erp.pgcb.gov.bd,false,
2023-01-09 15:00:00,Bangladesh,Bangladesh,BD,448.95,595.58,0.53,0.53,erp.pgcb.gov.bd,false,
2023-01-09 16:00:00,Bangladesh,Bangladesh,BD,454.35,598.82,0.53,0.53,erp.pgcb.gov.bd,false,
2023-01-09 17:00:00,Bangladesh,Bangladesh,BD,458.8,595.02,0.55,0.55,erp.pgcb.gov.bd,false,
2023-01-09 18:00:00,Bangladesh,Bangladesh,BD,471.94,595.94,0.55,0.54,erp.pgcb.gov.bd,false,
2023-01-09 19:00:00,Bangladesh,Bangladesh,BD,466.53,585.02,0.59,0.59,erp.pgcb.gov.bd,false,
2023-01-09 20:00:00,Bangladesh,Bangladesh,BD,465.86,579.66,0.62,0.62,erp.pgcb.gov.bd,false,
2023-01-09 21:00:00,Bangladesh,Bangladesh,BD,467.31,579.08,0.63,0.63,erp.pgcb.gov.bd,false,
2023-01-09 22:00:00,Bangladesh,Bangladesh,BD,467.8,579.7,0.64,0.64,erp.pgcb.gov.bd,false,
2023-01-09 23:00:00,Bangladesh,Bangladesh,BD,466.42,578.17,0.63,0.63,erp.pgcb.gov.bd,false,
