Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Bulgaria,Bulgaria,BG,436.23,476.88,53.5,9.81,eso.bg,false,
2023-01-01 01:00:00,Bulgaria,Bulgaria,BG,409.09,449.13,55.71,10.92,eso.bg,false,
2023-01-01 02:00:00,Bulgaria,Bulgaria,BG,410.26,450.34,55.61,9.77,eso.bg,false,
2023-01-01 03:00:00,Bulgaria,Bulgaria,BG,413.22,453.47,55.31,9.09,eso.bg,false,
2023-01-01 04:00:00,Bulgaria,Bulgaria,BG,413.38,453.55,55.28,8.99,eso.bg,false,
2023-01-01 05:00:00,Bulgaria,Bulgaria,BG,412.79,453.0,55.36,9.05,eso.bg,false,
2023-01-01 06:00:00,Bulgaria,Bulgaria,BG,411.24,451.24,55.59,9.34,eso.bg,false,
2023-01-01 07:00:00,Bulgaria,Bulgaria,BG,397.67,437.46,57.05,12.67,eso.bg,false,
2023-01-01 08:00:00,Bulgaria,Bulgaria,BG,383.22,422.72,58.66,15.96,eso.bg,false,
2023-01-01 09:00:00,Bulgaria,Bulgaria,BG,375.11,414.52,59.49,17.45,eso.bg,false,
2023-01-01 10:00:00,Bulgaria,Bulgaria,BG,373.02,412.44,59.67,18.08,eso.bg,false,
2023-01-01 11:00:00,Bulgaria,Bulgaria,BG,373.77,413.1,59.64,17.7,eso.bg,false,
2023-01-01 12:00:00,Bulgaria,Bulgaria,BG,376.27,415.39,59.42,17.08,eso.bg,false,
2023-01-01 13:00:00,Bulgaria,Bulgaria,BG,389.44,429.17,57.85,14.3,eso.bg,false,
2023-01-01 14:00:00,Bulgaria,Bulgaria,BG,400.01,439.75,56.59,12.01,eso.bg,false,
2023-01-01 15:00:00,Bulgaria,Bulgaria,BG,404.4,443.39,56.52,13.36,eso.bg,false,
2023-01-01 16:00:00,Bulgaria,Bulgaria,BG,382.28,419.8,58.84,17.89,eso.bg,false,
2023-01-01 17:00:00,Bulgaria,Bulgaria,BG,397.2,435.28,57.62,16.84,eso.bg,false,
2023-01-01 18:00:00,Bulgaria,Bulgaria,BG,390.32,428.74,57.84,15.64,eso.bg,false,
2023-01-01 19:00:00,Bulgaria,Bulgaria,BG,398.74,437.73,56.95,14.22,eso.bg,false,
2023-01-01 20:00:00,Bulgaria,Bulgaria,BG,411.68,451.25,55.83,13.04,eso.bg,false,
2023-01-01 21:00:00,Bulgaria,Bulgaria,BG,436.52,477.1,53.69,11.2,eso.bg,false,
2023-01-01 22:00:00,Bulgaria,Bulgaria,BG,439.04,479.86,53.38,10.29,eso.bg,false,
2023-01-01 23:00:00,Bulgaria,Bulgaria,BG,428.67,469.27,54.14,10.49,eso.bg,false,
2023-01-02 00:00:00,Bulgaria,Bulgaria,BG,430.97,471.87,53.87,10.77,eso.bg,false,
2023-01-02 01:00:00,Bulgaria,Bulgaria,BG,425.86,466.6,54.27,10.95,eso.bg,false,
2023-01-02 02:00:00,Bulgaria,Bulgaria,BG,436.28,477.53,53.3,9.78,eso.bg,false,
2023-01-02 03:00:00,Bulgaria,Bulgaria,BG,449.16,490.5,52.32,8.63,eso.bg,false,
2023-01-02 04:00:00,Bulgaria,Bulgaria,BG,445.22,486.39,52.8,9.56,eso.bg,false,
2023-01-02 05:00:00,Bulgaria,Bulgaria,BG,435.08,475.58,53.85,12.12,eso.bg,false,
2023-01-02 06:00:00,Bulgaria,Bulgaria,BG,458.82,500.37,51.87,11.77,eso.bg,false,
2023-01-02 07:00:00,Bulgaria,Bulgaria,BG,453.15,494.26,53.0,15.53,eso.bg,false,
2023-01-02 08:00:00,Bulgaria,Bulgaria,BG,438.03,478.72,54.46,17.04,eso.bg,false,
2023-01-02 09:00:00,Bulgaria,Bulgaria,BG,430.97,471.36,55.12,17.04,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 10:00:00,Bulgaria,Bulgaria,BG,424.83,464.96,55.7,16.97,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 11:00:00,Bulgaria,Bulgaria,BG,417.75,457.81,56.22,16.97,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 12:00:00,Bulgaria,Bulgaria,BG,413.57,453.58,56.54,17.16,eso.bg; Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 13:00:00,Bulgaria,Bulgaria,BG,416.99,457.22,55.86,15.17,eso.bg,false,
2023-01-02 14:00:00,Bulgaria,Bulgaria,BG,428.89,468.51,54.96,15.74,eso.bg,false,
2023-01-02 15:00:00,Bulgaria,Bulgaria,BG,414.51,452.53,56.68,19.88,eso.bg,false,
2023-01-02 16:00:00,Bulgaria,Bulgaria,BG,392.85,429.56,58.89,24.42,eso.bg,false,
2023-01-02 17:00:00,Bulgaria,Bulgaria,BG,394.91,431.65,58.77,24.5,eso.bg,false,
2023-01-02 18:00:00,Bulgaria,Bulgaria,BG,406.37,443.73,57.71,23.36,eso.bg,false,
2023-01-02 19:00:00,Bulgaria,Bulgaria,BG,427.29,465.74,55.72,20.51,eso.bg,false,
2023-01-02 20:00:00,Bulgaria,Bulgaria,BG,429.03,468.0,55.28,18.67,eso.bg,false,
2023-01-02 21:00:00,Bulgaria,Bulgaria,BG,414.82,454.51,55.66,15.7,eso.bg,false,
2023-01-02 22:00:00,Bulgaria,Bulgaria,BG,441.6,482.48,53.25,12.24,eso.bg,false,
2023-01-02 23:00:00,Bulgaria,Bulgaria,BG,422.16,462.26,54.86,12.23,eso.bg,false,
2023-01-03 00:00:00,Bulgaria,Bulgaria,BG,429.11,469.77,54.09,10.88,eso.bg,false,
2023-01-03 01:00:00,Bulgaria,Bulgaria,BG,441.62,482.83,52.95,9.6,eso.bg,false,
2023-01-03 02:00:00,Bulgaria,Bulgaria,BG,453.48,495.13,51.91,8.61,eso.bg,false,
2023-01-03 03:00:00,Bulgaria,Bulgaria,BG,470.15,512.32,50.53,7.8,eso.bg,false,
2023-01-03 04:00:00,Bulgaria,Bulgaria,BG,487.77,530.4,49.12,7.61,eso.bg,false,
2023-01-03 05:00:00,Bulgaria,Bulgaria,BG,512.0,554.87,47.51,8.73,eso.bg,false,
2023-01-03 06:00:00,Bulgaria,Bulgaria,BG,498.64,539.79,49.25,12.89,eso.bg,false,
2023-01-03 07:00:00,Bulgaria,Bulgaria,BG,488.77,529.4,50.63,15.68,eso.bg,false,
2023-01-03 08:00:00,Bulgaria,Bulgaria,BG,491.74,532.87,50.49,15.54,eso.bg,false,
2023-01-03 09:00:00,Bulgaria,Bulgaria,BG,494.94,536.36,50.28,14.86,eso.bg,false,
2023-01-03 10:00:00,Bulgaria,Bulgaria,BG,493.56,535.14,50.31,14.73,eso.bg,false,
2023-01-03 11:00:00,Bulgaria,Bulgaria,BG,490.12,531.57,50.6,14.25,eso.bg,false,
2023-01-03 12:00:00,Bulgaria,Bulgaria,BG,500.75,542.5,49.63,13.41,eso.bg,false,
2023-01-03 13:00:00,Bulgaria,Bulgaria,BG,520.12,562.52,47.65,11.1,eso.bg,false,
2023-01-03 14:00:00,Bulgaria,Bulgaria,BG,551.05,594.35,44.65,7.23,eso.bg,false,
2023-01-03 15:00:00,Bulgaria,Bulgaria,BG,539.39,581.98,45.96,9.94,eso.bg,false,
2023-01-03 16:00:00,Bulgaria,Bulgaria,BG,511.1,551.97,48.96,15.63,eso.bg,false,
2023-01-03 17:00:00,Bulgaria,Bulgaria,BG,504.57,545.03,49.66,16.79,eso.bg,false,
2023-01-03 18:00:00,Bulgaria,Bulgaria,BG,512.32,553.3,48.9,15.54,eso.bg,false,
2023-01-03 19:00:00,Bulgaria,Bulgaria,BG,493.74,534.6,50.12,15.25,eso.bg,false,
2023-01-03 20:00:00,Bulgaria,Bulgaria,BG,501.78,544.18,48.68,12.04,eso.bg,false,
2023-01-03 21:00:00,Bulgaria,Bulgaria,BG,502.82,545.33,48.53,11.19,eso.bg,false,
2023-01-03 22:00:00,Bulgaria,Bulgaria,BG,479.23,521.03,50.46,12.05,eso.bg,false,
2023-01-03 23:00:00,Bulgaria,Bulgaria,BG,487.91,529.59,49.93,10.97,eso.bg,false,
2023-01-04 00:00:00,Bulgaria,Bulgaria,BG,467.1,508.25,51.52,11.6,eso.bg,false,
2023-01-04 01:00:00,Bulgaria,Bulgaria,BG,458.07,498.81,52.33,12.35,eso.bg,false,
2023-01-04 02:00:00,Bulgaria,Bulgaria,BG,461.93,502.54,52.17,12.35,eso.bg,false,
2023-01-04 03:00:00,Bulgaria,Bulgaria,BG,467.37,508.31,51.66,11.48,eso.bg,false,
2023-01-04 04:00:00,Bulgaria,Bulgaria,BG,461.66,502.57,52.04,11.9,eso.bg,false,
2023-01-04 05:00:00,Bulgaria,Bulgaria,BG,520.4,562.88,47.53,10.92,eso.bg,false,
2023-01-04 06:00:00,Bulgaria,Bulgaria,BG,525.8,568.28,47.19,11.89,eso.bg,false,
2023-01-04 07:00:00,Bulgaria,Bulgaria,BG,525.55,568.07,47.46,13.55,eso.bg,false,
2023-01-04 08:00:00,Bulgaria,Bulgaria,BG,516.26,558.41,48.52,14.85,eso.bg,false,
2023-01-04 09:00:00,Bulgaria,Bulgaria,BG,517.44,559.61,48.58,14.98,eso.bg,false,
2023-01-04 10:00:00,Bulgaria,Bulgaria,BG,521.78,564.03,48.28,14.34,eso.bg,false,
2023-01-04 11:00:00,Bulgaria,Bulgaria,BG,532.99,575.47,47.35,13.06,eso.bg,false,
2023-01-04 12:00:00,Bulgaria,Bulgaria,BG,553.56,596.3,45.64,10.44,eso.bg,false,
2023-01-04 13:00:00,Bulgaria,Bulgaria,BG,560.84,604.02,44.69,8.73,eso.bg,false,
2023-01-04 14:00:00,Bulgaria,Bulgaria,BG,570.4,614.2,43.51,7.17,eso.bg,false,
2023-01-04 15:00:00,Bulgaria,Bulgaria,BG,551.2,593.78,45.41,10.27,eso.bg,false,
2023-01-04 16:00:00,Bulgaria,Bulgaria,BG,514.8,555.23,49.07,15.92,eso.bg,false,
2023-01-04 17:00:00,Bulgaria,Bulgaria,BG,522.56,563.16,48.44,15.31,eso.bg,false,
2023-01-04 18:00:00,Bulgaria,Bulgaria,BG,530.21,571.51,47.54,13.73,eso.bg,false,
2023-01-04 19:00:00,Bulgaria,Bulgaria,BG,518.16,559.46,48.31,14.13,eso.bg,false,
2023-01-04 20:00:00,Bulgaria,Bulgaria,BG,530.66,573.3,46.71,10.98,eso.bg,false,
2023-01-04 21:00:00,Bulgaria,Bulgaria,BG,537.41,581.3,45.54,8.55,eso.bg,false,
2023-01-04 22:00:00,Bulgaria,Bulgaria,BG,494.08,537.12,48.71,9.11,eso.bg,false,
2023-01-04 23:00:00,Bulgaria,Bulgaria,BG,503.87,546.59,48.24,8.25,eso.bg,false,
2023-01-05 00:00:00,Bulgaria,Bulgaria,BG,477.5,519.57,50.27,9.29,eso.bg,false,
