Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Bolivia,Bolivia,BO,381.14,329.2,33.71,33.71,cndc.bo,false,
2023-01-01 01:00:00,Bolivia,Bolivia,BO,402.52,346.63,30.0,30.0,cndc.bo,false,
2023-01-01 02:00:00,Bolivia,Bolivia,BO,426.07,365.48,25.9,25.9,cndc.bo,false,
2023-01-01 03:00:00,Bolivia,Bolivia,BO,440.63,377.11,23.37,23.37,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 04:00:00,Bolivia,Bolivia,BO,457.78,390.82,20.39,20.39,cndc.bo,false,
2023-01-01 05:00:00,Bolivia,Bolivia,BO,451.16,385.48,21.54,21.54,cndc.bo,false,
2023-01-01 06:00:00,Bolivia,Bolivia,BO,434.81,372.36,24.38,24.38,cndc.bo,false,
2023-01-01 07:00:00,Bolivia,Bolivia,BO,415.88,357.19,27.67,27.67,cndc.bo,false,
2023-01-01 08:00:00,Bolivia,Bolivia,BO,417.37,358.31,27.41,27.41,cndc.bo,false,
2023-01-01 09:00:00,Bolivia,Bolivia,BO,405.36,348.57,29.5,29.5,cndc.bo,false,
2023-01-01 10:00:00,Bolivia,Bolivia,BO,405.63,348.91,29.46,29.46,cndc.bo,false,
2023-01-01 11:00:00,Bolivia,Bolivia,BO,397.91,343.23,30.8,30.8,cndc.bo,false,
2023-01-01 12:00:00,Bolivia,Bolivia,BO,358.01,311.7,37.74,37.74,cndc.bo,false,
2023-01-01 13:00:00,Bolivia,Bolivia,BO,341.96,299.3,40.53,40.53,cndc.bo,false,
2023-01-01 14:00:00,Bolivia,Bolivia,BO,331.05,290.74,42.43,42.43,cndc.bo,false,
2023-01-01 15:00:00,Bolivia,Bolivia,BO,305.95,271.1,46.79,46.79,cndc.bo,false,
2023-01-01 16:00:00,Bolivia,Bolivia,BO,307.95,272.47,46.44,46.44,cndc.bo,false,
2023-01-01 17:00:00,Bolivia,Bolivia,BO,337.26,295.08,41.35,41.35,cndc.bo,false,
2023-01-01 18:00:00,Bolivia,Bolivia,BO,341.8,298.39,40.56,40.56,cndc.bo,false,
2023-01-01 19:00:00,Bolivia,Bolivia,BO,353.04,306.81,38.6,38.6,cndc.bo,false,
2023-01-01 20:00:00,Bolivia,Bolivia,BO,349.03,303.91,39.3,39.3,cndc.bo,false,
2023-01-01 21:00:00,Bolivia,Bolivia,BO,348.07,302.53,39.47,39.47,cndc.bo,false,
2023-01-01 22:00:00,Bolivia,Bolivia,BO,338.4,294.63,41.15,41.15,cndc.bo,false,
2023-01-01 23:00:00,Bolivia,Bolivia,BO,359.7,311.65,37.44,37.44,cndc.bo,false,
2023-01-02 00:00:00,Bolivia,Bolivia,BO,361.36,313.0,37.15,37.15,cndc.bo,false,
2023-01-02 01:00:00,Bolivia,Bolivia,BO,362.65,313.96,36.93,36.93,cndc.bo,false,
2023-01-02 02:00:00,Bolivia,Bolivia,BO,375.04,323.93,34.78,34.78,cndc.bo,false,
2023-01-02 03:00:00,Bolivia,Bolivia,BO,385.53,332.36,32.95,32.95,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 04:00:00,Bolivia,Bolivia,BO,397.68,342.13,30.84,30.84,cndc.bo,false,
2023-01-02 05:00:00,Bolivia,Bolivia,BO,387.21,333.68,32.66,32.66,cndc.bo,false,
2023-01-02 06:00:00,Bolivia,Bolivia,BO,405.31,348.43,29.51,29.51,cndc.bo,false,
2023-01-02 07:00:00,Bolivia,Bolivia,BO,410.73,352.9,28.57,28.57,cndc.bo,false,
2023-01-02 08:00:00,Bolivia,Bolivia,BO,414.99,356.17,27.83,27.83,cndc.bo,false,
2023-01-02 09:00:00,Bolivia,Bolivia,BO,410.29,352.6,28.64,28.64,cndc.bo,false,
2023-01-02 10:00:00,Bolivia,Bolivia,BO,392.51,338.38,31.74,31.74,cndc.bo,false,
2023-01-02 11:00:00,Bolivia,Bolivia,BO,367.21,318.95,36.14,36.14,cndc.bo,false,
2023-01-02 12:00:00,Bolivia,Bolivia,BO,347.25,302.76,39.61,39.61,cndc.bo,false,
2023-01-02 13:00:00,Bolivia,Bolivia,BO,321.74,284.32,44.04,44.04,cndc.bo,false,
2023-01-02 14:00:00,Bolivia,Bolivia,BO,327.96,288.54,42.96,42.96,cndc.bo,false,
2023-01-02 15:00:00,Bolivia,Bolivia,BO,321.36,283.77,44.11,44.11,cndc.bo,false,
2023-01-02 16:00:00,Bolivia,Bolivia,BO,335.44,293.27,41.66,41.66,cndc.bo,false,
2023-01-02 17:00:00,Bolivia,Bolivia,BO,344.36,300.67,40.11,40.11,cndc.bo,false,
2023-01-02 18:00:00,Bolivia,Bolivia,BO,342.72,299.12,40.4,40.4,cndc.bo,false,
2023-01-02 19:00:00,Bolivia,Bolivia,BO,347.38,302.7,39.59,39.59,cndc.bo,false,
2023-01-02 20:00:00,Bolivia,Bolivia,BO,353.21,307.64,38.57,38.57,cndc.bo,false,
2023-01-02 21:00:00,Bolivia,Bolivia,BO,346.76,302.3,39.69,39.69,cndc.bo,false,
2023-01-02 22:00:00,Bolivia,Bolivia,BO,344.68,300.32,40.06,40.06,cndc.bo,false,
2023-01-02 23:00:00,Bolivia,Bolivia,BO,359.91,312.53,37.41,37.41,cndc.bo,false,
2023-01-03 00:00:00,Bolivia,Bolivia,BO,377.28,326.47,34.39,34.39,cndc.bo,false,
2023-01-03 01:00:00,Bolivia,Bolivia,BO,375.43,324.98,34.71,34.71,cndc.bo,false,
2023-01-03 02:00:00,Bolivia,Bolivia,BO,385.5,333.01,32.96,32.96,cndc.bo,false,
2023-01-03 03:00:00,Bolivia,Bolivia,BO,392.84,338.87,31.68,31.68,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 04:00:00,Bolivia,Bolivia,BO,401.51,345.79,30.17,30.17,cndc.bo,false,
2023-01-03 05:00:00,Bolivia,Bolivia,BO,394.68,340.39,31.36,31.36,cndc.bo,false,
2023-01-03 06:00:00,Bolivia,Bolivia,BO,373.73,323.58,35.0,35.0,cndc.bo,false,
2023-01-03 07:00:00,Bolivia,Bolivia,BO,383.56,331.44,33.29,33.29,cndc.bo,false,
2023-01-03 08:00:00,Bolivia,Bolivia,BO,383.81,331.63,33.25,33.25,cndc.bo,false,
2023-01-03 09:00:00,Bolivia,Bolivia,BO,389.85,336.35,32.2,32.2,cndc.bo,false,
2023-01-03 10:00:00,Bolivia,Bolivia,BO,395.09,340.95,31.29,31.29,cndc.bo,false,
2023-01-03 11:00:00,Bolivia,Bolivia,BO,382.17,331.23,33.54,33.54,cndc.bo,false,
2023-01-03 12:00:00,Bolivia,Bolivia,BO,379.56,329.91,33.99,33.99,cndc.bo,false,
2023-01-03 13:00:00,Bolivia,Bolivia,BO,375.66,326.79,34.67,34.67,cndc.bo,false,
2023-01-03 14:00:00,Bolivia,Bolivia,BO,366.52,320.01,36.26,36.26,cndc.bo,false,
2023-01-03 15:00:00,Bolivia,Bolivia,BO,364.0,317.64,36.7,36.7,cndc.bo,false,
2023-01-03 16:00:00,Bolivia,Bolivia,BO,369.96,322.26,35.66,35.66,cndc.bo,false,
2023-01-03 17:00:00,Bolivia,Bolivia,BO,363.78,317.57,36.73,36.73,cndc.bo,false,
2023-01-03 18:00:00,Bolivia,Bolivia,BO,375.54,326.26,34.69,34.69,cndc.bo,false,
2023-01-03 19:00:00,Bolivia,Bolivia,BO,398.38,344.03,30.72,30.72,cndc.bo,false,
2023-01-03 20:00:00,Bolivia,Bolivia,BO,404.07,348.52,29.73,29.73,cndc.bo,false,
2023-01-03 21:00:00,Bolivia,Bolivia,BO,410.56,353.14,28.6,28.6,cndc.bo,false,
2023-01-03 22:00:00,Bolivia,Bolivia,BO,378.86,327.68,34.11,34.11,cndc.bo,false,
2023-01-03 23:00:00,Bolivia,Bolivia,BO,381.02,329.42,33.74,33.74,cndc.bo,false,
2023-01-04 00:00:00,Bolivia,Bolivia,BO,383.31,331.25,33.34,33.34,cndc.bo,false,
2023-01-04 01:00:00,Bolivia,Bolivia,BO,395.64,341.0,31.19,31.19,cndc.bo,false,
2023-01-04 02:00:00,Bolivia,Bolivia,BO,394.83,340.23,31.33,31.33,cndc.bo,false,
2023-01-04 03:00:00,Bolivia,Bolivia,BO,387.82,334.32,32.55,32.55,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 04:00:00,Bolivia,Bolivia,BO,379.39,327.21,34.02,34.02,cndc.bo,false,
2023-01-04 05:00:00,Bolivia,Bolivia,BO,379.34,327.07,34.03,34.03,cndc.bo,false,
2023-01-04 06:00:00,Bolivia,Bolivia,BO,365.0,315.84,36.52,36.52,cndc.bo,false,
2023-01-04 07:00:00,Bolivia,Bolivia,BO,327.27,285.7,43.08,43.08,cndc.bo,false,
2023-01-04 08:00:00,Bolivia,Bolivia,BO,324.31,283.46,43.6,43.6,cndc.bo,false,
2023-01-04 09:00:00,Bolivia,Bolivia,BO,324.48,283.11,43.57,43.57,cndc.bo,false,
2023-01-04 10:00:00,Bolivia,Bolivia,BO,342.88,298.12,40.37,40.37,cndc.bo,false,
2023-01-04 11:00:00,Bolivia,Bolivia,BO,355.06,308.68,38.25,38.25,cndc.bo,false,
2023-01-04 12:00:00,Bolivia,Bolivia,BO,353.4,307.87,38.54,38.54,cndc.bo,false,
2023-01-04 13:00:00,Bolivia,Bolivia,BO,341.02,298.82,40.69,40.69,cndc.bo,false,
2023-01-04 14:00:00,Bolivia,Bolivia,BO,336.01,294.57,41.56,41.56,cndc.bo,false,
2023-01-04 15:00:00,Bolivia,Bolivia,BO,343.44,300.43,40.27,40.27,cndc.bo,false,
2023-01-04 16:00:00,Bolivia,Bolivia,BO,339.1,297.82,41.03,41.03,cndc.bo,false,
2023-01-04 17:00:00,Bolivia,Bolivia,BO,350.71,306.78,39.01,39.01,cndc.bo,false,
2023-01-04 18:00:00,Bolivia,Bolivia,BO,364.2,317.08,36.66,36.66,cndc.bo,false,
2023-01-04 19:00:00,Bolivia,Bolivia,BO,383.25,331.94,33.35,33.35,cndc.bo,false,
2023-01-04 20:00:00,Bolivia,Bolivia,BO,392.93,339.3,31.66,31.66,cndc.bo,false,
2023-01-04 21:00:00,Bolivia,Bolivia,BO,391.89,338.28,31.84,31.84,cndc.bo,false,
2023-01-04 22:00:00,Bolivia,Bolivia,BO,379.72,328.42,33.96,33.96,cndc.bo,false,
2023-01-04 23:00:00,Bolivia,Bolivia,BO,386.68,333.92,32.75,32.75,cndc.bo,false,
2023-01-05 00:00:00,Bolivia,Bolivia,BO,394.01,339.87,31.48,31.48,cndc.bo,false,
2023-01-05 01:00:00,Bolivia,Bolivia,BO,409.38,352.22,28.8,28.8,cndc.bo,false,
2023-01-05 02:00:00,Bolivia,Bolivia,BO,399.07,343.94,30.6,30.6,cndc.bo,false,
2023-01-05 03:00:00,Bolivia,Bolivia,BO,391.06,337.26,31.99,31.99,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 04:00:00,Bolivia,Bolivia,BO,377.58,326.37,34.33,34.33,cndc.bo,false,
2023-01-05 05:00:00,Bolivia,Bolivia,BO,359.2,311.36,37.53,37.53,cndc.bo,false,
2023-01-05 06:00:00,Bolivia,Bolivia,BO,350.66,304.3,39.02,39.02,cndc.bo,false,
2023-01-05 07:00:00,Bolivia,Bolivia,BO,345.42,300.07,39.93,39.93,cndc.bo,false,
2023-01-05 08:00:00,Bolivia,Bolivia,BO,346.19,300.78,39.79,39.79,cndc.bo,false,
2023-01-05 09:00:00,Bolivia,Bolivia,BO,344.77,299.6,40.04,40.04,cndc.bo,false,
2023-01-05 10:00:00,Bolivia,Bolivia,BO,355.08,308.05,38.25,38.25,cndc.bo,false,
2023-01-05 11:00:00,Bolivia,Bolivia,BO,371.5,322.23,35.39,35.39,cndc.bo,false,
