Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Brazil,North-East Brazil,BR-NE,19.86,38.53,96.55,96.55,ons.org.br,false,
2023-01-01 01:00:00,Brazil,North-East Brazil,BR-NE,20.53,39.11,96.43,96.43,ons.org.br,false,
2023-01-01 02:00:00,Brazil,North-East Brazil,BR-NE,20.37,38.7,96.46,96.46,ons.org.br,false,
2023-01-01 03:00:00,Brazil,North-East Brazil,BR-NE,21.7,39.9,96.23,96.23,ons.org.br,false,
2023-01-01 04:00:00,Brazil,North-East Brazil,BR-NE,22.69,40.93,96.05,96.05,ons.org.br,false,
2023-01-01 05:00:00,Brazil,North-East Brazil,BR-NE,23.88,41.84,95.85,95.85,ons.org.br,false,
2023-01-01 06:00:00,Brazil,North-East Brazil,BR-NE,24.51,42.47,95.74,95.74,ons.org.br,false,
2023-01-01 07:00:00,Brazil,North-East Brazil,BR-NE,24.99,43.06,95.65,95.65,ons.org.br,false,
2023-01-01 08:00:00,Brazil,North-East Brazil,BR-NE,25.71,44.02,95.53,95.53,ons.org.br,false,
2023-01-01 09:00:00,Brazil,North-East Brazil,BR-NE,26.31,46.68,95.42,95.42,ons.org.br,false,
2023-01-01 10:00:00,Brazil,North-East Brazil,BR-NE,23.3,46.33,95.95,95.95,ons.org.br,false,
2023-01-01 11:00:00,Brazil,North-East Brazil,BR-NE,22.57,45.85,96.07,96.07,ons.org.br,false,
2023-01-01 12:00:00,Brazil,North-East Brazil,BR-NE,24.46,48.63,95.75,95.75,ons.org.br,false,
2023-01-01 13:00:00,Brazil,North-East Brazil,BR-NE,25.97,50.5,95.48,95.48,ons.org.br,false,
2023-01-01 14:00:00,Brazil,North-East Brazil,BR-NE,26.31,51.26,95.42,95.42,ons.org.br,false,
2023-01-01 15:00:00,Brazil,North-East Brazil,BR-NE,26.69,52.38,95.36,95.36,ons.org.br,false,
2023-01-01 16:00:00,Brazil,North-East Brazil,BR-NE,26.92,52.94,95.32,95.32,ons.org.br,false,
2023-01-01 17:00:00,Brazil,North-East Brazil,BR-NE,26.03,51.85,95.47,95.47,ons.org.br,false,
2023-01-01 18:00:00,Brazil,North-East Brazil,BR-NE,25.4,50.69,95.58,95.58,ons.org.br,false,
2023-01-01 19:00:00,Brazil,North-East Brazil,BR-NE,25.89,50.58,95.5,95.5,ons.org.br,false,
2023-01-01 20:00:00,Brazil,North-East Brazil,BR-NE,27.78,50.56,95.17,95.17,ons.org.br,false,
2023-01-01 21:00:00,Brazil,North-East Brazil,BR-NE,28.13,49.65,95.11,95.11,ons.org.br,false,
2023-01-01 22:00:00,Brazil,North-East Brazil,BR-NE,24.65,45.04,95.71,95.71,ons.org.br,false,
2023-01-01 23:00:00,Brazil,North-East Brazil,BR-NE,23.49,43.4,95.91,95.91,ons.org.br,false,
2023-01-02 00:00:00,Brazil,North-East Brazil,BR-NE,23.52,43.31,95.91,95.91,ons.org.br,false,
2023-01-02 01:00:00,Brazil,North-East Brazil,BR-NE,23.12,42.69,95.98,95.98,ons.org.br,false,
2023-01-02 02:00:00,Brazil,North-East Brazil,BR-NE,22.39,41.65,96.11,96.11,ons.org.br,false,
2023-01-02 03:00:00,Brazil,North-East Brazil,BR-NE,23.55,42.84,95.9,95.9,ons.org.br,false,
2023-01-02 04:00:00,Brazil,North-East Brazil,BR-NE,25.34,44.73,95.59,95.59,ons.org.br,false,
2023-01-02 05:00:00,Brazil,North-East Brazil,BR-NE,26.7,46.18,95.36,95.36,ons.org.br,false,
2023-01-02 06:00:00,Brazil,North-East Brazil,BR-NE,27.48,47.03,95.22,95.22,ons.org.br,false,
2023-01-02 07:00:00,Brazil,North-East Brazil,BR-NE,29.12,49.1,94.94,94.94,ons.org.br,false,
2023-01-02 08:00:00,Brazil,North-East Brazil,BR-NE,30.17,50.46,94.75,94.75,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 09:00:00,Brazil,North-East Brazil,BR-NE,32.35,53.25,94.37,94.37,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 10:00:00,Brazil,North-East Brazil,BR-NE,31.91,52.68,94.45,94.45,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 11:00:00,Brazil,North-East Brazil,BR-NE,31.81,52.56,94.47,94.47,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 12:00:00,Brazil,North-East Brazil,BR-NE,28.92,52.1,94.97,94.97,ons.org.br; Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 13:00:00,Brazil,North-East Brazil,BR-NE,27.26,53.79,95.26,95.26,ons.org.br,false,
2023-01-02 14:00:00,Brazil,North-East Brazil,BR-NE,32.42,60.89,94.36,94.36,ons.org.br,false,
2023-01-02 15:00:00,Brazil,North-East Brazil,BR-NE,29.32,57.5,94.9,94.9,ons.org.br,false,
2023-01-02 16:00:00,Brazil,North-East Brazil,BR-NE,28.35,56.08,95.07,95.07,ons.org.br,false,
2023-01-02 17:00:00,Brazil,North-East Brazil,BR-NE,27.78,54.47,95.17,95.17,ons.org.br,false,
2023-01-02 18:00:00,Brazil,North-East Brazil,BR-NE,28.41,54.79,95.06,95.06,ons.org.br,false,
2023-01-02 19:00:00,Brazil,North-East Brazil,BR-NE,27.72,52.62,95.18,95.18,ons.org.br,false,
2023-01-02 20:00:00,Brazil,North-East Brazil,BR-NE,28.71,52.28,95.01,95.01,ons.org.br,false,
2023-01-02 21:00:00,Brazil,North-East Brazil,BR-NE,30.38,53.0,94.72,94.72,ons.org.br,false,
2023-01-02 22:00:00,Brazil,North-East Brazil,BR-NE,27.14,48.69,95.28,95.28,ons.org.br,false,
2023-01-02 23:00:00,Brazil,North-East Brazil,BR-NE,25.4,46.39,95.58,95.58,ons.org.br,false,
2023-01-03 00:00:00,Brazil,North-East Brazil,BR-NE,25.09,45.9,95.64,95.64,ons.org.br,false,
2023-01-03 01:00:00,Brazil,North-East Brazil,BR-NE,25.83,46.91,95.51,95.51,ons.org.br,false,
2023-01-03 02:00:00,Brazil,North-East Brazil,BR-NE,26.05,46.98,95.47,95.47,ons.org.br,false,
2023-01-03 03:00:00,Brazil,North-East Brazil,BR-NE,29.39,50.61,94.89,94.89,ons.org.br,false,
2023-01-03 04:00:00,Brazil,North-East Brazil,BR-NE,33.16,54.88,94.23,94.23,ons.org.br,false,
2023-01-03 05:00:00,Brazil,North-East Brazil,BR-NE,34.56,56.25,93.99,93.99,ons.org.br,false,
2023-01-03 06:00:00,Brazil,North-East Brazil,BR-NE,37.61,60.22,93.46,93.43,ons.org.br,false,
2023-01-03 07:00:00,Brazil,North-East Brazil,BR-NE,39.19,62.51,93.18,93.17,ons.org.br,false,
2023-01-03 08:00:00,Brazil,North-East Brazil,BR-NE,39.84,63.36,93.07,93.07,ons.org.br,false,
2023-01-03 09:00:00,Brazil,North-East Brazil,BR-NE,37.04,61.02,93.56,93.56,ons.org.br,false,
2023-01-03 10:00:00,Brazil,North-East Brazil,BR-NE,32.9,58.24,94.28,94.28,ons.org.br,false,
2023-01-03 11:00:00,Brazil,North-East Brazil,BR-NE,29.83,54.68,94.81,94.81,ons.org.br,false,
2023-01-03 12:00:00,Brazil,North-East Brazil,BR-NE,28.59,54.54,95.03,95.03,ons.org.br,false,
2023-01-03 13:00:00,Brazil,North-East Brazil,BR-NE,27.78,54.66,95.17,95.17,ons.org.br,false,
2023-01-03 14:00:00,Brazil,North-East Brazil,BR-NE,28.03,54.97,95.13,95.13,ons.org.br,false,
2023-01-03 15:00:00,Brazil,North-East Brazil,BR-NE,28.52,55.74,95.04,95.04,ons.org.br,false,
2023-01-03 16:00:00,Brazil,North-East Brazil,BR-NE,27.73,53.68,95.18,95.18,ons.org.br,false,
2023-01-03 17:00:00,Brazil,North-East Brazil,BR-NE,27.92,53.2,95.14,95.14,ons.org.br,false,
2023-01-03 18:00:00,Brazil,North-East Brazil,BR-NE,28.28,52.62,95.08,95.08,ons.org.br,false,
2023-01-03 19:00:00,Brazil,North-East Brazil,BR-NE,27.46,50.69,95.22,95.22,ons.org.br,false,
2023-01-03 20:00:00,Brazil,North-East Brazil,BR-NE,26.77,48.19,95.34,95.34,ons.org.br,false,
2023-01-03 21:00:00,Brazil,North-East Brazil,BR-NE,25.29,45.85,95.6,95.6,ons.org.br,false,
2023-01-03 22:00:00,Brazil,North-East Brazil,BR-NE,23.85,44.26,95.85,95.85,ons.org.br,false,
2023-01-03 23:00:00,Brazil,North-East Brazil,BR-NE,24.66,45.27,95.71,95.71,ons.org.br,false,
2023-01-04 00:00:00,Brazil,North-East Brazil,BR-NE,25.46,46.33,95.57,95.57,ons.org.br,false,
2023-01-04 01:00:00,Brazil,North-East Brazil,BR-NE,25.3,46.27,95.6,95.6,ons.org.br,false,
2023-01-04 02:00:00,Brazil,North-East Brazil,BR-NE,26.16,47.22,95.45,95.45,ons.org.br,false,
2023-01-04 03:00:00,Brazil,North-East Brazil,BR-NE,30.41,51.73,94.71,94.71,ons.org.br,false,
2023-01-04 04:00:00,Brazil,North-East Brazil,BR-NE,32.92,54.47,94.27,94.27,ons.org.br,false,
2023-01-04 05:00:00,Brazil,North-East Brazil,BR-NE,35.46,57.4,93.83,93.81,ons.org.br,false,
2023-01-04 06:00:00,Brazil,North-East Brazil,BR-NE,34.88,56.52,93.93,93.93,ons.org.br,false,
2023-01-04 07:00:00,Brazil,North-East Brazil,BR-NE,35.35,57.12,93.85,93.85,ons.org.br,false,
2023-01-04 08:00:00,Brazil,North-East Brazil,BR-NE,36.62,58.83,93.63,93.63,ons.org.br,false,
2023-01-04 09:00:00,Brazil,North-East Brazil,BR-NE,35.68,59.43,93.79,93.79,ons.org.br,false,
2023-01-04 10:00:00,Brazil,North-East Brazil,BR-NE,33.35,59.22,94.2,94.2,ons.org.br,false,
2023-01-04 11:00:00,Brazil,North-East Brazil,BR-NE,30.93,57.53,94.62,94.62,ons.org.br,false,
2023-01-04 12:00:00,Brazil,North-East Brazil,BR-NE,31.23,58.96,94.57,94.57,ons.org.br,false,
2023-01-04 13:00:00,Brazil,North-East Brazil,BR-NE,29.33,57.4,94.9,94.9,ons.org.br,false,
2023-01-04 14:00:00,Brazil,North-East Brazil,BR-NE,26.98,54.58,95.31,95.31,ons.org.br,false,
2023-01-04 15:00:00,Brazil,North-East Brazil,BR-NE,26.49,53.82,95.39,95.39,ons.org.br,false,
2023-01-04 16:00:00,Brazil,North-East Brazil,BR-NE,25.54,52.65,95.56,95.56,ons.org.br,false,
2023-01-04 17:00:00,Brazil,North-East Brazil,BR-NE,25.02,51.37,95.65,95.65,ons.org.br,false,
2023-01-04 18:00:00,Brazil,North-East Brazil,BR-NE,24.86,50.4,95.68,95.68,ons.org.br,false,
2023-01-04 19:00:00,Brazil,North-East Brazil,BR-NE,25.6,49.92,95.55,95.55,ons.org.br,false,
2023-01-04 20:00:00,Brazil,North-East Brazil,BR-NE,27.35,49.56,95.24,95.24,ons.org.br,false,
2023-01-04 21:00:00,Brazil,North-East Brazil,BR-NE,28.7,50.19,95.01,95.01,ons.org.br,false,
2023-01-04 22:00:00,Brazil,North-East Brazil,BR-NE,27.44,48.66,95.23,95.23,ons.org.br,false,
