Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Brazil,North Brazil,BR-N,35.94,62.84,93.75,93.75,ons.org.br,false,
2023-01-01 01:00:00,Brazil,North Brazil,BR-N,37.12,64.05,93.54,93.54,ons.org.br,false,
2023-01-01 02:00:00,Brazil,North Brazil,BR-N,38.38,65.2,93.32,93.32,ons.org.br,false,
2023-01-01 03:00:00,Brazil,North Brazil,BR-N,42.16,69.38,92.67,92.67,ons.org.br,false,
2023-01-01 04:00:00,Brazil,North Brazil,BR-N,42.38,69.88,92.63,92.63,ons.org.br,false,
2023-01-01 05:00:00,Brazil,North Brazil,BR-N,44.06,71.94,92.34,92.34,ons.org.br,false,
2023-01-01 06:00:00,Brazil,North Brazil,BR-N,45.22,73.45,92.14,92.14,ons.org.br,false,
2023-01-01 07:00:00,Brazil,North Brazil,BR-N,47.01,75.54,91.82,91.82,ons.org.br,false,
2023-01-01 08:00:00,Brazil,North Brazil,BR-N,51.93,80.98,90.97,90.97,ons.org.br,false,
2023-01-01 09:00:00,Brazil,North Brazil,BR-N,54.87,84.9,90.46,90.46,ons.org.br,false,
2023-01-01 10:00:00,Brazil,North Brazil,BR-N,55.35,86.17,90.37,90.37,ons.org.br,false,
2023-01-01 11:00:00,Brazil,North Brazil,BR-N,54.13,84.77,90.59,90.59,Electricity Maps Estimation,false,
2023-01-01 12:00:00,Brazil,North Brazil,BR-N,57.24,88.66,90.05,90.05,Electricity Maps Estimation,false,
2023-01-01 13:00:00,Brazil,North Brazil,BR-N,57.91,89.51,89.93,89.93,Electricity Maps Estimation,false,
2023-01-01 14:00:00,Brazil,North Brazil,BR-N,58.21,90.14,89.88,89.88,Electricity Maps Estimation,false,
2023-01-01 15:00:00,Brazil,North Brazil,BR-N,55.32,87.2,90.38,90.38,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 16:00:00,Brazil,North Brazil,BR-N,55.06,87.04,90.42,90.42,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 17:00:00,Brazil,North Brazil,BR-N,57.52,89.91,90.0,90.0,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 18:00:00,Brazil,North Brazil,BR-N,58.05,90.37,89.9,89.9,Electricity Maps Estimation; ons.org.br,false,
2023-01-01 19:00:00,Brazil,North Brazil,BR-N,54.78,86.48,90.47,90.47,ons.org.br,false,
2023-01-01 20:00:00,Brazil,North Brazil,BR-N,49.78,80.7,91.34,91.34,ons.org.br,false,
2023-01-01 21:00:00,Brazil,North Brazil,BR-N,41.43,71.55,92.79,92.79,ons.org.br,false,
2023-01-01 22:00:00,Brazil,North Brazil,BR-N,37.34,66.35,93.51,93.51,ons.org.br,false,
2023-01-01 23:00:00,Brazil,North Brazil,BR-N,37.17,65.8,93.54,93.54,ons.org.br,false,
2023-01-02 00:00:00,Brazil,North Brazil,BR-N,37.56,66.01,93.47,93.47,ons.org.br,false,
2023-01-02 01:00:00,Brazil,North Brazil,BR-N,40.15,68.6,93.02,93.02,ons.org.br,false,
2023-01-02 02:00:00,Brazil,North Brazil,BR-N,43.81,72.35,92.38,92.38,ons.org.br,false,
2023-01-02 03:00:00,Brazil,North Brazil,BR-N,44.78,73.52,92.21,92.21,ons.org.br,false,
2023-01-02 04:00:00,Brazil,North Brazil,BR-N,46.32,75.63,91.94,91.94,ons.org.br,false,
2023-01-02 05:00:00,Brazil,North Brazil,BR-N,47.71,77.61,91.7,91.7,ons.org.br,false,
2023-01-02 06:00:00,Brazil,North Brazil,BR-N,48.17,78.25,91.62,91.62,ons.org.br,false,
2023-01-02 07:00:00,Brazil,North Brazil,BR-N,50.93,81.83,91.14,91.14,ons.org.br,false,
2023-01-02 08:00:00,Brazil,North Brazil,BR-N,55.64,87.53,90.32,90.32,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 09:00:00,Brazil,North Brazil,BR-N,61.29,94.0,89.34,89.34,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 10:00:00,Brazil,North Brazil,BR-N,63.02,95.89,89.04,89.04,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 11:00:00,Brazil,North Brazil,BR-N,64.81,97.84,88.73,88.73,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 12:00:00,Brazil,North Brazil,BR-N,65.32,99.06,88.64,88.64,Electricity Maps Estimation; ons.org.br,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 13:00:00,Brazil,North Brazil,BR-N,65.54,100.39,88.6,88.6,ons.org.br,false,
2023-01-02 14:00:00,Brazil,North Brazil,BR-N,69.62,105.59,87.89,87.89,ons.org.br,false,
2023-01-02 15:00:00,Brazil,North Brazil,BR-N,68.51,104.25,88.09,88.09,ons.org.br,false,
2023-01-02 16:00:00,Brazil,North Brazil,BR-N,66.08,101.36,88.51,88.51,ons.org.br,false,
2023-01-02 17:00:00,Brazil,North Brazil,BR-N,65.66,100.78,88.58,88.58,ons.org.br,false,
2023-01-02 18:00:00,Brazil,North Brazil,BR-N,66.61,101.93,88.42,88.42,ons.org.br,false,
2023-01-02 19:00:00,Brazil,North Brazil,BR-N,66.72,101.94,88.4,88.4,ons.org.br,false,
2023-01-02 20:00:00,Brazil,North Brazil,BR-N,67.09,102.22,88.33,88.33,ons.org.br,false,
2023-01-02 21:00:00,Brazil,North Brazil,BR-N,68.01,103.41,88.17,88.17,ons.org.br,false,
2023-01-02 22:00:00,Brazil,North Brazil,BR-N,61.3,95.16,89.34,89.34,ons.org.br,false,
2023-01-02 23:00:00,Brazil,North Brazil,BR-N,58.61,91.64,89.81,89.81,ons.org.br,false,
2023-01-03 00:00:00,Brazil,North Brazil,BR-N,58.67,91.62,89.8,89.8,ons.org.br,false,
2023-01-03 01:00:00,Brazil,North Brazil,BR-N,60.07,93.37,89.55,89.55,ons.org.br,false,
2023-01-03 02:00:00,Brazil,North Brazil,BR-N,63.11,96.85,89.03,89.03,ons.org.br,false,
2023-01-03 03:00:00,Brazil,North Brazil,BR-N,69.62,104.84,87.89,87.89,ons.org.br,false,
2023-01-03 04:00:00,Brazil,North Brazil,BR-N,75.77,112.46,86.82,86.82,ons.org.br,false,
2023-01-03 05:00:00,Brazil,North Brazil,BR-N,78.45,115.71,86.36,86.36,ons.org.br,false,
2023-01-03 06:00:00,Brazil,North Brazil,BR-N,77.42,114.72,86.54,86.54,ons.org.br,false,
2023-01-03 07:00:00,Brazil,North Brazil,BR-N,72.62,109.12,87.37,87.37,ons.org.br,false,
2023-01-03 08:00:00,Brazil,North Brazil,BR-N,71.69,108.07,87.53,87.53,ons.org.br,false,
2023-01-03 09:00:00,Brazil,North Brazil,BR-N,71.92,108.24,87.49,87.49,ons.org.br,false,
2023-01-03 10:00:00,Brazil,North Brazil,BR-N,62.78,97.37,89.08,89.08,ons.org.br,false,
2023-01-03 11:00:00,Brazil,North Brazil,BR-N,61.28,95.49,89.34,89.34,ons.org.br,false,
2023-01-03 12:00:00,Brazil,North Brazil,BR-N,61.99,96.38,89.22,89.22,ons.org.br,false,
2023-01-03 13:00:00,Brazil,North Brazil,BR-N,62.68,97.32,89.1,89.1,ons.org.br,false,
2023-01-03 14:00:00,Brazil,North Brazil,BR-N,63.5,98.32,88.96,88.96,ons.org.br,false,
2023-01-03 15:00:00,Brazil,North Brazil,BR-N,68.4,104.04,88.11,88.11,ons.org.br,false,
2023-01-03 16:00:00,Brazil,North Brazil,BR-N,62.32,96.73,89.16,89.16,ons.org.br,false,
2023-01-03 17:00:00,Brazil,North Brazil,BR-N,61.32,95.62,89.34,89.34,ons.org.br,false,
2023-01-03 18:00:00,Brazil,North Brazil,BR-N,62.72,97.31,89.09,89.09,ons.org.br,false,
2023-01-03 19:00:00,Brazil,North Brazil,BR-N,66.13,101.17,88.5,88.5,ons.org.br,false,
2023-01-03 20:00:00,Brazil,North Brazil,BR-N,70.51,105.82,87.74,87.74,ons.org.br,false,
2023-01-03 21:00:00,Brazil,North Brazil,BR-N,71.19,106.42,87.62,87.62,ons.org.br,false,
2023-01-03 22:00:00,Brazil,North Brazil,BR-N,69.57,104.38,87.9,87.9,ons.org.br,false,
2023-01-03 23:00:00,Brazil,North Brazil,BR-N,70.23,105.2,87.79,87.79,ons.org.br,false,
