Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Brazil,South Brazil,BR-S,17.47,43.27,96.96,95.41,ons.org.br,false,
2023-01-01 01:00:00,Brazil,South Brazil,BR-S,25.18,51.89,95.62,93.1,ons.org.br,false,
2023-01-01 02:00:00,Brazil,South Brazil,BR-S,28.32,55.37,95.08,92.14,ons.org.br,false,
2023-01-01 03:00:00,Brazil,South Brazil,BR-S,33.14,60.94,94.24,90.84,ons.org.br,false,
2023-01-01 04:00:00,Brazil,South Brazil,BR-S,31.03,58.61,94.6,91.36,ons.org.br,false,
2023-01-01 05:00:00,Brazil,South Brazil,BR-S,27.27,54.43,95.26,92.46,ons.org.br,false,
2023-01-01 06:00:00,Brazil,South Brazil,BR-S,27.65,54.92,95.19,92.32,ons.org.br,false,
2023-01-01 07:00:00,Brazil,South Brazil,BR-S,29.19,56.74,94.92,91.87,ons.org.br,false,
2023-01-01 08:00:00,Brazil,South Brazil,BR-S,31.51,59.44,94.52,91.17,ons.org.br,false,
2023-01-01 09:00:00,Brazil,South Brazil,BR-S,39.23,68.58,93.18,88.89,ons.org.br,false,
2023-01-01 10:00:00,Brazil,South Brazil,BR-S,42.84,73.17,92.55,87.83,ons.org.br,false,
2023-01-01 11:00:00,Brazil,South Brazil,BR-S,45.33,76.35,92.12,87.21,ons.org.br,false,
2023-01-01 12:00:00,Brazil,South Brazil,BR-S,44.62,75.74,92.24,87.35,ons.org.br,false,
2023-01-01 13:00:00,Brazil,South Brazil,BR-S,42.65,73.42,92.58,87.79,ons.org.br,false,
2023-01-01 14:00:00,Brazil,South Brazil,BR-S,40.11,70.23,93.02,88.5,ons.org.br,false,
2023-01-01 15:00:00,Brazil,South Brazil,BR-S,38.16,67.56,93.36,89.1,ons.org.br,false,
2023-01-01 16:00:00,Brazil,South Brazil,BR-S,36.81,65.61,93.6,89.4,ons.org.br,false,
2023-01-01 17:00:00,Brazil,South Brazil,BR-S,35.76,64.23,93.78,89.74,ons.org.br,false,
2023-01-01 18:00:00,Brazil,South Brazil,BR-S,34.45,62.46,94.01,90.18,ons.org.br,false,
2023-01-01 19:00:00,Brazil,South Brazil,BR-S,32.53,60.09,94.34,90.77,ons.org.br,false,
2023-01-01 20:00:00,Brazil,South Brazil,BR-S,28.57,55.4,95.03,91.94,ons.org.br,false,
2023-01-01 21:00:00,Brazil,South Brazil,BR-S,24.67,50.97,95.71,93.05,ons.org.br,false,
2023-01-01 22:00:00,Brazil,South Brazil,BR-S,19.16,44.52,96.67,94.76,ons.org.br,false,
2023-01-01 23:00:00,Brazil,South Brazil,BR-S,15.93,40.94,97.23,95.71,ons.org.br,false,
2023-01-02 00:00:00,Brazil,South Brazil,BR-S,16.32,41.5,97.16,95.64,ons.org.br,false,
2023-01-02 01:00:00,Brazil,South Brazil,BR-S,16.42,41.59,97.14,95.59,ons.org.br,false,
2023-01-02 02:00:00,Brazil,South Brazil,BR-S,18.82,44.24,96.73,94.85,ons.org.br,false,
2023-01-02 03:00:00,Brazil,South Brazil,BR-S,24.53,50.58,95.73,93.33,ons.org.br,false,
2023-01-02 04:00:00,Brazil,South Brazil,BR-S,32.47,59.81,94.35,91.47,ons.org.br,false,
2023-01-02 05:00:00,Brazil,South Brazil,BR-S,37.58,66.04,93.46,90.39,ons.org.br,false,
2023-01-02 06:00:00,Brazil,South Brazil,BR-S,44.53,74.51,92.26,88.94,ons.org.br,false,
2023-01-02 07:00:00,Brazil,South Brazil,BR-S,45.7,76.05,92.05,88.92,ons.org.br,false,
2023-01-02 08:00:00,Brazil,South Brazil,BR-S,44.0,74.21,92.35,89.43,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 09:00:00,Brazil,South Brazil,BR-S,44.75,75.27,92.22,89.33,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 10:00:00,Brazil,South Brazil,BR-S,42.91,73.33,92.54,89.82,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 11:00:00,Brazil,South Brazil,BR-S,39.83,69.84,93.07,90.56,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 12:00:00,Brazil,South Brazil,BR-S,39.24,69.31,93.18,90.71,ons.org.br; Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 13:00:00,Brazil,South Brazil,BR-S,37.87,67.84,93.41,91.06,ons.org.br,false,
2023-01-02 14:00:00,Brazil,South Brazil,BR-S,36.68,66.76,93.62,91.27,ons.org.br,false,
2023-01-02 15:00:00,Brazil,South Brazil,BR-S,37.59,67.49,93.46,91.26,ons.org.br,false,
2023-01-02 16:00:00,Brazil,South Brazil,BR-S,36.98,66.6,93.57,91.46,ons.org.br,false,
2023-01-02 17:00:00,Brazil,South Brazil,BR-S,34.17,63.16,94.06,92.32,ons.org.br,false,
2023-01-02 18:00:00,Brazil,South Brazil,BR-S,30.94,59.32,94.62,93.13,ons.org.br,false,
2023-01-02 19:00:00,Brazil,South Brazil,BR-S,29.31,57.38,94.9,93.61,ons.org.br,false,
2023-01-02 20:00:00,Brazil,South Brazil,BR-S,30.26,58.39,94.74,93.32,ons.org.br,false,
2023-01-02 21:00:00,Brazil,South Brazil,BR-S,29.65,57.52,94.84,93.45,ons.org.br,false,
2023-01-02 22:00:00,Brazil,South Brazil,BR-S,27.31,54.93,95.25,94.09,ons.org.br,false,
2023-01-02 23:00:00,Brazil,South Brazil,BR-S,26.81,54.56,95.34,94.09,ons.org.br,false,
2023-01-03 00:00:00,Brazil,South Brazil,BR-S,26.86,54.75,95.33,93.98,ons.org.br; Electricity Maps Estimation,false,
2023-01-03 01:00:00,Brazil,South Brazil,BR-S,27.11,55.08,95.29,93.89,ons.org.br,false,
2023-01-03 02:00:00,Brazil,South Brazil,BR-S,28.57,56.83,95.03,93.53,ons.org.br,false,
2023-01-03 03:00:00,Brazil,South Brazil,BR-S,30.43,59.11,94.71,93.06,ons.org.br,false,
2023-01-03 04:00:00,Brazil,South Brazil,BR-S,32.12,61.05,94.41,92.75,ons.org.br,false,
2023-01-03 05:00:00,Brazil,South Brazil,BR-S,37.82,67.67,93.42,91.48,ons.org.br,false,
2023-01-03 06:00:00,Brazil,South Brazil,BR-S,39.46,69.57,93.14,90.96,ons.org.br,false,
2023-01-03 07:00:00,Brazil,South Brazil,BR-S,42.67,73.35,92.58,89.97,ons.org.br,false,
2023-01-03 08:00:00,Brazil,South Brazil,BR-S,43.11,73.93,92.5,89.76,ons.org.br,false,
2023-01-03 09:00:00,Brazil,South Brazil,BR-S,45.69,77.02,92.05,89.16,ons.org.br,false,
2023-01-03 10:00:00,Brazil,South Brazil,BR-S,42.16,73.18,92.67,89.99,ons.org.br,false,
2023-01-03 11:00:00,Brazil,South Brazil,BR-S,37.62,67.97,93.46,91.23,ons.org.br,false,
2023-01-03 12:00:00,Brazil,South Brazil,BR-S,36.17,66.32,93.71,91.69,ons.org.br,false,
2023-01-03 13:00:00,Brazil,South Brazil,BR-S,36.27,66.46,93.69,91.72,ons.org.br,false,
