Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Belarus,Belarus,BY,259.19,331.96,39.22,4.1,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 01:00:00,Belarus,Belarus,BY,251.83,327.99,40.26,4.08,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 02:00:00,Belarus,Belarus,BY,249.3,324.6,41.13,4.13,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 03:00:00,Belarus,Belarus,BY,246.21,319.01,42.64,4.06,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 04:00:00,Belarus,Belarus,BY,249.98,323.62,41.5,4.03,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 05:00:00,Belarus,Belarus,BY,262.22,336.77,38.51,4.18,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 06:00:00,Belarus,Belarus,BY,261.68,336.74,38.34,4.89,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 07:00:00,Belarus,Belarus,BY,264.05,338.74,37.75,5.16,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 08:00:00,Belarus,Belarus,BY,265.41,342.5,36.73,5.15,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 09:00:00,Belarus,Belarus,BY,257.79,342.71,36.72,5.25,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 10:00:00,Belarus,Belarus,BY,266.36,350.21,34.81,5.17,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 11:00:00,Belarus,Belarus,BY,264.58,351.66,34.52,5.17,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 12:00:00,Belarus,Belarus,BY,254.39,339.34,36.56,5.16,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 13:00:00,Belarus,Belarus,BY,265.72,352.8,34.42,4.74,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 14:00:00,Belarus,Belarus,BY,268.69,354.69,33.98,5.16,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 15:00:00,Belarus,Belarus,BY,268.4,355.19,33.88,4.78,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 16:00:00,Belarus,Belarus,BY,261.03,344.35,35.49,5.16,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 17:00:00,Belarus,Belarus,BY,262.5,344.82,35.23,5.08,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 18:00:00,Belarus,Belarus,BY,266.13,344.56,35.22,4.97,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 19:00:00,Belarus,Belarus,BY,269.49,349.7,33.96,4.55,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 20:00:00,Belarus,Belarus,BY,268.53,346.4,34.7,4.54,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 21:00:00,Belarus,Belarus,BY,272.26,350.3,34.55,4.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 22:00:00,Belarus,Belarus,BY,269.35,350.01,34.62,4.01,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 23:00:00,Belarus,Belarus,BY,267.74,351.43,34.43,3.89,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 00:00:00,Belarus,Belarus,BY,271.29,351.41,34.44,3.72,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 01:00:00,Belarus,Belarus,BY,272.9,353.68,33.95,3.56,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 02:00:00,Belarus,Belarus,BY,276.66,354.47,33.7,3.46,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 03:00:00,Belarus,Belarus,BY,280.28,362.15,31.93,3.36,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 04:00:00,Belarus,Belarus,BY,285.84,368.1,30.51,3.47,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 05:00:00,Belarus,Belarus,BY,289.87,378.99,28.12,3.35,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 06:00:00,Belarus,Belarus,BY,291.86,383.81,26.88,3.42,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 07:00:00,Belarus,Belarus,BY,295.54,384.54,26.7,3.48,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 08:00:00,Belarus,Belarus,BY,296.42,384.3,26.78,3.46,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 09:00:00,Belarus,Belarus,BY,298.28,388.27,25.79,3.2,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 10:00:00,Belarus,Belarus,BY,296.59,387.2,26.09,3.24,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 11:00:00,Belarus,Belarus,BY,297.97,390.43,25.34,3.11,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 12:00:00,Belarus,Belarus,BY,293.59,388.01,25.95,3.27,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 13:00:00,Belarus,Belarus,BY,292.17,387.45,26.18,3.22,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 14:00:00,Belarus,Belarus,BY,286.47,379.87,28.18,3.7,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 15:00:00,Belarus,Belarus,BY,284.88,376.12,29.01,3.6,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 16:00:00,Belarus,Belarus,BY,286.64,373.06,29.81,3.62,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
