Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Canada,Alberta,CA-AB,366.18,472.13,12.66,12.65,ets.aeso.ca,false,
2023-01-01 01:00:00,Canada,Alberta,CA-AB,366.56,472.63,12.57,12.57,ets.aeso.ca,false,
2023-01-01 02:00:00,Canada,Alberta,CA-AB,367.15,472.97,12.61,12.61,ets.aeso.ca,false,
2023-01-01 03:00:00,Canada,Alberta,CA-AB,369.13,474.4,12.58,12.57,ets.aeso.ca,false,
2023-01-01 04:00:00,Canada,Alberta,CA-AB,368.66,473.67,12.73,12.73,ets.aeso.ca,false,
2023-01-01 05:00:00,Canada,Alberta,CA-AB,367.38,472.62,12.69,12.68,ets.aeso.ca,false,
2023-01-01 06:00:00,Canada,Alberta,CA-AB,369.29,474.68,12.45,12.45,ets.aeso.ca,false,
2023-01-01 07:00:00,Canada,Alberta,CA-AB,369.96,475.94,12.08,12.08,ets.aeso.ca,false,
2023-01-01 08:00:00,Canada,Alberta,CA-AB,372.36,478.5,11.67,11.67,ets.aeso.ca,false,
2023-01-01 09:00:00,Canada,Alberta,CA-AB,373.01,478.9,11.78,11.77,ets.aeso.ca,false,
2023-01-01 10:00:00,Canada,Alberta,CA-AB,372.43,478.13,11.94,11.94,ets.aeso.ca,false,
2023-01-01 11:00:00,Canada,Alberta,CA-AB,371.53,477.18,12.12,12.12,ets.aeso.ca,false,
2023-01-01 12:00:00,Canada,Alberta,CA-AB,373.49,479.69,11.58,11.57,ets.aeso.ca,false,
2023-01-01 13:00:00,Canada,Alberta,CA-AB,373.56,480.34,11.27,11.26,ets.aeso.ca,false,
2023-01-01 14:00:00,Canada,Alberta,CA-AB,375.67,482.9,10.8,10.79,ets.aeso.ca,false,
2023-01-01 15:00:00,Canada,Alberta,CA-AB,376.46,484.14,10.6,10.6,ets.aeso.ca,false,
2023-01-01 16:00:00,Canada,Alberta,CA-AB,378.93,487.04,10.14,10.14,ets.aeso.ca,false,
2023-01-01 17:00:00,Canada,Alberta,CA-AB,363.62,469.01,13.88,13.88,ets.aeso.ca,false,
2023-01-01 18:00:00,Canada,Alberta,CA-AB,360.09,464.37,15.04,15.04,ets.aeso.ca,false,
2023-01-01 19:00:00,Canada,Alberta,CA-AB,362.58,467.48,14.3,14.3,ets.aeso.ca,false,
2023-01-01 20:00:00,Canada,Alberta,CA-AB,360.51,464.82,14.94,14.94,ets.aeso.ca,false,
2023-01-01 21:00:00,Canada,Alberta,CA-AB,358.92,462.93,15.33,15.33,ets.aeso.ca,false,
2023-01-01 22:00:00,Canada,Alberta,CA-AB,366.04,470.94,13.68,13.68,ets.aeso.ca,false,
2023-01-01 23:00:00,Canada,Alberta,CA-AB,371.22,477.34,12.09,12.09,ets.aeso.ca,false,
2023-01-02 00:00:00,Canada,Alberta,CA-AB,368.77,474.23,12.69,12.69,ets.aeso.ca,false,
2023-01-02 01:00:00,Canada,Alberta,CA-AB,366.94,471.77,13.17,13.17,ets.aeso.ca,false,
2023-01-02 02:00:00,Canada,Alberta,CA-AB,367.66,472.61,12.95,12.95,ets.aeso.ca,false,
2023-01-02 03:00:00,Canada,Alberta,CA-AB,368.47,473.71,12.68,12.68,ets.aeso.ca,false,
2023-01-02 04:00:00,Canada,Alberta,CA-AB,364.11,467.98,13.81,13.81,ets.aeso.ca,false,
2023-01-02 05:00:00,Canada,Alberta,CA-AB,357.86,460.57,15.1,15.1,ets.aeso.ca,false,
2023-01-02 06:00:00,Canada,Alberta,CA-AB,358.03,460.97,15.0,15.0,ets.aeso.ca,false,
2023-01-02 07:00:00,Canada,Alberta,CA-AB,357.68,460.61,14.97,14.97,ets.aeso.ca,false,
2023-01-02 08:00:00,Canada,Alberta,CA-AB,357.6,460.67,14.87,14.87,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 09:00:00,Canada,Alberta,CA-AB,358.22,461.37,14.75,14.75,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 10:00:00,Canada,Alberta,CA-AB,360.25,463.95,14.25,14.25,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 11:00:00,Canada,Alberta,CA-AB,360.77,464.64,14.11,14.11,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 12:00:00,Canada,Alberta,CA-AB,361.07,465.01,14.04,14.04,Electricity Maps Estimation; ets.aeso.ca,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 13:00:00,Canada,Alberta,CA-AB,364.45,469.27,13.23,13.23,ets.aeso.ca,false,
