Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Canada,Canada,CA,86.64,128.76,80.49,67.24,,false,
2023-01-01 01:00:00,Canada,Canada,CA,87.73,130.15,80.25,67.16,,false,
2023-01-01 02:00:00,Canada,Canada,CA,89.31,132.09,79.87,66.56,,false,
2023-01-01 03:00:00,Canada,Canada,CA,90.11,132.88,79.76,65.95,,false,
2023-01-01 04:00:00,Canada,Canada,CA,87.93,129.92,80.45,66.26,,false,
2023-01-01 05:00:00,Canada,Canada,CA,88.49,130.52,80.39,65.96,,false,
2023-01-01 06:00:00,Canada,Canada,CA,88.4,130.21,80.67,66.03,,false,
2023-01-01 07:00:00,Canada,Canada,CA,89.1,131.16,80.52,65.71,,false,
2023-01-01 08:00:00,Canada,Canada,CA,91.46,134.24,79.9,65.03,,false,
2023-01-01 09:00:00,Canada,Canada,CA,90.82,133.38,80.09,65.35,,false,
2023-01-01 10:00:00,Canada,Canada,CA,90.15,132.42,80.28,65.44,,false,
2023-01-01 11:00:00,Canada,Canada,CA,90.37,132.82,80.16,65.51,,false,
2023-01-01 12:00:00,Canada,Canada,CA,89.22,131.48,80.28,65.43,,false,
2023-01-01 13:00:00,Canada,Canada,CA,91.17,134.3,79.62,65.14,,false,
2023-01-01 14:00:00,Canada,Canada,CA,91.04,134.36,79.53,65.34,,false,
2023-01-01 15:00:00,Canada,Canada,CA,91.77,135.39,79.31,65.37,,false,
2023-01-01 16:00:00,Canada,Canada,CA,92.41,136.24,79.12,65.31,,false,
2023-01-01 17:00:00,Canada,Canada,CA,89.25,132.48,79.85,66.25,,false,
2023-01-01 18:00:00,Canada,Canada,CA,88.36,131.3,80.12,66.42,,false,
2023-01-01 19:00:00,Canada,Canada,CA,87.8,130.48,80.25,66.25,,false,
2023-01-01 20:00:00,Canada,Canada,CA,84.75,126.56,81.09,67.14,,false,
2023-01-01 21:00:00,Canada,Canada,CA,84.81,126.66,81.06,67.35,,false,
2023-01-01 22:00:00,Canada,Canada,CA,85.1,126.98,80.93,67.53,,false,
