Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Colombia,Colombia,CO,138.22,178.32,76.03,76.03,xm.com.co,false,
2023-01-01 01:00:00,Colombia,Colombia,CO,144.37,185.19,74.96,74.96,xm.com.co,false,
2023-01-01 02:00:00,Colombia,Colombia,CO,152.68,194.43,73.53,73.53,xm.com.co,false,
2023-01-01 03:00:00,Colombia,Colombia,CO,158.96,200.71,72.57,72.57,xm.com.co,false,
2023-01-01 04:00:00,Colombia,Colombia,CO,165.65,207.7,71.5,71.5,xm.com.co,false,
2023-01-01 05:00:00,Colombia,Colombia,CO,170.37,212.92,70.7,70.7,xm.com.co,false,
2023-01-01 06:00:00,Colombia,Colombia,CO,170.27,212.63,70.84,70.84,xm.com.co,false,
2023-01-01 07:00:00,Colombia,Colombia,CO,167.72,208.98,71.81,71.81,xm.com.co,false,
2023-01-01 08:00:00,Colombia,Colombia,CO,166.86,207.44,72.35,72.35,xm.com.co,false,
2023-01-01 09:00:00,Colombia,Colombia,CO,160.5,199.54,74.01,74.01,xm.com.co,false,
2023-01-01 10:00:00,Colombia,Colombia,CO,161.02,200.97,73.37,73.37,xm.com.co,false,
2023-01-01 11:00:00,Colombia,Colombia,CO,149.01,189.12,74.52,74.52,xm.com.co,false,
2023-01-01 12:00:00,Colombia,Colombia,CO,149.44,189.99,74.39,74.39,xm.com.co,false,
2023-01-01 13:00:00,Colombia,Colombia,CO,150.76,191.2,74.47,74.47,xm.com.co,false,
2023-01-01 14:00:00,Colombia,Colombia,CO,165.68,206.46,72.82,72.82,xm.com.co,false,
2023-01-01 15:00:00,Colombia,Colombia,CO,162.98,203.49,73.29,73.29,xm.com.co,false,
2023-01-01 16:00:00,Colombia,Colombia,CO,159.55,199.7,73.85,73.85,xm.com.co,false,
2023-01-01 17:00:00,Colombia,Colombia,CO,155.06,194.76,74.56,74.56,xm.com.co,false,
2023-01-01 18:00:00,Colombia,Colombia,CO,153.1,192.76,74.77,74.77,xm.com.co,false,
2023-01-01 19:00:00,Colombia,Colombia,CO,153.19,193.03,74.64,74.64,xm.com.co,false,
2023-01-01 20:00:00,Colombia,Colombia,CO,155.33,195.63,74.24,74.24,xm.com.co,false,
2023-01-01 21:00:00,Colombia,Colombia,CO,157.3,198.26,73.78,73.78,xm.com.co,false,
2023-01-01 22:00:00,Colombia,Colombia,CO,156.92,197.68,73.84,73.84,xm.com.co,false,
2023-01-01 23:00:00,Colombia,Colombia,CO,137.17,176.11,76.95,76.95,xm.com.co,false,
2023-01-02 00:00:00,Colombia,Colombia,CO,134.65,173.32,77.38,77.38,xm.com.co,false,
2023-01-02 01:00:00,Colombia,Colombia,CO,135.89,174.65,77.2,77.2,xm.com.co,false,
2023-01-02 02:00:00,Colombia,Colombia,CO,137.89,176.91,76.85,76.85,xm.com.co,false,
2023-01-02 03:00:00,Colombia,Colombia,CO,141.52,181.21,76.2,76.2,xm.com.co,false,
2023-01-02 04:00:00,Colombia,Colombia,CO,147.16,187.94,75.11,75.11,xm.com.co,false,
2023-01-02 05:00:00,Colombia,Colombia,CO,155.19,196.1,73.89,73.89,xm.com.co,false,
2023-01-02 06:00:00,Colombia,Colombia,CO,161.33,202.74,72.67,72.67,xm.com.co,false,
2023-01-02 07:00:00,Colombia,Colombia,CO,162.82,204.6,72.41,72.41,xm.com.co,false,
2023-01-02 08:00:00,Colombia,Colombia,CO,159.02,199.67,73.54,73.54,xm.com.co,false,
2023-01-02 09:00:00,Colombia,Colombia,CO,161.73,202.58,73.14,73.14,xm.com.co,false,
2023-01-02 10:00:00,Colombia,Colombia,CO,160.58,201.23,73.38,73.38,xm.com.co,false,
2023-01-02 11:00:00,Colombia,Colombia,CO,159.07,199.81,73.64,73.64,xm.com.co,false,
2023-01-02 12:00:00,Colombia,Colombia,CO,150.52,190.99,74.99,74.99,xm.com.co,false,
2023-01-02 13:00:00,Colombia,Colombia,CO,144.25,184.81,75.94,75.94,xm.com.co,false,
2023-01-02 14:00:00,Colombia,Colombia,CO,135.56,175.41,77.36,77.36,xm.com.co,false,
2023-01-02 15:00:00,Colombia,Colombia,CO,128.68,167.96,78.51,78.51,xm.com.co,false,
2023-01-02 16:00:00,Colombia,Colombia,CO,124.93,163.64,79.12,79.12,xm.com.co,false,
2023-01-02 17:00:00,Colombia,Colombia,CO,123.0,161.56,79.45,79.45,xm.com.co,false,
2023-01-02 18:00:00,Colombia,Colombia,CO,122.54,161.08,79.53,79.53,xm.com.co,false,
2023-01-02 19:00:00,Colombia,Colombia,CO,116.3,153.25,81.22,81.22,xm.com.co,false,
2023-01-02 20:00:00,Colombia,Colombia,CO,116.91,153.54,81.3,81.3,xm.com.co,false,
2023-01-02 21:00:00,Colombia,Colombia,CO,120.99,158.5,80.27,80.27,xm.com.co,false,
2023-01-02 22:00:00,Colombia,Colombia,CO,127.49,166.24,78.74,78.74,xm.com.co,false,
