Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Cabo Verde,Cabo Verde,CV,544.32,663.24,5.34,5.34,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 01:00:00,Cabo Verde,Cabo Verde,CV,536.17,653.47,6.75,6.75,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 02:00:00,Cabo Verde,Cabo Verde,CV,526.96,642.43,8.36,8.36,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 03:00:00,Cabo Verde,Cabo Verde,CV,528.46,644.23,8.09,8.09,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 04:00:00,Cabo Verde,Cabo Verde,CV,538.49,656.25,6.35,6.35,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 05:00:00,Cabo Verde,Cabo Verde,CV,514.01,626.92,10.61,10.61,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 06:00:00,Cabo Verde,Cabo Verde,CV,516.13,629.46,10.24,10.24,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 07:00:00,Cabo Verde,Cabo Verde,CV,497.23,607.92,13.53,13.53,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 08:00:00,Cabo Verde,Cabo Verde,CV,525.44,640.78,8.62,8.62,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 09:00:00,Cabo Verde,Cabo Verde,CV,506.45,617.99,11.92,11.92,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 10:00:00,Cabo Verde,Cabo Verde,CV,513.69,626.63,10.66,10.66,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 11:00:00,Cabo Verde,Cabo Verde,CV,513.23,626.09,10.74,10.74,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 12:00:00,Cabo Verde,Cabo Verde,CV,495.72,605.15,13.79,13.79,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 13:00:00,Cabo Verde,Cabo Verde,CV,501.31,611.84,12.82,12.82,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 14:00:00,Cabo Verde,Cabo Verde,CV,502.36,613.09,12.63,12.63,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 15:00:00,Cabo Verde,Cabo Verde,CV,507.74,619.54,11.7,11.7,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 16:00:00,Cabo Verde,Cabo Verde,CV,466.42,569.97,18.88,18.88,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 17:00:00,Cabo Verde,Cabo Verde,CV,482.46,589.22,16.09,16.09,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 18:00:00,Cabo Verde,Cabo Verde,CV,507.23,618.91,11.79,11.79,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 19:00:00,Cabo Verde,Cabo Verde,CV,500.48,610.81,12.96,12.96,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 20:00:00,Cabo Verde,Cabo Verde,CV,505.36,616.64,12.11,12.11,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 21:00:00,Cabo Verde,Cabo Verde,CV,519.68,633.71,9.62,9.62,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 22:00:00,Cabo Verde,Cabo Verde,CV,501.74,612.21,12.74,12.74,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 23:00:00,Cabo Verde,Cabo Verde,CV,515.34,628.51,10.38,10.38,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 00:00:00,Cabo Verde,Cabo Verde,CV,536.39,653.73,6.71,6.71,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 01:00:00,Cabo Verde,Cabo Verde,CV,537.31,654.83,6.56,6.56,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 02:00:00,Cabo Verde,Cabo Verde,CV,515.82,629.09,10.29,10.29,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 03:00:00,Cabo Verde,Cabo Verde,CV,522.9,637.57,9.06,9.06,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 04:00:00,Cabo Verde,Cabo Verde,CV,526.37,641.73,8.46,8.46,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 05:00:00,Cabo Verde,Cabo Verde,CV,480.48,586.75,16.44,16.44,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 06:00:00,Cabo Verde,Cabo Verde,CV,516.18,629.51,10.23,10.23,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 07:00:00,Cabo Verde,Cabo Verde,CV,509.42,621.52,11.41,11.41,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 08:00:00,Cabo Verde,Cabo Verde,CV,545.07,664.26,5.2,5.2,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 09:00:00,Cabo Verde,Cabo Verde,CV,491.03,599.46,14.6,14.6,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 10:00:00,Cabo Verde,Cabo Verde,CV,488.88,596.88,14.98,14.98,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 11:00:00,Cabo Verde,Cabo Verde,CV,475.64,581.01,17.28,17.28,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 12:00:00,Cabo Verde,Cabo Verde,CV,463.87,566.97,19.33,19.33,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 13:00:00,Cabo Verde,Cabo Verde,CV,464.91,568.22,19.15,19.15,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 14:00:00,Cabo Verde,Cabo Verde,CV,460.29,562.7,19.95,19.95,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 15:00:00,Cabo Verde,Cabo Verde,CV,462.14,564.89,19.63,19.63,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 16:00:00,Cabo Verde,Cabo Verde,CV,452.25,552.99,21.35,21.35,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 17:00:00,Cabo Verde,Cabo Verde,CV,454.17,555.3,21.01,21.01,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
