Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Estonia,Estonia,EE,208.09,255.6,74.59,46.15,entsoe.eu,false,
2023-01-01 01:00:00,Estonia,Estonia,EE,207.93,255.48,74.63,46.37,entsoe.eu,false,
2023-01-01 02:00:00,Estonia,Estonia,EE,211.73,260.41,74.22,45.07,entsoe.eu,false,
2023-01-01 03:00:00,Estonia,Estonia,EE,220.28,270.38,73.01,43.34,entsoe.eu,false,
2023-01-01 04:00:00,Estonia,Estonia,EE,226.15,277.4,72.48,41.78,entsoe.eu,false,
2023-01-01 05:00:00,Estonia,Estonia,EE,227.8,279.43,72.35,41.54,entsoe.eu,false,
2023-01-01 06:00:00,Estonia,Estonia,EE,259.04,314.01,68.81,39.69,entsoe.eu,false,
2023-01-01 07:00:00,Estonia,Estonia,EE,278.76,335.44,66.64,38.6,entsoe.eu,false,
2023-01-01 08:00:00,Estonia,Estonia,EE,282.69,340.15,66.2,38.6,entsoe.eu,false,
2023-01-01 09:00:00,Estonia,Estonia,EE,319.74,381.8,62.17,37.87,entsoe.eu,false,
2023-01-01 10:00:00,Estonia,Estonia,EE,301.44,361.55,64.18,39.34,entsoe.eu,false,
2023-01-01 11:00:00,Estonia,Estonia,EE,290.75,349.64,65.51,39.93,entsoe.eu,false,
2023-01-01 12:00:00,Estonia,Estonia,EE,291.39,349.81,65.56,40.04,entsoe.eu,false,
2023-01-01 13:00:00,Estonia,Estonia,EE,310.79,368.46,62.98,39.24,entsoe.eu,false,
2023-01-01 14:00:00,Estonia,Estonia,EE,309.41,366.38,62.89,41.01,entsoe.eu,false,
2023-01-01 15:00:00,Estonia,Estonia,EE,279.45,334.24,67.08,41.26,entsoe.eu,false,
2023-01-01 16:00:00,Estonia,Estonia,EE,272.2,325.72,68.03,41.87,entsoe.eu,false,
2023-01-01 17:00:00,Estonia,Estonia,EE,267.87,321.96,68.51,42.51,entsoe.eu,false,
2023-01-01 18:00:00,Estonia,Estonia,EE,257.43,310.71,69.59,43.2,entsoe.eu,false,
2023-01-01 19:00:00,Estonia,Estonia,EE,260.1,313.84,69.21,43.1,entsoe.eu,false,
2023-01-01 20:00:00,Estonia,Estonia,EE,311.01,368.3,63.54,40.54,entsoe.eu,false,
2023-01-01 21:00:00,Estonia,Estonia,EE,320.1,377.13,62.74,39.6,entsoe.eu,false,
2023-01-01 22:00:00,Estonia,Estonia,EE,360.57,420.97,58.62,37.47,entsoe.eu,false,
2023-01-01 23:00:00,Estonia,Estonia,EE,281.28,336.64,67.13,40.36,entsoe.eu,false,
2023-01-02 00:00:00,Estonia,Estonia,EE,292.73,348.7,65.99,39.59,entsoe.eu,false,
2023-01-02 01:00:00,Estonia,Estonia,EE,294.3,350.24,65.83,39.36,entsoe.eu,false,
2023-01-02 02:00:00,Estonia,Estonia,EE,328.6,387.24,62.15,37.39,entsoe.eu,false,
2023-01-02 03:00:00,Estonia,Estonia,EE,450.63,517.52,49.61,32.53,entsoe.eu,false,
2023-01-02 04:00:00,Estonia,Estonia,EE,393.68,454.79,55.74,34.88,entsoe.eu,false,
2023-01-02 05:00:00,Estonia,Estonia,EE,368.4,425.52,58.67,36.2,entsoe.eu,false,
2023-01-02 06:00:00,Estonia,Estonia,EE,409.53,467.96,54.78,34.45,entsoe.eu,false,
2023-01-02 07:00:00,Estonia,Estonia,EE,463.8,524.28,49.51,31.83,entsoe.eu,false,
2023-01-02 08:00:00,Estonia,Estonia,EE,557.13,623.5,40.16,29.14,entsoe.eu,false,
2023-01-02 09:00:00,Estonia,Estonia,EE,609.59,678.88,34.91,29.05,entsoe.eu,false,
2023-01-02 10:00:00,Estonia,Estonia,EE,638.09,708.6,32.21,27.53,entsoe.eu,false,
2023-01-02 11:00:00,Estonia,Estonia,EE,616.62,686.23,34.29,27.93,entsoe.eu,false,
2023-01-02 12:00:00,Estonia,Estonia,EE,620.65,690.55,33.81,28.56,entsoe.eu,false,
2023-01-02 13:00:00,Estonia,Estonia,EE,628.82,697.39,32.75,28.48,entsoe.eu,false,
2023-01-02 14:00:00,Estonia,Estonia,EE,637.31,706.73,32.2,28.02,entsoe.eu,false,
2023-01-02 15:00:00,Estonia,Estonia,EE,504.22,567.71,45.37,33.86,entsoe.eu,false,
2023-01-02 16:00:00,Estonia,Estonia,EE,506.7,570.27,45.17,32.36,entsoe.eu,false,
2023-01-02 17:00:00,Estonia,Estonia,EE,601.04,669.6,35.71,28.11,entsoe.eu,false,
2023-01-02 18:00:00,Estonia,Estonia,EE,661.93,731.8,30.0,30.0,entsoe.eu,false,
2023-01-02 19:00:00,Estonia,Estonia,EE,606.38,675.79,34.94,27.82,entsoe.eu,false,
2023-01-02 20:00:00,Estonia,Estonia,EE,556.01,624.04,39.64,28.15,entsoe.eu,false,
2023-01-02 21:00:00,Estonia,Estonia,EE,573.58,643.6,37.65,27.91,entsoe.eu,false,
2023-01-02 22:00:00,Estonia,Estonia,EE,529.12,596.01,42.21,29.07,entsoe.eu,false,
2023-01-02 23:00:00,Estonia,Estonia,EE,466.15,532.29,47.92,36.72,entsoe.eu,false,
2023-01-03 00:00:00,Estonia,Estonia,EE,460.48,526.83,48.39,39.89,entsoe.eu,false,
2023-01-03 01:00:00,Estonia,Estonia,EE,439.78,506.0,50.18,34.39,entsoe.eu,false,
2023-01-03 02:00:00,Estonia,Estonia,EE,431.7,498.01,51.18,34.12,entsoe.eu,false,
2023-01-03 03:00:00,Estonia,Estonia,EE,392.69,455.13,55.23,36.85,entsoe.eu,false,
2023-01-03 04:00:00,Estonia,Estonia,EE,446.58,510.68,50.13,38.1,entsoe.eu,false,
2023-01-03 05:00:00,Estonia,Estonia,EE,487.85,551.86,46.52,36.11,entsoe.eu,false,
2023-01-03 06:00:00,Estonia,Estonia,EE,559.86,625.46,39.83,31.7,entsoe.eu,false,
2023-01-03 07:00:00,Estonia,Estonia,EE,611.04,677.83,35.15,29.26,entsoe.eu,false,
2023-01-03 08:00:00,Estonia,Estonia,EE,593.23,660.11,36.75,30.51,entsoe.eu,false,
2023-01-03 09:00:00,Estonia,Estonia,EE,601.92,660.7,34.26,32.28,entsoe.eu,false,
2023-01-03 10:00:00,Estonia,Estonia,EE,652.31,719.78,30.63,27.94,entsoe.eu,false,
2023-01-03 11:00:00,Estonia,Estonia,EE,650.47,721.23,30.98,26.16,entsoe.eu,false,
2023-01-03 12:00:00,Estonia,Estonia,EE,657.82,729.32,30.09,25.09,entsoe.eu,false,
2023-01-03 13:00:00,Estonia,Estonia,EE,661.0,733.33,29.35,23.11,entsoe.eu,false,
2023-01-03 14:00:00,Estonia,Estonia,EE,614.62,685.31,33.68,24.64,entsoe.eu,false,
2023-01-03 15:00:00,Estonia,Estonia,EE,597.64,667.73,35.27,24.81,entsoe.eu,false,
2023-01-03 16:00:00,Estonia,Estonia,EE,627.67,699.17,32.34,23.1,entsoe.eu,false,
2023-01-03 17:00:00,Estonia,Estonia,EE,667.42,741.32,28.39,20.72,entsoe.eu,false,
2023-01-03 18:00:00,Estonia,Estonia,EE,649.58,722.75,30.07,21.48,entsoe.eu,false,
2023-01-03 19:00:00,Estonia,Estonia,EE,557.71,627.17,38.95,25.42,entsoe.eu,false,
2023-01-03 20:00:00,Estonia,Estonia,EE,561.57,631.61,38.68,26.15,entsoe.eu,false,
2023-01-03 21:00:00,Estonia,Estonia,EE,595.34,667.71,35.32,25.32,entsoe.eu,false,
2023-01-03 22:00:00,Estonia,Estonia,EE,477.21,546.06,47.6,32.43,entsoe.eu,false,
2023-01-03 23:00:00,Estonia,Estonia,EE,399.11,462.09,55.45,35.42,entsoe.eu,false,
2023-01-04 00:00:00,Estonia,Estonia,EE,401.51,465.41,55.12,35.98,entsoe.eu,false,
2023-01-04 01:00:00,Estonia,Estonia,EE,478.72,549.88,46.06,32.91,entsoe.eu,false,
2023-01-04 02:00:00,Estonia,Estonia,EE,498.67,571.27,43.42,31.01,entsoe.eu,false,
2023-01-04 03:00:00,Estonia,Estonia,EE,485.5,557.7,45.19,31.34,entsoe.eu,false,
2023-01-04 04:00:00,Estonia,Estonia,EE,423.33,489.66,51.87,33.72,entsoe.eu,false,
2023-01-04 05:00:00,Estonia,Estonia,EE,456.69,522.29,49.02,31.91,entsoe.eu,false,
2023-01-04 06:00:00,Estonia,Estonia,EE,459.25,524.25,48.82,32.46,entsoe.eu,false,
2023-01-04 07:00:00,Estonia,Estonia,EE,430.8,494.03,51.77,33.82,entsoe.eu,false,
2023-01-04 08:00:00,Estonia,Estonia,EE,426.06,487.87,52.86,33.91,entsoe.eu,false,
2023-01-04 09:00:00,Estonia,Estonia,EE,414.62,475.96,53.78,34.55,entsoe.eu,false,
2023-01-04 10:00:00,Estonia,Estonia,EE,412.52,473.96,53.73,34.43,entsoe.eu,false,
2023-01-04 11:00:00,Estonia,Estonia,EE,424.39,486.31,52.6,33.58,entsoe.eu,false,
2023-01-04 12:00:00,Estonia,Estonia,EE,425.53,487.36,52.47,33.4,entsoe.eu,false,
2023-01-04 13:00:00,Estonia,Estonia,EE,435.49,497.99,51.52,33.1,entsoe.eu,false,
2023-01-04 14:00:00,Estonia,Estonia,EE,436.43,499.36,51.34,33.39,entsoe.eu,false,
2023-01-04 15:00:00,Estonia,Estonia,EE,437.68,500.94,51.17,33.53,entsoe.eu,false,
