Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Spain,Fuerteventura,ES-CN-FV,678.29,903.28,8.21,8.21,demanda.ree.es,false,
2023-01-01 01:00:00,Spain,Fuerteventura,ES-CN-FV,677.39,902.56,8.14,8.14,demanda.ree.es,false,
2023-01-01 02:00:00,Spain,Fuerteventura,ES-CN-FV,694.97,925.46,5.84,5.84,demanda.ree.es,false,
2023-01-01 03:00:00,Spain,Fuerteventura,ES-CN-FV,683.3,909.87,7.54,7.54,demanda.ree.es,false,
2023-01-01 04:00:00,Spain,Fuerteventura,ES-CN-FV,607.58,810.44,17.78,17.78,demanda.ree.es,false,
2023-01-01 05:00:00,Spain,Fuerteventura,ES-CN-FV,563.01,751.92,23.81,23.81,demanda.ree.es,false,
2023-01-01 06:00:00,Spain,Fuerteventura,ES-CN-FV,557.78,745.04,24.52,24.52,demanda.ree.es,false,
2023-01-01 07:00:00,Spain,Fuerteventura,ES-CN-FV,570.16,761.3,22.85,22.85,demanda.ree.es,false,
2023-01-01 08:00:00,Spain,Fuerteventura,ES-CN-FV,559.69,747.62,24.26,24.26,demanda.ree.es,false,
2023-01-01 09:00:00,Spain,Fuerteventura,ES-CN-FV,557.66,745.11,24.54,24.54,demanda.ree.es,false,
2023-01-01 10:00:00,Spain,Fuerteventura,ES-CN-FV,557.55,745.23,24.55,24.55,demanda.ree.es,false,
2023-01-01 11:00:00,Spain,Fuerteventura,ES-CN-FV,556.13,743.79,24.74,24.74,demanda.ree.es,false,
2023-01-01 12:00:00,Spain,Fuerteventura,ES-CN-FV,580.14,775.74,21.5,21.5,demanda.ree.es,false,
2023-01-01 13:00:00,Spain,Fuerteventura,ES-CN-FV,595.45,796.24,19.42,19.42,demanda.ree.es,false,
2023-01-01 14:00:00,Spain,Fuerteventura,ES-CN-FV,626.04,836.19,15.28,15.28,demanda.ree.es,false,
2023-01-01 15:00:00,Spain,Fuerteventura,ES-CN-FV,663.45,885.01,10.19,10.19,demanda.ree.es,false,
2023-01-01 16:00:00,Spain,Fuerteventura,ES-CN-FV,686.85,915.37,7.0,7.0,demanda.ree.es,false,
2023-01-01 17:00:00,Spain,Fuerteventura,ES-CN-FV,715.21,952.35,3.09,3.09,demanda.ree.es,false,
2023-01-01 18:00:00,Spain,Fuerteventura,ES-CN-FV,732.41,975.28,0.49,0.49,demanda.ree.es,false,
2023-01-01 19:00:00,Spain,Fuerteventura,ES-CN-FV,736.2,980.1,0.04,0.04,demanda.ree.es,false,
2023-01-01 20:00:00,Spain,Fuerteventura,ES-CN-FV,735.12,978.97,0.06,0.06,demanda.ree.es,false,
2023-01-01 21:00:00,Spain,Fuerteventura,ES-CN-FV,734.45,978.36,0.04,0.04,demanda.ree.es,false,
2023-01-01 22:00:00,Spain,Fuerteventura,ES-CN-FV,732.39,976.19,0.09,0.09,demanda.ree.es,false,
2023-01-01 23:00:00,Spain,Fuerteventura,ES-CN-FV,736.5,980.31,0.08,0.08,demanda.ree.es,false,
2023-01-02 00:00:00,Spain,Fuerteventura,ES-CN-FV,738.93,982.93,0.0,0.0,demanda.ree.es,false,
2023-01-02 01:00:00,Spain,Fuerteventura,ES-CN-FV,738.26,982.26,0.0,0.0,demanda.ree.es,false,
2023-01-02 02:00:00,Spain,Fuerteventura,ES-CN-FV,729.35,970.66,1.16,1.16,demanda.ree.es,false,
2023-01-02 03:00:00,Spain,Fuerteventura,ES-CN-FV,727.53,968.15,1.46,1.46,demanda.ree.es,false,
2023-01-02 04:00:00,Spain,Fuerteventura,ES-CN-FV,728.61,969.55,1.32,1.32,demanda.ree.es,false,
2023-01-02 05:00:00,Spain,Fuerteventura,ES-CN-FV,725.5,965.53,1.71,1.71,demanda.ree.es,false,
2023-01-02 06:00:00,Spain,Fuerteventura,ES-CN-FV,727.45,967.86,1.55,1.55,demanda.ree.es,false,
2023-01-02 07:00:00,Spain,Fuerteventura,ES-CN-FV,728.4,969.37,1.31,1.31,demanda.ree.es,false,
2023-01-02 08:00:00,Spain,Fuerteventura,ES-CN-FV,714.47,951.85,2.96,2.96,demanda.ree.es,false,
2023-01-02 09:00:00,Spain,Fuerteventura,ES-CN-FV,686.94,915.91,6.81,6.81,demanda.ree.es,false,
2023-01-02 10:00:00,Spain,Fuerteventura,ES-CN-FV,655.99,875.31,11.19,11.19,demanda.ree.es,false,
2023-01-02 11:00:00,Spain,Fuerteventura,ES-CN-FV,635.54,848.89,13.95,13.95,demanda.ree.es,false,
2023-01-02 12:00:00,Spain,Fuerteventura,ES-CN-FV,627.0,837.92,15.09,15.09,demanda.ree.es,false,
2023-01-02 13:00:00,Spain,Fuerteventura,ES-CN-FV,631.98,844.45,14.4,14.4,demanda.ree.es,false,
2023-01-02 14:00:00,Spain,Fuerteventura,ES-CN-FV,637.85,851.99,13.6,13.6,demanda.ree.es,false,
2023-01-02 15:00:00,Spain,Fuerteventura,ES-CN-FV,656.21,875.99,11.04,11.04,demanda.ree.es,false,
2023-01-02 16:00:00,Spain,Fuerteventura,ES-CN-FV,692.91,923.69,6.04,6.04,demanda.ree.es,false,
2023-01-02 17:00:00,Spain,Fuerteventura,ES-CN-FV,724.05,963.58,2.02,2.02,demanda.ree.es,false,
2023-01-02 18:00:00,Spain,Fuerteventura,ES-CN-FV,722.69,962.22,1.94,1.94,demanda.ree.es,false,
2023-01-02 19:00:00,Spain,Fuerteventura,ES-CN-FV,720.53,959.6,2.13,2.13,demanda.ree.es,false,
2023-01-02 20:00:00,Spain,Fuerteventura,ES-CN-FV,708.74,944.47,3.57,3.57,demanda.ree.es,false,
2023-01-02 21:00:00,Spain,Fuerteventura,ES-CN-FV,697.28,929.49,5.09,5.09,demanda.ree.es,false,
2023-01-02 22:00:00,Spain,Fuerteventura,ES-CN-FV,691.87,921.23,6.33,6.33,demanda.ree.es,false,
2023-01-02 23:00:00,Spain,Fuerteventura,ES-CN-FV,685.11,912.24,7.29,7.29,demanda.ree.es,false,
2023-01-03 00:00:00,Spain,Fuerteventura,ES-CN-FV,672.9,896.83,8.68,8.68,demanda.ree.es,false,
2023-01-03 01:00:00,Spain,Fuerteventura,ES-CN-FV,670.57,893.33,9.18,9.18,demanda.ree.es,false,
2023-01-03 02:00:00,Spain,Fuerteventura,ES-CN-FV,588.21,785.01,20.4,20.4,demanda.ree.es,false,
2023-01-03 03:00:00,Spain,Fuerteventura,ES-CN-FV,531.01,709.89,28.14,28.14,demanda.ree.es,false,
2023-01-03 04:00:00,Spain,Fuerteventura,ES-CN-FV,552.85,738.57,25.19,25.19,demanda.ree.es,false,
2023-01-03 05:00:00,Spain,Fuerteventura,ES-CN-FV,569.44,760.35,22.94,22.94,demanda.ree.es,false,
2023-01-03 06:00:00,Spain,Fuerteventura,ES-CN-FV,592.08,790.08,19.88,19.88,demanda.ree.es,false,
2023-01-03 07:00:00,Spain,Fuerteventura,ES-CN-FV,572.49,764.37,22.53,22.53,demanda.ree.es,false,
2023-01-03 08:00:00,Spain,Fuerteventura,ES-CN-FV,573.03,765.29,22.44,22.44,demanda.ree.es,false,
2023-01-03 09:00:00,Spain,Fuerteventura,ES-CN-FV,522.37,699.51,29.21,29.21,demanda.ree.es,false,
2023-01-03 10:00:00,Spain,Fuerteventura,ES-CN-FV,471.44,632.86,36.2,36.2,demanda.ree.es,false,
2023-01-03 11:00:00,Spain,Fuerteventura,ES-CN-FV,440.86,593.01,40.34,40.34,demanda.ree.es,false,
2023-01-03 12:00:00,Spain,Fuerteventura,ES-CN-FV,445.67,599.5,39.69,39.69,demanda.ree.es,false,
2023-01-03 13:00:00,Spain,Fuerteventura,ES-CN-FV,458.24,616.01,37.99,37.99,demanda.ree.es,false,
2023-01-03 14:00:00,Spain,Fuerteventura,ES-CN-FV,450.76,606.02,39.0,39.0,demanda.ree.es,false,
2023-01-03 15:00:00,Spain,Fuerteventura,ES-CN-FV,472.6,634.45,36.05,36.05,demanda.ree.es,false,
2023-01-03 16:00:00,Spain,Fuerteventura,ES-CN-FV,516.59,691.7,30.09,30.09,demanda.ree.es,false,
2023-01-03 17:00:00,Spain,Fuerteventura,ES-CN-FV,579.91,774.49,21.44,21.44,demanda.ree.es,false,
2023-01-03 18:00:00,Spain,Fuerteventura,ES-CN-FV,624.9,833.21,15.43,15.43,demanda.ree.es,false,
2023-01-03 19:00:00,Spain,Fuerteventura,ES-CN-FV,645.92,860.79,12.59,12.59,demanda.ree.es,false,
2023-01-03 20:00:00,Spain,Fuerteventura,ES-CN-FV,610.58,814.38,17.38,17.38,demanda.ree.es,false,
2023-01-03 21:00:00,Spain,Fuerteventura,ES-CN-FV,578.71,772.53,21.69,21.69,demanda.ree.es,false,
2023-01-03 22:00:00,Spain,Fuerteventura,ES-CN-FV,566.79,756.87,23.3,23.3,demanda.ree.es,false,
2023-01-03 23:00:00,Spain,Fuerteventura,ES-CN-FV,565.56,755.31,23.45,23.45,demanda.ree.es,false,
2023-01-04 00:00:00,Spain,Fuerteventura,ES-CN-FV,520.26,695.78,29.6,29.6,demanda.ree.es,false,
