Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Spain,Gran Canaria,ES-CN-GC,682.52,924.18,1.01,1.01,demanda.ree.es,false,
2023-01-01 01:00:00,Spain,Gran Canaria,ES-CN-GC,682.88,924.66,0.96,0.96,demanda.ree.es,false,
2023-01-01 02:00:00,Spain,Gran Canaria,ES-CN-GC,683.07,924.91,0.93,0.93,demanda.ree.es,false,
2023-01-01 03:00:00,Spain,Gran Canaria,ES-CN-GC,682.63,924.33,1.0,1.0,demanda.ree.es,false,
2023-01-01 04:00:00,Spain,Gran Canaria,ES-CN-GC,682.47,924.11,1.02,1.02,demanda.ree.es,false,
2023-01-01 05:00:00,Spain,Gran Canaria,ES-CN-GC,682.02,923.51,1.08,1.08,demanda.ree.es,false,
2023-01-01 06:00:00,Spain,Gran Canaria,ES-CN-GC,680.55,921.55,1.3,1.3,demanda.ree.es,false,
2023-01-01 07:00:00,Spain,Gran Canaria,ES-CN-GC,676.8,916.54,1.84,1.84,demanda.ree.es,false,
2023-01-01 08:00:00,Spain,Gran Canaria,ES-CN-GC,661.68,896.55,4.03,4.03,demanda.ree.es,false,
2023-01-01 09:00:00,Spain,Gran Canaria,ES-CN-GC,615.69,835.88,10.7,10.7,demanda.ree.es,false,
2023-01-01 10:00:00,Spain,Gran Canaria,ES-CN-GC,582.34,791.8,15.54,15.54,demanda.ree.es,false,
2023-01-01 11:00:00,Spain,Gran Canaria,ES-CN-GC,569.79,775.16,17.36,17.36,demanda.ree.es,false,
2023-01-01 12:00:00,Spain,Gran Canaria,ES-CN-GC,573.9,780.66,16.77,16.77,demanda.ree.es,false,
2023-01-01 13:00:00,Spain,Gran Canaria,ES-CN-GC,569.94,775.3,17.34,17.34,demanda.ree.es,false,
2023-01-01 14:00:00,Spain,Gran Canaria,ES-CN-GC,596.32,810.32,13.51,13.51,demanda.ree.es,false,
2023-01-01 15:00:00,Spain,Gran Canaria,ES-CN-GC,617.59,838.62,10.43,10.43,demanda.ree.es,false,
2023-01-01 16:00:00,Spain,Gran Canaria,ES-CN-GC,631.95,857.59,8.35,8.35,demanda.ree.es,false,
2023-01-01 17:00:00,Spain,Gran Canaria,ES-CN-GC,670.01,907.73,2.83,2.83,demanda.ree.es,false,
