Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Spain,El Hierro,ES-CN-HI,617.9,825.92,15.76,15.76,demanda.ree.es,false,
2023-01-01 01:00:00,Spain,El Hierro,ES-CN-HI,619.36,828.93,15.05,15.05,demanda.ree.es,false,
2023-01-01 02:00:00,Spain,El Hierro,ES-CN-HI,682.42,917.54,3.84,3.84,demanda.ree.es,false,
2023-01-01 03:00:00,Spain,El Hierro,ES-CN-HI,680.34,914.79,4.13,4.13,demanda.ree.es,false,
2023-01-01 04:00:00,Spain,El Hierro,ES-CN-HI,658.16,885.37,7.26,7.26,demanda.ree.es,false,
2023-01-01 05:00:00,Spain,El Hierro,ES-CN-HI,643.18,865.5,9.37,9.37,demanda.ree.es,false,
2023-01-01 06:00:00,Spain,El Hierro,ES-CN-HI,709.66,953.66,0.0,0.0,demanda.ree.es,false,
2023-01-01 07:00:00,Spain,El Hierro,ES-CN-HI,709.66,953.66,0.0,0.0,demanda.ree.es,false,
2023-01-01 08:00:00,Spain,El Hierro,ES-CN-HI,709.66,953.66,0.0,0.0,demanda.ree.es,false,
2023-01-01 09:00:00,Spain,El Hierro,ES-CN-HI,709.66,953.66,0.0,0.0,demanda.ree.es,false,
2023-01-01 10:00:00,Spain,El Hierro,ES-CN-HI,708.34,951.91,0.19,0.19,demanda.ree.es,false,
2023-01-01 11:00:00,Spain,El Hierro,ES-CN-HI,705.65,948.34,0.56,0.56,demanda.ree.es,false,
2023-01-01 12:00:00,Spain,El Hierro,ES-CN-HI,709.66,953.66,0.0,0.0,demanda.ree.es,false,
2023-01-01 13:00:00,Spain,El Hierro,ES-CN-HI,708.38,951.97,0.18,0.18,demanda.ree.es,false,
2023-01-01 14:00:00,Spain,El Hierro,ES-CN-HI,709.66,953.66,0.0,0.0,demanda.ree.es,false,
2023-01-01 15:00:00,Spain,El Hierro,ES-CN-HI,708.29,951.84,0.19,0.19,demanda.ree.es,false,
2023-01-01 16:00:00,Spain,El Hierro,ES-CN-HI,709.66,953.66,0.0,0.0,demanda.ree.es,false,
2023-01-01 17:00:00,Spain,El Hierro,ES-CN-HI,703.2,944.33,1.26,1.26,demanda.ree.es,false,
2023-01-01 18:00:00,Spain,El Hierro,ES-CN-HI,663.76,887.41,8.98,8.98,demanda.ree.es,false,
2023-01-01 19:00:00,Spain,El Hierro,ES-CN-HI,679.4,909.99,5.92,5.92,demanda.ree.es,false,
2023-01-01 20:00:00,Spain,El Hierro,ES-CN-HI,681.26,912.66,5.56,5.56,demanda.ree.es,false,
2023-01-01 21:00:00,Spain,El Hierro,ES-CN-HI,678.39,908.53,6.12,6.12,demanda.ree.es,false,
2023-01-01 22:00:00,Spain,El Hierro,ES-CN-HI,660.92,884.5,8.98,8.98,demanda.ree.es,false,
2023-01-01 23:00:00,Spain,El Hierro,ES-CN-HI,680.83,912.05,5.64,5.64,demanda.ree.es,false,
2023-01-02 00:00:00,Spain,El Hierro,ES-CN-HI,709.66,953.66,0.0,0.0,demanda.ree.es,false,
2023-01-02 01:00:00,Spain,El Hierro,ES-CN-HI,709.66,953.66,0.0,0.0,demanda.ree.es,false,
2023-01-02 02:00:00,Spain,El Hierro,ES-CN-HI,709.66,953.66,0.0,0.0,demanda.ree.es,false,
2023-01-02 03:00:00,Spain,El Hierro,ES-CN-HI,709.66,953.66,0.0,0.0,demanda.ree.es,false,
2023-01-02 04:00:00,Spain,El Hierro,ES-CN-HI,709.66,953.66,0.0,0.0,demanda.ree.es,false,
2023-01-02 05:00:00,Spain,El Hierro,ES-CN-HI,709.66,953.66,0.0,0.0,demanda.ree.es,false,
2023-01-02 06:00:00,Spain,El Hierro,ES-CN-HI,709.66,953.66,0.0,0.0,demanda.ree.es,false,
2023-01-02 07:00:00,Spain,El Hierro,ES-CN-HI,709.66,953.66,0.0,0.0,demanda.ree.es,false,
2023-01-02 08:00:00,Spain,El Hierro,ES-CN-HI,709.66,953.66,0.0,0.0,demanda.ree.es,false,
2023-01-02 09:00:00,Spain,El Hierro,ES-CN-HI,709.66,953.66,0.0,0.0,demanda.ree.es,false,
2023-01-02 10:00:00,Spain,El Hierro,ES-CN-HI,709.66,953.66,0.0,0.0,demanda.ree.es,false,
2023-01-02 11:00:00,Spain,El Hierro,ES-CN-HI,709.66,953.66,0.0,0.0,demanda.ree.es,false,
2023-01-02 12:00:00,Spain,El Hierro,ES-CN-HI,668.88,899.59,5.75,5.75,demanda.ree.es,false,
2023-01-02 13:00:00,Spain,El Hierro,ES-CN-HI,646.15,869.45,8.95,8.95,demanda.ree.es,false,
2023-01-02 14:00:00,Spain,El Hierro,ES-CN-HI,624.99,841.38,11.93,11.93,demanda.ree.es,false,
2023-01-02 15:00:00,Spain,El Hierro,ES-CN-HI,623.89,839.92,12.09,12.09,demanda.ree.es,false,
2023-01-02 16:00:00,Spain,El Hierro,ES-CN-HI,528.6,713.56,25.51,25.51,demanda.ree.es,false,
2023-01-02 17:00:00,Spain,El Hierro,ES-CN-HI,533.34,719.86,24.84,24.84,demanda.ree.es,false,
2023-01-02 18:00:00,Spain,El Hierro,ES-CN-HI,606.68,817.11,14.51,14.51,demanda.ree.es,false,
2023-01-02 19:00:00,Spain,El Hierro,ES-CN-HI,567.1,764.62,20.09,20.09,demanda.ree.es,false,
2023-01-02 20:00:00,Spain,El Hierro,ES-CN-HI,503.62,680.45,29.03,29.03,demanda.ree.es,false,
2023-01-02 21:00:00,Spain,El Hierro,ES-CN-HI,450.17,609.57,36.56,36.56,demanda.ree.es,false,
2023-01-02 22:00:00,Spain,El Hierro,ES-CN-HI,449.94,609.26,36.6,36.6,demanda.ree.es,false,
2023-01-02 23:00:00,Spain,El Hierro,ES-CN-HI,440.56,596.83,37.92,37.92,demanda.ree.es,false,
2023-01-03 00:00:00,Spain,El Hierro,ES-CN-HI,487.26,658.75,31.34,31.34,demanda.ree.es,false,
2023-01-03 01:00:00,Spain,El Hierro,ES-CN-HI,490.08,662.49,30.94,30.94,demanda.ree.es,false,
2023-01-03 02:00:00,Spain,El Hierro,ES-CN-HI,544.47,734.62,23.28,23.28,demanda.ree.es,false,
2023-01-03 03:00:00,Spain,El Hierro,ES-CN-HI,550.47,742.56,22.43,22.43,demanda.ree.es,false,
2023-01-03 04:00:00,Spain,El Hierro,ES-CN-HI,524.2,706.83,26.55,26.55,demanda.ree.es,false,
2023-01-03 05:00:00,Spain,El Hierro,ES-CN-HI,466.73,625.59,37.0,37.0,demanda.ree.es,false,
2023-01-03 06:00:00,Spain,El Hierro,ES-CN-HI,426.25,577.48,40.11,40.11,demanda.ree.es,false,
2023-01-03 07:00:00,Spain,El Hierro,ES-CN-HI,429.6,581.3,39.92,39.92,demanda.ree.es,false,
2023-01-03 08:00:00,Spain,El Hierro,ES-CN-HI,439.46,594.67,38.4,38.4,demanda.ree.es,false,
2023-01-03 09:00:00,Spain,El Hierro,ES-CN-HI,382.85,517.76,47.23,47.23,demanda.ree.es,false,
2023-01-03 10:00:00,Spain,El Hierro,ES-CN-HI,411.4,556.27,42.91,42.91,demanda.ree.es,false,
2023-01-03 11:00:00,Spain,El Hierro,ES-CN-HI,431.05,583.68,39.51,39.51,demanda.ree.es,false,
2023-01-03 12:00:00,Spain,El Hierro,ES-CN-HI,515.26,692.08,29.16,29.16,demanda.ree.es,false,
2023-01-03 13:00:00,Spain,El Hierro,ES-CN-HI,568.84,759.69,23.21,23.21,demanda.ree.es,false,
