Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Spain,Lanzarote,ES-CN-LZ,657.48,898.19,1.42,1.42,demanda.ree.es,false,
2023-01-01 01:00:00,Spain,Lanzarote,ES-CN-LZ,660.26,902.45,0.78,0.78,demanda.ree.es,false,
2023-01-01 02:00:00,Spain,Lanzarote,ES-CN-LZ,653.8,893.88,1.69,1.69,demanda.ree.es,false,
2023-01-01 03:00:00,Spain,Lanzarote,ES-CN-LZ,629.44,860.91,5.42,5.42,demanda.ree.es,false,
2023-01-01 04:00:00,Spain,Lanzarote,ES-CN-LZ,573.16,784.51,14.11,14.11,demanda.ree.es,false,
2023-01-01 05:00:00,Spain,Lanzarote,ES-CN-LZ,590.24,806.94,11.8,11.8,demanda.ree.es,false,
2023-01-01 06:00:00,Spain,Lanzarote,ES-CN-LZ,598.38,818.0,10.54,10.54,demanda.ree.es,false,
2023-01-01 07:00:00,Spain,Lanzarote,ES-CN-LZ,614.24,840.13,7.83,7.83,demanda.ree.es,false,
2023-01-01 08:00:00,Spain,Lanzarote,ES-CN-LZ,617.3,844.39,7.33,7.33,demanda.ree.es,false,
2023-01-01 09:00:00,Spain,Lanzarote,ES-CN-LZ,625.11,854.97,6.17,6.17,demanda.ree.es,false,
2023-01-01 10:00:00,Spain,Lanzarote,ES-CN-LZ,613.35,838.21,8.39,8.39,demanda.ree.es,false,
2023-01-01 11:00:00,Spain,Lanzarote,ES-CN-LZ,620.23,847.68,7.33,7.33,demanda.ree.es,false,
2023-01-01 12:00:00,Spain,Lanzarote,ES-CN-LZ,619.49,847.28,7.19,7.19,demanda.ree.es,false,
2023-01-01 13:00:00,Spain,Lanzarote,ES-CN-LZ,626.96,857.54,5.99,5.99,demanda.ree.es,false,
2023-01-01 14:00:00,Spain,Lanzarote,ES-CN-LZ,633.91,867.29,4.74,4.74,demanda.ree.es,false,
