Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Spain,Tenerife,ES-CN-TE,679.49,918.49,2.16,2.16,demanda.ree.es,false,
2023-01-01 01:00:00,Spain,Tenerife,ES-CN-TE,688.11,929.99,0.92,0.92,demanda.ree.es,false,
2023-01-01 02:00:00,Spain,Tenerife,ES-CN-TE,688.7,930.78,0.83,0.83,demanda.ree.es,false,
2023-01-01 03:00:00,Spain,Tenerife,ES-CN-TE,687.59,929.3,0.99,0.99,demanda.ree.es,false,
2023-01-01 04:00:00,Spain,Tenerife,ES-CN-TE,671.17,907.4,3.36,3.36,demanda.ree.es,false,
2023-01-01 05:00:00,Spain,Tenerife,ES-CN-TE,652.46,882.46,6.05,6.05,demanda.ree.es,false,
2023-01-01 06:00:00,Spain,Tenerife,ES-CN-TE,675.17,912.74,2.78,2.78,demanda.ree.es,false,
2023-01-01 07:00:00,Spain,Tenerife,ES-CN-TE,682.19,922.09,1.77,1.77,demanda.ree.es,false,
2023-01-01 08:00:00,Spain,Tenerife,ES-CN-TE,676.95,915.23,2.52,2.52,demanda.ree.es,false,
2023-01-01 09:00:00,Spain,Tenerife,ES-CN-TE,659.07,891.86,5.1,5.1,demanda.ree.es,false,
2023-01-01 10:00:00,Spain,Tenerife,ES-CN-TE,634.84,860.08,8.59,8.59,demanda.ree.es,false,
2023-01-01 11:00:00,Spain,Tenerife,ES-CN-TE,602.57,817.52,13.23,13.23,demanda.ree.es,false,
2023-01-01 12:00:00,Spain,Tenerife,ES-CN-TE,591.09,802.35,14.89,14.89,demanda.ree.es,false,
2023-01-01 13:00:00,Spain,Tenerife,ES-CN-TE,597.11,810.34,14.02,14.02,demanda.ree.es,false,
2023-01-01 14:00:00,Spain,Tenerife,ES-CN-TE,607.51,824.05,12.52,12.52,demanda.ree.es,false,
2023-01-01 15:00:00,Spain,Tenerife,ES-CN-TE,619.25,839.48,10.83,10.83,demanda.ree.es,false,
2023-01-01 16:00:00,Spain,Tenerife,ES-CN-TE,641.64,868.93,7.61,7.61,demanda.ree.es,false,
2023-01-01 17:00:00,Spain,Tenerife,ES-CN-TE,673.56,910.95,3.01,3.01,demanda.ree.es,false,
2023-01-01 18:00:00,Spain,Tenerife,ES-CN-TE,692.59,936.0,0.27,0.27,demanda.ree.es,false,
2023-01-01 19:00:00,Spain,Tenerife,ES-CN-TE,694.47,938.47,0.0,0.0,demanda.ree.es,false,
2023-01-01 20:00:00,Spain,Tenerife,ES-CN-TE,694.47,938.47,0.0,0.0,demanda.ree.es,false,
2023-01-01 21:00:00,Spain,Tenerife,ES-CN-TE,694.32,938.27,0.02,0.02,demanda.ree.es,false,
2023-01-01 22:00:00,Spain,Tenerife,ES-CN-TE,690.9,933.71,0.51,0.51,demanda.ree.es,false,
2023-01-01 23:00:00,Spain,Tenerife,ES-CN-TE,690.03,932.55,0.64,0.64,demanda.ree.es,false,
2023-01-02 00:00:00,Spain,Tenerife,ES-CN-TE,685.43,926.42,1.3,1.3,demanda.ree.es,false,
2023-01-02 01:00:00,Spain,Tenerife,ES-CN-TE,686.79,928.23,1.11,1.11,demanda.ree.es,false,
2023-01-02 02:00:00,Spain,Tenerife,ES-CN-TE,687.51,929.19,1.0,1.0,demanda.ree.es,false,
2023-01-02 03:00:00,Spain,Tenerife,ES-CN-TE,674.39,911.7,2.89,2.89,demanda.ree.es,false,
2023-01-02 04:00:00,Spain,Tenerife,ES-CN-TE,675.62,913.34,2.71,2.71,demanda.ree.es,false,
2023-01-02 05:00:00,Spain,Tenerife,ES-CN-TE,689.32,931.6,0.74,0.74,demanda.ree.es,false,
2023-01-02 06:00:00,Spain,Tenerife,ES-CN-TE,687.61,929.32,0.99,0.99,demanda.ree.es,false,
2023-01-02 07:00:00,Spain,Tenerife,ES-CN-TE,686.6,927.98,1.13,1.13,demanda.ree.es,false,
2023-01-02 08:00:00,Spain,Tenerife,ES-CN-TE,683.59,924.06,1.57,1.57,demanda.ree.es,false,
2023-01-02 09:00:00,Spain,Tenerife,ES-CN-TE,658.33,890.86,5.2,5.2,demanda.ree.es,false,
2023-01-02 10:00:00,Spain,Tenerife,ES-CN-TE,631.83,856.03,9.02,9.02,demanda.ree.es,false,
2023-01-02 11:00:00,Spain,Tenerife,ES-CN-TE,600.9,815.2,13.47,13.47,demanda.ree.es,false,
2023-01-02 12:00:00,Spain,Tenerife,ES-CN-TE,586.06,795.66,15.61,15.61,demanda.ree.es,false,
2023-01-02 13:00:00,Spain,Tenerife,ES-CN-TE,609.24,826.09,12.27,12.27,demanda.ree.es,false,
2023-01-02 14:00:00,Spain,Tenerife,ES-CN-TE,641.85,868.97,7.58,7.58,demanda.ree.es,false,
2023-01-02 15:00:00,Spain,Tenerife,ES-CN-TE,653.96,884.83,5.83,5.83,demanda.ree.es,false,
2023-01-02 16:00:00,Spain,Tenerife,ES-CN-TE,659.45,892.0,5.04,5.04,demanda.ree.es,false,
2023-01-02 17:00:00,Spain,Tenerife,ES-CN-TE,669.56,905.36,3.59,3.59,demanda.ree.es,false,
2023-01-02 18:00:00,Spain,Tenerife,ES-CN-TE,675.96,913.8,2.66,2.66,demanda.ree.es,false,
2023-01-02 19:00:00,Spain,Tenerife,ES-CN-TE,668.09,903.3,3.8,3.8,demanda.ree.es,false,
2023-01-02 20:00:00,Spain,Tenerife,ES-CN-TE,650.58,879.96,6.32,6.32,demanda.ree.es,false,
2023-01-02 21:00:00,Spain,Tenerife,ES-CN-TE,676.45,914.45,2.59,2.59,demanda.ree.es,false,
2023-01-02 22:00:00,Spain,Tenerife,ES-CN-TE,651.1,880.66,6.24,6.24,demanda.ree.es,false,
2023-01-02 23:00:00,Spain,Tenerife,ES-CN-TE,660.61,893.32,4.88,4.88,demanda.ree.es,false,
2023-01-03 00:00:00,Spain,Tenerife,ES-CN-TE,648.05,876.59,6.68,6.68,demanda.ree.es,false,
2023-01-03 01:00:00,Spain,Tenerife,ES-CN-TE,658.67,890.74,5.15,5.15,demanda.ree.es,false,
2023-01-03 02:00:00,Spain,Tenerife,ES-CN-TE,672.35,908.98,3.18,3.18,demanda.ree.es,false,
2023-01-03 03:00:00,Spain,Tenerife,ES-CN-TE,642.22,868.81,7.52,7.52,demanda.ree.es,false,
2023-01-03 04:00:00,Spain,Tenerife,ES-CN-TE,655.06,885.93,5.67,5.67,demanda.ree.es,false,
2023-01-03 05:00:00,Spain,Tenerife,ES-CN-TE,632.3,855.58,8.95,8.95,demanda.ree.es,false,
2023-01-03 06:00:00,Spain,Tenerife,ES-CN-TE,616.15,834.05,11.28,11.28,demanda.ree.es,false,
2023-01-03 07:00:00,Spain,Tenerife,ES-CN-TE,606.16,820.74,12.72,12.72,demanda.ree.es,false,
2023-01-03 08:00:00,Spain,Tenerife,ES-CN-TE,649.79,878.96,6.43,6.43,demanda.ree.es,false,
2023-01-03 09:00:00,Spain,Tenerife,ES-CN-TE,633.53,857.65,8.77,8.77,demanda.ree.es,false,
2023-01-03 10:00:00,Spain,Tenerife,ES-CN-TE,546.46,742.0,21.31,21.31,demanda.ree.es,false,
2023-01-03 11:00:00,Spain,Tenerife,ES-CN-TE,448.04,611.45,35.48,35.48,demanda.ree.es,false,
2023-01-03 12:00:00,Spain,Tenerife,ES-CN-TE,426.71,583.18,38.56,38.56,demanda.ree.es,false,
2023-01-03 13:00:00,Spain,Tenerife,ES-CN-TE,390.61,535.16,43.75,43.75,demanda.ree.es,false,
2023-01-03 14:00:00,Spain,Tenerife,ES-CN-TE,391.94,536.8,43.56,43.56,demanda.ree.es,false,
2023-01-03 15:00:00,Spain,Tenerife,ES-CN-TE,395.29,541.0,43.08,43.08,demanda.ree.es,false,
2023-01-03 16:00:00,Spain,Tenerife,ES-CN-TE,427.34,583.24,38.46,38.46,demanda.ree.es,false,
2023-01-03 17:00:00,Spain,Tenerife,ES-CN-TE,472.12,642.34,32.02,32.02,demanda.ree.es,false,
