Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Spain,Formentera,ES-IB-FO,359.84,468.72,19.93,13.54,demanda.ree.es,false,
2023-01-01 01:00:00,Spain,Formentera,ES-IB-FO,356.67,465.13,20.99,14.05,demanda.ree.es,false,
2023-01-01 02:00:00,Spain,Formentera,ES-IB-FO,352.27,459.87,22.27,14.45,demanda.ree.es,false,
2023-01-01 03:00:00,Spain,Formentera,ES-IB-FO,349.21,456.41,23.25,14.76,demanda.ree.es,false,
2023-01-01 04:00:00,Spain,Formentera,ES-IB-FO,348.53,455.6,23.57,14.6,demanda.ree.es,false,
2023-01-01 05:00:00,Spain,Formentera,ES-IB-FO,348.93,455.94,23.27,14.31,demanda.ree.es,false,
2023-01-01 06:00:00,Spain,Formentera,ES-IB-FO,352.79,460.39,22.24,13.91,demanda.ree.es,false,
2023-01-01 07:00:00,Spain,Formentera,ES-IB-FO,350.22,457.25,22.85,14.61,demanda.ree.es,false,
2023-01-01 08:00:00,Spain,Formentera,ES-IB-FO,316.07,414.66,31.08,21.88,demanda.ree.es,false,
2023-01-01 09:00:00,Spain,Formentera,ES-IB-FO,279.32,369.53,39.97,31.7,demanda.ree.es,false,
2023-01-01 10:00:00,Spain,Formentera,ES-IB-FO,273.03,362.3,41.5,35.75,demanda.ree.es,false,
2023-01-01 11:00:00,Spain,Formentera,ES-IB-FO,273.51,363.28,41.57,36.79,demanda.ree.es,false,
2023-01-01 12:00:00,Spain,Formentera,ES-IB-FO,271.32,360.6,42.27,37.11,demanda.ree.es,false,
2023-01-01 13:00:00,Spain,Formentera,ES-IB-FO,280.44,371.31,40.24,34.85,demanda.ree.es,false,
2023-01-01 14:00:00,Spain,Formentera,ES-IB-FO,291.8,385.22,37.2,31.39,demanda.ree.es,false,
2023-01-01 15:00:00,Spain,Formentera,ES-IB-FO,331.06,432.91,27.2,21.34,demanda.ree.es,false,
2023-01-01 16:00:00,Spain,Formentera,ES-IB-FO,340.59,443.39,24.41,17.58,demanda.ree.es,false,
2023-01-01 17:00:00,Spain,Formentera,ES-IB-FO,331.56,431.3,26.28,19.48,demanda.ree.es,false,
2023-01-01 18:00:00,Spain,Formentera,ES-IB-FO,303.26,395.15,33.17,24.99,demanda.ree.es,false,
2023-01-01 19:00:00,Spain,Formentera,ES-IB-FO,304.7,396.5,32.89,25.05,demanda.ree.es,false,
2023-01-01 20:00:00,Spain,Formentera,ES-IB-FO,316.16,410.86,30.22,23.23,demanda.ree.es,false,
