Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Spain,Ibiza,ES-IB-IZ,346.85,452.62,20.39,13.85,demanda.ree.es,false,
2023-01-01 01:00:00,Spain,Ibiza,ES-IB-IZ,342.94,448.13,21.49,14.38,demanda.ree.es,false,
2023-01-01 02:00:00,Spain,Ibiza,ES-IB-IZ,338.16,442.41,22.82,14.81,demanda.ree.es,false,
2023-01-01 03:00:00,Spain,Ibiza,ES-IB-IZ,334.72,438.49,23.84,15.13,demanda.ree.es,false,
2023-01-01 04:00:00,Spain,Ibiza,ES-IB-IZ,333.52,437.03,24.19,14.98,demanda.ree.es,false,
2023-01-01 05:00:00,Spain,Ibiza,ES-IB-IZ,334.27,437.8,23.86,14.67,demanda.ree.es,false,
2023-01-01 06:00:00,Spain,Ibiza,ES-IB-IZ,338.41,442.58,22.79,14.26,demanda.ree.es,false,
2023-01-01 07:00:00,Spain,Ibiza,ES-IB-IZ,335.62,439.17,23.44,15.0,demanda.ree.es,false,
2023-01-01 08:00:00,Spain,Ibiza,ES-IB-IZ,299.12,393.66,32.02,22.58,demanda.ree.es,false,
2023-01-01 09:00:00,Spain,Ibiza,ES-IB-IZ,259.38,344.85,41.25,32.73,demanda.ree.es,false,
2023-01-01 10:00:00,Spain,Ibiza,ES-IB-IZ,251.66,335.86,42.87,36.95,demanda.ree.es,false,
2023-01-01 11:00:00,Spain,Ibiza,ES-IB-IZ,250.27,334.54,43.05,38.1,demanda.ree.es,false,
2023-01-01 12:00:00,Spain,Ibiza,ES-IB-IZ,247.48,331.11,43.8,38.46,demanda.ree.es,false,
2023-01-01 13:00:00,Spain,Ibiza,ES-IB-IZ,256.45,341.62,41.74,36.15,demanda.ree.es,false,
2023-01-01 14:00:00,Spain,Ibiza,ES-IB-IZ,270.6,358.99,38.49,32.5,demanda.ree.es,false,
2023-01-01 15:00:00,Spain,Ibiza,ES-IB-IZ,314.79,412.77,28.08,22.06,demanda.ree.es,false,
2023-01-01 16:00:00,Spain,Ibiza,ES-IB-IZ,327.7,427.38,24.94,17.96,demanda.ree.es,false,
2023-01-01 17:00:00,Spain,Ibiza,ES-IB-IZ,319.88,416.79,26.79,19.86,demanda.ree.es,false,
2023-01-01 18:00:00,Spain,Ibiza,ES-IB-IZ,291.62,380.67,33.79,25.46,demanda.ree.es,false,
2023-01-01 19:00:00,Spain,Ibiza,ES-IB-IZ,293.18,382.15,33.5,25.51,demanda.ree.es,false,
2023-01-01 20:00:00,Spain,Ibiza,ES-IB-IZ,304.76,396.67,30.79,23.67,demanda.ree.es,false,
2023-01-01 21:00:00,Spain,Ibiza,ES-IB-IZ,309.65,403.9,29.42,22.5,demanda.ree.es,false,
2023-01-01 22:00:00,Spain,Ibiza,ES-IB-IZ,314.4,410.99,28.27,21.38,demanda.ree.es,false,
2023-01-01 23:00:00,Spain,Ibiza,ES-IB-IZ,325.61,426.0,25.6,19.22,demanda.ree.es,false,
2023-01-02 00:00:00,Spain,Ibiza,ES-IB-IZ,336.22,440.05,23.09,17.5,demanda.ree.es,false,
2023-01-02 01:00:00,Spain,Ibiza,ES-IB-IZ,351.36,459.49,19.5,14.84,demanda.ree.es,false,
2023-01-02 02:00:00,Spain,Ibiza,ES-IB-IZ,350.54,458.53,19.79,14.76,demanda.ree.es,false,
2023-01-02 03:00:00,Spain,Ibiza,ES-IB-IZ,350.66,458.94,19.82,14.68,demanda.ree.es,false,
2023-01-02 04:00:00,Spain,Ibiza,ES-IB-IZ,338.12,442.89,22.83,16.39,demanda.ree.es,false,
2023-01-02 05:00:00,Spain,Ibiza,ES-IB-IZ,336.44,439.19,22.99,16.05,demanda.ree.es,false,
2023-01-02 06:00:00,Spain,Ibiza,ES-IB-IZ,338.3,441.09,22.4,15.25,demanda.ree.es,false,
2023-01-02 07:00:00,Spain,Ibiza,ES-IB-IZ,356.77,463.58,17.99,12.81,demanda.ree.es,false,
2023-01-02 08:00:00,Spain,Ibiza,ES-IB-IZ,344.78,448.51,20.81,15.68,demanda.ree.es,false,
2023-01-02 09:00:00,Spain,Ibiza,ES-IB-IZ,294.24,385.68,33.1,26.19,demanda.ree.es,false,
2023-01-02 10:00:00,Spain,Ibiza,ES-IB-IZ,266.55,351.76,39.76,32.8,demanda.ree.es,false,
2023-01-02 11:00:00,Spain,Ibiza,ES-IB-IZ,267.22,353.09,39.48,33.11,demanda.ree.es,false,
2023-01-02 12:00:00,Spain,Ibiza,ES-IB-IZ,311.11,408.75,28.52,25.66,demanda.ree.es,false,
2023-01-02 13:00:00,Spain,Ibiza,ES-IB-IZ,314.64,412.95,27.76,24.75,demanda.ree.es,false,
2023-01-02 14:00:00,Spain,Ibiza,ES-IB-IZ,294.93,386.95,33.14,27.01,demanda.ree.es,false,
2023-01-02 15:00:00,Spain,Ibiza,ES-IB-IZ,337.73,439.4,22.94,17.6,demanda.ree.es,false,
2023-01-02 16:00:00,Spain,Ibiza,ES-IB-IZ,397.87,514.19,8.78,6.72,demanda.ree.es,false,
2023-01-02 17:00:00,Spain,Ibiza,ES-IB-IZ,422.65,540.65,6.12,4.67,demanda.ree.es,false,
2023-01-02 18:00:00,Spain,Ibiza,ES-IB-IZ,425.28,543.66,6.14,4.7,demanda.ree.es,false,
2023-01-02 19:00:00,Spain,Ibiza,ES-IB-IZ,428.91,547.37,6.05,4.58,demanda.ree.es,false,
2023-01-02 20:00:00,Spain,Ibiza,ES-IB-IZ,414.7,530.51,8.9,6.44,demanda.ree.es,false,
2023-01-02 21:00:00,Spain,Ibiza,ES-IB-IZ,365.73,474.16,16.89,11.95,demanda.ree.es,false,
2023-01-02 22:00:00,Spain,Ibiza,ES-IB-IZ,328.99,429.08,25.77,17.5,demanda.ree.es,false,
2023-01-02 23:00:00,Spain,Ibiza,ES-IB-IZ,375.19,489.58,13.98,9.7,demanda.ree.es,false,
2023-01-03 00:00:00,Spain,Ibiza,ES-IB-IZ,352.34,461.94,19.66,12.67,demanda.ree.es,false,
2023-01-03 01:00:00,Spain,Ibiza,ES-IB-IZ,360.85,472.95,17.67,12.03,demanda.ree.es,false,
2023-01-03 02:00:00,Spain,Ibiza,ES-IB-IZ,359.22,471.4,18.2,12.52,demanda.ree.es,false,
2023-01-03 03:00:00,Spain,Ibiza,ES-IB-IZ,359.48,471.51,18.12,12.47,demanda.ree.es,false,
2023-01-03 04:00:00,Spain,Ibiza,ES-IB-IZ,347.46,456.12,20.9,14.13,demanda.ree.es,false,
2023-01-03 05:00:00,Spain,Ibiza,ES-IB-IZ,383.99,500.62,11.75,8.73,demanda.ree.es,false,
2023-01-03 06:00:00,Spain,Ibiza,ES-IB-IZ,391.98,509.53,9.73,7.5,demanda.ree.es,false,
2023-01-03 07:00:00,Spain,Ibiza,ES-IB-IZ,395.03,512.53,8.85,7.05,demanda.ree.es,false,
2023-01-03 08:00:00,Spain,Ibiza,ES-IB-IZ,386.13,500.97,10.84,9.27,demanda.ree.es,false,
2023-01-03 09:00:00,Spain,Ibiza,ES-IB-IZ,364.09,474.5,15.99,14.46,demanda.ree.es,false,
