Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Spain,Mallorca,ES-IB-MA,346.85,452.62,20.39,13.85,demanda.ree.es,false,
2023-01-01 01:00:00,Spain,Mallorca,ES-IB-MA,342.95,448.14,21.49,14.38,demanda.ree.es,false,
2023-01-01 02:00:00,Spain,Mallorca,ES-IB-MA,338.17,442.41,22.82,14.81,demanda.ree.es,false,
2023-01-01 03:00:00,Spain,Mallorca,ES-IB-MA,334.72,438.5,23.84,15.13,demanda.ree.es,false,
2023-01-01 04:00:00,Spain,Mallorca,ES-IB-MA,333.53,437.03,24.19,14.98,demanda.ree.es,false,
2023-01-01 05:00:00,Spain,Mallorca,ES-IB-MA,334.27,437.8,23.86,14.67,demanda.ree.es,false,
2023-01-01 06:00:00,Spain,Mallorca,ES-IB-MA,338.41,442.58,22.79,14.26,demanda.ree.es,false,
2023-01-01 07:00:00,Spain,Mallorca,ES-IB-MA,335.97,439.61,23.36,14.91,demanda.ree.es,false,
2023-01-01 08:00:00,Spain,Mallorca,ES-IB-MA,301.49,396.58,31.48,21.97,demanda.ree.es,false,
2023-01-01 09:00:00,Spain,Mallorca,ES-IB-MA,263.05,349.36,40.42,31.78,demanda.ree.es,false,
2023-01-01 10:00:00,Spain,Mallorca,ES-IB-MA,257.0,342.46,41.66,35.61,demanda.ree.es,false,
2023-01-01 11:00:00,Spain,Mallorca,ES-IB-MA,256.26,341.94,41.69,36.62,demanda.ree.es,false,
2023-01-01 12:00:00,Spain,Mallorca,ES-IB-MA,253.33,338.33,42.48,37.0,demanda.ree.es,false,
2023-01-01 13:00:00,Spain,Mallorca,ES-IB-MA,261.99,348.46,40.48,34.77,demanda.ree.es,false,
2023-01-01 14:00:00,Spain,Mallorca,ES-IB-MA,273.94,363.11,37.73,31.67,demanda.ree.es,false,
2023-01-01 15:00:00,Spain,Mallorca,ES-IB-MA,315.86,414.09,27.83,21.8,demanda.ree.es,false,
2023-01-01 16:00:00,Spain,Mallorca,ES-IB-MA,327.85,427.57,24.91,17.92,demanda.ree.es,false,
2023-01-01 17:00:00,Spain,Mallorca,ES-IB-MA,319.88,416.79,26.79,19.86,demanda.ree.es,false,
2023-01-01 18:00:00,Spain,Mallorca,ES-IB-MA,291.61,380.65,33.79,25.46,demanda.ree.es,false,
2023-01-01 19:00:00,Spain,Mallorca,ES-IB-MA,293.18,382.15,33.5,25.51,demanda.ree.es,false,
2023-01-01 20:00:00,Spain,Mallorca,ES-IB-MA,304.77,396.68,30.79,23.66,demanda.ree.es,false,
2023-01-01 21:00:00,Spain,Mallorca,ES-IB-MA,309.66,403.91,29.42,22.5,demanda.ree.es,false,
2023-01-01 22:00:00,Spain,Mallorca,ES-IB-MA,314.43,411.02,28.27,21.38,demanda.ree.es,false,
2023-01-01 23:00:00,Spain,Mallorca,ES-IB-MA,325.63,426.03,25.59,19.21,demanda.ree.es,false,
2023-01-02 00:00:00,Spain,Mallorca,ES-IB-MA,336.22,440.05,23.09,17.5,demanda.ree.es,false,
2023-01-02 01:00:00,Spain,Mallorca,ES-IB-MA,351.36,459.49,19.5,14.84,demanda.ree.es,false,
2023-01-02 02:00:00,Spain,Mallorca,ES-IB-MA,350.54,458.53,19.79,14.76,demanda.ree.es,false,
2023-01-02 03:00:00,Spain,Mallorca,ES-IB-MA,350.66,458.95,19.82,14.68,demanda.ree.es,false,
2023-01-02 04:00:00,Spain,Mallorca,ES-IB-MA,338.12,442.88,22.83,16.39,demanda.ree.es,false,
2023-01-02 05:00:00,Spain,Mallorca,ES-IB-MA,336.49,439.25,22.98,16.03,demanda.ree.es,false,
2023-01-02 06:00:00,Spain,Mallorca,ES-IB-MA,338.33,441.12,22.4,15.25,demanda.ree.es,false,
2023-01-02 07:00:00,Spain,Mallorca,ES-IB-MA,356.99,463.85,17.94,12.76,demanda.ree.es,false,
2023-01-02 08:00:00,Spain,Mallorca,ES-IB-MA,346.56,450.71,20.4,15.25,demanda.ree.es,false,
2023-01-02 09:00:00,Spain,Mallorca,ES-IB-MA,297.44,389.59,32.37,25.39,demanda.ree.es,false,
2023-01-02 10:00:00,Spain,Mallorca,ES-IB-MA,270.22,356.25,38.93,31.88,demanda.ree.es,false,
2023-01-02 11:00:00,Spain,Mallorca,ES-IB-MA,270.66,357.3,38.7,32.25,demanda.ree.es,false,
2023-01-02 12:00:00,Spain,Mallorca,ES-IB-MA,314.69,413.15,27.7,24.81,demanda.ree.es,false,
2023-01-02 13:00:00,Spain,Mallorca,ES-IB-MA,318.43,417.62,26.89,23.85,demanda.ree.es,false,
2023-01-02 14:00:00,Spain,Mallorca,ES-IB-MA,296.78,389.22,32.72,26.56,demanda.ree.es,false,
2023-01-02 15:00:00,Spain,Mallorca,ES-IB-MA,338.91,440.85,22.67,17.31,demanda.ree.es,false,
2023-01-02 16:00:00,Spain,Mallorca,ES-IB-MA,394.77,511.09,8.88,6.78,demanda.ree.es,false,
2023-01-02 17:00:00,Spain,Mallorca,ES-IB-MA,402.06,519.78,6.97,5.32,demanda.ree.es,false,
2023-01-02 18:00:00,Spain,Mallorca,ES-IB-MA,401.48,519.6,7.14,5.47,demanda.ree.es,false,
2023-01-02 19:00:00,Spain,Mallorca,ES-IB-MA,401.09,519.25,7.24,5.47,demanda.ree.es,false,
2023-01-02 20:00:00,Spain,Mallorca,ES-IB-MA,388.83,503.96,10.37,7.5,demanda.ree.es,false,
2023-01-02 21:00:00,Spain,Mallorca,ES-IB-MA,362.68,470.97,17.11,12.11,demanda.ree.es,false,
2023-01-02 22:00:00,Spain,Mallorca,ES-IB-MA,329.01,429.1,25.77,17.5,demanda.ree.es,false,
2023-01-02 23:00:00,Spain,Mallorca,ES-IB-MA,375.12,489.49,13.99,9.71,demanda.ree.es,false,
2023-01-03 00:00:00,Spain,Mallorca,ES-IB-MA,352.34,461.94,19.66,12.67,demanda.ree.es,false,
2023-01-03 01:00:00,Spain,Mallorca,ES-IB-MA,360.85,472.95,17.67,12.03,demanda.ree.es,false,
2023-01-03 02:00:00,Spain,Mallorca,ES-IB-MA,359.22,471.4,18.2,12.52,demanda.ree.es,false,
2023-01-03 03:00:00,Spain,Mallorca,ES-IB-MA,359.48,471.51,18.12,12.47,demanda.ree.es,false,
2023-01-03 04:00:00,Spain,Mallorca,ES-IB-MA,347.46,456.12,20.9,14.13,demanda.ree.es,false,
2023-01-03 05:00:00,Spain,Mallorca,ES-IB-MA,384.03,500.67,11.73,8.72,demanda.ree.es,false,
2023-01-03 06:00:00,Spain,Mallorca,ES-IB-MA,391.99,509.54,9.72,7.49,demanda.ree.es,false,
2023-01-03 07:00:00,Spain,Mallorca,ES-IB-MA,395.14,512.68,8.83,7.02,demanda.ree.es,false,
2023-01-03 08:00:00,Spain,Mallorca,ES-IB-MA,387.32,502.43,10.57,9.0,demanda.ree.es,false,
2023-01-03 09:00:00,Spain,Mallorca,ES-IB-MA,366.07,476.94,15.53,13.99,demanda.ree.es,false,
2023-01-03 10:00:00,Spain,Mallorca,ES-IB-MA,339.89,445.16,21.65,20.04,demanda.ree.es,false,
2023-01-03 11:00:00,Spain,Mallorca,ES-IB-MA,327.34,429.6,24.7,22.25,demanda.ree.es,false,
2023-01-03 12:00:00,Spain,Mallorca,ES-IB-MA,336.94,441.09,22.48,19.83,demanda.ree.es,false,
2023-01-03 13:00:00,Spain,Mallorca,ES-IB-MA,312.22,410.19,28.68,23.19,demanda.ree.es,false,
2023-01-03 14:00:00,Spain,Mallorca,ES-IB-MA,318.36,417.54,27.28,21.25,demanda.ree.es,false,
2023-01-03 15:00:00,Spain,Mallorca,ES-IB-MA,346.17,452.1,20.57,15.81,demanda.ree.es,false,
2023-01-03 16:00:00,Spain,Mallorca,ES-IB-MA,393.64,510.96,9.1,7.17,demanda.ree.es,false,
2023-01-03 17:00:00,Spain,Mallorca,ES-IB-MA,400.81,519.3,7.4,5.92,demanda.ree.es,false,
2023-01-03 18:00:00,Spain,Mallorca,ES-IB-MA,401.88,520.28,7.07,5.68,demanda.ree.es,false,
2023-01-03 19:00:00,Spain,Mallorca,ES-IB-MA,401.44,519.77,7.18,5.72,demanda.ree.es,false,
2023-01-03 20:00:00,Spain,Mallorca,ES-IB-MA,388.57,503.46,10.4,7.81,demanda.ree.es,false,
2023-01-03 21:00:00,Spain,Mallorca,ES-IB-MA,344.2,447.78,21.49,14.34,demanda.ree.es,false,
2023-01-03 22:00:00,Spain,Mallorca,ES-IB-MA,354.92,462.66,18.75,12.06,demanda.ree.es,false,
2023-01-03 23:00:00,Spain,Mallorca,ES-IB-MA,348.64,455.86,20.44,12.73,demanda.ree.es,false,
2023-01-04 00:00:00,Spain,Mallorca,ES-IB-MA,346.7,454.57,21.11,13.32,demanda.ree.es,false,
2023-01-04 01:00:00,Spain,Mallorca,ES-IB-MA,356.56,467.87,18.79,12.25,demanda.ree.es,false,
2023-01-04 02:00:00,Spain,Mallorca,ES-IB-MA,355.9,467.04,18.96,12.31,demanda.ree.es,false,
2023-01-04 03:00:00,Spain,Mallorca,ES-IB-MA,355.7,466.88,19.05,12.4,demanda.ree.es,false,
2023-01-04 04:00:00,Spain,Mallorca,ES-IB-MA,341.63,448.83,22.47,14.32,demanda.ree.es,false,
2023-01-04 05:00:00,Spain,Mallorca,ES-IB-MA,338.61,443.52,23.0,14.52,demanda.ree.es,false,
2023-01-04 06:00:00,Spain,Mallorca,ES-IB-MA,325.23,424.9,26.16,16.62,demanda.ree.es,false,
2023-01-04 07:00:00,Spain,Mallorca,ES-IB-MA,339.57,441.24,22.84,15.87,demanda.ree.es,false,
2023-01-04 08:00:00,Spain,Mallorca,ES-IB-MA,298.37,389.6,33.0,24.92,demanda.ree.es,false,
2023-01-04 09:00:00,Spain,Mallorca,ES-IB-MA,263.33,347.42,41.11,33.31,demanda.ree.es,false,
2023-01-04 10:00:00,Spain,Mallorca,ES-IB-MA,261.66,346.73,41.05,34.84,demanda.ree.es,false,
2023-01-04 11:00:00,Spain,Mallorca,ES-IB-MA,268.7,356.6,39.09,33.81,demanda.ree.es,false,
2023-01-04 12:00:00,Spain,Mallorca,ES-IB-MA,271.98,360.3,38.07,32.59,demanda.ree.es,false,
2023-01-04 13:00:00,Spain,Mallorca,ES-IB-MA,277.5,368.85,37.12,31.81,demanda.ree.es,false,
2023-01-04 14:00:00,Spain,Mallorca,ES-IB-MA,279.3,370.76,36.87,30.34,demanda.ree.es,false,
2023-01-04 15:00:00,Spain,Mallorca,ES-IB-MA,298.13,393.61,32.48,24.33,demanda.ree.es,false,
2023-01-04 16:00:00,Spain,Mallorca,ES-IB-MA,317.15,415.47,28.33,19.16,demanda.ree.es,false,
2023-01-04 17:00:00,Spain,Mallorca,ES-IB-MA,382.71,497.08,12.11,8.97,demanda.ree.es,false,
2023-01-04 18:00:00,Spain,Mallorca,ES-IB-MA,399.31,518.45,7.94,6.31,demanda.ree.es,false,
2023-01-04 19:00:00,Spain,Mallorca,ES-IB-MA,398.38,516.79,8.09,6.23,demanda.ree.es,false,
2023-01-04 20:00:00,Spain,Mallorca,ES-IB-MA,363.0,472.31,17.07,11.74,demanda.ree.es,false,
