Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Spain,Menorca,ES-IB-ME,795.98,1027.96,1.77,1.2,demanda.ree.es,false,
2023-01-01 01:00:00,Spain,Menorca,ES-IB-ME,817.2,1055.16,0.93,0.62,demanda.ree.es,false,
2023-01-01 02:00:00,Spain,Menorca,ES-IB-ME,835.32,1078.36,0.15,0.1,demanda.ree.es,false,
2023-01-01 03:00:00,Spain,Menorca,ES-IB-ME,838.76,1082.76,0.0,0.0,demanda.ree.es,false,
2023-01-01 04:00:00,Spain,Menorca,ES-IB-ME,838.76,1082.76,0.0,0.0,demanda.ree.es,false,
2023-01-01 05:00:00,Spain,Menorca,ES-IB-ME,825.4,1065.67,0.62,0.38,demanda.ree.es,false,
2023-01-01 06:00:00,Spain,Menorca,ES-IB-ME,718.93,929.44,5.46,3.41,demanda.ree.es,false,
2023-01-01 07:00:00,Spain,Menorca,ES-IB-ME,698.97,904.06,6.94,4.69,demanda.ree.es,false,
2023-01-01 08:00:00,Spain,Menorca,ES-IB-ME,646.18,837.3,13.08,10.19,demanda.ree.es,false,
2023-01-01 09:00:00,Spain,Menorca,ES-IB-ME,585.67,761.11,20.52,17.56,demanda.ree.es,false,
2023-01-01 10:00:00,Spain,Menorca,ES-IB-ME,582.55,757.62,21.84,19.94,demanda.ree.es,false,
2023-01-01 11:00:00,Spain,Menorca,ES-IB-ME,594.7,773.32,21.44,20.04,demanda.ree.es,false,
2023-01-01 12:00:00,Spain,Menorca,ES-IB-ME,578.79,753.08,22.57,20.89,demanda.ree.es,false,
2023-01-01 13:00:00,Spain,Menorca,ES-IB-ME,613.05,796.18,18.83,17.2,demanda.ree.es,false,
2023-01-01 14:00:00,Spain,Menorca,ES-IB-ME,641.68,832.27,15.53,13.9,demanda.ree.es,false,
2023-01-01 15:00:00,Spain,Menorca,ES-IB-ME,666.04,862.22,10.39,8.61,demanda.ree.es,false,
2023-01-01 16:00:00,Spain,Menorca,ES-IB-ME,645.46,834.87,9.46,6.84,demanda.ree.es,false,
2023-01-01 17:00:00,Spain,Menorca,ES-IB-ME,636.92,823.7,10.41,7.7,demanda.ree.es,false,
2023-01-01 18:00:00,Spain,Menorca,ES-IB-ME,642.73,831.22,12.1,9.12,demanda.ree.es,false,
2023-01-01 19:00:00,Spain,Menorca,ES-IB-ME,639.61,827.02,12.23,9.31,demanda.ree.es,false,
2023-01-01 20:00:00,Spain,Menorca,ES-IB-ME,650.24,840.55,10.86,8.35,demanda.ree.es,false,
2023-01-01 21:00:00,Spain,Menorca,ES-IB-ME,666.92,862.28,9.56,7.31,demanda.ree.es,false,
2023-01-01 22:00:00,Spain,Menorca,ES-IB-ME,698.34,902.86,7.56,5.72,demanda.ree.es,false,
2023-01-01 23:00:00,Spain,Menorca,ES-IB-ME,737.73,953.45,5.03,3.77,demanda.ree.es,false,
2023-01-02 00:00:00,Spain,Menorca,ES-IB-ME,775.82,1002.26,2.89,2.19,demanda.ree.es,false,
2023-01-02 01:00:00,Spain,Menorca,ES-IB-ME,798.49,1031.27,1.61,1.23,demanda.ree.es,false,
2023-01-02 02:00:00,Spain,Menorca,ES-IB-ME,799.02,1031.95,1.61,1.2,demanda.ree.es,false,
2023-01-02 03:00:00,Spain,Menorca,ES-IB-ME,798.36,1031.13,1.64,1.21,demanda.ree.es,false,
2023-01-02 04:00:00,Spain,Menorca,ES-IB-ME,768.57,993.05,3.2,2.29,demanda.ree.es,false,
2023-01-02 05:00:00,Spain,Menorca,ES-IB-ME,702.33,907.95,6.21,4.33,demanda.ree.es,false,
2023-01-02 06:00:00,Spain,Menorca,ES-IB-ME,634.5,820.86,9.12,6.21,demanda.ree.es,false,
2023-01-02 07:00:00,Spain,Menorca,ES-IB-ME,702.63,907.94,5.29,3.86,demanda.ree.es,false,
2023-01-02 08:00:00,Spain,Menorca,ES-IB-ME,675.09,872.86,7.69,6.1,demanda.ree.es,false,
2023-01-02 09:00:00,Spain,Menorca,ES-IB-ME,641.91,831.11,13.03,10.76,demanda.ree.es,false,
2023-01-02 10:00:00,Spain,Menorca,ES-IB-ME,644.27,834.87,15.17,13.21,demanda.ree.es,false,
2023-01-02 11:00:00,Spain,Menorca,ES-IB-ME,668.62,866.28,14.06,12.66,demanda.ree.es,false,
2023-01-02 12:00:00,Spain,Menorca,ES-IB-ME,693.28,897.77,11.07,10.57,demanda.ree.es,false,
2023-01-02 13:00:00,Spain,Menorca,ES-IB-ME,694.54,899.24,10.58,10.0,demanda.ree.es,false,
2023-01-02 14:00:00,Spain,Menorca,ES-IB-ME,683.68,884.9,11.06,9.64,demanda.ree.es,false,
2023-01-02 15:00:00,Spain,Menorca,ES-IB-ME,723.66,935.25,6.18,5.09,demanda.ree.es,false,
2023-01-02 16:00:00,Spain,Menorca,ES-IB-ME,727.57,939.61,2.25,1.75,demanda.ree.es,false,
2023-01-02 17:00:00,Spain,Menorca,ES-IB-ME,705.27,910.67,2.13,1.63,demanda.ree.es,false,
2023-01-02 18:00:00,Spain,Menorca,ES-IB-ME,692.11,893.89,2.4,1.84,demanda.ree.es,false,
2023-01-02 19:00:00,Spain,Menorca,ES-IB-ME,695.25,897.98,2.37,1.79,demanda.ree.es,false,
2023-01-02 20:00:00,Spain,Menorca,ES-IB-ME,714.28,922.62,2.86,2.07,demanda.ree.es,false,
2023-01-02 21:00:00,Spain,Menorca,ES-IB-ME,724.11,935.43,4.12,2.92,demanda.ree.es,false,
2023-01-02 22:00:00,Spain,Menorca,ES-IB-ME,670.85,867.45,8.51,5.77,demanda.ree.es,false,
2023-01-02 23:00:00,Spain,Menorca,ES-IB-ME,659.57,853.48,5.65,3.89,demanda.ree.es,false,
2023-01-03 00:00:00,Spain,Menorca,ES-IB-ME,707.95,915.8,5.25,3.39,demanda.ree.es,false,
2023-01-03 01:00:00,Spain,Menorca,ES-IB-ME,737.08,953.01,3.8,2.61,demanda.ree.es,false,
2023-01-03 02:00:00,Spain,Menorca,ES-IB-ME,730.03,944.14,4.13,2.84,demanda.ree.es,false,
2023-01-03 03:00:00,Spain,Menorca,ES-IB-ME,727.81,941.26,4.2,2.89,demanda.ree.es,false,
2023-01-03 04:00:00,Spain,Menorca,ES-IB-ME,692.16,895.78,6.25,4.22,demanda.ree.es,false,
2023-01-03 05:00:00,Spain,Menorca,ES-IB-ME,678.86,878.05,4.06,3.03,demanda.ree.es,false,
2023-01-03 06:00:00,Spain,Menorca,ES-IB-ME,771.36,996.26,1.44,1.11,demanda.ree.es,false,
2023-01-03 07:00:00,Spain,Menorca,ES-IB-ME,717.65,927.16,2.55,2.07,demanda.ree.es,false,
2023-01-03 08:00:00,Spain,Menorca,ES-IB-ME,692.14,894.64,4.83,4.37,demanda.ree.es,false,
2023-01-03 09:00:00,Spain,Menorca,ES-IB-ME,685.16,886.4,7.1,6.68,demanda.ree.es,false,
2023-01-03 10:00:00,Spain,Menorca,ES-IB-ME,699.6,905.63,9.15,8.84,demanda.ree.es,false,
2023-01-03 11:00:00,Spain,Menorca,ES-IB-ME,638.52,827.68,12.46,11.69,demanda.ree.es,false,
2023-01-03 12:00:00,Spain,Menorca,ES-IB-ME,664.95,861.0,9.81,9.03,demanda.ree.es,false,
2023-01-03 13:00:00,Spain,Menorca,ES-IB-ME,650.22,842.49,12.4,10.79,demanda.ree.es,false,
2023-01-03 14:00:00,Spain,Menorca,ES-IB-ME,690.68,893.7,8.67,7.12,demanda.ree.es,false,
2023-01-03 15:00:00,Spain,Menorca,ES-IB-ME,736.18,951.48,4.52,3.59,demanda.ree.es,false,
2023-01-03 16:00:00,Spain,Menorca,ES-IB-ME,725.55,937.32,2.27,1.79,demanda.ree.es,false,
2023-01-03 17:00:00,Spain,Menorca,ES-IB-ME,724.54,935.81,1.93,1.55,demanda.ree.es,false,
2023-01-03 18:00:00,Spain,Menorca,ES-IB-ME,756.15,976.41,1.34,1.07,demanda.ree.es,false,
2023-01-03 19:00:00,Spain,Menorca,ES-IB-ME,745.78,963.06,1.53,1.22,demanda.ree.es,false,
2023-01-03 20:00:00,Spain,Menorca,ES-IB-ME,755.38,975.46,1.91,1.44,demanda.ree.es,false,
2023-01-03 21:00:00,Spain,Menorca,ES-IB-ME,690.3,892.17,6.59,4.38,demanda.ree.es,false,
2023-01-03 22:00:00,Spain,Menorca,ES-IB-ME,719.14,929.44,4.62,2.98,demanda.ree.es,false,
2023-01-03 23:00:00,Spain,Menorca,ES-IB-ME,764.92,988.31,3.08,1.92,demanda.ree.es,false,
2023-01-04 00:00:00,Spain,Menorca,ES-IB-ME,804.7,1039.26,1.44,0.91,demanda.ree.es,false,
2023-01-04 01:00:00,Spain,Menorca,ES-IB-ME,831.38,1073.35,0.29,0.19,demanda.ree.es,false,
2023-01-04 02:00:00,Spain,Menorca,ES-IB-ME,764.16,987.62,2.92,1.9,demanda.ree.es,false,
2023-01-04 03:00:00,Spain,Menorca,ES-IB-ME,747.22,966.05,3.61,2.35,demanda.ree.es,false,
2023-01-04 04:00:00,Spain,Menorca,ES-IB-ME,719.55,930.75,5.38,3.43,demanda.ree.es,false,
