Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Spain,Melilla,ES-ML,369.93,612.68,8.89,8.89,demanda.ree.es,false,
2023-01-01 01:00:00,Spain,Melilla,ES-ML,369.13,611.86,9.08,9.08,demanda.ree.es,false,
2023-01-01 02:00:00,Spain,Melilla,ES-ML,369.12,611.85,9.08,9.08,demanda.ree.es,false,
2023-01-01 03:00:00,Spain,Melilla,ES-ML,364.43,607.0,10.24,10.24,demanda.ree.es,false,
2023-01-01 04:00:00,Spain,Melilla,ES-ML,362.33,604.82,10.76,10.76,demanda.ree.es,false,
2023-01-01 05:00:00,Spain,Melilla,ES-ML,371.17,613.97,8.58,8.58,demanda.ree.es,false,
2023-01-01 06:00:00,Spain,Melilla,ES-ML,373.05,615.91,8.12,8.12,demanda.ree.es,false,
2023-01-01 07:00:00,Spain,Melilla,ES-ML,369.56,612.31,8.97,8.97,demanda.ree.es,false,
2023-01-01 08:00:00,Spain,Melilla,ES-ML,372.57,615.41,8.23,8.23,demanda.ree.es,false,
2023-01-01 09:00:00,Spain,Melilla,ES-ML,375.65,618.61,7.47,7.47,demanda.ree.es,false,
2023-01-01 10:00:00,Spain,Melilla,ES-ML,376.54,619.52,7.26,7.26,demanda.ree.es,false,
2023-01-01 11:00:00,Spain,Melilla,ES-ML,379.13,622.21,6.62,6.62,demanda.ree.es,false,
2023-01-01 12:00:00,Spain,Melilla,ES-ML,382.44,625.63,5.8,5.8,demanda.ree.es,false,
2023-01-01 13:00:00,Spain,Melilla,ES-ML,382.42,625.61,5.81,5.81,demanda.ree.es,false,
2023-01-01 14:00:00,Spain,Melilla,ES-ML,377.83,620.85,6.94,6.94,demanda.ree.es,false,
2023-01-01 15:00:00,Spain,Melilla,ES-ML,377.54,620.56,7.01,7.01,demanda.ree.es,false,
2023-01-01 16:00:00,Spain,Melilla,ES-ML,375.49,618.44,7.51,7.51,demanda.ree.es,false,
2023-01-01 17:00:00,Spain,Melilla,ES-ML,378.95,622.01,6.66,6.66,demanda.ree.es,false,
2023-01-01 18:00:00,Spain,Melilla,ES-ML,380.63,623.75,6.25,6.25,demanda.ree.es,false,
2023-01-01 19:00:00,Spain,Melilla,ES-ML,380.06,623.17,6.39,6.39,demanda.ree.es,false,
2023-01-01 20:00:00,Spain,Melilla,ES-ML,383.65,626.88,5.5,5.5,demanda.ree.es,false,
2023-01-01 21:00:00,Spain,Melilla,ES-ML,381.19,624.34,6.11,6.11,demanda.ree.es,false,
2023-01-01 22:00:00,Spain,Melilla,ES-ML,377.09,620.09,7.12,7.12,demanda.ree.es,false,
2023-01-01 23:00:00,Spain,Melilla,ES-ML,376.9,619.89,7.17,7.17,demanda.ree.es,false,
2023-01-02 00:00:00,Spain,Melilla,ES-ML,375.67,618.62,7.47,7.47,demanda.ree.es,false,
2023-01-02 01:00:00,Spain,Melilla,ES-ML,373.45,616.33,8.02,8.02,demanda.ree.es,false,
2023-01-02 02:00:00,Spain,Melilla,ES-ML,371.4,614.21,8.52,8.52,demanda.ree.es,false,
2023-01-02 03:00:00,Spain,Melilla,ES-ML,371.57,614.39,8.48,8.48,demanda.ree.es,false,
2023-01-02 04:00:00,Spain,Melilla,ES-ML,371.93,614.76,8.39,8.39,demanda.ree.es,false,
2023-01-02 05:00:00,Spain,Melilla,ES-ML,377.88,620.91,6.93,6.93,demanda.ree.es,false,
2023-01-02 06:00:00,Spain,Melilla,ES-ML,376.82,619.81,7.19,7.19,demanda.ree.es,false,
2023-01-02 07:00:00,Spain,Melilla,ES-ML,372.84,615.7,8.17,8.17,demanda.ree.es,false,
2023-01-02 08:00:00,Spain,Melilla,ES-ML,374.5,617.42,7.76,7.76,demanda.ree.es,false,
2023-01-02 09:00:00,Spain,Melilla,ES-ML,376.35,619.32,7.3,7.3,demanda.ree.es,false,
2023-01-02 10:00:00,Spain,Melilla,ES-ML,377.26,620.27,7.08,7.08,demanda.ree.es,false,
2023-01-02 11:00:00,Spain,Melilla,ES-ML,376.41,615.89,7.04,7.04,demanda.ree.es,false,
2023-01-02 12:00:00,Spain,Melilla,ES-ML,377.71,620.23,6.93,6.93,demanda.ree.es,false,
2023-01-02 13:00:00,Spain,Melilla,ES-ML,379.84,622.94,6.44,6.44,demanda.ree.es,false,
