Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Finland,Finland,FI,61.16,94.99,90.89,47.85,entsoe.eu,false,
2023-01-01 01:00:00,Finland,Finland,FI,60.53,94.4,90.98,48.38,entsoe.eu,false,
2023-01-01 02:00:00,Finland,Finland,FI,60.15,94.26,91.1,48.39,entsoe.eu,false,
2023-01-01 03:00:00,Finland,Finland,FI,61.33,95.76,90.86,47.83,entsoe.eu,false,
2023-01-01 04:00:00,Finland,Finland,FI,61.83,96.75,90.86,47.13,entsoe.eu,false,
2023-01-01 05:00:00,Finland,Finland,FI,61.27,96.32,90.93,47.79,entsoe.eu,false,
2023-01-01 06:00:00,Finland,Finland,FI,62.23,97.38,90.79,47.2,entsoe.eu,false,
2023-01-01 07:00:00,Finland,Finland,FI,62.44,97.92,90.79,47.16,entsoe.eu,false,
2023-01-01 08:00:00,Finland,Finland,FI,62.76,98.13,90.69,47.17,entsoe.eu,false,
2023-01-01 09:00:00,Finland,Finland,FI,62.32,97.66,90.75,47.52,entsoe.eu,false,
2023-01-01 10:00:00,Finland,Finland,FI,61.6,96.67,90.72,48.53,entsoe.eu,false,
2023-01-01 11:00:00,Finland,Finland,FI,61.18,95.9,90.91,48.67,entsoe.eu,false,
2023-01-01 12:00:00,Finland,Finland,FI,62.33,97.24,90.8,47.97,entsoe.eu,false,
2023-01-01 13:00:00,Finland,Finland,FI,60.91,95.35,91.0,49.75,entsoe.eu,false,
2023-01-01 14:00:00,Finland,Finland,FI,61.07,95.54,90.98,50.59,entsoe.eu,false,
2023-01-01 15:00:00,Finland,Finland,FI,64.94,99.7,90.42,50.09,entsoe.eu,false,
2023-01-01 16:00:00,Finland,Finland,FI,66.82,101.75,90.19,50.62,entsoe.eu,false,
2023-01-01 17:00:00,Finland,Finland,FI,68.61,103.64,90.0,50.69,entsoe.eu,false,
2023-01-01 18:00:00,Finland,Finland,FI,69.62,104.9,89.84,50.38,entsoe.eu,false,
2023-01-01 19:00:00,Finland,Finland,FI,71.39,107.24,89.54,49.48,entsoe.eu,false,
2023-01-01 20:00:00,Finland,Finland,FI,71.54,107.38,89.52,48.8,entsoe.eu,false,
2023-01-01 21:00:00,Finland,Finland,FI,73.91,110.47,89.2,47.98,entsoe.eu,false,
2023-01-01 22:00:00,Finland,Finland,FI,77.11,114.39,88.72,46.39,entsoe.eu,false,
2023-01-01 23:00:00,Finland,Finland,FI,78.26,115.78,88.53,46.13,entsoe.eu,false,
2023-01-02 00:00:00,Finland,Finland,FI,78.45,115.97,88.55,45.96,entsoe.eu,false,
2023-01-02 01:00:00,Finland,Finland,FI,79.08,116.79,88.42,45.73,entsoe.eu,false,
2023-01-02 02:00:00,Finland,Finland,FI,81.31,119.9,88.03,44.76,entsoe.eu,false,
2023-01-02 03:00:00,Finland,Finland,FI,84.14,123.61,87.74,43.68,entsoe.eu,false,
2023-01-02 04:00:00,Finland,Finland,FI,86.51,125.91,87.44,46.13,entsoe.eu,false,
2023-01-02 05:00:00,Finland,Finland,FI,86.82,125.77,87.41,48.79,entsoe.eu,false,
2023-01-02 06:00:00,Finland,Finland,FI,89.26,128.71,87.01,48.75,entsoe.eu,false,
2023-01-02 07:00:00,Finland,Finland,FI,90.39,129.98,86.87,48.38,entsoe.eu,false,
2023-01-02 08:00:00,Finland,Finland,FI,95.51,137.1,86.17,49.06,entsoe.eu,false,
2023-01-02 09:00:00,Finland,Finland,FI,101.44,145.89,85.11,57.47,entsoe.eu,false,
2023-01-02 10:00:00,Finland,Finland,FI,99.57,143.61,85.64,58.14,entsoe.eu,false,
2023-01-02 11:00:00,Finland,Finland,FI,99.88,143.82,85.61,56.15,entsoe.eu,false,
2023-01-02 12:00:00,Finland,Finland,FI,101.36,145.5,85.31,55.76,entsoe.eu,false,
2023-01-02 13:00:00,Finland,Finland,FI,101.64,145.57,85.35,55.87,entsoe.eu,false,
2023-01-02 14:00:00,Finland,Finland,FI,101.18,144.88,85.48,56.06,entsoe.eu,false,
2023-01-02 15:00:00,Finland,Finland,FI,98.71,141.49,85.82,56.91,entsoe.eu,false,
2023-01-02 16:00:00,Finland,Finland,FI,100.28,142.88,85.64,51.99,entsoe.eu,false,
2023-01-02 17:00:00,Finland,Finland,FI,103.11,146.05,85.23,50.28,entsoe.eu,false,
2023-01-02 18:00:00,Finland,Finland,FI,108.36,152.35,84.42,48.67,entsoe.eu,false,
2023-01-02 19:00:00,Finland,Finland,FI,107.73,151.57,84.48,44.87,entsoe.eu,false,
2023-01-02 20:00:00,Finland,Finland,FI,102.45,145.49,85.13,41.38,entsoe.eu,false,
2023-01-02 21:00:00,Finland,Finland,FI,101.16,144.52,85.11,39.9,entsoe.eu,false,
2023-01-02 22:00:00,Finland,Finland,FI,99.7,143.01,85.57,38.69,entsoe.eu,false,
2023-01-02 23:00:00,Finland,Finland,FI,103.23,147.4,84.91,36.92,entsoe.eu,false,
2023-01-03 00:00:00,Finland,Finland,FI,107.7,152.37,83.94,35.64,entsoe.eu,false,
2023-01-03 01:00:00,Finland,Finland,FI,108.39,152.76,83.89,35.18,entsoe.eu,false,
2023-01-03 02:00:00,Finland,Finland,FI,111.34,156.03,83.45,34.78,entsoe.eu,false,
2023-01-03 03:00:00,Finland,Finland,FI,111.68,155.96,83.43,35.46,entsoe.eu,false,
2023-01-03 04:00:00,Finland,Finland,FI,122.11,167.51,82.1,36.09,entsoe.eu,false,
2023-01-03 05:00:00,Finland,Finland,FI,125.2,171.0,81.59,38.26,entsoe.eu,false,
2023-01-03 06:00:00,Finland,Finland,FI,128.67,174.59,81.15,39.68,entsoe.eu,false,
2023-01-03 07:00:00,Finland,Finland,FI,138.12,185.25,79.85,38.91,entsoe.eu,false,
2023-01-03 08:00:00,Finland,Finland,FI,144.56,193.82,78.86,41.35,entsoe.eu,false,
2023-01-03 09:00:00,Finland,Finland,FI,145.97,195.41,78.71,44.15,entsoe.eu,false,
2023-01-03 10:00:00,Finland,Finland,FI,139.96,188.65,79.52,46.01,entsoe.eu,false,
2023-01-03 11:00:00,Finland,Finland,FI,140.36,189.03,79.34,46.36,entsoe.eu,false,
2023-01-03 12:00:00,Finland,Finland,FI,141.39,190.9,79.09,46.04,entsoe.eu,false,
2023-01-03 13:00:00,Finland,Finland,FI,140.03,189.49,79.36,46.74,entsoe.eu,false,
2023-01-03 14:00:00,Finland,Finland,FI,136.91,185.5,79.83,47.96,entsoe.eu,false,
2023-01-03 15:00:00,Finland,Finland,FI,136.19,184.45,79.91,47.04,entsoe.eu,false,
2023-01-03 16:00:00,Finland,Finland,FI,138.88,187.38,79.62,47.32,entsoe.eu,false,
2023-01-03 17:00:00,Finland,Finland,FI,145.17,194.76,78.74,46.31,entsoe.eu,false,
2023-01-03 18:00:00,Finland,Finland,FI,146.8,196.65,78.46,45.14,entsoe.eu,false,
2023-01-03 19:00:00,Finland,Finland,FI,145.88,196.4,78.81,43.53,entsoe.eu,false,
2023-01-03 20:00:00,Finland,Finland,FI,136.66,186.18,80.16,44.6,entsoe.eu,false,
2023-01-03 21:00:00,Finland,Finland,FI,132.66,181.91,80.67,44.5,entsoe.eu,false,
2023-01-03 22:00:00,Finland,Finland,FI,120.33,168.31,82.3,44.62,entsoe.eu,false,
2023-01-03 23:00:00,Finland,Finland,FI,118.58,165.45,82.6,45.29,entsoe.eu,false,
2023-01-04 00:00:00,Finland,Finland,FI,120.67,168.11,82.27,44.56,entsoe.eu,false,
2023-01-04 01:00:00,Finland,Finland,FI,125.47,173.85,81.54,43.57,entsoe.eu,false,
2023-01-04 02:00:00,Finland,Finland,FI,126.02,174.67,81.51,43.19,entsoe.eu,false,
2023-01-04 03:00:00,Finland,Finland,FI,123.69,172.16,81.89,44.57,entsoe.eu,false,
2023-01-04 04:00:00,Finland,Finland,FI,116.83,163.5,82.94,46.87,entsoe.eu,false,
2023-01-04 05:00:00,Finland,Finland,FI,117.18,163.72,82.78,48.17,entsoe.eu,false,
2023-01-04 06:00:00,Finland,Finland,FI,115.75,161.86,82.87,49.24,entsoe.eu,false,
2023-01-04 07:00:00,Finland,Finland,FI,114.57,160.35,83.17,49.26,entsoe.eu,false,
2023-01-04 08:00:00,Finland,Finland,FI,115.65,161.18,83.02,48.26,entsoe.eu,false,
2023-01-04 09:00:00,Finland,Finland,FI,113.12,158.07,83.34,49.11,entsoe.eu,false,
2023-01-04 10:00:00,Finland,Finland,FI,113.44,158.14,83.4,49.39,entsoe.eu,false,
2023-01-04 11:00:00,Finland,Finland,FI,114.01,158.69,83.34,49.08,entsoe.eu,false,
2023-01-04 12:00:00,Finland,Finland,FI,113.76,158.31,83.4,49.17,entsoe.eu,false,
2023-01-04 13:00:00,Finland,Finland,FI,113.79,158.07,83.46,49.37,entsoe.eu,false,
2023-01-04 14:00:00,Finland,Finland,FI,113.22,157.3,83.52,49.95,entsoe.eu,false,
2023-01-04 15:00:00,Finland,Finland,FI,113.88,158.2,83.45,49.85,entsoe.eu,false,
2023-01-04 16:00:00,Finland,Finland,FI,115.22,159.84,83.24,49.54,entsoe.eu,false,
2023-01-04 17:00:00,Finland,Finland,FI,115.37,160.02,83.2,49.45,entsoe.eu,false,
2023-01-04 18:00:00,Finland,Finland,FI,115.83,160.68,83.04,48.5,entsoe.eu,false,
2023-01-04 19:00:00,Finland,Finland,FI,114.85,159.87,83.14,48.31,entsoe.eu,false,
2023-01-04 20:00:00,Finland,Finland,FI,111.15,155.54,83.72,48.57,entsoe.eu,false,
2023-01-04 21:00:00,Finland,Finland,FI,110.86,155.39,83.74,48.24,entsoe.eu,false,
2023-01-04 22:00:00,Finland,Finland,FI,111.7,156.38,83.58,47.93,entsoe.eu,false,
2023-01-04 23:00:00,Finland,Finland,FI,111.94,157.13,83.54,46.9,entsoe.eu,false,
2023-01-05 00:00:00,Finland,Finland,FI,113.29,158.86,83.39,46.36,entsoe.eu,false,
2023-01-05 01:00:00,Finland,Finland,FI,111.06,156.47,83.76,46.44,entsoe.eu,false,
2023-01-05 02:00:00,Finland,Finland,FI,109.92,154.8,83.85,46.89,entsoe.eu,false,
2023-01-05 03:00:00,Finland,Finland,FI,108.37,151.71,84.09,47.44,entsoe.eu,false,
2023-01-05 04:00:00,Finland,Finland,FI,105.76,147.48,84.44,49.57,entsoe.eu,false,
2023-01-05 05:00:00,Finland,Finland,FI,107.66,149.07,84.23,50.83,entsoe.eu,false,
2023-01-05 06:00:00,Finland,Finland,FI,106.46,147.26,84.35,51.64,entsoe.eu,false,
2023-01-05 07:00:00,Finland,Finland,FI,109.01,150.68,83.9,51.77,entsoe.eu,false,
2023-01-05 08:00:00,Finland,Finland,FI,111.93,154.86,83.5,50.76,entsoe.eu,false,
2023-01-05 09:00:00,Finland,Finland,FI,112.18,155.69,83.34,50.85,entsoe.eu,false,
2023-01-05 10:00:00,Finland,Finland,FI,114.41,159.2,82.7,50.3,entsoe.eu,false,
2023-01-05 11:00:00,Finland,Finland,FI,118.25,164.55,82.08,48.2,entsoe.eu,false,
2023-01-05 12:00:00,Finland,Finland,FI,122.31,169.08,81.32,48.09,entsoe.eu,false,
2023-01-05 13:00:00,Finland,Finland,FI,123.11,170.28,81.12,47.8,entsoe.eu,false,
2023-01-05 14:00:00,Finland,Finland,FI,123.13,169.91,81.08,46.9,entsoe.eu,false,
2023-01-05 15:00:00,Finland,Finland,FI,122.67,169.31,81.15,46.84,entsoe.eu,false,
2023-01-05 16:00:00,Finland,Finland,FI,123.06,169.88,81.11,46.77,entsoe.eu,false,
2023-01-05 17:00:00,Finland,Finland,FI,123.4,170.34,81.06,46.5,entsoe.eu,false,
2023-01-05 18:00:00,Finland,Finland,FI,124.9,172.24,80.79,45.73,entsoe.eu,false,
2023-01-05 19:00:00,Finland,Finland,FI,126.19,173.9,80.64,44.11,entsoe.eu,false,
2023-01-05 20:00:00,Finland,Finland,FI,123.7,171.2,80.98,41.31,entsoe.eu,false,
2023-01-05 21:00:00,Finland,Finland,FI,123.64,171.86,80.94,39.63,entsoe.eu,false,
2023-01-05 22:00:00,Finland,Finland,FI,126.87,176.14,80.42,37.66,entsoe.eu,false,
2023-01-05 23:00:00,Finland,Finland,FI,128.61,177.86,80.09,36.25,entsoe.eu,false,
2023-01-06 00:00:00,Finland,Finland,FI,128.37,177.15,80.12,35.48,entsoe.eu,false,
2023-01-06 01:00:00,Finland,Finland,FI,128.27,177.0,80.16,34.98,entsoe.eu,false,
2023-01-06 02:00:00,Finland,Finland,FI,128.74,177.85,80.12,33.41,entsoe.eu,false,
2023-01-06 03:00:00,Finland,Finland,FI,129.04,178.19,80.13,33.36,entsoe.eu,false,
2023-01-06 04:00:00,Finland,Finland,FI,128.42,178.16,80.29,33.68,entsoe.eu,false,
2023-01-06 05:00:00,Finland,Finland,FI,127.97,177.79,80.4,34.64,entsoe.eu,false,
2023-01-06 06:00:00,Finland,Finland,FI,127.17,175.9,80.61,36.92,entsoe.eu,false,
2023-01-06 07:00:00,Finland,Finland,FI,122.05,169.26,81.44,39.34,entsoe.eu,false,
2023-01-06 08:00:00,Finland,Finland,FI,120.32,166.88,81.71,40.38,entsoe.eu,false,
2023-01-06 09:00:00,Finland,Finland,FI,117.74,163.61,82.01,41.53,entsoe.eu,false,
2023-01-06 10:00:00,Finland,Finland,FI,116.35,162.05,82.06,42.66,entsoe.eu,false,
2023-01-06 11:00:00,Finland,Finland,FI,116.41,162.19,82.08,42.17,entsoe.eu,false,
2023-01-06 12:00:00,Finland,Finland,FI,115.47,160.91,82.47,42.25,entsoe.eu,false,
2023-01-06 13:00:00,Finland,Finland,FI,117.12,162.81,82.01,42.59,entsoe.eu,false,
2023-01-06 14:00:00,Finland,Finland,FI,116.47,161.78,81.89,43.6,entsoe.eu,false,
2023-01-06 15:00:00,Finland,Finland,FI,117.42,162.53,81.67,44.7,entsoe.eu,false,
2023-01-06 16:00:00,Finland,Finland,FI,119.24,164.41,81.51,45.0,entsoe.eu,false,
2023-01-06 17:00:00,Finland,Finland,FI,119.21,163.81,81.51,44.81,entsoe.eu,false,
2023-01-06 18:00:00,Finland,Finland,FI,117.96,162.52,81.83,44.49,entsoe.eu,false,
2023-01-06 19:00:00,Finland,Finland,FI,118.7,163.71,81.68,43.4,entsoe.eu,false,
2023-01-06 20:00:00,Finland,Finland,FI,115.75,159.96,82.17,44.52,entsoe.eu,false,
2023-01-06 21:00:00,Finland,Finland,FI,116.52,161.11,82.35,43.39,entsoe.eu,false,
2023-01-06 22:00:00,Finland,Finland,FI,117.69,162.48,82.4,42.74,entsoe.eu,false,
2023-01-06 23:00:00,Finland,Finland,FI,115.52,159.29,83.2,43.4,entsoe.eu,false,
2023-01-07 00:00:00,Finland,Finland,FI,115.82,159.41,83.21,43.48,entsoe.eu,false,
2023-01-07 01:00:00,Finland,Finland,FI,116.37,160.08,83.12,43.14,entsoe.eu,false,
2023-01-07 02:00:00,Finland,Finland,FI,116.12,159.94,83.16,43.32,entsoe.eu,false,
2023-01-07 03:00:00,Finland,Finland,FI,115.04,158.79,83.33,43.57,entsoe.eu,false,
2023-01-07 04:00:00,Finland,Finland,FI,111.81,154.83,83.82,44.38,entsoe.eu,false,
2023-01-07 05:00:00,Finland,Finland,FI,110.64,153.48,83.99,45.16,entsoe.eu,false,
2023-01-07 06:00:00,Finland,Finland,FI,109.52,151.66,84.15,46.31,entsoe.eu,false,
2023-01-07 07:00:00,Finland,Finland,FI,108.53,150.32,84.21,47.01,entsoe.eu,false,
2023-01-07 08:00:00,Finland,Finland,FI,105.69,146.65,84.64,47.93,entsoe.eu,false,
