Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Micronesia,Micronesia,FM,391.07,626.77,3.68,3.68,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 01:00:00,Micronesia,Micronesia,FM,392.32,628.72,3.37,3.37,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 02:00:00,Micronesia,Micronesia,FM,393.56,630.63,3.06,3.06,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 03:00:00,Micronesia,Micronesia,FM,395.84,634.17,2.5,2.5,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 04:00:00,Micronesia,Micronesia,FM,393.68,630.83,3.03,3.03,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 05:00:00,Micronesia,Micronesia,FM,393.77,630.97,3.01,3.01,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 06:00:00,Micronesia,Micronesia,FM,396.09,634.57,2.44,2.44,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 07:00:00,Micronesia,Micronesia,FM,388.71,623.21,4.26,4.26,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 08:00:00,Micronesia,Micronesia,FM,386.53,619.86,4.79,4.79,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 09:00:00,Micronesia,Micronesia,FM,391.39,627.36,3.6,3.6,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 10:00:00,Micronesia,Micronesia,FM,395.5,633.66,2.59,2.59,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 11:00:00,Micronesia,Micronesia,FM,391.46,627.4,3.58,3.58,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 12:00:00,Micronesia,Micronesia,FM,390.85,626.46,3.73,3.73,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 13:00:00,Micronesia,Micronesia,FM,392.1,628.39,3.42,3.42,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 14:00:00,Micronesia,Micronesia,FM,388.84,623.36,4.23,4.23,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 15:00:00,Micronesia,Micronesia,FM,389.3,624.06,4.11,4.11,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 16:00:00,Micronesia,Micronesia,FM,388.4,622.67,4.33,4.33,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 17:00:00,Micronesia,Micronesia,FM,388.38,622.64,4.34,4.34,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 18:00:00,Micronesia,Micronesia,FM,384.48,616.64,5.3,5.3,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 19:00:00,Micronesia,Micronesia,FM,385.38,618.03,5.08,5.08,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 20:00:00,Micronesia,Micronesia,FM,388.67,623.1,4.27,4.27,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 21:00:00,Micronesia,Micronesia,FM,388.32,622.56,4.35,4.35,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 22:00:00,Micronesia,Micronesia,FM,393.46,630.47,3.09,3.09,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 23:00:00,Micronesia,Micronesia,FM,393.11,629.94,3.18,3.18,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 00:00:00,Micronesia,Micronesia,FM,392.8,629.45,3.25,3.25,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 01:00:00,Micronesia,Micronesia,FM,393.43,630.44,3.09,3.09,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 02:00:00,Micronesia,Micronesia,FM,392.6,629.15,3.3,3.3,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 03:00:00,Micronesia,Micronesia,FM,395.21,633.2,2.66,2.66,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 04:00:00,Micronesia,Micronesia,FM,397.1,636.11,2.19,2.19,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 05:00:00,Micronesia,Micronesia,FM,396.87,635.76,2.25,2.25,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 06:00:00,Micronesia,Micronesia,FM,394.73,632.48,2.78,2.78,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 07:00:00,Micronesia,Micronesia,FM,388.2,622.44,4.38,4.38,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 08:00:00,Micronesia,Micronesia,FM,386.33,619.55,4.85,4.85,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 09:00:00,Micronesia,Micronesia,FM,390.35,625.74,3.86,3.86,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 10:00:00,Micronesia,Micronesia,FM,393.8,631.03,3.01,3.01,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 11:00:00,Micronesia,Micronesia,FM,390.56,626.04,3.8,3.8,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 12:00:00,Micronesia,Micronesia,FM,391.39,627.31,3.6,3.6,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 13:00:00,Micronesia,Micronesia,FM,392.6,629.17,3.3,3.3,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 14:00:00,Micronesia,Micronesia,FM,389.58,624.51,4.04,4.04,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 15:00:00,Micronesia,Micronesia,FM,389.81,624.87,3.99,3.99,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 16:00:00,Micronesia,Micronesia,FM,390.41,625.8,3.84,3.84,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 17:00:00,Micronesia,Micronesia,FM,391.11,626.88,3.67,3.67,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 18:00:00,Micronesia,Micronesia,FM,386.3,619.46,4.85,4.85,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 19:00:00,Micronesia,Micronesia,FM,387.05,620.63,4.67,4.67,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 20:00:00,Micronesia,Micronesia,FM,389.84,624.93,3.98,3.98,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
