Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Faroe Islands,Main Islands,FO-MI,274.66,391.45,57.16,57.16,sev.fo,false,
2023-01-01 01:00:00,Faroe Islands,Main Islands,FO-MI,233.4,335.39,63.59,63.59,sev.fo,false,
2023-01-01 02:00:00,Faroe Islands,Main Islands,FO-MI,233.83,335.42,63.53,63.53,sev.fo,false,
2023-01-01 03:00:00,Faroe Islands,Main Islands,FO-MI,228.54,328.22,64.35,64.35,sev.fo,false,
2023-01-01 04:00:00,Faroe Islands,Main Islands,FO-MI,215.92,311.9,66.32,66.32,sev.fo,false,
2023-01-01 05:00:00,Faroe Islands,Main Islands,FO-MI,174.69,255.89,72.75,72.75,sev.fo,false,
2023-01-01 06:00:00,Faroe Islands,Main Islands,FO-MI,175.65,256.65,72.6,72.6,sev.fo,false,
2023-01-01 07:00:00,Faroe Islands,Main Islands,FO-MI,176.82,257.85,72.42,72.42,sev.fo,false,
2023-01-01 08:00:00,Faroe Islands,Main Islands,FO-MI,179.05,261.89,72.07,72.07,sev.fo,false,
2023-01-01 09:00:00,Faroe Islands,Main Islands,FO-MI,183.13,267.13,71.43,71.43,sev.fo,false,
2023-01-01 10:00:00,Faroe Islands,Main Islands,FO-MI,191.41,277.05,70.14,70.14,sev.fo,false,
2023-01-01 11:00:00,Faroe Islands,Main Islands,FO-MI,174.19,253.76,72.83,72.83,sev.fo,false,
2023-01-01 12:00:00,Faroe Islands,Main Islands,FO-MI,181.74,264.45,71.65,71.65,sev.fo,false,
2023-01-01 13:00:00,Faroe Islands,Main Islands,FO-MI,231.76,332.05,63.85,63.85,sev.fo,false,
2023-01-01 14:00:00,Faroe Islands,Main Islands,FO-MI,230.51,329.93,64.04,64.04,sev.fo,false,
2023-01-01 15:00:00,Faroe Islands,Main Islands,FO-MI,263.16,373.85,58.95,58.95,sev.fo,false,
2023-01-01 16:00:00,Faroe Islands,Main Islands,FO-MI,309.81,437.96,51.67,51.67,sev.fo,false,
2023-01-01 17:00:00,Faroe Islands,Main Islands,FO-MI,325.76,459.42,49.19,49.19,sev.fo,false,
2023-01-01 18:00:00,Faroe Islands,Main Islands,FO-MI,306.9,433.39,52.13,52.13,sev.fo,false,
2023-01-01 19:00:00,Faroe Islands,Main Islands,FO-MI,308.52,435.49,51.87,51.87,sev.fo,false,
2023-01-01 20:00:00,Faroe Islands,Main Islands,FO-MI,367.15,516.31,42.73,42.73,sev.fo,false,
2023-01-01 21:00:00,Faroe Islands,Main Islands,FO-MI,377.95,530.63,41.04,41.04,sev.fo,false,
2023-01-01 22:00:00,Faroe Islands,Main Islands,FO-MI,433.91,606.64,32.32,32.32,sev.fo,false,
2023-01-01 23:00:00,Faroe Islands,Main Islands,FO-MI,467.94,653.04,27.01,27.01,sev.fo,false,
2023-01-02 00:00:00,Faroe Islands,Main Islands,FO-MI,467.97,654.14,27.0,27.0,sev.fo,false,
2023-01-02 01:00:00,Faroe Islands,Main Islands,FO-MI,504.97,704.64,21.23,21.23,sev.fo,false,
2023-01-02 02:00:00,Faroe Islands,Main Islands,FO-MI,522.58,728.24,18.49,18.49,sev.fo,false,
2023-01-02 03:00:00,Faroe Islands,Main Islands,FO-MI,530.38,738.62,17.27,17.27,sev.fo,false,
2023-01-02 04:00:00,Faroe Islands,Main Islands,FO-MI,528.12,736.48,17.62,17.62,sev.fo,false,
2023-01-02 05:00:00,Faroe Islands,Main Islands,FO-MI,528.55,736.84,17.55,17.55,sev.fo,false,
2023-01-02 06:00:00,Faroe Islands,Main Islands,FO-MI,518.18,721.89,19.17,19.17,sev.fo,false,
2023-01-02 07:00:00,Faroe Islands,Main Islands,FO-MI,486.47,678.3,24.12,24.12,sev.fo,false,
2023-01-02 08:00:00,Faroe Islands,Main Islands,FO-MI,502.8,700.83,21.57,21.57,sev.fo,false,
2023-01-02 09:00:00,Faroe Islands,Main Islands,FO-MI,500.9,697.8,21.87,21.87,sev.fo,false,
2023-01-02 10:00:00,Faroe Islands,Main Islands,FO-MI,500.38,696.7,21.95,21.95,sev.fo,false,
2023-01-02 11:00:00,Faroe Islands,Main Islands,FO-MI,483.36,673.4,24.6,24.6,sev.fo,false,
2023-01-02 12:00:00,Faroe Islands,Main Islands,FO-MI,490.24,683.53,23.53,23.53,sev.fo,false,
2023-01-02 13:00:00,Faroe Islands,Main Islands,FO-MI,487.06,678.9,24.03,24.03,sev.fo,false,
2023-01-02 14:00:00,Faroe Islands,Main Islands,FO-MI,495.66,690.32,22.68,22.68,sev.fo,false,
2023-01-02 15:00:00,Faroe Islands,Main Islands,FO-MI,461.84,644.02,27.96,27.96,sev.fo,false,
2023-01-02 16:00:00,Faroe Islands,Main Islands,FO-MI,471.84,658.16,26.4,26.4,sev.fo,false,
2023-01-02 17:00:00,Faroe Islands,Main Islands,FO-MI,475.49,662.77,25.83,25.83,sev.fo,false,
2023-01-02 18:00:00,Faroe Islands,Main Islands,FO-MI,460.42,641.86,28.18,28.18,sev.fo,false,
2023-01-02 19:00:00,Faroe Islands,Main Islands,FO-MI,432.22,603.55,32.58,32.58,sev.fo,false,
2023-01-02 20:00:00,Faroe Islands,Main Islands,FO-MI,414.32,579.8,35.37,35.37,sev.fo,false,
2023-01-02 21:00:00,Faroe Islands,Main Islands,FO-MI,422.48,591.33,34.1,34.1,sev.fo,false,
2023-01-02 22:00:00,Faroe Islands,Main Islands,FO-MI,432.73,604.81,32.5,32.5,sev.fo,false,
2023-01-02 23:00:00,Faroe Islands,Main Islands,FO-MI,422.64,591.4,34.07,34.07,sev.fo,false,
2023-01-03 00:00:00,Faroe Islands,Main Islands,FO-MI,340.44,480.57,46.9,46.9,sev.fo,false,
2023-01-03 01:00:00,Faroe Islands,Main Islands,FO-MI,266.76,380.37,58.39,58.39,sev.fo,false,
2023-01-03 02:00:00,Faroe Islands,Main Islands,FO-MI,214.08,308.3,66.61,66.61,sev.fo,false,
2023-01-03 03:00:00,Faroe Islands,Main Islands,FO-MI,217.85,313.45,66.02,66.02,sev.fo,false,
2023-01-03 04:00:00,Faroe Islands,Main Islands,FO-MI,216.14,311.58,66.28,66.28,sev.fo,false,
2023-01-03 05:00:00,Faroe Islands,Main Islands,FO-MI,215.69,311.58,66.36,66.36,sev.fo,false,
2023-01-03 06:00:00,Faroe Islands,Main Islands,FO-MI,220.02,316.46,65.68,65.68,sev.fo,false,
2023-01-03 07:00:00,Faroe Islands,Main Islands,FO-MI,217.13,311.83,66.13,66.13,sev.fo,false,
2023-01-03 08:00:00,Faroe Islands,Main Islands,FO-MI,244.21,348.9,61.91,61.91,sev.fo,false,
2023-01-03 09:00:00,Faroe Islands,Main Islands,FO-MI,238.14,340.43,62.85,62.85,sev.fo,false,
2023-01-03 10:00:00,Faroe Islands,Main Islands,FO-MI,246.02,350.76,61.62,61.62,sev.fo,false,
2023-01-03 11:00:00,Faroe Islands,Main Islands,FO-MI,275.37,390.36,57.05,57.05,sev.fo,false,
2023-01-03 12:00:00,Faroe Islands,Main Islands,FO-MI,288.73,408.45,54.96,54.96,sev.fo,false,
2023-01-03 13:00:00,Faroe Islands,Main Islands,FO-MI,314.6,443.69,50.93,50.93,sev.fo,false,
2023-01-03 14:00:00,Faroe Islands,Main Islands,FO-MI,329.94,464.74,48.53,48.53,sev.fo,false,
2023-01-03 15:00:00,Faroe Islands,Main Islands,FO-MI,343.53,483.02,46.41,46.41,sev.fo,false,
2023-01-03 16:00:00,Faroe Islands,Main Islands,FO-MI,366.23,513.88,42.87,42.87,sev.fo,false,
2023-01-03 17:00:00,Faroe Islands,Main Islands,FO-MI,350.14,491.62,45.38,45.38,sev.fo,false,
2023-01-03 18:00:00,Faroe Islands,Main Islands,FO-MI,350.53,492.67,45.32,45.32,sev.fo,false,
2023-01-03 19:00:00,Faroe Islands,Main Islands,FO-MI,354.68,498.49,44.67,44.67,sev.fo,false,
2023-01-03 20:00:00,Faroe Islands,Main Islands,FO-MI,387.69,543.29,39.53,39.53,sev.fo,false,
2023-01-03 21:00:00,Faroe Islands,Main Islands,FO-MI,397.48,556.46,38.0,38.0,sev.fo,false,
2023-01-03 22:00:00,Faroe Islands,Main Islands,FO-MI,380.92,535.32,40.58,40.58,sev.fo,false,
2023-01-03 23:00:00,Faroe Islands,Main Islands,FO-MI,421.41,589.94,34.27,34.27,sev.fo,false,
2023-01-04 00:00:00,Faroe Islands,Main Islands,FO-MI,406.55,569.65,36.58,36.58,sev.fo,false,
2023-01-04 01:00:00,Faroe Islands,Main Islands,FO-MI,416.8,583.78,34.98,34.98,sev.fo,false,
2023-01-04 02:00:00,Faroe Islands,Main Islands,FO-MI,419.4,588.56,34.58,34.58,sev.fo,false,
2023-01-04 03:00:00,Faroe Islands,Main Islands,FO-MI,414.23,580.55,35.39,35.39,sev.fo,false,
2023-01-04 04:00:00,Faroe Islands,Main Islands,FO-MI,404.06,566.9,36.97,36.97,sev.fo,false,
2023-01-04 05:00:00,Faroe Islands,Main Islands,FO-MI,410.56,575.36,35.96,35.96,sev.fo,false,
2023-01-04 06:00:00,Faroe Islands,Main Islands,FO-MI,417.71,586.13,34.84,34.84,sev.fo,false,
2023-01-04 07:00:00,Faroe Islands,Main Islands,FO-MI,394.89,553.39,38.4,38.4,sev.fo,false,
2023-01-04 08:00:00,Faroe Islands,Main Islands,FO-MI,461.24,643.22,28.05,28.05,sev.fo,false,
2023-01-04 09:00:00,Faroe Islands,Main Islands,FO-MI,485.39,675.97,24.29,24.29,sev.fo,false,
2023-01-04 10:00:00,Faroe Islands,Main Islands,FO-MI,491.34,684.2,23.36,23.36,sev.fo,false,
2023-01-04 11:00:00,Faroe Islands,Main Islands,FO-MI,491.42,685.1,23.34,23.34,sev.fo,false,
2023-01-04 12:00:00,Faroe Islands,Main Islands,FO-MI,491.71,684.74,23.3,23.3,sev.fo,false,
2023-01-04 13:00:00,Faroe Islands,Main Islands,FO-MI,492.38,685.35,23.2,23.2,sev.fo,false,
2023-01-04 14:00:00,Faroe Islands,Main Islands,FO-MI,476.08,663.23,25.74,25.74,sev.fo,false,
2023-01-04 15:00:00,Faroe Islands,Main Islands,FO-MI,470.25,655.25,26.65,26.65,sev.fo,false,
2023-01-04 16:00:00,Faroe Islands,Main Islands,FO-MI,471.95,657.66,26.38,26.38,sev.fo,false,
2023-01-04 17:00:00,Faroe Islands,Main Islands,FO-MI,481.41,670.47,24.91,24.91,sev.fo,false,
2023-01-04 18:00:00,Faroe Islands,Main Islands,FO-MI,460.79,642.16,28.12,28.12,sev.fo,false,
2023-01-04 19:00:00,Faroe Islands,Main Islands,FO-MI,459.14,640.02,28.38,28.38,sev.fo,false,
2023-01-04 20:00:00,Faroe Islands,Main Islands,FO-MI,412.38,576.52,35.67,35.67,sev.fo,false,
2023-01-04 21:00:00,Faroe Islands,Main Islands,FO-MI,415.13,580.84,35.25,35.25,sev.fo,false,
2023-01-04 22:00:00,Faroe Islands,Main Islands,FO-MI,423.71,592.04,33.91,33.91,sev.fo,false,
