Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,France,Corsica,FR-COR,610.03,725.82,13.01,13.01,edf.fr,false,
2023-01-01 01:00:00,France,Corsica,FR-COR,615.2,731.07,12.33,12.33,edf.fr,false,
2023-01-01 02:00:00,France,Corsica,FR-COR,626.52,743.47,10.76,10.76,edf.fr,false,
2023-01-01 03:00:00,France,Corsica,FR-COR,634.15,752.24,9.72,9.72,edf.fr,false,
2023-01-01 04:00:00,France,Corsica,FR-COR,637.05,755.42,9.31,9.31,edf.fr,false,
2023-01-01 05:00:00,France,Corsica,FR-COR,634.5,752.07,9.69,9.69,edf.fr,false,
2023-01-01 06:00:00,France,Corsica,FR-COR,625.3,741.07,11.08,11.08,edf.fr,false,
2023-01-01 07:00:00,France,Corsica,FR-COR,574.92,684.27,18.1,18.1,edf.fr,false,
2023-01-01 08:00:00,France,Corsica,FR-COR,495.29,597.62,29.13,29.13,edf.fr,false,
2023-01-01 09:00:00,France,Corsica,FR-COR,459.27,556.55,34.22,34.22,edf.fr,false,
2023-01-01 10:00:00,France,Corsica,FR-COR,428.38,522.75,38.51,38.51,edf.fr,false,
2023-01-01 11:00:00,France,Corsica,FR-COR,433.39,524.85,39.38,39.38,edf.fr,false,
2023-01-01 12:00:00,France,Corsica,FR-COR,447.79,540.79,37.43,37.43,edf.fr,false,
2023-01-01 13:00:00,France,Corsica,FR-COR,467.97,563.26,34.68,34.68,edf.fr,false,
2023-01-01 14:00:00,France,Corsica,FR-COR,514.77,610.02,30.22,30.22,edf.fr,false,
2023-01-01 15:00:00,France,Corsica,FR-COR,568.75,677.54,19.02,19.02,edf.fr,false,
2023-01-01 16:00:00,France,Corsica,FR-COR,557.2,659.02,22.7,22.7,edf.fr,false,
2023-01-01 17:00:00,France,Corsica,FR-COR,527.59,627.22,26.68,26.68,edf.fr,false,
2023-01-01 18:00:00,France,Corsica,FR-COR,503.78,593.22,31.9,31.9,edf.fr,false,
2023-01-01 19:00:00,France,Corsica,FR-COR,522.22,614.3,29.55,29.55,edf.fr,false,
2023-01-01 20:00:00,France,Corsica,FR-COR,543.43,639.03,26.61,26.61,edf.fr,false,
2023-01-01 21:00:00,France,Corsica,FR-COR,525.83,626.52,28.26,28.26,edf.fr,false,
2023-01-01 22:00:00,France,Corsica,FR-COR,541.95,649.73,22.71,22.71,edf.fr,false,
2023-01-01 23:00:00,France,Corsica,FR-COR,561.49,670.6,19.96,19.96,edf.fr,false,
2023-01-02 00:00:00,France,Corsica,FR-COR,561.89,672.27,19.82,19.82,edf.fr,false,
2023-01-02 01:00:00,France,Corsica,FR-COR,562.97,672.86,19.67,19.67,edf.fr,false,
2023-01-02 02:00:00,France,Corsica,FR-COR,562.94,672.69,19.68,19.68,edf.fr,false,
2023-01-02 03:00:00,France,Corsica,FR-COR,561.03,670.44,19.96,19.96,edf.fr,false,
2023-01-02 04:00:00,France,Corsica,FR-COR,552.53,662.54,21.03,21.03,edf.fr,false,
2023-01-02 05:00:00,France,Corsica,FR-COR,541.26,652.89,22.41,22.41,edf.fr,false,
2023-01-02 06:00:00,France,Corsica,FR-COR,525.82,635.33,24.59,24.59,edf.fr,false,
2023-01-02 07:00:00,France,Corsica,FR-COR,495.1,599.66,28.98,28.98,edf.fr,false,
2023-01-02 08:00:00,France,Corsica,FR-COR,460.83,561.26,33.76,33.76,edf.fr,false,
2023-01-02 09:00:00,France,Corsica,FR-COR,425.49,522.45,38.69,38.69,edf.fr,false,
2023-01-02 10:00:00,France,Corsica,FR-COR,409.52,504.52,40.98,40.98,edf.fr,false,
2023-01-02 11:00:00,France,Corsica,FR-COR,413.35,509.43,40.38,40.38,edf.fr,false,
2023-01-02 12:00:00,France,Corsica,FR-COR,427.28,526.05,38.37,38.37,edf.fr,false,
2023-01-02 13:00:00,France,Corsica,FR-COR,459.09,562.45,33.88,33.88,edf.fr,false,
2023-01-02 14:00:00,France,Corsica,FR-COR,511.48,621.19,26.51,26.51,edf.fr,false,
2023-01-02 15:00:00,France,Corsica,FR-COR,551.35,667.8,20.7,20.7,edf.fr,false,
2023-01-02 16:00:00,France,Corsica,FR-COR,516.47,627.78,25.61,25.61,edf.fr,false,
2023-01-02 17:00:00,France,Corsica,FR-COR,490.24,594.62,30.36,30.36,edf.fr,false,
2023-01-02 18:00:00,France,Corsica,FR-COR,490.39,593.45,31.02,31.02,edf.fr,false,
2023-01-02 19:00:00,France,Corsica,FR-COR,521.49,629.57,26.79,26.79,edf.fr,false,
2023-01-02 20:00:00,France,Corsica,FR-COR,556.59,672.11,21.19,21.19,edf.fr,false,
2023-01-02 21:00:00,France,Corsica,FR-COR,566.85,686.69,18.56,18.56,edf.fr,false,
2023-01-02 22:00:00,France,Corsica,FR-COR,594.51,713.36,15.05,15.05,edf.fr,false,
2023-01-02 23:00:00,France,Corsica,FR-COR,616.32,736.24,11.87,11.87,edf.fr,false,
2023-01-03 00:00:00,France,Corsica,FR-COR,636.69,757.73,9.11,9.11,edf.fr,false,
2023-01-03 01:00:00,France,Corsica,FR-COR,646.33,769.86,7.68,7.68,edf.fr,false,
2023-01-03 02:00:00,France,Corsica,FR-COR,637.7,759.34,8.88,8.88,edf.fr,false,
2023-01-03 03:00:00,France,Corsica,FR-COR,656.6,780.86,6.28,6.28,edf.fr,false,
2023-01-03 04:00:00,France,Corsica,FR-COR,648.47,772.64,7.37,7.37,edf.fr,false,
2023-01-03 05:00:00,France,Corsica,FR-COR,624.64,744.83,11.65,11.65,edf.fr,false,
2023-01-03 06:00:00,France,Corsica,FR-COR,609.54,721.37,17.97,17.97,edf.fr,false,
2023-01-03 07:00:00,France,Corsica,FR-COR,584.04,694.52,22.57,22.57,edf.fr,false,
2023-01-03 08:00:00,France,Corsica,FR-COR,509.67,614.7,30.28,30.28,edf.fr,false,
2023-01-03 09:00:00,France,Corsica,FR-COR,454.6,552.76,36.04,36.04,edf.fr,false,
2023-01-03 10:00:00,France,Corsica,FR-COR,426.36,526.18,39.18,39.18,edf.fr,false,
2023-01-03 11:00:00,France,Corsica,FR-COR,427.13,529.22,38.92,38.92,edf.fr,false,
2023-01-03 12:00:00,France,Corsica,FR-COR,438.61,542.72,37.28,37.28,edf.fr,false,
2023-01-03 13:00:00,France,Corsica,FR-COR,497.26,609.47,29.15,29.15,edf.fr,false,
2023-01-03 14:00:00,France,Corsica,FR-COR,566.99,685.4,19.67,19.67,edf.fr,false,
2023-01-03 15:00:00,France,Corsica,FR-COR,590.57,706.67,17.53,17.53,edf.fr,false,
2023-01-03 16:00:00,France,Corsica,FR-COR,563.25,677.38,19.09,18.94,edf.fr,false,
2023-01-03 17:00:00,France,Corsica,FR-COR,524.29,636.15,23.89,23.72,edf.fr,false,
2023-01-03 18:00:00,France,Corsica,FR-COR,521.28,633.37,24.18,23.96,edf.fr,false,
2023-01-03 19:00:00,France,Corsica,FR-COR,559.4,677.83,18.84,18.64,edf.fr,false,
2023-01-03 20:00:00,France,Corsica,FR-COR,593.25,716.01,14.29,14.09,edf.fr,false,
2023-01-03 21:00:00,France,Corsica,FR-COR,575.42,699.07,16.72,16.46,edf.fr,false,
2023-01-03 22:00:00,France,Corsica,FR-COR,585.16,705.48,16.01,15.86,edf.fr,false,
2023-01-03 23:00:00,France,Corsica,FR-COR,487.39,625.38,25.13,20.86,edf.fr,false,
2023-01-04 00:00:00,France,Corsica,FR-COR,517.6,664.91,20.4,16.74,edf.fr,false,
2023-01-04 01:00:00,France,Corsica,FR-COR,548.57,701.47,16.3,13.8,edf.fr,false,
2023-01-04 02:00:00,France,Corsica,FR-COR,549.06,704.88,15.92,13.56,edf.fr,false,
2023-01-04 03:00:00,France,Corsica,FR-COR,543.81,698.86,16.59,14.29,edf.fr,false,
2023-01-04 04:00:00,France,Corsica,FR-COR,524.95,672.77,19.44,16.9,edf.fr,false,
2023-01-04 05:00:00,France,Corsica,FR-COR,460.33,594.67,28.17,24.74,edf.fr,false,
2023-01-04 06:00:00,France,Corsica,FR-COR,386.13,517.24,35.31,30.58,edf.fr,false,
2023-01-04 07:00:00,France,Corsica,FR-COR,320.51,437.27,44.47,40.09,edf.fr,false,
2023-01-04 08:00:00,France,Corsica,FR-COR,286.49,390.51,50.35,45.17,edf.fr,false,
2023-01-04 09:00:00,France,Corsica,FR-COR,270.22,370.93,54.8,53.03,edf.fr,false,
2023-01-04 10:00:00,France,Corsica,FR-COR,283.58,390.45,55.09,55.07,edf.fr,false,
2023-01-04 11:00:00,France,Corsica,FR-COR,285.48,394.7,55.06,55.05,edf.fr,false,
2023-01-04 12:00:00,France,Corsica,FR-COR,305.01,419.79,52.08,52.08,edf.fr,false,
2023-01-04 13:00:00,France,Corsica,FR-COR,353.43,476.75,44.47,43.56,edf.fr,false,
2023-01-04 14:00:00,France,Corsica,FR-COR,398.01,530.51,37.29,35.16,edf.fr,false,
2023-01-04 15:00:00,France,Corsica,FR-COR,319.69,430.68,45.88,39.93,edf.fr,false,
2023-01-04 16:00:00,France,Corsica,FR-COR,271.2,358.58,53.64,46.31,edf.fr,false,
2023-01-04 17:00:00,France,Corsica,FR-COR,256.99,341.49,55.75,48.95,edf.fr,false,
2023-01-04 18:00:00,France,Corsica,FR-COR,272.33,364.65,53.59,47.49,edf.fr,false,
2023-01-04 19:00:00,France,Corsica,FR-COR,354.93,462.98,43.56,39.76,edf.fr,false,
2023-01-04 20:00:00,France,Corsica,FR-COR,373.59,485.1,40.36,35.66,edf.fr,false,
2023-01-04 21:00:00,France,Corsica,FR-COR,355.89,464.97,42.52,37.11,edf.fr,false,
2023-01-04 22:00:00,France,Corsica,FR-COR,302.04,410.28,48.04,39.87,edf.fr,false,
2023-01-04 23:00:00,France,Corsica,FR-COR,341.43,462.18,40.78,34.26,edf.fr,false,
2023-01-05 00:00:00,France,Corsica,FR-COR,437.33,575.59,28.89,24.8,edf.fr,false,
2023-01-05 01:00:00,France,Corsica,FR-COR,466.13,611.24,25.47,22.08,edf.fr,false,
2023-01-05 02:00:00,France,Corsica,FR-COR,391.66,533.65,32.9,27.93,edf.fr,false,
2023-01-05 03:00:00,France,Corsica,FR-COR,398.32,542.11,31.36,26.53,edf.fr,false,
2023-01-05 04:00:00,France,Corsica,FR-COR,409.8,548.1,31.21,26.76,edf.fr,false,
2023-01-05 05:00:00,France,Corsica,FR-COR,434.81,567.09,29.59,26.93,edf.fr,false,
2023-01-05 06:00:00,France,Corsica,FR-COR,429.5,554.5,31.54,29.49,edf.fr,false,
2023-01-05 07:00:00,France,Corsica,FR-COR,403.04,516.52,37.85,36.62,edf.fr,false,
2023-01-05 08:00:00,France,Corsica,FR-COR,372.91,485.64,40.85,40.75,edf.fr,false,
2023-01-05 09:00:00,France,Corsica,FR-COR,338.88,449.62,46.04,46.04,edf.fr,false,
2023-01-05 10:00:00,France,Corsica,FR-COR,319.37,429.11,49.26,49.25,edf.fr,false,
2023-01-05 11:00:00,France,Corsica,FR-COR,404.85,501.94,41.29,41.29,edf.fr,false,
2023-01-05 12:00:00,France,Corsica,FR-COR,424.91,519.46,38.76,38.76,edf.fr,false,
2023-01-05 13:00:00,France,Corsica,FR-COR,448.06,545.8,35.5,35.5,edf.fr,false,
2023-01-05 14:00:00,France,Corsica,FR-COR,488.81,592.11,29.76,29.76,edf.fr,false,
2023-01-05 15:00:00,France,Corsica,FR-COR,528.55,636.56,24.1,24.1,edf.fr,false,
2023-01-05 16:00:00,France,Corsica,FR-COR,497.61,597.34,29.46,29.46,edf.fr,false,
2023-01-05 17:00:00,France,Corsica,FR-COR,468.43,564.83,34.23,34.23,edf.fr,false,
2023-01-05 18:00:00,France,Corsica,FR-COR,468.75,565.04,34.08,34.08,edf.fr,false,
2023-01-05 19:00:00,France,Corsica,FR-COR,485.24,588.69,30.15,30.15,edf.fr,false,
2023-01-05 20:00:00,France,Corsica,FR-COR,526.69,634.28,24.46,24.46,edf.fr,false,
2023-01-05 21:00:00,France,Corsica,FR-COR,529.82,638.84,23.96,23.96,edf.fr,false,
2023-01-05 22:00:00,France,Corsica,FR-COR,549.17,656.19,21.55,21.55,edf.fr,false,
2023-01-05 23:00:00,France,Corsica,FR-COR,555.15,673.41,19.96,19.96,edf.fr,false,
2023-01-06 00:00:00,France,Corsica,FR-COR,581.12,705.5,16.14,16.14,edf.fr,false,
2023-01-06 01:00:00,France,Corsica,FR-COR,597.49,725.9,13.72,13.72,edf.fr,false,
2023-01-06 02:00:00,France,Corsica,FR-COR,609.08,739.55,12.07,12.07,edf.fr,false,
2023-01-06 03:00:00,France,Corsica,FR-COR,614.13,745.2,11.35,11.35,edf.fr,false,
2023-01-06 04:00:00,France,Corsica,FR-COR,593.91,720.4,14.34,14.34,edf.fr,false,
2023-01-06 05:00:00,France,Corsica,FR-COR,572.13,693.85,17.5,17.5,edf.fr,false,
2023-01-06 06:00:00,France,Corsica,FR-COR,553.47,669.36,20.37,20.37,edf.fr,false,
2023-01-06 07:00:00,France,Corsica,FR-COR,538.79,651.01,22.56,22.56,edf.fr,false,
2023-01-06 08:00:00,France,Corsica,FR-COR,538.3,648.18,22.81,22.81,edf.fr,false,
2023-01-06 09:00:00,France,Corsica,FR-COR,525.33,628.58,26.76,26.76,edf.fr,false,
2023-01-06 10:00:00,France,Corsica,FR-COR,490.82,590.2,31.44,31.44,edf.fr,false,
2023-01-06 11:00:00,France,Corsica,FR-COR,477.48,580.84,31.26,31.26,edf.fr,false,
2023-01-06 12:00:00,France,Corsica,FR-COR,495.33,603.34,28.6,28.6,edf.fr,false,
2023-01-06 13:00:00,France,Corsica,FR-COR,499.09,619.19,27.28,27.28,edf.fr,false,
2023-01-06 14:00:00,France,Corsica,FR-COR,537.91,650.07,22.72,22.72,edf.fr,false,
2023-01-06 15:00:00,France,Corsica,FR-COR,555.53,667.09,20.41,20.41,edf.fr,false,
2023-01-06 16:00:00,France,Corsica,FR-COR,517.38,621.89,26.52,26.52,edf.fr,false,
2023-01-06 17:00:00,France,Corsica,FR-COR,510.03,607.84,29.82,29.82,edf.fr,false,
2023-01-06 18:00:00,France,Corsica,FR-COR,507.61,601.7,31.08,31.08,edf.fr,false,
2023-01-06 19:00:00,France,Corsica,FR-COR,511.96,603.15,30.42,30.42,edf.fr,false,
2023-01-06 20:00:00,France,Corsica,FR-COR,524.99,619.23,27.75,27.75,edf.fr,false,
2023-01-06 21:00:00,France,Corsica,FR-COR,525.15,622.8,26.29,26.29,edf.fr,false,
2023-01-06 22:00:00,France,Corsica,FR-COR,548.66,650.11,22.16,22.16,edf.fr,false,
2023-01-06 23:00:00,France,Corsica,FR-COR,545.45,645.29,22.44,22.44,edf.fr,false,
2023-01-07 00:00:00,France,Corsica,FR-COR,549.68,651.52,21.85,21.85,edf.fr,false,
2023-01-07 01:00:00,France,Corsica,FR-COR,551.61,654.46,21.53,21.53,edf.fr,false,
2023-01-07 02:00:00,France,Corsica,FR-COR,555.1,658.74,21.03,21.03,edf.fr,false,
2023-01-07 03:00:00,France,Corsica,FR-COR,551.99,655.26,21.47,21.47,edf.fr,false,
2023-01-07 04:00:00,France,Corsica,FR-COR,550.22,653.46,21.7,21.7,edf.fr,false,
2023-01-07 05:00:00,France,Corsica,FR-COR,550.48,654.39,21.62,21.62,edf.fr,false,
2023-01-07 06:00:00,France,Corsica,FR-COR,540.05,642.43,23.05,23.05,edf.fr,false,
2023-01-07 07:00:00,France,Corsica,FR-COR,501.1,599.03,28.47,28.47,edf.fr,false,
2023-01-07 08:00:00,France,Corsica,FR-COR,435.09,523.32,37.9,37.9,edf.fr,false,
2023-01-07 09:00:00,France,Corsica,FR-COR,396.23,481.11,43.33,43.33,edf.fr,false,
2023-01-07 10:00:00,France,Corsica,FR-COR,407.71,493.51,41.75,41.75,edf.fr,false,
2023-01-07 11:00:00,France,Corsica,FR-COR,419.76,506.64,40.07,40.07,edf.fr,false,
2023-01-07 12:00:00,France,Corsica,FR-COR,414.32,501.72,40.73,40.73,edf.fr,false,
2023-01-07 13:00:00,France,Corsica,FR-COR,431.52,520.01,38.39,38.39,edf.fr,false,
2023-01-07 14:00:00,France,Corsica,FR-COR,477.9,571.39,31.93,31.93,edf.fr,false,
2023-01-07 15:00:00,France,Corsica,FR-COR,512.19,607.81,27.21,27.21,edf.fr,false,
2023-01-07 16:00:00,France,Corsica,FR-COR,494.17,586.01,30.38,30.38,edf.fr,false,
2023-01-07 17:00:00,France,Corsica,FR-COR,478.59,569.78,31.32,31.07,edf.fr,false,
2023-01-07 18:00:00,France,Corsica,FR-COR,434.42,521.82,37.49,37.25,edf.fr,false,
2023-01-07 19:00:00,France,Corsica,FR-COR,455.2,546.01,34.85,34.7,edf.fr,false,
2023-01-07 20:00:00,France,Corsica,FR-COR,520.58,618.16,25.68,25.39,edf.fr,false,
2023-01-07 21:00:00,France,Corsica,FR-COR,514.61,610.49,26.71,26.35,edf.fr,false,
2023-01-07 22:00:00,France,Corsica,FR-COR,526.96,624.41,25.24,25.24,edf.fr,false,
