Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,349.11,453.77,23.11,23.11,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 01:00:00,Northern Ireland,Northern Ireland,GB-NIR,391.58,507.44,13.76,13.76,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 02:00:00,Northern Ireland,Northern Ireland,GB-NIR,410.31,531.11,9.63,9.63,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 03:00:00,Northern Ireland,Northern Ireland,GB-NIR,412.97,534.47,9.05,9.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 04:00:00,Northern Ireland,Northern Ireland,GB-NIR,415.52,537.7,8.49,8.49,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 05:00:00,Northern Ireland,Northern Ireland,GB-NIR,415.53,537.7,8.49,8.49,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 06:00:00,Northern Ireland,Northern Ireland,GB-NIR,415.52,537.7,8.49,8.49,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 07:00:00,Northern Ireland,Northern Ireland,GB-NIR,415.53,537.7,8.49,8.49,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 08:00:00,Northern Ireland,Northern Ireland,GB-NIR,414.59,536.52,8.69,8.69,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 09:00:00,Northern Ireland,Northern Ireland,GB-NIR,414.74,536.71,8.66,8.66,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 10:00:00,Northern Ireland,Northern Ireland,GB-NIR,414.85,536.85,8.63,8.63,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 11:00:00,Northern Ireland,Northern Ireland,GB-NIR,414.93,536.95,8.62,8.62,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 12:00:00,Northern Ireland,Northern Ireland,GB-NIR,414.02,535.79,8.82,8.82,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 13:00:00,Northern Ireland,Northern Ireland,GB-NIR,414.97,536.99,8.61,8.61,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 14:00:00,Northern Ireland,Northern Ireland,GB-NIR,415.26,537.36,8.55,8.55,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 15:00:00,Northern Ireland,Northern Ireland,GB-NIR,414.57,536.49,8.7,8.7,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 16:00:00,Northern Ireland,Northern Ireland,GB-NIR,413.13,534.67,9.01,9.01,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 17:00:00,Northern Ireland,Northern Ireland,GB-NIR,410.07,530.8,9.69,9.69,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 18:00:00,Northern Ireland,Northern Ireland,GB-NIR,405.5,525.03,10.69,10.69,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 19:00:00,Northern Ireland,Northern Ireland,GB-NIR,403.65,522.7,11.1,11.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 20:00:00,Northern Ireland,Northern Ireland,GB-NIR,397.22,514.56,12.52,12.52,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 21:00:00,Northern Ireland,Northern Ireland,GB-NIR,399.99,518.06,11.91,11.91,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 22:00:00,Northern Ireland,Northern Ireland,GB-NIR,404.53,523.8,10.91,10.91,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 23:00:00,Northern Ireland,Northern Ireland,GB-NIR,400.5,518.71,11.8,11.8,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,388.48,503.53,14.44,14.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 01:00:00,Northern Ireland,Northern Ireland,GB-NIR,382.46,495.92,15.77,15.77,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 02:00:00,Northern Ireland,Northern Ireland,GB-NIR,371.62,482.22,18.16,18.16,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 03:00:00,Northern Ireland,Northern Ireland,GB-NIR,360.11,467.67,20.69,20.69,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 04:00:00,Northern Ireland,Northern Ireland,GB-NIR,349.39,454.13,23.05,23.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 05:00:00,Northern Ireland,Northern Ireland,GB-NIR,352.71,458.32,22.32,22.32,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 06:00:00,Northern Ireland,Northern Ireland,GB-NIR,355.46,461.8,21.72,21.72,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 07:00:00,Northern Ireland,Northern Ireland,GB-NIR,349.23,453.92,23.09,23.09,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 08:00:00,Northern Ireland,Northern Ireland,GB-NIR,335.15,436.14,26.19,26.19,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 09:00:00,Northern Ireland,Northern Ireland,GB-NIR,302.73,395.17,33.33,33.33,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 10:00:00,Northern Ireland,Northern Ireland,GB-NIR,299.46,391.04,34.05,34.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 11:00:00,Northern Ireland,Northern Ireland,GB-NIR,288.09,376.66,36.55,36.55,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 12:00:00,Northern Ireland,Northern Ireland,GB-NIR,275.57,360.84,39.31,39.31,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 13:00:00,Northern Ireland,Northern Ireland,GB-NIR,262.11,343.83,42.27,42.27,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 14:00:00,Northern Ireland,Northern Ireland,GB-NIR,265.28,347.84,41.58,41.58,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 15:00:00,Northern Ireland,Northern Ireland,GB-NIR,265.32,347.89,41.57,41.57,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 16:00:00,Northern Ireland,Northern Ireland,GB-NIR,271.29,355.43,40.25,40.25,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 17:00:00,Northern Ireland,Northern Ireland,GB-NIR,273.08,357.7,39.86,39.86,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 18:00:00,Northern Ireland,Northern Ireland,GB-NIR,252.2,331.31,44.46,44.46,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
