Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Great Britain,Orkney Islands,GB-ORK,124.08,82.27,87.64,64.87,ssen.co.uk,false,
2023-01-01 01:00:00,Great Britain,Orkney Islands,GB-ORK,146.16,81.69,87.95,66.6,ssen.co.uk,false,
2023-01-01 02:00:00,Great Britain,Orkney Islands,GB-ORK,171.37,69.37,89.8,69.18,ssen.co.uk,false,
2023-01-01 03:00:00,Great Britain,Orkney Islands,GB-ORK,184.69,68.96,89.86,69.1,ssen.co.uk,false,
2023-01-01 04:00:00,Great Britain,Orkney Islands,GB-ORK,229.37,66.54,90.35,71.3,ssen.co.uk,false,
2023-01-01 05:00:00,Great Britain,Orkney Islands,GB-ORK,240.78,65.35,90.58,71.69,ssen.co.uk,false,
2023-01-01 06:00:00,Great Britain,Orkney Islands,GB-ORK,221.99,69.38,89.87,69.91,ssen.co.uk,false,
2023-01-01 07:00:00,Great Britain,Orkney Islands,GB-ORK,216.61,72.27,89.34,69.2,ssen.co.uk,false,
2023-01-01 08:00:00,Great Britain,Orkney Islands,GB-ORK,238.11,66.56,90.41,72.51,ssen.co.uk,false,
2023-01-01 09:00:00,Great Britain,Orkney Islands,GB-ORK,250.16,60.07,91.93,75.95,ssen.co.uk,false,
2023-01-01 10:00:00,Great Britain,Orkney Islands,GB-ORK,267.98,56.71,92.65,77.67,ssen.co.uk,false,
2023-01-01 11:00:00,Great Britain,Orkney Islands,GB-ORK,243.97,63.15,91.83,76.5,ssen.co.uk,false,
2023-01-01 12:00:00,Great Britain,Orkney Islands,GB-ORK,289.0,60.27,92.4,79.43,ssen.co.uk,false,
2023-01-01 13:00:00,Great Britain,Orkney Islands,GB-ORK,288.22,65.16,91.25,77.87,ssen.co.uk,false,
2023-01-01 14:00:00,Great Britain,Orkney Islands,GB-ORK,302.52,69.55,90.29,76.91,ssen.co.uk,false,
2023-01-01 15:00:00,Great Britain,Orkney Islands,GB-ORK,360.25,72.59,89.56,78.44,ssen.co.uk,false,
2023-01-01 16:00:00,Great Britain,Orkney Islands,GB-ORK,431.82,66.65,90.48,82.7,ssen.co.uk,false,
2023-01-01 17:00:00,Great Britain,Orkney Islands,GB-ORK,397.09,88.56,86.52,77.11,ssen.co.uk,false,
2023-01-01 18:00:00,Great Britain,Orkney Islands,GB-ORK,408.4,84.53,87.25,78.04,ssen.co.uk,false,
2023-01-01 19:00:00,Great Britain,Orkney Islands,GB-ORK,322.19,116.49,81.26,66.62,ssen.co.uk,false,
2023-01-01 20:00:00,Great Britain,Orkney Islands,GB-ORK,282.81,131.26,78.57,60.62,ssen.co.uk,false,
2023-01-01 21:00:00,Great Britain,Orkney Islands,GB-ORK,270.42,134.7,78.38,58.56,ssen.co.uk,false,
2023-01-01 22:00:00,Great Britain,Orkney Islands,GB-ORK,213.29,143.67,77.41,52.46,ssen.co.uk,false,
2023-01-01 23:00:00,Great Britain,Orkney Islands,GB-ORK,181.23,153.97,75.89,46.56,ssen.co.uk,false,
2023-01-02 00:00:00,Great Britain,Orkney Islands,GB-ORK,228.38,130.45,79.69,53.4,ssen.co.uk,false,
2023-01-02 01:00:00,Great Britain,Orkney Islands,GB-ORK,311.72,91.56,86.25,66.67,ssen.co.uk,false,
2023-01-02 02:00:00,Great Britain,Orkney Islands,GB-ORK,507.45,33.35,96.6,91.52,ssen.co.uk,false,
2023-01-02 03:00:00,Great Britain,Orkney Islands,GB-ORK,575.0,14.17,100.0,100.0,ssen.co.uk,false,
2023-01-02 04:00:00,Great Britain,Orkney Islands,GB-ORK,542.57,23.14,98.45,95.88,ssen.co.uk,false,
2023-01-02 05:00:00,Great Britain,Orkney Islands,GB-ORK,496.71,35.36,96.4,90.76,ssen.co.uk,false,
2023-01-02 06:00:00,Great Britain,Orkney Islands,GB-ORK,446.84,55.7,92.91,84.31,ssen.co.uk,false,
2023-01-02 07:00:00,Great Britain,Orkney Islands,GB-ORK,438.42,62.63,91.45,82.81,ssen.co.uk,false,
2023-01-02 08:00:00,Great Britain,Orkney Islands,GB-ORK,447.27,62.7,91.33,84.22,ssen.co.uk,false,
2023-01-02 09:00:00,Great Britain,Orkney Islands,GB-ORK,419.06,74.12,89.49,81.7,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 10:00:00,Great Britain,Orkney Islands,GB-ORK,387.64,76.23,89.41,80.65,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 11:00:00,Great Britain,Orkney Islands,GB-ORK,363.78,85.63,87.66,78.49,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 12:00:00,Great Britain,Orkney Islands,GB-ORK,356.74,84.8,87.98,78.35,ssen.co.uk; Electricity Maps Estimation,false,
2023-01-02 13:00:00,Great Britain,Orkney Islands,GB-ORK,354.94,92.26,86.43,76.73,ssen.co.uk,false,
2023-01-02 14:00:00,Great Britain,Orkney Islands,GB-ORK,400.34,82.32,87.9,79.14,ssen.co.uk,false,
2023-01-02 15:00:00,Great Britain,Orkney Islands,GB-ORK,457.25,71.36,89.53,83.35,ssen.co.uk,false,
2023-01-02 16:00:00,Great Britain,Orkney Islands,GB-ORK,384.82,116.4,81.02,70.51,ssen.co.uk,false,
2023-01-02 17:00:00,Great Britain,Orkney Islands,GB-ORK,406.24,113.38,81.77,72.77,ssen.co.uk,false,
2023-01-02 18:00:00,Great Britain,Orkney Islands,GB-ORK,431.32,99.65,84.28,76.5,ssen.co.uk,false,
2023-01-02 19:00:00,Great Britain,Orkney Islands,GB-ORK,420.14,105.27,83.28,74.48,ssen.co.uk,false,
2023-01-02 20:00:00,Great Britain,Orkney Islands,GB-ORK,444.04,86.11,86.78,78.88,ssen.co.uk,false,
2023-01-02 21:00:00,Great Britain,Orkney Islands,GB-ORK,441.55,80.0,88.04,79.61,ssen.co.uk,false,
2023-01-02 22:00:00,Great Britain,Orkney Islands,GB-ORK,369.04,91.18,86.83,73.68,ssen.co.uk,false,
2023-01-02 23:00:00,Great Britain,Orkney Islands,GB-ORK,318.73,80.99,89.34,73.15,ssen.co.uk,false,
2023-01-03 00:00:00,Great Britain,Orkney Islands,GB-ORK,278.92,79.34,89.91,71.09,ssen.co.uk,false,
2023-01-03 01:00:00,Great Britain,Orkney Islands,GB-ORK,257.41,83.05,89.17,69.53,ssen.co.uk,false,
2023-01-03 02:00:00,Great Britain,Orkney Islands,GB-ORK,318.63,68.49,91.37,75.93,ssen.co.uk,false,
2023-01-03 03:00:00,Great Britain,Orkney Islands,GB-ORK,495.66,29.6,97.55,93.15,ssen.co.uk,false,
2023-01-03 04:00:00,Great Britain,Orkney Islands,GB-ORK,572.96,14.54,99.94,99.84,ssen.co.uk,false,
2023-01-03 05:00:00,Great Britain,Orkney Islands,GB-ORK,575.0,14.17,100.0,100.0,ssen.co.uk,false,
2023-01-03 06:00:00,Great Britain,Orkney Islands,GB-ORK,575.0,14.17,100.0,100.0,ssen.co.uk,false,
2023-01-03 07:00:00,Great Britain,Orkney Islands,GB-ORK,575.0,14.17,100.0,100.0,ssen.co.uk,false,
2023-01-03 08:00:00,Great Britain,Orkney Islands,GB-ORK,575.0,14.17,100.0,100.0,ssen.co.uk,false,
2023-01-03 09:00:00,Great Britain,Orkney Islands,GB-ORK,575.0,14.17,100.0,100.0,ssen.co.uk,false,
2023-01-03 10:00:00,Great Britain,Orkney Islands,GB-ORK,575.0,14.17,100.0,100.0,ssen.co.uk,false,
2023-01-03 11:00:00,Great Britain,Orkney Islands,GB-ORK,575.0,14.17,100.0,100.0,ssen.co.uk,false,
2023-01-03 12:00:00,Great Britain,Orkney Islands,GB-ORK,575.0,14.17,100.0,100.0,ssen.co.uk,false,
2023-01-03 13:00:00,Great Britain,Orkney Islands,GB-ORK,575.0,14.17,100.0,100.0,ssen.co.uk,false,
2023-01-03 14:00:00,Great Britain,Orkney Islands,GB-ORK,575.0,14.17,100.0,100.0,ssen.co.uk,false,
2023-01-03 15:00:00,Great Britain,Orkney Islands,GB-ORK,575.0,14.17,100.0,100.0,ssen.co.uk,false,
2023-01-03 16:00:00,Great Britain,Orkney Islands,GB-ORK,570.52,15.6,99.74,99.56,ssen.co.uk,false,
2023-01-03 17:00:00,Great Britain,Orkney Islands,GB-ORK,526.59,29.83,97.2,95.34,ssen.co.uk,false,
2023-01-03 18:00:00,Great Britain,Orkney Islands,GB-ORK,350.09,84.18,87.46,79.17,ssen.co.uk,false,
2023-01-03 19:00:00,Great Britain,Orkney Islands,GB-ORK,262.41,89.48,87.2,74.04,ssen.co.uk,false,
2023-01-03 20:00:00,Great Britain,Orkney Islands,GB-ORK,209.4,72.86,90.24,74.31,ssen.co.uk,false,
2023-01-03 21:00:00,Great Britain,Orkney Islands,GB-ORK,199.99,70.19,90.61,74.85,ssen.co.uk,false,
2023-01-03 22:00:00,Great Britain,Orkney Islands,GB-ORK,215.01,65.24,90.71,76.59,ssen.co.uk,false,
2023-01-03 23:00:00,Great Britain,Orkney Islands,GB-ORK,220.5,62.29,90.73,77.16,ssen.co.uk,false,
2023-01-04 00:00:00,Great Britain,Orkney Islands,GB-ORK,188.07,61.05,91.03,76.38,ssen.co.uk,false,
2023-01-04 01:00:00,Great Britain,Orkney Islands,GB-ORK,194.97,67.38,89.93,75.62,ssen.co.uk,false,
2023-01-04 02:00:00,Great Britain,Orkney Islands,GB-ORK,236.49,60.08,91.22,78.53,ssen.co.uk,false,
2023-01-04 03:00:00,Great Britain,Orkney Islands,GB-ORK,239.4,52.76,92.64,80.15,ssen.co.uk,false,
2023-01-04 04:00:00,Great Britain,Orkney Islands,GB-ORK,319.42,41.25,94.59,85.12,ssen.co.uk,false,
2023-01-04 05:00:00,Great Britain,Orkney Islands,GB-ORK,477.93,24.51,97.92,94.39,ssen.co.uk,false,
2023-01-04 06:00:00,Great Britain,Orkney Islands,GB-ORK,539.01,18.29,99.17,97.81,ssen.co.uk,false,
2023-01-04 07:00:00,Great Britain,Orkney Islands,GB-ORK,575.0,14.17,100.0,100.0,ssen.co.uk,false,
2023-01-04 08:00:00,Great Britain,Orkney Islands,GB-ORK,575.0,14.17,100.0,100.0,ssen.co.uk,false,
2023-01-04 09:00:00,Great Britain,Orkney Islands,GB-ORK,575.0,14.17,100.0,100.0,ssen.co.uk,false,
2023-01-04 10:00:00,Great Britain,Orkney Islands,GB-ORK,575.0,14.17,100.0,100.0,ssen.co.uk,false,
2023-01-04 11:00:00,Great Britain,Orkney Islands,GB-ORK,514.15,20.26,98.9,96.84,ssen.co.uk,false,
2023-01-04 12:00:00,Great Britain,Orkney Islands,GB-ORK,534.7,18.11,99.28,97.92,ssen.co.uk,false,
2023-01-04 13:00:00,Great Britain,Orkney Islands,GB-ORK,570.0,14.71,99.9,99.73,ssen.co.uk,false,
2023-01-04 14:00:00,Great Britain,Orkney Islands,GB-ORK,573.15,14.37,99.96,99.9,ssen.co.uk,false,
2023-01-04 15:00:00,Great Britain,Orkney Islands,GB-ORK,570.95,14.67,99.91,99.76,ssen.co.uk,false,
2023-01-04 16:00:00,Great Britain,Orkney Islands,GB-ORK,559.52,17.17,99.44,98.83,ssen.co.uk,false,
2023-01-04 17:00:00,Great Britain,Orkney Islands,GB-ORK,480.42,33.9,96.37,92.77,ssen.co.uk,false,
2023-01-04 18:00:00,Great Britain,Orkney Islands,GB-ORK,519.92,25.87,97.85,95.72,ssen.co.uk,false,
2023-01-04 19:00:00,Great Britain,Orkney Islands,GB-ORK,575.0,14.17,100.0,100.0,ssen.co.uk,false,
2023-01-04 20:00:00,Great Britain,Orkney Islands,GB-ORK,571.47,14.74,99.9,99.75,ssen.co.uk,false,
2023-01-04 21:00:00,Great Britain,Orkney Islands,GB-ORK,575.0,14.17,100.0,100.0,ssen.co.uk,false,
2023-01-04 22:00:00,Great Britain,Orkney Islands,GB-ORK,575.0,14.17,100.0,100.0,ssen.co.uk,false,
2023-01-04 23:00:00,Great Britain,Orkney Islands,GB-ORK,575.0,14.17,100.0,100.0,ssen.co.uk,false,
