Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Georgia,Georgia,GE,314.54,395.89,20.75,16.54,gse.com.ge,false,
2023-01-01 01:00:00,Georgia,Georgia,GE,318.9,401.51,19.54,15.33,gse.com.ge,false,
2023-01-01 02:00:00,Georgia,Georgia,GE,318.13,400.69,19.71,15.54,gse.com.ge,false,
2023-01-01 03:00:00,Georgia,Georgia,GE,316.82,399.13,20.05,15.9,gse.com.ge,false,
2023-01-01 04:00:00,Georgia,Georgia,GE,314.23,395.65,20.81,16.63,gse.com.ge,false,
2023-01-01 05:00:00,Georgia,Georgia,GE,310.33,391.09,21.79,17.67,gse.com.ge,false,
2023-01-01 06:00:00,Georgia,Georgia,GE,313.02,394.45,21.06,16.96,gse.com.ge,false,
2023-01-01 07:00:00,Georgia,Georgia,GE,310.33,391.7,21.63,17.72,gse.com.ge,false,
2023-01-01 08:00:00,Georgia,Georgia,GE,305.4,385.92,22.86,19.02,gse.com.ge,false,
2023-01-01 09:00:00,Georgia,Georgia,GE,304.14,384.0,23.26,19.38,gse.com.ge,false,
2023-01-01 10:00:00,Georgia,Georgia,GE,304.24,384.08,23.24,19.37,gse.com.ge,false,
2023-01-01 11:00:00,Georgia,Georgia,GE,307.79,389.0,22.17,18.36,gse.com.ge,false,
2023-01-01 12:00:00,Georgia,Georgia,GE,308.36,389.72,22.02,18.25,gse.com.ge,false,
2023-01-01 13:00:00,Georgia,Georgia,GE,303.05,383.6,23.33,19.66,gse.com.ge,false,
2023-01-01 14:00:00,Georgia,Georgia,GE,288.69,366.1,27.07,23.5,gse.com.ge,false,
2023-01-01 15:00:00,Georgia,Georgia,GE,288.21,365.36,27.23,23.62,gse.com.ge,false,
2023-01-01 16:00:00,Georgia,Georgia,GE,291.24,369.04,26.44,22.8,gse.com.ge,false,
2023-01-01 17:00:00,Georgia,Georgia,GE,292.62,370.84,26.06,22.42,gse.com.ge,false,
2023-01-01 18:00:00,Georgia,Georgia,GE,297.81,376.85,24.8,21.06,gse.com.ge,false,
2023-01-01 19:00:00,Georgia,Georgia,GE,304.73,385.07,23.05,19.15,gse.com.ge,false,
2023-01-01 20:00:00,Georgia,Georgia,GE,315.28,397.86,20.32,16.25,gse.com.ge,false,
2023-01-01 21:00:00,Georgia,Georgia,GE,319.8,403.15,19.2,15.03,gse.com.ge,false,
2023-01-01 22:00:00,Georgia,Georgia,GE,320.81,404.42,18.93,14.69,gse.com.ge,false,
2023-01-01 23:00:00,Georgia,Georgia,GE,318.52,401.64,19.52,15.24,gse.com.ge,false,
2023-01-02 00:00:00,Georgia,Georgia,GE,317.64,400.67,19.72,15.48,gse.com.ge,false,
2023-01-02 01:00:00,Georgia,Georgia,GE,321.26,404.74,18.86,14.59,gse.com.ge,false,
2023-01-02 02:00:00,Georgia,Georgia,GE,321.78,405.65,18.66,14.48,gse.com.ge,false,
2023-01-02 03:00:00,Georgia,Georgia,GE,317.69,400.79,19.7,15.6,gse.com.ge,false,
2023-01-02 04:00:00,Georgia,Georgia,GE,316.9,398.81,20.14,15.98,gse.com.ge,false,
2023-01-02 05:00:00,Georgia,Georgia,GE,315.46,397.12,20.51,16.49,gse.com.ge,false,
2023-01-02 06:00:00,Georgia,Georgia,GE,308.22,388.52,22.35,18.5,gse.com.ge,false,
2023-01-02 07:00:00,Georgia,Georgia,GE,301.15,380.18,24.12,20.4,gse.com.ge,false,
2023-01-02 08:00:00,Georgia,Georgia,GE,297.26,375.66,25.07,21.41,gse.com.ge,false,
2023-01-02 09:00:00,Georgia,Georgia,GE,298.62,377.41,24.69,21.02,gse.com.ge,false,
2023-01-02 10:00:00,Georgia,Georgia,GE,300.29,379.58,24.21,20.56,gse.com.ge,false,
2023-01-02 11:00:00,Georgia,Georgia,GE,301.4,381.34,23.82,20.22,gse.com.ge,false,
2023-01-02 12:00:00,Georgia,Georgia,GE,302.01,382.06,23.67,20.08,gse.com.ge,false,
2023-01-02 13:00:00,Georgia,Georgia,GE,298.82,378.21,24.5,20.94,gse.com.ge,false,
2023-01-02 14:00:00,Georgia,Georgia,GE,288.14,365.26,27.27,23.78,gse.com.ge,false,
2023-01-02 15:00:00,Georgia,Georgia,GE,284.47,360.69,28.26,24.78,gse.com.ge,false,
2023-01-02 16:00:00,Georgia,Georgia,GE,288.23,364.76,27.4,23.81,gse.com.ge,false,
2023-01-02 17:00:00,Georgia,Georgia,GE,289.96,366.96,26.93,23.32,gse.com.ge,false,
2023-01-02 18:00:00,Georgia,Georgia,GE,293.75,371.58,25.94,22.25,gse.com.ge,false,
2023-01-02 19:00:00,Georgia,Georgia,GE,303.12,382.56,23.62,19.73,gse.com.ge,false,
2023-01-02 20:00:00,Georgia,Georgia,GE,313.31,394.68,21.03,16.9,gse.com.ge,false,
2023-01-02 21:00:00,Georgia,Georgia,GE,313.45,394.96,20.97,16.83,gse.com.ge,false,
2023-01-02 22:00:00,Georgia,Georgia,GE,315.94,398.05,20.32,16.12,gse.com.ge,false,
2023-01-02 23:00:00,Georgia,Georgia,GE,318.33,401.08,19.67,15.41,gse.com.ge,false,
