Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,French Guiana,French Guiana,GF,264.93,427.18,33.85,33.85,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 01:00:00,French Guiana,French Guiana,GF,265.63,428.0,33.64,33.64,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 02:00:00,French Guiana,French Guiana,GF,266.82,429.64,33.31,33.31,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 03:00:00,French Guiana,French Guiana,GF,267.73,430.96,33.06,33.06,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 04:00:00,French Guiana,French Guiana,GF,268.66,432.11,32.81,32.81,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 05:00:00,French Guiana,French Guiana,GF,269.26,432.5,32.62,32.62,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 06:00:00,French Guiana,French Guiana,GF,270.23,433.25,32.33,32.33,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 07:00:00,French Guiana,French Guiana,GF,266.83,431.62,33.17,33.17,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 08:00:00,French Guiana,French Guiana,GF,258.75,425.39,35.22,35.22,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 09:00:00,French Guiana,French Guiana,GF,243.21,406.84,39.17,39.17,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 10:00:00,French Guiana,French Guiana,GF,239.09,403.88,40.19,40.19,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 11:00:00,French Guiana,French Guiana,GF,236.9,401.94,40.73,40.73,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 12:00:00,French Guiana,French Guiana,GF,235.37,400.18,41.13,41.13,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 13:00:00,French Guiana,French Guiana,GF,235.55,400.05,41.09,41.09,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 14:00:00,French Guiana,French Guiana,GF,239.08,403.55,40.21,40.21,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 15:00:00,French Guiana,French Guiana,GF,247.14,412.44,38.23,38.23,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 16:00:00,French Guiana,French Guiana,GF,256.93,422.34,35.82,35.82,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 17:00:00,French Guiana,French Guiana,GF,269.27,435.13,32.71,32.71,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 18:00:00,French Guiana,French Guiana,GF,273.36,438.53,31.68,31.68,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 19:00:00,French Guiana,French Guiana,GF,268.22,435.07,33.0,33.0,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 20:00:00,French Guiana,French Guiana,GF,266.04,433.37,33.53,33.53,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 21:00:00,French Guiana,French Guiana,GF,270.37,436.2,32.51,32.51,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 22:00:00,French Guiana,French Guiana,GF,271.23,437.07,32.36,32.36,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 23:00:00,French Guiana,French Guiana,GF,268.84,433.41,32.92,32.92,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 00:00:00,French Guiana,French Guiana,GF,264.93,427.18,33.85,33.85,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 01:00:00,French Guiana,French Guiana,GF,265.63,428.0,33.64,33.64,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
