Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Guinea,Guinea,GN,197.85,256.6,65.59,65.59,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 01:00:00,Guinea,Guinea,GN,222.33,285.38,61.33,61.33,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 02:00:00,Guinea,Guinea,GN,229.93,294.31,60.01,60.01,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 03:00:00,Guinea,Guinea,GN,246.19,313.43,57.18,57.18,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 04:00:00,Guinea,Guinea,GN,248.66,316.34,56.76,56.76,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 05:00:00,Guinea,Guinea,GN,258.84,328.31,54.98,54.98,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 06:00:00,Guinea,Guinea,GN,268.89,340.36,53.24,53.24,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 07:00:00,Guinea,Guinea,GN,258.64,328.43,55.02,55.02,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 08:00:00,Guinea,Guinea,GN,233.58,298.9,59.38,59.38,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 09:00:00,Guinea,Guinea,GN,217.91,280.44,62.1,62.1,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 10:00:00,Guinea,Guinea,GN,256.13,325.42,55.46,55.46,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 11:00:00,Guinea,Guinea,GN,258.87,328.63,54.98,54.98,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 12:00:00,Guinea,Guinea,GN,208.05,268.91,63.82,63.82,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 13:00:00,Guinea,Guinea,GN,205.85,266.29,64.2,64.2,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 14:00:00,Guinea,Guinea,GN,220.97,284.15,61.57,61.57,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 15:00:00,Guinea,Guinea,GN,199.92,259.38,65.23,65.23,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 16:00:00,Guinea,Guinea,GN,216.57,278.88,62.34,62.34,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 17:00:00,Guinea,Guinea,GN,202.86,262.77,64.72,64.72,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 18:00:00,Guinea,Guinea,GN,186.43,243.39,67.58,67.58,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 19:00:00,Guinea,Guinea,GN,182.78,239.08,68.21,68.21,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 20:00:00,Guinea,Guinea,GN,189.23,246.47,67.09,67.09,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 21:00:00,Guinea,Guinea,GN,186.09,242.78,67.64,67.64,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 22:00:00,Guinea,Guinea,GN,198.42,257.27,65.49,65.49,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 23:00:00,Guinea,Guinea,GN,203.64,263.41,64.58,64.58,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 00:00:00,Guinea,Guinea,GN,202.53,262.11,64.78,64.78,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 01:00:00,Guinea,Guinea,GN,217.97,280.26,62.09,62.09,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 02:00:00,Guinea,Guinea,GN,224.97,288.48,60.88,60.88,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 03:00:00,Guinea,Guinea,GN,240.57,306.83,58.16,58.16,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 04:00:00,Guinea,Guinea,GN,239.32,305.35,58.38,58.38,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 05:00:00,Guinea,Guinea,GN,253.13,321.6,55.98,55.98,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 06:00:00,Guinea,Guinea,GN,244.13,311.17,57.54,57.54,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 07:00:00,Guinea,Guinea,GN,229.97,294.68,60.0,60.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 08:00:00,Guinea,Guinea,GN,208.68,269.6,63.71,63.71,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 09:00:00,Guinea,Guinea,GN,196.71,255.5,65.79,65.79,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 10:00:00,Guinea,Guinea,GN,224.41,288.13,60.97,60.97,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 11:00:00,Guinea,Guinea,GN,223.54,287.1,61.12,61.12,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 12:00:00,Guinea,Guinea,GN,188.18,245.54,67.27,67.27,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 13:00:00,Guinea,Guinea,GN,179.96,235.87,68.7,68.7,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 14:00:00,Guinea,Guinea,GN,191.67,249.63,66.67,66.67,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 15:00:00,Guinea,Guinea,GN,177.7,233.18,69.1,69.1,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
