Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Greece,Greece,GR,548.86,620.21,25.32,16.94,Electricity Maps Estimation,false,
2023-01-01 01:00:00,Greece,Greece,GR,536.17,603.01,29.47,20.9,Electricity Maps Estimation,false,
2023-01-01 02:00:00,Greece,Greece,GR,513.9,576.95,33.36,25.01,Electricity Maps Estimation,false,
2023-01-01 03:00:00,Greece,Greece,GR,483.0,542.87,37.69,29.69,Electricity Maps Estimation,false,
2023-01-01 04:00:00,Greece,Greece,GR,461.57,518.65,40.81,33.16,Electricity Maps Estimation,false,
2023-01-01 05:00:00,Greece,Greece,GR,413.84,467.8,46.36,39.62,Electricity Maps Estimation,false,
2023-01-01 06:00:00,Greece,Greece,GR,401.89,453.17,49.24,42.95,entsoe.eu,false,
2023-01-01 07:00:00,Greece,Greece,GR,295.7,337.23,62.73,57.29,entsoe.eu,false,
2023-01-01 08:00:00,Greece,Greece,GR,248.41,285.54,69.4,64.49,entsoe.eu,false,
2023-01-01 09:00:00,Greece,Greece,GR,235.28,271.66,71.3,66.71,entsoe.eu,false,
2023-01-01 10:00:00,Greece,Greece,GR,218.1,253.8,73.24,68.9,entsoe.eu,false,
2023-01-01 11:00:00,Greece,Greece,GR,208.47,242.97,74.7,70.36,entsoe.eu,false,
2023-01-01 12:00:00,Greece,Greece,GR,212.52,247.78,73.42,68.76,entsoe.eu,false,
2023-01-01 13:00:00,Greece,Greece,GR,235.2,275.41,66.88,60.96,entsoe.eu,false,
2023-01-01 14:00:00,Greece,Greece,GR,322.26,375.94,51.18,44.8,entsoe.eu,false,
2023-01-01 15:00:00,Greece,Greece,GR,350.78,409.42,45.86,39.99,entsoe.eu,false,
2023-01-01 16:00:00,Greece,Greece,GR,334.66,390.21,48.9,43.53,entsoe.eu,false,
2023-01-01 17:00:00,Greece,Greece,GR,319.84,373.14,51.04,46.07,entsoe.eu,false,
2023-01-01 18:00:00,Greece,Greece,GR,324.87,377.98,50.76,45.29,entsoe.eu,false,
2023-01-01 19:00:00,Greece,Greece,GR,331.49,387.55,47.97,42.34,entsoe.eu,false,
2023-01-01 20:00:00,Greece,Greece,GR,358.83,419.4,43.5,37.68,entsoe.eu,false,
2023-01-01 21:00:00,Greece,Greece,GR,373.14,433.66,42.77,36.58,entsoe.eu,false,
2023-01-01 22:00:00,Greece,Greece,GR,384.96,447.93,40.15,33.36,entsoe.eu,false,
2023-01-01 23:00:00,Greece,Greece,GR,396.6,456.59,40.27,31.73,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 00:00:00,Greece,Greece,GR,333.16,384.84,50.02,41.9,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 01:00:00,Greece,Greece,GR,348.81,400.93,47.84,39.33,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 02:00:00,Greece,Greece,GR,377.54,432.34,43.73,34.9,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 03:00:00,Greece,Greece,GR,415.58,475.73,38.39,29.92,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 04:00:00,Greece,Greece,GR,438.52,504.22,34.23,26.11,Electricity Maps Estimation,false,
2023-01-02 05:00:00,Greece,Greece,GR,431.29,496.91,34.75,27.16,entsoe.eu,false,
2023-01-02 06:00:00,Greece,Greece,GR,403.78,468.6,37.34,31.29,entsoe.eu,false,
2023-01-02 07:00:00,Greece,Greece,GR,324.58,379.19,51.06,45.89,entsoe.eu,false,
2023-01-02 08:00:00,Greece,Greece,GR,268.06,318.4,58.1,53.32,entsoe.eu,false,
2023-01-02 09:00:00,Greece,Greece,GR,240.05,288.07,62.13,57.68,entsoe.eu,false,
2023-01-02 10:00:00,Greece,Greece,GR,232.47,280.69,62.84,58.64,entsoe.eu,false,
2023-01-02 11:00:00,Greece,Greece,GR,238.11,285.36,62.97,58.39,entsoe.eu,false,
2023-01-02 12:00:00,Greece,Greece,GR,265.39,313.52,60.16,55.08,entsoe.eu,false,
2023-01-02 13:00:00,Greece,Greece,GR,341.75,401.65,46.94,42.12,entsoe.eu,false,
2023-01-02 14:00:00,Greece,Greece,GR,437.13,510.73,29.05,24.33,entsoe.eu,false,
2023-01-02 15:00:00,Greece,Greece,GR,462.62,542.01,22.65,18.71,entsoe.eu,false,
2023-01-02 16:00:00,Greece,Greece,GR,434.62,507.32,29.59,25.88,entsoe.eu,false,
2023-01-02 17:00:00,Greece,Greece,GR,437.61,511.4,28.7,24.99,entsoe.eu,false,
2023-01-02 18:00:00,Greece,Greece,GR,444.37,519.94,26.81,22.97,entsoe.eu,false,
