Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Guatemala,Guatemala,GT,43.08,132.59,88.76,88.76,wl12.amm.org.gt,false,
2023-01-01 01:00:00,Guatemala,Guatemala,GT,75.97,182.77,80.68,80.68,wl12.amm.org.gt,false,
2023-01-01 02:00:00,Guatemala,Guatemala,GT,45.01,139.21,88.26,88.26,wl12.amm.org.gt,false,
2023-01-01 03:00:00,Guatemala,Guatemala,GT,34.01,125.99,91.13,91.13,wl12.amm.org.gt,false,
2023-01-01 04:00:00,Guatemala,Guatemala,GT,39.99,132.66,89.57,89.57,wl12.amm.org.gt,false,
2023-01-01 05:00:00,Guatemala,Guatemala,GT,35.43,129.12,90.75,90.75,wl12.amm.org.gt,false,
2023-01-01 06:00:00,Guatemala,Guatemala,GT,44.58,150.64,88.37,88.37,wl12.amm.org.gt,false,
2023-01-01 07:00:00,Guatemala,Guatemala,GT,48.32,159.43,87.39,87.39,wl12.amm.org.gt,false,
2023-01-01 08:00:00,Guatemala,Guatemala,GT,52.78,173.83,86.23,86.23,wl12.amm.org.gt,false,
2023-01-01 09:00:00,Guatemala,Guatemala,GT,54.64,178.94,85.74,85.74,wl12.amm.org.gt,false,
2023-01-01 10:00:00,Guatemala,Guatemala,GT,64.57,193.57,83.15,83.15,wl12.amm.org.gt,false,
2023-01-01 11:00:00,Guatemala,Guatemala,GT,70.65,203.99,81.56,81.56,wl12.amm.org.gt,false,
2023-01-01 12:00:00,Guatemala,Guatemala,GT,72.94,220.71,80.97,80.97,wl12.amm.org.gt,false,
2023-01-01 13:00:00,Guatemala,Guatemala,GT,74.74,219.91,80.5,80.5,wl12.amm.org.gt,false,
2023-01-01 14:00:00,Guatemala,Guatemala,GT,71.7,212.29,81.3,81.3,wl12.amm.org.gt,false,
2023-01-01 15:00:00,Guatemala,Guatemala,GT,57.56,187.3,84.98,84.98,wl12.amm.org.gt,false,
2023-01-01 16:00:00,Guatemala,Guatemala,GT,55.52,179.26,85.52,85.52,wl12.amm.org.gt,false,
2023-01-01 17:00:00,Guatemala,Guatemala,GT,53.11,175.89,86.15,86.15,wl12.amm.org.gt,false,
2023-01-01 18:00:00,Guatemala,Guatemala,GT,64.5,189.81,83.17,83.17,wl12.amm.org.gt,false,
2023-01-01 19:00:00,Guatemala,Guatemala,GT,64.64,190.11,83.13,83.13,wl12.amm.org.gt,false,
2023-01-01 20:00:00,Guatemala,Guatemala,GT,65.54,192.39,82.9,82.9,wl12.amm.org.gt,false,
2023-01-01 21:00:00,Guatemala,Guatemala,GT,64.84,188.66,83.08,83.08,wl12.amm.org.gt,false,
2023-01-01 22:00:00,Guatemala,Guatemala,GT,61.28,177.76,84.01,84.01,wl12.amm.org.gt,false,
2023-01-01 23:00:00,Guatemala,Guatemala,GT,55.75,165.16,85.45,85.45,wl12.amm.org.gt,false,
2023-01-02 00:00:00,Guatemala,Guatemala,GT,47.95,148.39,87.49,87.49,wl12.amm.org.gt,false,
2023-01-02 01:00:00,Guatemala,Guatemala,GT,42.1,141.13,89.01,89.01,wl12.amm.org.gt,false,
2023-01-02 02:00:00,Guatemala,Guatemala,GT,43.52,144.38,88.65,88.65,wl12.amm.org.gt,false,
2023-01-02 03:00:00,Guatemala,Guatemala,GT,45.92,152.1,88.02,88.02,wl12.amm.org.gt,false,
2023-01-02 04:00:00,Guatemala,Guatemala,GT,46.07,153.14,87.98,87.98,wl12.amm.org.gt,false,
2023-01-02 05:00:00,Guatemala,Guatemala,GT,51.38,168.25,86.59,86.59,wl12.amm.org.gt,false,
2023-01-02 06:00:00,Guatemala,Guatemala,GT,96.9,242.51,75.11,75.11,wl12.amm.org.gt,false,
2023-01-02 07:00:00,Guatemala,Guatemala,GT,111.4,264.78,71.35,71.35,wl12.amm.org.gt,false,
2023-01-02 08:00:00,Guatemala,Guatemala,GT,119.09,278.91,69.37,69.37,wl12.amm.org.gt,false,
2023-01-02 09:00:00,Guatemala,Guatemala,GT,117.58,275.39,69.76,69.76,wl12.amm.org.gt,false,
2023-01-02 10:00:00,Guatemala,Guatemala,GT,114.05,267.93,70.67,70.67,wl12.amm.org.gt,false,
2023-01-02 11:00:00,Guatemala,Guatemala,GT,105.36,249.74,72.91,72.91,wl12.amm.org.gt,false,
2023-01-02 12:00:00,Guatemala,Guatemala,GT,109.36,260.74,71.88,71.88,wl12.amm.org.gt,false,
2023-01-02 13:00:00,Guatemala,Guatemala,GT,96.5,231.74,75.18,75.18,wl12.amm.org.gt,false,
2023-01-02 14:00:00,Guatemala,Guatemala,GT,80.15,206.66,79.24,79.24,wl12.amm.org.gt,false,
2023-01-02 15:00:00,Guatemala,Guatemala,GT,74.95,195.88,80.59,80.59,wl12.amm.org.gt,false,
2023-01-02 16:00:00,Guatemala,Guatemala,GT,72.23,188.48,81.29,81.29,wl12.amm.org.gt,false,
2023-01-02 17:00:00,Guatemala,Guatemala,GT,71.66,187.22,81.44,81.44,wl12.amm.org.gt,false,
2023-01-02 18:00:00,Guatemala,Guatemala,GT,71.08,185.95,81.59,81.59,wl12.amm.org.gt,false,
2023-01-02 19:00:00,Guatemala,Guatemala,GT,71.15,185.6,81.57,81.57,wl12.amm.org.gt,false,
2023-01-02 20:00:00,Guatemala,Guatemala,GT,70.21,180.92,81.81,81.81,wl12.amm.org.gt,false,
2023-01-02 21:00:00,Guatemala,Guatemala,GT,69.24,179.51,82.07,82.07,wl12.amm.org.gt,false,
2023-01-02 22:00:00,Guatemala,Guatemala,GT,80.18,195.4,79.38,79.38,wl12.amm.org.gt,false,
2023-01-02 23:00:00,Guatemala,Guatemala,GT,72.63,180.52,81.32,81.32,wl12.amm.org.gt,false,
2023-01-03 00:00:00,Guatemala,Guatemala,GT,68.18,170.69,82.47,82.47,wl12.amm.org.gt,false,
2023-01-03 01:00:00,Guatemala,Guatemala,GT,68.38,171.44,82.42,82.42,wl12.amm.org.gt,false,
2023-01-03 02:00:00,Guatemala,Guatemala,GT,74.96,182.2,80.76,80.76,wl12.amm.org.gt,false,
2023-01-03 03:00:00,Guatemala,Guatemala,GT,79.23,196.06,79.57,79.57,wl12.amm.org.gt,false,
2023-01-03 04:00:00,Guatemala,Guatemala,GT,81.56,201.49,78.99,78.99,wl12.amm.org.gt,false,
2023-01-03 05:00:00,Guatemala,Guatemala,GT,92.17,221.89,76.3,76.3,wl12.amm.org.gt,false,
2023-01-03 06:00:00,Guatemala,Guatemala,GT,76.6,203.54,80.01,80.01,wl12.amm.org.gt,false,
