Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Honduras,Honduras,HN,554.83,333.58,3.22,3.22,enteoperador.org,false,
2023-01-01 01:00:00,Honduras,Honduras,HN,554.55,334.74,3.17,3.17,enteoperador.org,false,
2023-01-01 02:00:00,Honduras,Honduras,HN,558.06,334.36,2.74,2.74,enteoperador.org,false,
2023-01-01 03:00:00,Honduras,Honduras,HN,559.6,334.31,2.56,2.56,enteoperador.org,false,
2023-01-01 04:00:00,Honduras,Honduras,HN,529.98,323.32,7.48,7.48,enteoperador.org,false,
2023-01-01 05:00:00,Honduras,Honduras,HN,518.2,319.0,9.46,9.46,enteoperador.org,false,
2023-01-01 06:00:00,Honduras,Honduras,HN,526.52,322.96,8.05,8.05,enteoperador.org,false,
2023-01-01 07:00:00,Honduras,Honduras,HN,529.92,324.53,7.48,7.48,enteoperador.org,false,
2023-01-01 08:00:00,Honduras,Honduras,HN,515.76,320.87,9.8,9.8,enteoperador.org,false,
2023-01-01 09:00:00,Honduras,Honduras,HN,514.31,319.63,10.11,10.11,enteoperador.org,false,
2023-01-01 10:00:00,Honduras,Honduras,HN,507.25,318.3,11.2,11.2,enteoperador.org,false,
2023-01-01 11:00:00,Honduras,Honduras,HN,508.88,319.11,10.91,10.91,enteoperador.org,false,
2023-01-01 12:00:00,Honduras,Honduras,HN,533.31,328.03,6.81,6.81,enteoperador.org,false,
2023-01-01 13:00:00,Honduras,Honduras,HN,543.57,331.19,5.11,5.11,enteoperador.org,false,
2023-01-01 14:00:00,Honduras,Honduras,HN,485.09,312.68,14.64,14.64,enteoperador.org,false,
2023-01-01 15:00:00,Honduras,Honduras,HN,468.45,302.24,17.8,17.8,enteoperador.org,false,
2023-01-01 16:00:00,Honduras,Honduras,HN,474.44,301.94,16.98,16.98,enteoperador.org,false,
2023-01-01 17:00:00,Honduras,Honduras,HN,448.49,292.95,21.33,21.33,enteoperador.org,false,
2023-01-01 18:00:00,Honduras,Honduras,HN,465.49,298.15,18.49,18.49,enteoperador.org,false,
2023-01-01 19:00:00,Honduras,Honduras,HN,471.82,299.86,17.47,17.47,enteoperador.org,false,
2023-01-01 20:00:00,Honduras,Honduras,HN,470.48,300.12,17.66,17.66,enteoperador.org,false,
2023-01-01 21:00:00,Honduras,Honduras,HN,523.23,321.83,8.66,8.66,enteoperador.org,false,
2023-01-01 22:00:00,Honduras,Honduras,HN,505.16,316.63,11.53,11.53,enteoperador.org,false,
2023-01-01 23:00:00,Honduras,Honduras,HN,531.75,324.54,7.19,7.19,enteoperador.org,false,
2023-01-02 00:00:00,Honduras,Honduras,HN,542.96,327.94,5.32,5.32,enteoperador.org,false,
2023-01-02 01:00:00,Honduras,Honduras,HN,560.84,334.56,2.37,2.37,enteoperador.org,false,
2023-01-02 02:00:00,Honduras,Honduras,HN,545.63,328.52,4.92,4.92,enteoperador.org,false,
2023-01-02 03:00:00,Honduras,Honduras,HN,551.31,330.69,3.99,3.99,enteoperador.org,false,
2023-01-02 04:00:00,Honduras,Honduras,HN,541.75,327.83,5.57,5.57,enteoperador.org,false,
2023-01-02 05:00:00,Honduras,Honduras,HN,519.48,320.72,9.26,9.26,enteoperador.org,false,
2023-01-02 06:00:00,Honduras,Honduras,HN,490.53,319.49,13.46,13.46,enteoperador.org,false,
2023-01-02 07:00:00,Honduras,Honduras,HN,499.14,322.99,12.02,12.02,enteoperador.org,false,
2023-01-02 08:00:00,Honduras,Honduras,HN,487.91,321.0,13.79,13.79,enteoperador.org,false,
2023-01-02 09:00:00,Honduras,Honduras,HN,497.71,322.43,12.28,12.28,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 10:00:00,Honduras,Honduras,HN,508.59,324.11,10.6,10.6,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 11:00:00,Honduras,Honduras,HN,519.34,325.29,8.95,8.95,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 12:00:00,Honduras,Honduras,HN,522.96,326.42,8.36,8.36,enteoperador.org; Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 13:00:00,Honduras,Honduras,HN,536.46,328.04,6.3,6.3,enteoperador.org,false,
