Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Croatia,Croatia,HR,244.69,285.43,67.79,37.09,entsoe.eu,false,
2023-01-01 01:00:00,Croatia,Croatia,HR,253.44,295.1,66.88,37.32,entsoe.eu,false,
2023-01-01 02:00:00,Croatia,Croatia,HR,246.85,288.78,67.58,38.72,entsoe.eu,false,
2023-01-01 03:00:00,Croatia,Croatia,HR,243.11,285.4,67.59,39.96,entsoe.eu,false,
2023-01-01 04:00:00,Croatia,Croatia,HR,242.34,284.77,67.61,39.96,entsoe.eu,false,
2023-01-01 05:00:00,Croatia,Croatia,HR,244.98,288.24,67.04,39.49,entsoe.eu,false,
2023-01-01 06:00:00,Croatia,Croatia,HR,245.75,289.16,66.87,41.4,entsoe.eu,false,
2023-01-01 07:00:00,Croatia,Croatia,HR,228.4,270.34,68.67,43.93,entsoe.eu,false,
2023-01-01 08:00:00,Croatia,Croatia,HR,214.4,255.11,70.67,44.85,entsoe.eu,false,
2023-01-01 09:00:00,Croatia,Croatia,HR,204.93,244.52,72.09,45.09,entsoe.eu,false,
2023-01-01 10:00:00,Croatia,Croatia,HR,202.67,242.78,71.94,45.83,entsoe.eu,false,
2023-01-01 11:00:00,Croatia,Croatia,HR,199.28,239.14,72.22,45.8,entsoe.eu,false,
2023-01-01 12:00:00,Croatia,Croatia,HR,196.29,236.24,72.46,45.61,entsoe.eu,false,
2023-01-01 13:00:00,Croatia,Croatia,HR,192.06,230.61,73.29,43.51,entsoe.eu,false,
2023-01-01 14:00:00,Croatia,Croatia,HR,185.09,222.03,74.48,46.1,entsoe.eu,false,
2023-01-01 15:00:00,Croatia,Croatia,HR,169.38,203.13,77.36,50.75,entsoe.eu,false,
2023-01-01 16:00:00,Croatia,Croatia,HR,182.29,203.78,79.69,55.45,entsoe.eu,false,
2023-01-01 17:00:00,Croatia,Croatia,HR,188.91,209.59,79.2,55.52,entsoe.eu,false,
2023-01-01 18:00:00,Croatia,Croatia,HR,193.35,210.6,80.05,57.19,entsoe.eu,false,
2023-01-01 19:00:00,Croatia,Croatia,HR,205.03,223.62,77.88,53.03,entsoe.eu,false,
2023-01-01 20:00:00,Croatia,Croatia,HR,213.11,232.7,76.4,50.78,entsoe.eu,false,
2023-01-01 21:00:00,Croatia,Croatia,HR,217.84,240.31,74.88,48.83,entsoe.eu,false,
2023-01-01 22:00:00,Croatia,Croatia,HR,204.04,242.06,72.16,41.67,entsoe.eu,false,
2023-01-01 23:00:00,Croatia,Croatia,HR,226.81,266.46,69.76,33.76,entsoe.eu,false,
2023-01-02 00:00:00,Croatia,Croatia,HR,227.13,267.45,69.05,33.55,entsoe.eu,false,
2023-01-02 01:00:00,Croatia,Croatia,HR,234.67,277.39,67.23,35.35,entsoe.eu,false,
2023-01-02 02:00:00,Croatia,Croatia,HR,234.54,277.79,67.13,36.22,entsoe.eu,false,
2023-01-02 03:00:00,Croatia,Croatia,HR,224.03,266.23,68.72,35.52,entsoe.eu,false,
2023-01-02 04:00:00,Croatia,Croatia,HR,222.21,263.49,69.18,34.45,entsoe.eu,false,
2023-01-02 05:00:00,Croatia,Croatia,HR,224.05,264.66,69.34,37.04,entsoe.eu,false,
2023-01-02 06:00:00,Croatia,Croatia,HR,216.93,257.2,70.46,47.52,entsoe.eu,false,
2023-01-02 07:00:00,Croatia,Croatia,HR,225.89,267.48,69.39,50.19,entsoe.eu,false,
2023-01-02 08:00:00,Croatia,Croatia,HR,232.45,267.44,70.24,53.19,entsoe.eu,false,
2023-01-02 09:00:00,Croatia,Croatia,HR,234.9,270.43,69.89,53.91,entsoe.eu,false,
2023-01-02 10:00:00,Croatia,Croatia,HR,237.83,272.88,70.07,54.12,entsoe.eu,false,
2023-01-02 11:00:00,Croatia,Croatia,HR,223.85,257.78,72.04,53.48,entsoe.eu,false,
2023-01-02 12:00:00,Croatia,Croatia,HR,223.1,253.41,72.84,54.72,entsoe.eu,false,
2023-01-02 13:00:00,Croatia,Croatia,HR,226.04,256.51,72.4,52.9,entsoe.eu,false,
2023-01-02 14:00:00,Croatia,Croatia,HR,231.32,261.71,71.99,53.4,entsoe.eu,false,
2023-01-02 15:00:00,Croatia,Croatia,HR,248.41,271.66,72.32,56.91,entsoe.eu,false,
2023-01-02 16:00:00,Croatia,Croatia,HR,235.2,256.84,74.24,56.77,entsoe.eu,false,
2023-01-02 17:00:00,Croatia,Croatia,HR,239.64,260.95,74.11,57.22,entsoe.eu,false,
2023-01-02 18:00:00,Croatia,Croatia,HR,242.18,263.29,73.67,57.39,entsoe.eu,false,
2023-01-02 19:00:00,Croatia,Croatia,HR,245.9,269.78,72.22,55.87,entsoe.eu,false,
2023-01-02 20:00:00,Croatia,Croatia,HR,252.0,282.44,69.87,49.03,entsoe.eu,false,
2023-01-02 21:00:00,Croatia,Croatia,HR,253.94,285.12,69.72,46.48,entsoe.eu,false,
2023-01-02 22:00:00,Croatia,Croatia,HR,279.54,311.7,66.95,43.59,entsoe.eu,false,
