Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,India,Eastern India,IN-EA,708.25,766.33,6.6,5.47,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 01:00:00,India,Eastern India,IN-EA,708.9,767.02,6.51,5.41,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 02:00:00,India,Eastern India,IN-EA,697.4,755.38,8.03,7.06,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 03:00:00,India,Eastern India,IN-EA,682.62,740.38,9.99,9.17,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 04:00:00,India,Eastern India,IN-EA,679.29,737.0,10.44,9.72,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 05:00:00,India,Eastern India,IN-EA,678.23,735.93,10.58,9.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 06:00:00,India,Eastern India,IN-EA,676.01,733.66,10.88,10.19,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 07:00:00,India,Eastern India,IN-EA,675.4,733.03,10.96,10.26,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 08:00:00,India,Eastern India,IN-EA,698.34,756.37,8.02,7.41,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 09:00:00,India,Eastern India,IN-EA,678.69,736.36,10.53,9.79,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 10:00:00,India,Eastern India,IN-EA,680.58,738.27,10.28,9.49,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 11:00:00,India,Eastern India,IN-EA,684.78,742.5,9.73,8.88,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 12:00:00,India,Eastern India,IN-EA,701.92,759.85,7.43,6.35,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 13:00:00,India,Eastern India,IN-EA,707.8,765.82,6.67,5.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 14:00:00,India,Eastern India,IN-EA,708.29,766.32,6.61,5.58,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 15:00:00,India,Eastern India,IN-EA,708.12,766.12,6.63,5.61,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 16:00:00,India,Eastern India,IN-EA,707.93,765.94,6.65,5.63,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 17:00:00,India,Eastern India,IN-EA,707.96,765.96,6.65,5.64,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 18:00:00,India,Eastern India,IN-EA,727.85,784.4,4.06,3.88,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 19:00:00,India,Eastern India,IN-EA,731.2,787.84,3.63,3.56,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 20:00:00,India,Eastern India,IN-EA,731.21,787.85,3.63,3.56,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 21:00:00,India,Eastern India,IN-EA,731.23,787.87,3.63,3.56,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 22:00:00,India,Eastern India,IN-EA,731.07,787.72,3.64,3.56,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 23:00:00,India,Eastern India,IN-EA,730.47,787.15,3.72,3.54,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 00:00:00,India,Eastern India,IN-EA,730.31,787.03,3.73,3.53,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 01:00:00,India,Eastern India,IN-EA,730.26,787.0,3.74,3.52,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 02:00:00,India,Eastern India,IN-EA,727.24,783.93,4.14,3.98,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 03:00:00,India,Eastern India,IN-EA,725.7,782.33,4.34,4.23,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 04:00:00,India,Eastern India,IN-EA,725.12,781.76,4.42,4.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 05:00:00,India,Eastern India,IN-EA,725.08,781.7,4.43,4.32,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 06:00:00,India,Eastern India,IN-EA,725.06,781.64,4.43,4.37,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
