Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,India,North Eastern India,IN-NE,400.91,488.24,18.26,18.26,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 01:00:00,India,North Eastern India,IN-NE,396.71,483.59,19.11,19.11,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 02:00:00,India,North Eastern India,IN-NE,375.35,459.97,23.47,23.47,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 03:00:00,India,North Eastern India,IN-NE,368.41,452.3,24.88,24.88,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 04:00:00,India,North Eastern India,IN-NE,365.98,449.62,25.38,25.38,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 05:00:00,India,North Eastern India,IN-NE,364.93,448.45,25.59,25.59,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 06:00:00,India,North Eastern India,IN-NE,364.8,448.31,25.62,25.62,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 07:00:00,India,North Eastern India,IN-NE,365.37,448.95,25.5,25.5,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 08:00:00,India,North Eastern India,IN-NE,366.91,450.65,25.19,25.19,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 09:00:00,India,North Eastern India,IN-NE,370.47,454.59,24.46,24.46,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 10:00:00,India,North Eastern India,IN-NE,377.61,462.48,23.01,23.01,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
