Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,India,Northern India,IN-NO,648.31,705.75,13.6,11.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 01:00:00,India,Northern India,IN-NO,648.83,706.28,13.54,11.37,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 02:00:00,India,Northern India,IN-NO,634.57,691.75,15.43,13.32,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 03:00:00,India,Northern India,IN-NO,539.34,594.72,28.12,26.41,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 04:00:00,India,Northern India,IN-NO,519.45,574.48,30.76,29.2,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 05:00:00,India,Northern India,IN-NO,508.1,562.91,32.26,30.72,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 06:00:00,India,Northern India,IN-NO,487.05,541.39,35.06,33.38,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 07:00:00,India,Northern India,IN-NO,482.65,536.89,35.65,33.94,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 08:00:00,India,Northern India,IN-NO,484.61,538.86,35.4,33.67,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 09:00:00,India,Northern India,IN-NO,491.95,546.33,34.43,32.67,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 10:00:00,India,Northern India,IN-NO,496.72,551.15,33.8,31.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 11:00:00,India,Northern India,IN-NO,516.72,571.5,31.12,29.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 12:00:00,India,Northern India,IN-NO,642.0,699.19,14.4,11.89,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 13:00:00,India,Northern India,IN-NO,643.33,700.58,14.22,11.77,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 14:00:00,India,Northern India,IN-NO,643.28,700.53,14.23,11.76,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 15:00:00,India,Northern India,IN-NO,643.18,700.42,14.24,11.74,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 16:00:00,India,Northern India,IN-NO,643.82,701.1,14.16,11.76,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 17:00:00,India,Northern India,IN-NO,644.01,701.31,14.13,11.75,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 18:00:00,India,Northern India,IN-NO,648.16,705.55,13.64,11.65,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 19:00:00,India,Northern India,IN-NO,647.57,704.91,13.72,11.61,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 20:00:00,India,Northern India,IN-NO,646.47,703.73,13.87,11.61,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 21:00:00,India,Northern India,IN-NO,645.36,702.55,14.01,11.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 22:00:00,India,Northern India,IN-NO,645.28,702.43,14.03,11.57,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 23:00:00,India,Northern India,IN-NO,647.0,704.19,13.82,11.39,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 00:00:00,India,Northern India,IN-NO,649.28,706.63,13.51,11.42,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 01:00:00,India,Northern India,IN-NO,649.71,707.07,13.46,11.37,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 02:00:00,India,Northern India,IN-NO,635.93,693.04,15.29,13.26,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 03:00:00,India,Northern India,IN-NO,542.24,597.59,27.76,26.11,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 04:00:00,India,Northern India,IN-NO,525.57,580.64,29.98,28.46,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 05:00:00,India,Northern India,IN-NO,515.18,570.05,31.37,29.85,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 06:00:00,India,Northern India,IN-NO,492.65,547.03,34.35,32.72,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 07:00:00,India,Northern India,IN-NO,488.05,542.34,34.96,33.31,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 08:00:00,India,Northern India,IN-NO,503.94,558.35,32.92,31.35,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 09:00:00,India,Northern India,IN-NO,491.65,545.98,34.48,32.79,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 10:00:00,India,Northern India,IN-NO,496.04,550.42,33.9,32.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 11:00:00,India,Northern India,IN-NO,518.74,573.5,30.88,28.88,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 12:00:00,India,Northern India,IN-NO,642.77,699.89,14.35,11.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 13:00:00,India,Northern India,IN-NO,644.58,701.76,14.11,11.74,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 14:00:00,India,Northern India,IN-NO,644.5,701.67,14.12,11.73,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 15:00:00,India,Northern India,IN-NO,644.37,701.54,14.13,11.72,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 16:00:00,India,Northern India,IN-NO,645.0,702.21,14.05,11.73,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 17:00:00,India,Northern India,IN-NO,645.18,702.41,14.02,11.73,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
