Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,India,Southern India,IN-SO,535.94,585.37,29.1,19.69,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 01:00:00,India,Southern India,IN-SO,545.13,595.19,27.88,19.17,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 02:00:00,India,Southern India,IN-SO,462.08,511.47,38.87,31.71,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 03:00:00,India,Southern India,IN-SO,427.21,476.47,43.48,37.24,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 04:00:00,India,Southern India,IN-SO,417.76,467.0,44.73,38.82,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 05:00:00,India,Southern India,IN-SO,415.42,464.71,45.03,39.3,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 06:00:00,India,Southern India,IN-SO,408.63,457.76,45.93,40.15,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 07:00:00,India,Southern India,IN-SO,404.84,453.87,46.43,40.57,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 08:00:00,India,Southern India,IN-SO,400.0,448.85,47.07,41.04,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 09:00:00,India,Southern India,IN-SO,400.81,449.54,46.97,40.89,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 10:00:00,India,Southern India,IN-SO,403.37,452.05,46.63,40.32,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 11:00:00,India,Southern India,IN-SO,408.19,456.41,45.99,39.2,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 12:00:00,India,Southern India,IN-SO,463.05,510.9,38.73,30.07,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 13:00:00,India,Southern India,IN-SO,516.38,564.62,31.67,22.24,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 14:00:00,India,Southern India,IN-SO,514.54,562.65,31.92,22.46,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 15:00:00,India,Southern India,IN-SO,509.83,557.6,32.54,23.01,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 16:00:00,India,Southern India,IN-SO,512.85,560.84,32.14,22.62,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 17:00:00,India,Southern India,IN-SO,509.27,557.0,32.61,22.99,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 18:00:00,India,Southern India,IN-SO,514.52,562.49,31.94,22.55,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 19:00:00,India,Southern India,IN-SO,514.11,562.03,32.0,22.47,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 20:00:00,India,Southern India,IN-SO,510.83,558.53,32.43,22.65,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 21:00:00,India,Southern India,IN-SO,509.34,556.93,32.63,22.7,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 22:00:00,India,Southern India,IN-SO,510.4,558.04,32.49,22.66,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 23:00:00,India,Southern India,IN-SO,519.98,568.2,31.23,21.81,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 00:00:00,India,Southern India,IN-SO,528.09,576.88,30.15,21.28,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 01:00:00,India,Southern India,IN-SO,537.6,587.05,28.9,20.67,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 02:00:00,India,Southern India,IN-SO,459.31,508.18,39.25,32.37,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 03:00:00,India,Southern India,IN-SO,426.46,475.32,43.59,37.56,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 04:00:00,India,Southern India,IN-SO,422.48,471.48,44.12,38.46,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 05:00:00,India,Southern India,IN-SO,421.61,470.73,44.23,38.74,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 06:00:00,India,Southern India,IN-SO,412.0,460.89,45.5,39.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 07:00:00,India,Southern India,IN-SO,407.87,456.65,46.05,40.38,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 08:00:00,India,Southern India,IN-SO,403.21,451.81,46.66,40.83,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 09:00:00,India,Southern India,IN-SO,405.26,453.88,46.39,40.49,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 10:00:00,India,Southern India,IN-SO,406.62,455.09,46.21,40.11,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 11:00:00,India,Southern India,IN-SO,412.4,460.53,45.45,38.88,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 12:00:00,India,Southern India,IN-SO,463.92,511.69,38.63,30.33,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 13:00:00,India,Southern India,IN-SO,516.16,564.31,31.72,22.7,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 14:00:00,India,Southern India,IN-SO,513.87,561.85,32.03,22.99,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 15:00:00,India,Southern India,IN-SO,510.77,558.53,32.44,23.3,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 16:00:00,India,Southern India,IN-SO,513.05,560.97,32.13,23.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 17:00:00,India,Southern India,IN-SO,510.82,558.58,32.43,23.2,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 18:00:00,India,Southern India,IN-SO,509.13,556.8,32.67,23.51,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 19:00:00,India,Southern India,IN-SO,508.05,555.65,32.81,23.46,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 20:00:00,India,Southern India,IN-SO,505.33,552.75,33.17,23.56,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 21:00:00,India,Southern India,IN-SO,503.66,550.95,33.39,23.66,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 22:00:00,India,Southern India,IN-SO,505.65,553.07,33.13,23.47,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 23:00:00,India,Southern India,IN-SO,513.01,560.89,32.16,22.86,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 00:00:00,India,Southern India,IN-SO,519.27,567.62,31.33,22.52,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 01:00:00,India,Southern India,IN-SO,530.04,579.16,29.9,21.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 02:00:00,India,Southern India,IN-SO,457.62,506.3,39.48,32.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 03:00:00,India,Southern India,IN-SO,422.67,471.23,44.1,38.13,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 04:00:00,India,Southern India,IN-SO,415.58,464.14,45.04,39.42,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 05:00:00,India,Southern India,IN-SO,418.29,467.18,44.68,39.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 06:00:00,India,Southern India,IN-SO,405.47,454.01,46.38,40.77,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 07:00:00,India,Southern India,IN-SO,401.88,450.36,46.85,41.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 08:00:00,India,Southern India,IN-SO,397.47,445.81,47.44,41.56,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 09:00:00,India,Southern India,IN-SO,399.09,447.39,47.22,41.28,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 10:00:00,India,Southern India,IN-SO,400.15,448.34,47.08,40.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 11:00:00,India,Southern India,IN-SO,404.65,452.44,46.49,39.81,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 12:00:00,India,Southern India,IN-SO,457.62,505.15,39.48,31.18,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 13:00:00,India,Southern India,IN-SO,512.33,560.3,32.25,23.23,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 14:00:00,India,Southern India,IN-SO,509.28,557.04,32.65,23.56,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 15:00:00,India,Southern India,IN-SO,504.46,551.86,33.29,24.12,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 16:00:00,India,Southern India,IN-SO,506.74,554.31,32.99,23.87,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 17:00:00,India,Southern India,IN-SO,502.76,550.05,33.51,24.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
