Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Mainland India,Mainland India,IN,653.25,709.52,13.22,9.59,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 01:00:00,Mainland India,Mainland India,IN,653.3,709.63,13.19,9.63,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 02:00:00,Mainland India,Mainland India,IN,623.52,679.39,17.16,13.87,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 03:00:00,Mainland India,Mainland India,IN,583.78,639.01,22.47,19.55,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 04:00:00,Mainland India,Mainland India,IN,577.24,632.43,23.35,20.63,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 05:00:00,Mainland India,Mainland India,IN,574.98,630.15,23.67,21.0,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 06:00:00,Mainland India,Mainland India,IN,571.89,626.96,24.09,21.4,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 07:00:00,Mainland India,Mainland India,IN,568.94,623.91,24.48,21.74,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 08:00:00,Mainland India,Mainland India,IN,567.19,622.1,24.7,21.91,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 09:00:00,Mainland India,Mainland India,IN,568.93,623.86,24.46,21.64,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 10:00:00,Mainland India,Mainland India,IN,573.87,628.84,23.8,20.93,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 11:00:00,Mainland India,Mainland India,IN,586.21,641.35,22.13,19.11,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 12:00:00,Mainland India,Mainland India,IN,639.1,695.13,15.05,11.66,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 13:00:00,Mainland India,Mainland India,IN,655.45,711.75,12.92,9.53,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 14:00:00,Mainland India,Mainland India,IN,654.72,710.99,13.0,9.6,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 15:00:00,Mainland India,Mainland India,IN,652.76,708.93,13.25,9.76,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 16:00:00,Mainland India,Mainland India,IN,651.79,707.98,13.35,9.85,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 17:00:00,Mainland India,Mainland India,IN,651.71,707.91,13.34,9.84,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 18:00:00,Mainland India,Mainland India,IN,646.06,701.61,14.03,10.51,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 19:00:00,Mainland India,Mainland India,IN,645.09,700.55,14.17,10.54,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
