Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Jamaica,Jamaica,JM,351.56,512.33,8.83,8.83,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 01:00:00,Jamaica,Jamaica,JM,353.42,514.37,8.31,8.31,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 02:00:00,Jamaica,Jamaica,JM,349.68,508.4,9.22,9.22,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 03:00:00,Jamaica,Jamaica,JM,347.27,503.56,9.72,9.72,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 04:00:00,Jamaica,Jamaica,JM,344.29,499.31,10.48,10.48,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 05:00:00,Jamaica,Jamaica,JM,346.16,497.84,9.65,9.65,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 06:00:00,Jamaica,Jamaica,JM,340.67,494.08,11.41,11.41,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 07:00:00,Jamaica,Jamaica,JM,342.36,495.59,10.9,10.9,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 08:00:00,Jamaica,Jamaica,JM,338.49,491.93,12.05,12.05,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 09:00:00,Jamaica,Jamaica,JM,330.48,479.72,14.07,14.07,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 10:00:00,Jamaica,Jamaica,JM,328.46,479.87,14.79,14.79,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 11:00:00,Jamaica,Jamaica,JM,329.08,478.46,14.44,14.44,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 12:00:00,Jamaica,Jamaica,JM,340.5,490.29,11.14,11.14,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 13:00:00,Jamaica,Jamaica,JM,331.41,479.0,13.6,13.6,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 14:00:00,Jamaica,Jamaica,JM,333.19,480.34,13.03,13.03,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 15:00:00,Jamaica,Jamaica,JM,329.7,477.28,14.08,14.08,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 16:00:00,Jamaica,Jamaica,JM,328.81,476.66,14.36,14.36,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 17:00:00,Jamaica,Jamaica,JM,334.14,482.39,12.83,12.83,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 18:00:00,Jamaica,Jamaica,JM,332.66,480.89,13.27,13.27,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 19:00:00,Jamaica,Jamaica,JM,333.65,483.44,13.1,13.1,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 20:00:00,Jamaica,Jamaica,JM,337.85,489.1,12.01,12.01,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 21:00:00,Jamaica,Jamaica,JM,335.96,488.56,12.67,12.67,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 22:00:00,Jamaica,Jamaica,JM,343.72,501.33,10.83,10.83,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 23:00:00,Jamaica,Jamaica,JM,343.35,499.26,10.81,10.81,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 00:00:00,Jamaica,Jamaica,JM,351.57,510.1,8.64,8.64,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 01:00:00,Jamaica,Jamaica,JM,354.01,513.48,8.01,8.01,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 02:00:00,Jamaica,Jamaica,JM,351.81,509.71,8.52,8.52,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 03:00:00,Jamaica,Jamaica,JM,352.08,508.6,8.32,8.32,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 04:00:00,Jamaica,Jamaica,JM,346.89,500.12,9.57,9.57,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 05:00:00,Jamaica,Jamaica,JM,349.71,505.17,8.95,8.95,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 06:00:00,Jamaica,Jamaica,JM,346.46,504.71,10.13,10.13,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 07:00:00,Jamaica,Jamaica,JM,351.43,510.33,8.72,8.72,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 08:00:00,Jamaica,Jamaica,JM,346.19,505.47,10.29,10.29,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 09:00:00,Jamaica,Jamaica,JM,327.91,480.73,15.14,15.14,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 10:00:00,Jamaica,Jamaica,JM,335.26,489.82,13.07,13.07,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 11:00:00,Jamaica,Jamaica,JM,335.08,486.28,12.85,12.85,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 12:00:00,Jamaica,Jamaica,JM,346.11,499.74,9.83,9.83,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 13:00:00,Jamaica,Jamaica,JM,339.99,492.6,11.52,11.52,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 14:00:00,Jamaica,Jamaica,JM,346.15,500.47,9.85,9.85,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 15:00:00,Jamaica,Jamaica,JM,339.41,494.34,11.86,11.86,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 16:00:00,Jamaica,Jamaica,JM,335.94,489.46,12.76,12.76,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 17:00:00,Jamaica,Jamaica,JM,338.57,491.8,11.96,11.96,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 18:00:00,Jamaica,Jamaica,JM,337.61,491.49,12.32,12.32,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 19:00:00,Jamaica,Jamaica,JM,335.29,489.86,13.05,13.05,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 20:00:00,Jamaica,Jamaica,JM,339.45,494.38,11.87,11.87,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 21:00:00,Jamaica,Jamaica,JM,339.06,496.16,12.15,12.15,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 22:00:00,Jamaica,Jamaica,JM,346.0,505.05,10.3,10.3,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 23:00:00,Jamaica,Jamaica,JM,345.45,504.08,10.43,10.43,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 00:00:00,Jamaica,Jamaica,JM,353.99,516.18,8.25,8.25,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
