Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Japan,Chūbu,JP-CB,233.75,298.52,57.29,51.83,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 01:00:00,Japan,Chūbu,JP-CB,194.44,254.71,64.49,58.73,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 02:00:00,Japan,Chūbu,JP-CB,158.35,215.36,71.08,65.81,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 03:00:00,Japan,Chūbu,JP-CB,129.14,183.15,76.42,70.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 04:00:00,Japan,Chūbu,JP-CB,165.5,222.99,69.77,64.04,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 05:00:00,Japan,Chūbu,JP-CB,251.08,316.26,54.14,47.57,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 06:00:00,Japan,Chūbu,JP-CB,327.73,399.43,40.15,32.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 07:00:00,Japan,Chūbu,JP-CB,422.18,503.18,22.89,16.33,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 08:00:00,Japan,Chūbu,JP-CB,442.63,526.85,19.13,13.62,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 09:00:00,Japan,Chūbu,JP-CB,445.85,530.78,18.54,13.48,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 10:00:00,Japan,Chūbu,JP-CB,446.35,531.43,18.44,13.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 11:00:00,Japan,Chūbu,JP-CB,444.12,528.93,18.85,13.56,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 12:00:00,Japan,Chūbu,JP-CB,444.37,529.27,18.8,13.42,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 13:00:00,Japan,Chūbu,JP-CB,446.16,531.4,18.47,13.12,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 14:00:00,Japan,Chūbu,JP-CB,446.62,531.85,18.39,12.94,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 15:00:00,Japan,Chūbu,JP-CB,449.34,535.34,17.88,13.43,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 16:00:00,Japan,Chūbu,JP-CB,442.4,526.64,19.17,12.99,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 17:00:00,Japan,Chūbu,JP-CB,441.78,526.2,19.28,13.54,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 18:00:00,Japan,Chūbu,JP-CB,445.14,530.45,18.65,13.51,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 19:00:00,Japan,Chūbu,JP-CB,446.94,532.66,18.32,13.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 20:00:00,Japan,Chūbu,JP-CB,443.54,528.35,18.95,13.3,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 21:00:00,Japan,Chūbu,JP-CB,445.68,530.42,18.57,13.15,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 22:00:00,Japan,Chūbu,JP-CB,428.87,511.15,21.65,15.23,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 23:00:00,Japan,Chūbu,JP-CB,359.0,435.75,34.41,29.28,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 00:00:00,Japan,Chūbu,JP-CB,301.96,375.35,44.8,42.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 01:00:00,Japan,Chūbu,JP-CB,245.92,314.18,55.04,53.68,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 02:00:00,Japan,Chūbu,JP-CB,219.51,284.71,59.88,57.73,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 03:00:00,Japan,Chūbu,JP-CB,235.89,302.97,56.88,55.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 04:00:00,Japan,Chūbu,JP-CB,226.64,291.83,58.58,55.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 05:00:00,Japan,Chūbu,JP-CB,243.64,309.21,55.49,50.45,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 06:00:00,Japan,Chūbu,JP-CB,337.35,412.72,38.35,34.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 07:00:00,Japan,Chūbu,JP-CB,424.15,506.92,22.51,17.13,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 08:00:00,Japan,Chūbu,JP-CB,452.39,539.04,17.33,13.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 09:00:00,Japan,Chūbu,JP-CB,453.75,540.7,17.08,13.41,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 10:00:00,Japan,Chūbu,JP-CB,452.41,538.92,17.32,13.36,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 11:00:00,Japan,Chūbu,JP-CB,455.09,542.23,16.83,13.23,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 12:00:00,Japan,Chūbu,JP-CB,458.11,546.03,16.27,13.2,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
