Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Japan,Chūgoku,JP-CG,322.28,400.29,41.09,34.4,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 01:00:00,Japan,Chūgoku,JP-CG,232.2,299.33,57.56,49.39,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 02:00:00,Japan,Chūgoku,JP-CG,194.69,257.81,64.41,56.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 03:00:00,Japan,Chūgoku,JP-CG,206.33,270.69,62.29,54.25,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 04:00:00,Japan,Chūgoku,JP-CG,226.45,292.98,58.61,50.35,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 05:00:00,Japan,Chūgoku,JP-CG,255.66,325.27,53.27,44.71,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 06:00:00,Japan,Chūgoku,JP-CG,336.46,415.28,38.51,30.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 07:00:00,Japan,Chūgoku,JP-CG,414.12,498.51,24.39,17.85,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 08:00:00,Japan,Chūgoku,JP-CG,440.02,531.2,19.58,13.0,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 09:00:00,Japan,Chūgoku,JP-CG,442.7,533.93,19.1,12.71,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 10:00:00,Japan,Chūgoku,JP-CG,440.13,531.24,19.56,12.86,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 11:00:00,Japan,Chūgoku,JP-CG,441.44,532.4,19.33,12.76,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 12:00:00,Japan,Chūgoku,JP-CG,440.88,532.48,19.41,12.81,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 13:00:00,Japan,Chūgoku,JP-CG,441.62,533.27,19.28,12.73,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 14:00:00,Japan,Chūgoku,JP-CG,442.31,534.01,19.15,12.69,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 15:00:00,Japan,Chūgoku,JP-CG,442.56,534.15,19.11,12.64,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 16:00:00,Japan,Chūgoku,JP-CG,444.76,536.66,18.71,12.64,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 17:00:00,Japan,Chūgoku,JP-CG,443.36,535.18,18.96,12.69,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 18:00:00,Japan,Chūgoku,JP-CG,444.47,536.5,18.76,12.68,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 19:00:00,Japan,Chūgoku,JP-CG,445.76,537.91,18.52,12.67,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 20:00:00,Japan,Chūgoku,JP-CG,444.77,536.72,18.7,12.68,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 21:00:00,Japan,Chūgoku,JP-CG,446.23,538.37,18.44,12.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 22:00:00,Japan,Chūgoku,JP-CG,441.75,533.52,19.26,13.39,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 23:00:00,Japan,Chūgoku,JP-CG,394.58,481.19,27.88,22.17,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 00:00:00,Japan,Chūgoku,JP-CG,314.45,391.83,42.52,36.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 01:00:00,Japan,Chūgoku,JP-CG,255.54,324.88,53.32,46.08,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 02:00:00,Japan,Chūgoku,JP-CG,265.61,336.99,51.45,44.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 03:00:00,Japan,Chūgoku,JP-CG,262.5,333.39,52.02,44.98,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
