Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Japan,Hokkaidō,JP-HKD,305.63,385.5,44.14,44.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 01:00:00,Japan,Hokkaidō,JP-HKD,283.11,360.04,48.26,48.26,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 02:00:00,Japan,Hokkaidō,JP-HKD,287.99,365.21,47.37,47.37,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 03:00:00,Japan,Hokkaidō,JP-HKD,306.86,386.48,43.92,43.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 04:00:00,Japan,Hokkaidō,JP-HKD,312.62,392.36,42.86,42.86,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 05:00:00,Japan,Hokkaidō,JP-HKD,340.08,422.88,37.84,37.84,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 06:00:00,Japan,Hokkaidō,JP-HKD,387.12,476.39,29.25,29.25,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 07:00:00,Japan,Hokkaidō,JP-HKD,400.49,492.1,26.81,26.81,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 08:00:00,Japan,Hokkaidō,JP-HKD,403.58,495.81,26.24,26.24,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 09:00:00,Japan,Hokkaidō,JP-HKD,404.54,496.97,26.07,26.07,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 10:00:00,Japan,Hokkaidō,JP-HKD,404.59,497.03,26.06,26.06,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 11:00:00,Japan,Hokkaidō,JP-HKD,403.57,495.8,26.24,26.24,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 12:00:00,Japan,Hokkaidō,JP-HKD,404.05,496.38,26.15,26.15,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 13:00:00,Japan,Hokkaidō,JP-HKD,403.06,495.18,26.34,26.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 14:00:00,Japan,Hokkaidō,JP-HKD,402.43,494.43,26.45,26.45,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 15:00:00,Japan,Hokkaidō,JP-HKD,401.71,493.52,26.58,26.58,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 16:00:00,Japan,Hokkaidō,JP-HKD,401.2,492.75,26.68,26.68,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 17:00:00,Japan,Hokkaidō,JP-HKD,402.78,494.59,26.39,26.39,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 18:00:00,Japan,Hokkaidō,JP-HKD,402.05,493.35,26.52,26.52,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 19:00:00,Japan,Hokkaidō,JP-HKD,401.97,493.04,26.53,26.53,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 20:00:00,Japan,Hokkaidō,JP-HKD,401.52,492.47,26.62,26.62,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 21:00:00,Japan,Hokkaidō,JP-HKD,401.4,492.56,26.64,26.64,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 22:00:00,Japan,Hokkaidō,JP-HKD,393.2,483.7,28.14,28.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 23:00:00,Japan,Hokkaidō,JP-HKD,360.36,447.0,34.14,34.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 00:00:00,Japan,Hokkaidō,JP-HKD,324.18,405.62,40.75,40.75,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 01:00:00,Japan,Hokkaidō,JP-HKD,299.77,378.41,45.21,45.21,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 02:00:00,Japan,Hokkaidō,JP-HKD,289.45,366.85,47.1,47.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 03:00:00,Japan,Hokkaidō,JP-HKD,310.1,390.02,43.33,43.33,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 04:00:00,Japan,Hokkaidō,JP-HKD,332.53,414.91,39.22,39.22,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 05:00:00,Japan,Hokkaidō,JP-HKD,363.09,449.3,33.64,33.64,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
