Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Japan,Hokuriku,JP-HR,380.59,459.07,30.42,30.4,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 01:00:00,Japan,Hokuriku,JP-HR,371.18,448.75,32.14,32.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 02:00:00,Japan,Hokuriku,JP-HR,356.66,431.85,34.81,33.08,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 03:00:00,Japan,Hokuriku,JP-HR,367.83,444.62,32.76,31.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 04:00:00,Japan,Hokuriku,JP-HR,373.43,450.93,31.73,31.32,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 05:00:00,Japan,Hokuriku,JP-HR,374.19,450.83,31.61,30.09,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 06:00:00,Japan,Hokuriku,JP-HR,367.6,441.85,32.84,28.38,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 07:00:00,Japan,Hokuriku,JP-HR,390.93,468.36,28.57,25.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 08:00:00,Japan,Hokuriku,JP-HR,400.92,481.24,26.71,26.43,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 09:00:00,Japan,Hokuriku,JP-HR,402.05,482.71,26.5,26.5,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 10:00:00,Japan,Hokuriku,JP-HR,402.89,483.71,26.34,26.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 11:00:00,Japan,Hokuriku,JP-HR,403.18,484.04,26.29,26.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 12:00:00,Japan,Hokuriku,JP-HR,402.77,483.56,26.37,26.37,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 13:00:00,Japan,Hokuriku,JP-HR,403.27,484.15,26.28,26.28,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 14:00:00,Japan,Hokuriku,JP-HR,403.07,483.91,26.31,26.31,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 15:00:00,Japan,Hokuriku,JP-HR,396.9,476.68,27.44,27.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 16:00:00,Japan,Hokuriku,JP-HR,400.67,481.0,26.75,26.53,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 17:00:00,Japan,Hokuriku,JP-HR,397.63,477.53,27.31,27.31,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 18:00:00,Japan,Hokuriku,JP-HR,399.36,479.56,26.99,26.99,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 19:00:00,Japan,Hokuriku,JP-HR,400.48,480.87,26.79,26.79,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 20:00:00,Japan,Hokuriku,JP-HR,399.2,479.26,27.02,26.77,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 21:00:00,Japan,Hokuriku,JP-HR,399.67,479.88,26.94,26.84,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 22:00:00,Japan,Hokuriku,JP-HR,399.83,480.17,26.9,26.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 23:00:00,Japan,Hokuriku,JP-HR,393.87,473.62,27.99,27.99,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 00:00:00,Japan,Hokuriku,JP-HR,362.34,437.86,33.78,31.32,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 01:00:00,Japan,Hokuriku,JP-HR,296.33,363.18,45.89,38.68,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 02:00:00,Japan,Hokuriku,JP-HR,248.14,309.43,54.71,44.22,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 03:00:00,Japan,Hokuriku,JP-HR,255.64,318.04,53.33,43.0,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 04:00:00,Japan,Hokuriku,JP-HR,254.88,316.39,53.48,42.48,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 05:00:00,Japan,Hokuriku,JP-HR,272.69,334.99,50.24,38.61,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 06:00:00,Japan,Hokuriku,JP-HR,343.07,413.8,37.35,29.47,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 07:00:00,Japan,Hokuriku,JP-HR,382.62,457.83,30.11,24.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 08:00:00,Japan,Hokuriku,JP-HR,400.25,480.45,26.83,26.55,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 09:00:00,Japan,Hokuriku,JP-HR,401.25,481.79,26.64,26.64,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
