Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Japan,Kansai,JP-KN,207.86,252.64,62.24,27.31,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 01:00:00,Japan,Kansai,JP-KN,160.01,197.52,71.03,35.23,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 02:00:00,Japan,Kansai,JP-KN,123.67,157.92,77.65,40.49,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 03:00:00,Japan,Kansai,JP-KN,116.27,150.19,78.99,40.7,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 04:00:00,Japan,Kansai,JP-KN,126.84,161.51,77.06,37.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 05:00:00,Japan,Kansai,JP-KN,173.68,210.86,68.55,30.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 06:00:00,Japan,Kansai,JP-KN,228.17,268.55,58.66,20.88,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 07:00:00,Japan,Kansai,JP-KN,295.27,338.65,46.49,10.37,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 08:00:00,Japan,Kansai,JP-KN,317.09,366.4,42.44,8.8,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 09:00:00,Japan,Kansai,JP-KN,322.42,372.91,41.45,9.06,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 10:00:00,Japan,Kansai,JP-KN,321.22,371.72,41.67,9.11,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 11:00:00,Japan,Kansai,JP-KN,322.7,374.76,41.37,9.0,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 12:00:00,Japan,Kansai,JP-KN,321.2,373.75,41.63,8.96,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 13:00:00,Japan,Kansai,JP-KN,314.05,364.94,42.95,8.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 14:00:00,Japan,Kansai,JP-KN,312.48,362.93,43.24,8.65,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 15:00:00,Japan,Kansai,JP-KN,304.51,351.81,44.73,8.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 16:00:00,Japan,Kansai,JP-KN,294.45,339.87,46.58,7.87,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 17:00:00,Japan,Kansai,JP-KN,293.22,339.12,46.79,8.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 18:00:00,Japan,Kansai,JP-KN,292.27,338.6,46.95,8.06,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 19:00:00,Japan,Kansai,JP-KN,289.54,335.4,47.45,7.94,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 20:00:00,Japan,Kansai,JP-KN,288.29,333.26,47.69,7.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 21:00:00,Japan,Kansai,JP-KN,290.12,332.09,47.43,7.55,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
