Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Japan,Kyūshū,JP-KY,173.56,230.23,68.26,38.84,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 01:00:00,Japan,Kyūshū,JP-KY,85.69,130.82,84.33,53.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 02:00:00,Japan,Kyūshū,JP-KY,57.69,98.93,89.45,57.04,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 03:00:00,Japan,Kyūshū,JP-KY,60.27,101.44,88.98,55.48,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 04:00:00,Japan,Kyūshū,JP-KY,71.92,114.18,86.85,52.23,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 05:00:00,Japan,Kyūshū,JP-KY,81.05,124.17,85.18,49.83,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 06:00:00,Japan,Kyūshū,JP-KY,153.09,205.62,72.01,38.04,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 07:00:00,Japan,Kyūshū,JP-KY,266.31,333.65,51.3,19.51,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 08:00:00,Japan,Kyūshū,JP-KY,319.58,394.93,41.56,13.73,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 09:00:00,Japan,Kyūshū,JP-KY,325.99,402.54,40.39,13.61,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 10:00:00,Japan,Kyūshū,JP-KY,326.99,403.74,40.21,13.7,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
