Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Japan,Okinawa,JP-ON,462.81,560.18,15.41,15.41,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 01:00:00,Japan,Okinawa,JP-ON,415.98,508.04,23.97,23.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 02:00:00,Japan,Okinawa,JP-ON,406.19,497.15,25.76,25.76,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 03:00:00,Japan,Okinawa,JP-ON,410.3,501.75,25.01,25.01,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 04:00:00,Japan,Okinawa,JP-ON,396.98,486.91,27.45,27.45,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 05:00:00,Japan,Okinawa,JP-ON,407.73,498.89,25.48,25.48,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 06:00:00,Japan,Okinawa,JP-ON,437.62,532.17,20.02,20.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 07:00:00,Japan,Okinawa,JP-ON,479.67,578.99,12.33,12.33,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 08:00:00,Japan,Okinawa,JP-ON,512.74,615.81,6.29,6.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 09:00:00,Japan,Okinawa,JP-ON,519.33,623.16,5.08,5.08,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 10:00:00,Japan,Okinawa,JP-ON,519.09,622.88,5.13,5.13,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 11:00:00,Japan,Okinawa,JP-ON,519.35,623.19,5.08,5.08,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 12:00:00,Japan,Okinawa,JP-ON,519.5,623.36,5.05,5.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 13:00:00,Japan,Okinawa,JP-ON,519.59,623.48,5.04,5.04,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 14:00:00,Japan,Okinawa,JP-ON,519.7,623.6,5.02,5.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 15:00:00,Japan,Okinawa,JP-ON,519.58,623.46,5.04,5.04,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 16:00:00,Japan,Okinawa,JP-ON,519.8,623.72,5.0,5.0,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 17:00:00,Japan,Okinawa,JP-ON,519.95,623.9,4.97,4.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 18:00:00,Japan,Okinawa,JP-ON,520.19,624.18,4.93,4.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 19:00:00,Japan,Okinawa,JP-ON,520.28,624.28,4.91,4.91,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 20:00:00,Japan,Okinawa,JP-ON,520.15,624.14,4.93,4.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 21:00:00,Japan,Okinawa,JP-ON,520.14,624.12,4.94,4.94,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 22:00:00,Japan,Okinawa,JP-ON,517.82,621.51,5.36,5.36,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 23:00:00,Japan,Okinawa,JP-ON,494.23,595.25,9.67,9.67,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 00:00:00,Japan,Okinawa,JP-ON,488.04,588.36,10.8,10.8,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 01:00:00,Japan,Okinawa,JP-ON,479.65,579.03,12.34,12.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 02:00:00,Japan,Okinawa,JP-ON,459.57,556.67,16.01,16.01,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 03:00:00,Japan,Okinawa,JP-ON,458.91,555.93,16.13,16.13,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 04:00:00,Japan,Okinawa,JP-ON,455.89,552.57,16.68,16.68,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 05:00:00,Japan,Okinawa,JP-ON,477.39,576.52,12.75,12.75,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 06:00:00,Japan,Okinawa,JP-ON,480.82,580.33,12.12,12.12,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 07:00:00,Japan,Okinawa,JP-ON,491.2,591.89,10.23,10.23,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 08:00:00,Japan,Okinawa,JP-ON,511.53,614.53,6.51,6.51,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 09:00:00,Japan,Okinawa,JP-ON,520.25,624.25,4.92,4.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 10:00:00,Japan,Okinawa,JP-ON,519.95,623.89,4.97,4.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 11:00:00,Japan,Okinawa,JP-ON,520.0,623.96,4.96,4.96,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 12:00:00,Japan,Okinawa,JP-ON,519.87,623.81,4.98,4.98,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 13:00:00,Japan,Okinawa,JP-ON,519.73,623.64,5.01,5.01,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 14:00:00,Japan,Okinawa,JP-ON,519.7,623.61,5.02,5.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 15:00:00,Japan,Okinawa,JP-ON,519.57,623.44,5.04,5.04,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 16:00:00,Japan,Okinawa,JP-ON,519.35,623.19,5.08,5.08,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 17:00:00,Japan,Okinawa,JP-ON,519.67,623.57,5.02,5.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 18:00:00,Japan,Okinawa,JP-ON,519.87,623.81,4.99,4.99,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 19:00:00,Japan,Okinawa,JP-ON,519.9,623.84,4.98,4.98,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 20:00:00,Japan,Okinawa,JP-ON,519.87,623.8,4.99,4.99,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 21:00:00,Japan,Okinawa,JP-ON,519.83,623.76,4.99,4.99,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 22:00:00,Japan,Okinawa,JP-ON,519.75,623.66,5.01,5.01,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 23:00:00,Japan,Okinawa,JP-ON,502.98,605.0,8.07,8.07,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 00:00:00,Japan,Okinawa,JP-ON,448.23,544.03,18.08,18.08,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 01:00:00,Japan,Okinawa,JP-ON,431.92,525.88,21.06,21.06,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 02:00:00,Japan,Okinawa,JP-ON,423.29,516.28,22.64,22.64,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 03:00:00,Japan,Okinawa,JP-ON,415.85,508.02,24.0,24.0,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 04:00:00,Japan,Okinawa,JP-ON,482.3,581.99,11.85,11.85,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 05:00:00,Japan,Okinawa,JP-ON,499.42,601.07,8.72,8.72,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 06:00:00,Japan,Okinawa,JP-ON,507.28,609.8,7.29,7.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 07:00:00,Japan,Okinawa,JP-ON,511.89,614.92,6.44,6.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 08:00:00,Japan,Okinawa,JP-ON,518.02,621.73,5.32,5.32,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 09:00:00,Japan,Okinawa,JP-ON,519.67,623.57,5.02,5.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 10:00:00,Japan,Okinawa,JP-ON,519.19,623.0,5.11,5.11,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 11:00:00,Japan,Okinawa,JP-ON,519.24,623.06,5.1,5.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 12:00:00,Japan,Okinawa,JP-ON,519.17,622.98,5.11,5.11,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 13:00:00,Japan,Okinawa,JP-ON,518.83,622.57,5.18,5.18,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 14:00:00,Japan,Okinawa,JP-ON,518.68,622.4,5.2,5.2,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 15:00:00,Japan,Okinawa,JP-ON,518.6,622.3,5.22,5.22,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 16:00:00,Japan,Okinawa,JP-ON,518.58,622.29,5.22,5.22,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 17:00:00,Japan,Okinawa,JP-ON,518.55,622.25,5.23,5.23,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 18:00:00,Japan,Okinawa,JP-ON,518.56,622.26,5.23,5.23,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 19:00:00,Japan,Okinawa,JP-ON,518.46,622.14,5.24,5.24,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 20:00:00,Japan,Okinawa,JP-ON,518.27,621.92,5.28,5.28,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 21:00:00,Japan,Okinawa,JP-ON,518.23,621.87,5.28,5.28,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 22:00:00,Japan,Okinawa,JP-ON,517.89,621.51,5.35,5.35,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 23:00:00,Japan,Okinawa,JP-ON,501.54,603.31,8.34,8.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 00:00:00,Japan,Okinawa,JP-ON,469.84,568.02,14.13,14.13,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 01:00:00,Japan,Okinawa,JP-ON,461.36,558.58,15.68,15.68,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 02:00:00,Japan,Okinawa,JP-ON,463.71,561.19,15.25,15.25,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 03:00:00,Japan,Okinawa,JP-ON,443.78,539.0,18.89,18.89,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 04:00:00,Japan,Okinawa,JP-ON,414.77,506.72,24.19,24.19,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 05:00:00,Japan,Okinawa,JP-ON,426.69,519.99,22.02,22.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 06:00:00,Japan,Okinawa,JP-ON,439.57,534.34,19.66,19.66,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 07:00:00,Japan,Okinawa,JP-ON,476.93,575.93,12.83,12.83,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 08:00:00,Japan,Okinawa,JP-ON,511.61,614.55,6.5,6.5,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 09:00:00,Japan,Okinawa,JP-ON,519.46,623.32,5.06,5.06,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 10:00:00,Japan,Okinawa,JP-ON,519.01,622.79,5.14,5.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 11:00:00,Japan,Okinawa,JP-ON,519.34,623.17,5.08,5.08,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 12:00:00,Japan,Okinawa,JP-ON,519.39,623.23,5.07,5.07,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 13:00:00,Japan,Okinawa,JP-ON,519.35,623.19,5.08,5.08,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 14:00:00,Japan,Okinawa,JP-ON,519.39,623.24,5.07,5.07,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 15:00:00,Japan,Okinawa,JP-ON,519.15,622.95,5.12,5.12,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 16:00:00,Japan,Okinawa,JP-ON,519.32,623.15,5.09,5.09,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 17:00:00,Japan,Okinawa,JP-ON,519.34,623.18,5.08,5.08,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 18:00:00,Japan,Okinawa,JP-ON,519.46,623.33,5.06,5.06,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 19:00:00,Japan,Okinawa,JP-ON,519.46,623.32,5.06,5.06,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 20:00:00,Japan,Okinawa,JP-ON,519.33,623.16,5.09,5.09,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 21:00:00,Japan,Okinawa,JP-ON,519.58,623.46,5.04,5.04,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 22:00:00,Japan,Okinawa,JP-ON,517.9,621.6,5.34,5.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04 23:00:00,Japan,Okinawa,JP-ON,499.81,601.46,8.65,8.65,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 00:00:00,Japan,Okinawa,JP-ON,465.18,562.89,14.98,14.98,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 01:00:00,Japan,Okinawa,JP-ON,421.76,514.55,22.92,22.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 02:00:00,Japan,Okinawa,JP-ON,395.77,485.6,27.67,27.67,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 03:00:00,Japan,Okinawa,JP-ON,390.99,480.29,28.54,28.54,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 04:00:00,Japan,Okinawa,JP-ON,385.84,474.58,29.48,29.48,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 05:00:00,Japan,Okinawa,JP-ON,406.88,498.01,25.64,25.64,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 06:00:00,Japan,Okinawa,JP-ON,434.1,528.32,20.66,20.66,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 07:00:00,Japan,Okinawa,JP-ON,471.89,570.4,13.76,13.76,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 08:00:00,Japan,Okinawa,JP-ON,513.08,616.27,6.23,6.23,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 09:00:00,Japan,Okinawa,JP-ON,520.45,624.49,4.88,4.88,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 10:00:00,Japan,Okinawa,JP-ON,520.29,624.3,4.91,4.91,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 11:00:00,Japan,Okinawa,JP-ON,520.31,624.32,4.91,4.91,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 12:00:00,Japan,Okinawa,JP-ON,520.21,624.2,4.92,4.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 13:00:00,Japan,Okinawa,JP-ON,520.1,624.08,4.94,4.94,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 14:00:00,Japan,Okinawa,JP-ON,520.09,624.06,4.95,4.95,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 15:00:00,Japan,Okinawa,JP-ON,520.31,624.32,4.91,4.91,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 16:00:00,Japan,Okinawa,JP-ON,520.37,624.39,4.89,4.89,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 17:00:00,Japan,Okinawa,JP-ON,520.61,624.68,4.85,4.85,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 18:00:00,Japan,Okinawa,JP-ON,520.86,624.97,4.81,4.81,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 19:00:00,Japan,Okinawa,JP-ON,520.98,625.11,4.78,4.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 20:00:00,Japan,Okinawa,JP-ON,521.07,625.21,4.77,4.77,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 21:00:00,Japan,Okinawa,JP-ON,521.2,625.37,4.74,4.74,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 22:00:00,Japan,Okinawa,JP-ON,520.64,624.75,4.84,4.84,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-05 23:00:00,Japan,Okinawa,JP-ON,508.55,611.29,7.05,7.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-06 00:00:00,Japan,Okinawa,JP-ON,486.99,587.29,10.99,10.99,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-06 01:00:00,Japan,Okinawa,JP-ON,456.9,553.78,16.49,16.49,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-06 02:00:00,Japan,Okinawa,JP-ON,429.96,523.79,21.42,21.42,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-06 03:00:00,Japan,Okinawa,JP-ON,389.64,478.88,28.79,28.79,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-06 04:00:00,Japan,Okinawa,JP-ON,422.41,515.38,22.8,22.8,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
