Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Japan,Shikoku,JP-SK,396.01,341.94,30.9,30.36, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-01 01:00:00,Japan,Shikoku,JP-SK,363.88,309.55,36.7,36.64, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-01 02:00:00,Japan,Shikoku,JP-SK,317.38,279.09,44.71,44.27, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-01 03:00:00,Japan,Shikoku,JP-SK,292.84,262.76,48.94,48.37, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-01 04:00:00,Japan,Shikoku,JP-SK,293.25,264.76,48.83,48.13, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-01 05:00:00,Japan,Shikoku,JP-SK,355.35,307.04,38.1,37.7, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-01 06:00:00,Japan,Shikoku,JP-SK,443.13,372.8,22.78,22.39, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-01 07:00:00,Japan,Shikoku,JP-SK,544.94,440.2,5.23,5.23, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-01 08:00:00,Japan,Shikoku,JP-SK,573.43,462.66,0.23,0.16, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-01 09:00:00,Japan,Shikoku,JP-SK,574.83,462.1,0.02,0.02, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-01 10:00:00,Japan,Shikoku,JP-SK,574.86,462.07,0.02,0.01, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-01 11:00:00,Japan,Shikoku,JP-SK,574.98,462.01,0.0,0.0, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-01 12:00:00,Japan,Shikoku,JP-SK,573.54,462.77,0.21,0.14, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-01 13:00:00,Japan,Shikoku,JP-SK,571.89,463.67,0.45,0.3, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-01 14:00:00,Japan,Shikoku,JP-SK,571.2,464.07,0.55,0.36, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-01 15:00:00,Japan,Shikoku,JP-SK,570.92,464.22,0.59,0.39, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-01 16:00:00,Japan,Shikoku,JP-SK,570.77,464.42,0.61,0.41, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-01 17:00:00,Japan,Shikoku,JP-SK,572.26,463.52,0.39,0.26, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-01 18:00:00,Japan,Shikoku,JP-SK,571.59,463.94,0.49,0.33, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-01 19:00:00,Japan,Shikoku,JP-SK,573.61,462.81,0.2,0.14, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-01 20:00:00,Japan,Shikoku,JP-SK,573.1,463.11,0.27,0.19, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-01 21:00:00,Japan,Shikoku,JP-SK,573.1,463.13,0.27,0.19, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-01 22:00:00,Japan,Shikoku,JP-SK,563.14,459.36,1.92,1.71, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-01 23:00:00,Japan,Shikoku,JP-SK,507.51,420.84,11.56,11.26, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-02 00:00:00,Japan,Shikoku,JP-SK,443.87,371.43,22.7,22.45, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-02 01:00:00,Japan,Shikoku,JP-SK,398.27,334.34,30.72,30.69, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-02 02:00:00,Japan,Shikoku,JP-SK,334.31,294.56,41.69,41.2, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-02 03:00:00,Japan,Shikoku,JP-SK,304.22,275.12,46.87,46.18, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-02 04:00:00,Japan,Shikoku,JP-SK,330.69,291.02,42.34,41.85, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-02 05:00:00,Japan,Shikoku,JP-SK,387.88,332.39,32.4,31.97, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-02 06:00:00,Japan,Shikoku,JP-SK,444.6,381.7,22.34,21.59, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-02 07:00:00,Japan,Shikoku,JP-SK,539.33,445.5,5.98,5.6, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-02 08:00:00,Japan,Shikoku,JP-SK,574.72,461.99,0.04,0.04, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-02 09:00:00,Japan,Shikoku,JP-SK,574.8,462.11,0.03,0.02, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-02 10:00:00,Japan,Shikoku,JP-SK,574.86,462.08,0.02,0.01, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-02 11:00:00,Japan,Shikoku,JP-SK,575.0,462.0,0.0,0.0, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-02 12:00:00,Japan,Shikoku,JP-SK,574.81,462.11,0.03,0.02, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-02 13:00:00,Japan,Shikoku,JP-SK,572.43,463.46,0.37,0.25, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-02 14:00:00,Japan,Shikoku,JP-SK,569.93,464.94,0.73,0.49, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-02 15:00:00,Japan,Shikoku,JP-SK,573.32,462.94,0.24,0.16, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-02 16:00:00,Japan,Shikoku,JP-SK,573.8,462.68,0.17,0.11, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-02 17:00:00,Japan,Shikoku,JP-SK,574.3,462.4,0.1,0.07, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-02 18:00:00,Japan,Shikoku,JP-SK,574.82,462.11,0.03,0.02, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-02 19:00:00,Japan,Shikoku,JP-SK,573.13,463.13,0.27,0.18, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-02 20:00:00,Japan,Shikoku,JP-SK,572.08,463.76,0.42,0.29, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-02 21:00:00,Japan,Shikoku,JP-SK,572.83,463.29,0.31,0.21, www.yonden.co.jp; occtonet.or.jp,false,
2023-01-02 22:00:00,Japan,Shikoku,JP-SK,568.99,457.99,1.04,1.03, www.yonden.co.jp; occtonet.or.jp,false,
