Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Japan,Tōhoku,JP-TH,360.77,440.64,34.04,34.04,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 01:00:00,Japan,Tōhoku,JP-TH,337.15,414.54,38.36,38.36,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 02:00:00,Japan,Tōhoku,JP-TH,333.33,410.1,39.06,39.06,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 03:00:00,Japan,Tōhoku,JP-TH,332.51,409.06,39.21,39.21,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 04:00:00,Japan,Tōhoku,JP-TH,344.51,422.23,37.02,37.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 05:00:00,Japan,Tōhoku,JP-TH,366.66,446.59,32.97,32.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 06:00:00,Japan,Tōhoku,JP-TH,398.73,481.9,27.1,27.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 07:00:00,Japan,Tōhoku,JP-TH,415.53,500.58,24.03,24.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 08:00:00,Japan,Tōhoku,JP-TH,416.38,501.62,23.88,23.88,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 09:00:00,Japan,Tōhoku,JP-TH,415.74,500.89,24.0,24.0,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 10:00:00,Japan,Tōhoku,JP-TH,416.8,502.19,23.8,23.8,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 11:00:00,Japan,Tōhoku,JP-TH,414.6,499.52,24.2,24.2,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 12:00:00,Japan,Tōhoku,JP-TH,414.92,499.87,24.14,24.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 13:00:00,Japan,Tōhoku,JP-TH,414.98,499.91,24.13,24.13,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 14:00:00,Japan,Tōhoku,JP-TH,414.51,499.23,24.22,24.22,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 15:00:00,Japan,Tōhoku,JP-TH,411.33,495.46,24.8,24.8,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 16:00:00,Japan,Tōhoku,JP-TH,412.31,496.59,24.62,24.62,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 17:00:00,Japan,Tōhoku,JP-TH,410.67,494.65,24.92,24.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 18:00:00,Japan,Tōhoku,JP-TH,411.31,495.41,24.8,24.8,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 19:00:00,Japan,Tōhoku,JP-TH,412.68,497.02,24.55,24.55,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 20:00:00,Japan,Tōhoku,JP-TH,412.92,497.3,24.51,24.51,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 21:00:00,Japan,Tōhoku,JP-TH,413.12,497.55,24.47,24.47,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 22:00:00,Japan,Tōhoku,JP-TH,410.75,494.95,24.91,24.91,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 23:00:00,Japan,Tōhoku,JP-TH,398.34,481.29,27.17,27.17,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 00:00:00,Japan,Tōhoku,JP-TH,377.57,458.35,30.97,30.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 01:00:00,Japan,Tōhoku,JP-TH,349.04,426.95,36.19,36.19,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 02:00:00,Japan,Tōhoku,JP-TH,327.52,403.26,40.12,40.12,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 03:00:00,Japan,Tōhoku,JP-TH,334.99,411.42,38.76,38.76,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 04:00:00,Japan,Tōhoku,JP-TH,350.32,428.26,35.95,35.95,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 05:00:00,Japan,Tōhoku,JP-TH,370.7,450.71,32.23,32.23,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 06:00:00,Japan,Tōhoku,JP-TH,399.35,482.4,26.99,26.99,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 07:00:00,Japan,Tōhoku,JP-TH,413.27,497.76,24.45,24.45,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 08:00:00,Japan,Tōhoku,JP-TH,415.59,500.5,24.02,24.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 09:00:00,Japan,Tōhoku,JP-TH,416.26,501.35,23.9,23.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 10:00:00,Japan,Tōhoku,JP-TH,415.82,500.86,23.98,23.98,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 11:00:00,Japan,Tōhoku,JP-TH,415.22,500.16,24.09,24.09,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 12:00:00,Japan,Tōhoku,JP-TH,415.69,500.63,24.0,24.0,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 13:00:00,Japan,Tōhoku,JP-TH,415.91,500.85,23.96,23.96,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 14:00:00,Japan,Tōhoku,JP-TH,415.31,500.12,24.07,24.07,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 15:00:00,Japan,Tōhoku,JP-TH,413.88,498.44,24.33,24.33,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 16:00:00,Japan,Tōhoku,JP-TH,413.72,498.25,24.36,24.36,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 17:00:00,Japan,Tōhoku,JP-TH,412.98,497.37,24.5,24.5,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 18:00:00,Japan,Tōhoku,JP-TH,413.6,498.1,24.39,24.39,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 19:00:00,Japan,Tōhoku,JP-TH,414.44,499.09,24.23,24.23,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 20:00:00,Japan,Tōhoku,JP-TH,414.51,499.18,24.22,24.22,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 21:00:00,Japan,Tōhoku,JP-TH,414.69,499.39,24.19,24.19,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 22:00:00,Japan,Tōhoku,JP-TH,411.4,495.89,24.79,24.79,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 23:00:00,Japan,Tōhoku,JP-TH,389.93,472.35,28.71,28.71,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 00:00:00,Japan,Tōhoku,JP-TH,360.13,439.44,34.16,34.16,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 01:00:00,Japan,Tōhoku,JP-TH,326.62,402.3,40.29,40.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
