Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Kyrgyzstan,Kyrgyzstan,KG,129.35,160.21,82.62,82.62,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 01:00:00,Kyrgyzstan,Kyrgyzstan,KG,120.27,150.75,83.79,83.79,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 02:00:00,Kyrgyzstan,Kyrgyzstan,KG,114.43,144.66,84.53,84.53,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 03:00:00,Kyrgyzstan,Kyrgyzstan,KG,113.69,144.11,84.49,84.49,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 04:00:00,Kyrgyzstan,Kyrgyzstan,KG,101.09,131.39,85.85,85.85,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 05:00:00,Kyrgyzstan,Kyrgyzstan,KG,97.23,127.52,86.24,86.24,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 06:00:00,Kyrgyzstan,Kyrgyzstan,KG,95.83,126.19,86.34,86.34,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 07:00:00,Kyrgyzstan,Kyrgyzstan,KG,96.32,126.99,86.1,86.1,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 08:00:00,Kyrgyzstan,Kyrgyzstan,KG,109.56,140.52,84.58,84.58,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 09:00:00,Kyrgyzstan,Kyrgyzstan,KG,113.85,144.97,84.02,84.02,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 10:00:00,Kyrgyzstan,Kyrgyzstan,KG,133.65,165.55,81.49,81.49,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 11:00:00,Kyrgyzstan,Kyrgyzstan,KG,138.12,170.21,80.93,80.93,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 12:00:00,Kyrgyzstan,Kyrgyzstan,KG,119.8,150.91,83.41,83.41,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 13:00:00,Kyrgyzstan,Kyrgyzstan,KG,124.48,155.78,82.81,82.81,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 14:00:00,Kyrgyzstan,Kyrgyzstan,KG,125.0,156.29,82.76,82.76,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 15:00:00,Kyrgyzstan,Kyrgyzstan,KG,127.74,159.15,82.42,82.42,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 16:00:00,Kyrgyzstan,Kyrgyzstan,KG,116.72,147.17,84.15,84.15,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 17:00:00,Kyrgyzstan,Kyrgyzstan,KG,110.9,141.23,84.81,84.81,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 18:00:00,Kyrgyzstan,Kyrgyzstan,KG,93.52,123.5,86.8,86.8,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 19:00:00,Kyrgyzstan,Kyrgyzstan,KG,100.69,130.55,86.15,86.15,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
