Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Kazakhstan,Kazakhstan,KZ,596.5,669.93,7.52,7.34,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 01:00:00,Kazakhstan,Kazakhstan,KZ,588.65,662.97,7.82,7.68,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 02:00:00,Kazakhstan,Kazakhstan,KZ,570.7,639.41,9.94,8.37,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 03:00:00,Kazakhstan,Kazakhstan,KZ,564.18,631.33,11.12,9.29,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 04:00:00,Kazakhstan,Kazakhstan,KZ,561.29,628.38,11.47,9.64,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 05:00:00,Kazakhstan,Kazakhstan,KZ,555.83,620.8,12.06,9.67,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 06:00:00,Kazakhstan,Kazakhstan,KZ,549.87,614.92,13.03,10.81,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 07:00:00,Kazakhstan,Kazakhstan,KZ,552.84,615.03,13.45,10.78,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 08:00:00,Kazakhstan,Kazakhstan,KZ,559.14,622.44,12.45,9.94,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 09:00:00,Kazakhstan,Kazakhstan,KZ,562.38,626.81,11.73,9.41,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 10:00:00,Kazakhstan,Kazakhstan,KZ,567.64,635.32,11.04,9.57,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 11:00:00,Kazakhstan,Kazakhstan,KZ,564.33,631.54,11.37,9.77,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 12:00:00,Kazakhstan,Kazakhstan,KZ,560.43,627.25,12.21,10.7,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 13:00:00,Kazakhstan,Kazakhstan,KZ,561.65,629.72,11.83,10.57,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 14:00:00,Kazakhstan,Kazakhstan,KZ,559.38,627.88,11.24,9.77,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 15:00:00,Kazakhstan,Kazakhstan,KZ,569.4,640.18,10.22,9.35,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 16:00:00,Kazakhstan,Kazakhstan,KZ,578.51,648.89,9.75,8.95,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 17:00:00,Kazakhstan,Kazakhstan,KZ,581.49,648.88,10.01,8.64,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 18:00:00,Kazakhstan,Kazakhstan,KZ,579.75,648.35,9.27,7.84,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 19:00:00,Kazakhstan,Kazakhstan,KZ,580.58,649.05,8.87,7.26,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 20:00:00,Kazakhstan,Kazakhstan,KZ,579.6,646.6,9.06,7.05,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 21:00:00,Kazakhstan,Kazakhstan,KZ,580.02,647.08,8.85,6.76,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
