Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Lithuania,Lithuania,LT,110.49,172.96,72.48,66.6,entsoe.eu,false,
2023-01-01 01:00:00,Lithuania,Lithuania,LT,114.74,179.69,71.37,66.57,entsoe.eu,false,
2023-01-01 02:00:00,Lithuania,Lithuania,LT,101.99,163.07,76.43,71.59,entsoe.eu,false,
2023-01-01 03:00:00,Lithuania,Lithuania,LT,106.79,170.22,74.57,70.15,entsoe.eu,false,
2023-01-01 04:00:00,Lithuania,Lithuania,LT,104.9,166.98,76.32,72.37,entsoe.eu,false,
2023-01-01 05:00:00,Lithuania,Lithuania,LT,102.09,162.92,76.55,72.97,entsoe.eu,false,
2023-01-01 06:00:00,Lithuania,Lithuania,LT,84.36,140.58,81.09,79.61,entsoe.eu,false,
2023-01-01 07:00:00,Lithuania,Lithuania,LT,121.99,174.68,82.75,81.8,entsoe.eu,false,
2023-01-01 08:00:00,Lithuania,Lithuania,LT,188.63,242.97,77.22,76.87,entsoe.eu,false,
2023-01-01 09:00:00,Lithuania,Lithuania,LT,193.7,248.02,76.65,76.51,entsoe.eu,false,
2023-01-01 10:00:00,Lithuania,Lithuania,LT,224.85,281.44,72.31,72.2,entsoe.eu,false,
2023-01-01 11:00:00,Lithuania,Lithuania,LT,216.74,273.17,71.7,71.54,entsoe.eu,false,
2023-01-01 12:00:00,Lithuania,Lithuania,LT,219.83,276.44,71.24,71.03,entsoe.eu,false,
2023-01-01 13:00:00,Lithuania,Lithuania,LT,219.99,275.47,72.57,72.4,entsoe.eu,false,
2023-01-01 14:00:00,Lithuania,Lithuania,LT,206.27,260.44,74.52,74.23,entsoe.eu,false,
2023-01-01 15:00:00,Lithuania,Lithuania,LT,71.02,121.81,81.85,75.3,entsoe.eu,false,
2023-01-01 16:00:00,Lithuania,Lithuania,LT,97.7,148.87,76.32,72.89,entsoe.eu,false,
2023-01-01 17:00:00,Lithuania,Lithuania,LT,100.32,152.24,75.61,72.49,entsoe.eu,false,
2023-01-01 18:00:00,Lithuania,Lithuania,LT,111.36,164.42,73.27,71.4,entsoe.eu,false,
2023-01-01 19:00:00,Lithuania,Lithuania,LT,110.05,162.44,73.93,71.88,entsoe.eu,false,
2023-01-01 20:00:00,Lithuania,Lithuania,LT,77.09,127.13,80.4,74.19,entsoe.eu,false,
2023-01-01 21:00:00,Lithuania,Lithuania,LT,96.63,151.57,75.79,70.08,entsoe.eu,false,
2023-01-01 22:00:00,Lithuania,Lithuania,LT,80.23,134.51,79.56,67.64,entsoe.eu,false,
2023-01-01 23:00:00,Lithuania,Lithuania,LT,128.77,190.55,70.21,60.16,entsoe.eu,false,
2023-01-02 00:00:00,Lithuania,Lithuania,LT,149.49,212.99,66.61,57.95,entsoe.eu,false,
2023-01-02 01:00:00,Lithuania,Lithuania,LT,176.05,243.92,61.73,54.6,entsoe.eu,false,
2023-01-02 02:00:00,Lithuania,Lithuania,LT,135.05,198.67,70.28,58.79,entsoe.eu,false,
2023-01-02 03:00:00,Lithuania,Lithuania,LT,173.79,239.23,73.59,57.22,entsoe.eu,false,
2023-01-02 04:00:00,Lithuania,Lithuania,LT,81.65,138.09,81.84,61.37,entsoe.eu,false,
2023-01-02 05:00:00,Lithuania,Lithuania,LT,105.99,159.85,78.34,60.31,entsoe.eu,false,
2023-01-02 06:00:00,Lithuania,Lithuania,LT,116.85,171.78,80.9,66.47,entsoe.eu,false,
2023-01-02 07:00:00,Lithuania,Lithuania,LT,105.93,161.65,83.34,69.33,entsoe.eu,false,
2023-01-02 08:00:00,Lithuania,Lithuania,LT,185.87,245.04,80.64,67.5,entsoe.eu,false,
2023-01-02 09:00:00,Lithuania,Lithuania,LT,175.72,235.18,82.21,69.7,entsoe.eu,false,
2023-01-02 10:00:00,Lithuania,Lithuania,LT,251.62,311.65,73.0,63.08,entsoe.eu,false,
2023-01-02 11:00:00,Lithuania,Lithuania,LT,197.65,253.63,76.22,64.34,entsoe.eu,false,
2023-01-02 12:00:00,Lithuania,Lithuania,LT,224.55,281.34,74.38,64.57,entsoe.eu,false,
2023-01-02 13:00:00,Lithuania,Lithuania,LT,211.68,265.75,76.29,66.93,entsoe.eu,false,
2023-01-02 14:00:00,Lithuania,Lithuania,LT,93.46,146.67,88.73,78.01,entsoe.eu,false,
2023-01-02 15:00:00,Lithuania,Lithuania,LT,101.09,155.47,82.77,75.35,entsoe.eu,false,
2023-01-02 16:00:00,Lithuania,Lithuania,LT,92.07,143.65,84.54,77.6,entsoe.eu,false,
2023-01-02 17:00:00,Lithuania,Lithuania,LT,61.49,107.76,88.42,79.37,entsoe.eu,false,
2023-01-02 18:00:00,Lithuania,Lithuania,LT,62.07,107.62,90.56,82.84,entsoe.eu,false,
2023-01-02 19:00:00,Lithuania,Lithuania,LT,51.1,93.63,86.87,78.34,entsoe.eu,false,
2023-01-02 20:00:00,Lithuania,Lithuania,LT,65.53,111.78,83.46,75.6,entsoe.eu,false,
2023-01-02 21:00:00,Lithuania,Lithuania,LT,60.58,106.91,84.39,76.19,entsoe.eu,false,
2023-01-02 22:00:00,Lithuania,Lithuania,LT,75.66,125.43,80.56,73.44,entsoe.eu,false,
2023-01-02 23:00:00,Lithuania,Lithuania,LT,56.34,101.7,85.45,76.57,entsoe.eu,false,
2023-01-03 00:00:00,Lithuania,Lithuania,LT,49.27,93.79,87.42,77.53,entsoe.eu,false,
2023-01-03 01:00:00,Lithuania,Lithuania,LT,53.61,98.19,86.32,77.54,entsoe.eu,false,
2023-01-03 02:00:00,Lithuania,Lithuania,LT,55.41,100.41,86.1,77.26,entsoe.eu,false,
2023-01-03 03:00:00,Lithuania,Lithuania,LT,63.57,109.29,84.64,75.41,entsoe.eu,false,
2023-01-03 04:00:00,Lithuania,Lithuania,LT,47.07,91.72,87.99,78.18,entsoe.eu,false,
2023-01-03 05:00:00,Lithuania,Lithuania,LT,46.41,89.81,89.25,79.78,entsoe.eu,false,
2023-01-03 06:00:00,Lithuania,Lithuania,LT,62.54,109.44,90.32,81.72,entsoe.eu,false,
2023-01-03 07:00:00,Lithuania,Lithuania,LT,51.56,94.07,93.89,85.39,entsoe.eu,false,
2023-01-03 08:00:00,Lithuania,Lithuania,LT,57.79,102.52,91.5,83.4,entsoe.eu,false,
2023-01-03 09:00:00,Lithuania,Lithuania,LT,37.02,80.24,97.47,87.62,entsoe.eu,false,
2023-01-03 10:00:00,Lithuania,Lithuania,LT,53.14,99.07,92.82,84.85,entsoe.eu,false,
2023-01-03 11:00:00,Lithuania,Lithuania,LT,61.33,109.07,91.16,85.05,entsoe.eu,false,
2023-01-03 12:00:00,Lithuania,Lithuania,LT,60.64,108.92,92.58,85.01,entsoe.eu,false,
2023-01-03 13:00:00,Lithuania,Lithuania,LT,86.2,140.58,92.76,87.46,entsoe.eu,false,
2023-01-03 14:00:00,Lithuania,Lithuania,LT,89.88,143.73,90.93,85.55,entsoe.eu,false,
2023-01-03 15:00:00,Lithuania,Lithuania,LT,91.75,144.82,89.97,84.68,entsoe.eu,false,
2023-01-03 16:00:00,Lithuania,Lithuania,LT,85.42,138.38,91.53,85.54,entsoe.eu,false,
2023-01-03 17:00:00,Lithuania,Lithuania,LT,87.89,142.55,92.87,86.87,entsoe.eu,false,
2023-01-03 18:00:00,Lithuania,Lithuania,LT,89.65,144.12,89.87,83.15,entsoe.eu,false,
2023-01-03 19:00:00,Lithuania,Lithuania,LT,82.74,130.9,85.22,75.7,entsoe.eu,false,
2023-01-03 20:00:00,Lithuania,Lithuania,LT,87.9,141.34,82.56,74.53,entsoe.eu,false,
2023-01-03 21:00:00,Lithuania,Lithuania,LT,77.09,129.63,84.44,75.97,entsoe.eu,false,
2023-01-03 22:00:00,Lithuania,Lithuania,LT,63.79,118.57,87.58,76.8,entsoe.eu,false,
2023-01-03 23:00:00,Lithuania,Lithuania,LT,105.96,163.56,80.07,70.31,entsoe.eu,false,
2023-01-04 00:00:00,Lithuania,Lithuania,LT,101.82,159.76,81.58,73.9,entsoe.eu,false,
2023-01-04 01:00:00,Lithuania,Lithuania,LT,211.57,274.35,75.62,72.54,entsoe.eu,false,
2023-01-04 02:00:00,Lithuania,Lithuania,LT,193.78,255.96,77.47,75.35,entsoe.eu,false,
2023-01-04 03:00:00,Lithuania,Lithuania,LT,188.47,249.03,78.18,74.08,entsoe.eu,false,
2023-01-04 04:00:00,Lithuania,Lithuania,LT,89.71,146.48,87.64,82.45,entsoe.eu,false,
2023-01-04 05:00:00,Lithuania,Lithuania,LT,108.09,164.12,85.56,81.3,entsoe.eu,false,
2023-01-04 06:00:00,Lithuania,Lithuania,LT,103.63,160.76,88.99,84.93,entsoe.eu,false,
2023-01-04 07:00:00,Lithuania,Lithuania,LT,102.28,156.14,86.85,80.88,entsoe.eu,false,
2023-01-04 08:00:00,Lithuania,Lithuania,LT,96.38,148.37,86.67,79.49,entsoe.eu,false,
2023-01-04 09:00:00,Lithuania,Lithuania,LT,95.69,146.12,84.75,78.27,entsoe.eu,false,
2023-01-04 10:00:00,Lithuania,Lithuania,LT,91.57,141.32,81.98,75.55,entsoe.eu,false,
2023-01-04 11:00:00,Lithuania,Lithuania,LT,88.37,138.6,83.39,76.28,entsoe.eu,false,
2023-01-04 12:00:00,Lithuania,Lithuania,LT,82.2,130.33,84.82,76.35,entsoe.eu,false,
2023-01-04 13:00:00,Lithuania,Lithuania,LT,68.21,114.32,85.82,77.24,entsoe.eu,false,
2023-01-04 14:00:00,Lithuania,Lithuania,LT,77.23,126.39,87.63,80.64,entsoe.eu,false,
2023-01-04 15:00:00,Lithuania,Lithuania,LT,75.14,123.91,87.46,81.13,entsoe.eu,false,
2023-01-04 16:00:00,Lithuania,Lithuania,LT,78.93,128.19,86.5,80.85,entsoe.eu,false,
2023-01-04 17:00:00,Lithuania,Lithuania,LT,67.61,113.19,84.65,77.54,entsoe.eu,false,
2023-01-04 18:00:00,Lithuania,Lithuania,LT,78.64,127.07,84.75,79.94,entsoe.eu,false,
2023-01-04 19:00:00,Lithuania,Lithuania,LT,65.03,110.78,87.64,84.3,entsoe.eu,false,
2023-01-04 20:00:00,Lithuania,Lithuania,LT,71.99,120.93,85.75,84.05,entsoe.eu,false,
2023-01-04 21:00:00,Lithuania,Lithuania,LT,68.85,118.04,86.77,85.54,entsoe.eu,false,
2023-01-04 22:00:00,Lithuania,Lithuania,LT,93.23,141.91,81.71,80.49,entsoe.eu,false,
2023-01-04 23:00:00,Lithuania,Lithuania,LT,96.73,144.57,81.54,80.12,entsoe.eu,false,
2023-01-05 00:00:00,Lithuania,Lithuania,LT,88.22,135.08,82.67,81.51,entsoe.eu,false,
2023-01-05 01:00:00,Lithuania,Lithuania,LT,90.8,138.53,81.24,80.26,entsoe.eu,false,
2023-01-05 02:00:00,Lithuania,Lithuania,LT,101.62,152.37,78.67,77.64,entsoe.eu,false,
2023-01-05 03:00:00,Lithuania,Lithuania,LT,102.08,153.86,79.15,77.99,entsoe.eu,false,
2023-01-05 04:00:00,Lithuania,Lithuania,LT,101.94,153.52,79.51,78.27,entsoe.eu,false,
2023-01-05 05:00:00,Lithuania,Lithuania,LT,72.96,119.41,85.93,82.23,entsoe.eu,false,
2023-01-05 06:00:00,Lithuania,Lithuania,LT,69.34,114.17,86.26,78.84,entsoe.eu,false,
2023-01-05 07:00:00,Lithuania,Lithuania,LT,84.99,137.01,87.31,80.93,entsoe.eu,false,
