Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Luxembourg,Luxembourg,LU,118.34,177.58,86.75,82.65,entsoe.eu,false,
2023-01-01 01:00:00,Luxembourg,Luxembourg,LU,99.89,160.59,87.01,77.0,entsoe.eu,false,
2023-01-01 02:00:00,Luxembourg,Luxembourg,LU,95.57,156.36,85.87,69.54,entsoe.eu,false,
2023-01-01 03:00:00,Luxembourg,Luxembourg,LU,94.72,155.85,85.75,68.41,entsoe.eu,false,
2023-01-01 04:00:00,Luxembourg,Luxembourg,LU,96.12,157.41,86.15,70.61,entsoe.eu,false,
2023-01-01 05:00:00,Luxembourg,Luxembourg,LU,98.69,161.32,81.75,60.22,entsoe.eu,false,
2023-01-01 06:00:00,Luxembourg,Luxembourg,LU,104.2,167.62,81.7,62.96,entsoe.eu,false,
2023-01-01 07:00:00,Luxembourg,Luxembourg,LU,105.66,169.04,82.45,65.28,entsoe.eu,false,
2023-01-01 08:00:00,Luxembourg,Luxembourg,LU,86.88,146.3,85.47,71.47,entsoe.eu,false,
2023-01-01 09:00:00,Luxembourg,Luxembourg,LU,84.53,142.86,85.53,69.2,entsoe.eu,false,
2023-01-01 10:00:00,Luxembourg,Luxembourg,LU,92.33,152.08,86.32,75.67,entsoe.eu,false,
2023-01-01 11:00:00,Luxembourg,Luxembourg,LU,85.09,142.69,86.5,72.63,entsoe.eu,false,
2023-01-01 12:00:00,Luxembourg,Luxembourg,LU,78.43,133.94,85.1,60.66,entsoe.eu,false,
2023-01-01 13:00:00,Luxembourg,Luxembourg,LU,78.82,134.65,85.0,58.87,entsoe.eu,false,
2023-01-01 14:00:00,Luxembourg,Luxembourg,LU,84.12,140.85,84.5,55.56,entsoe.eu,false,
2023-01-01 15:00:00,Luxembourg,Luxembourg,LU,92.87,148.09,84.18,53.44,entsoe.eu,false,
2023-01-01 16:00:00,Luxembourg,Luxembourg,LU,95.12,148.76,85.51,59.54,entsoe.eu,false,
2023-01-01 17:00:00,Luxembourg,Luxembourg,LU,104.36,158.95,85.77,67.89,entsoe.eu,false,
2023-01-01 18:00:00,Luxembourg,Luxembourg,LU,71.65,120.19,86.9,58.81,entsoe.eu,false,
2023-01-01 19:00:00,Luxembourg,Luxembourg,LU,76.08,126.77,87.3,64.83,entsoe.eu,false,
2023-01-01 20:00:00,Luxembourg,Luxembourg,LU,85.94,140.22,87.33,72.94,entsoe.eu,false,
2023-01-01 21:00:00,Luxembourg,Luxembourg,LU,93.84,148.92,88.88,78.65,entsoe.eu,false,
2023-01-01 22:00:00,Luxembourg,Luxembourg,LU,68.54,120.39,89.53,69.67,entsoe.eu,false,
2023-01-01 23:00:00,Luxembourg,Luxembourg,LU,59.75,108.54,88.4,60.22,entsoe.eu,false,
2023-01-02 00:00:00,Luxembourg,Luxembourg,LU,56.55,108.1,88.83,63.68,entsoe.eu,false,
2023-01-02 01:00:00,Luxembourg,Luxembourg,LU,89.62,148.17,89.07,81.31,entsoe.eu,false,
2023-01-02 02:00:00,Luxembourg,Luxembourg,LU,81.71,138.92,89.18,78.03,entsoe.eu,false,
2023-01-02 03:00:00,Luxembourg,Luxembourg,LU,81.89,138.36,88.36,72.94,entsoe.eu,false,
2023-01-02 04:00:00,Luxembourg,Luxembourg,LU,66.88,118.54,87.64,59.62,entsoe.eu,false,
2023-01-02 05:00:00,Luxembourg,Luxembourg,LU,128.44,186.29,82.48,69.57,entsoe.eu,false,
2023-01-02 06:00:00,Luxembourg,Luxembourg,LU,148.67,205.78,81.0,69.4,entsoe.eu,false,
2023-01-02 07:00:00,Luxembourg,Luxembourg,LU,154.83,210.24,80.7,68.92,entsoe.eu,false,
2023-01-02 08:00:00,Luxembourg,Luxembourg,LU,194.26,252.34,77.96,73.2,entsoe.eu,false,
2023-01-02 09:00:00,Luxembourg,Luxembourg,LU,221.64,281.07,76.27,72.71,entsoe.eu,false,
2023-01-02 10:00:00,Luxembourg,Luxembourg,LU,242.15,303.29,74.19,70.7,entsoe.eu,false,
2023-01-02 11:00:00,Luxembourg,Luxembourg,LU,231.55,293.28,74.64,70.18,entsoe.eu,false,
2023-01-02 12:00:00,Luxembourg,Luxembourg,LU,207.15,267.55,75.81,65.72,entsoe.eu,false,
2023-01-02 13:00:00,Luxembourg,Luxembourg,LU,220.02,281.38,74.65,65.63,entsoe.eu,false,
2023-01-02 14:00:00,Luxembourg,Luxembourg,LU,232.73,294.71,73.9,66.49,entsoe.eu,false,
2023-01-02 15:00:00,Luxembourg,Luxembourg,LU,208.61,268.34,75.48,63.7,entsoe.eu,false,
2023-01-02 16:00:00,Luxembourg,Luxembourg,LU,269.48,328.67,73.18,69.3,entsoe.eu,false,
2023-01-02 17:00:00,Luxembourg,Luxembourg,LU,274.58,334.9,72.69,69.9,entsoe.eu,false,
2023-01-02 18:00:00,Luxembourg,Luxembourg,LU,277.16,338.38,71.75,68.85,entsoe.eu,false,
2023-01-02 19:00:00,Luxembourg,Luxembourg,LU,277.03,341.57,70.24,67.15,entsoe.eu,false,
2023-01-02 20:00:00,Luxembourg,Luxembourg,LU,274.05,338.85,70.27,67.03,entsoe.eu,false,
2023-01-02 21:00:00,Luxembourg,Luxembourg,LU,280.96,346.01,71.06,67.41,entsoe.eu,false,
2023-01-02 22:00:00,Luxembourg,Luxembourg,LU,288.04,355.15,70.41,66.65,entsoe.eu,false,
2023-01-02 23:00:00,Luxembourg,Luxembourg,LU,291.29,354.57,69.94,64.87,entsoe.eu,false,
2023-01-03 00:00:00,Luxembourg,Luxembourg,LU,296.65,360.84,69.5,64.55,entsoe.eu,false,
2023-01-03 01:00:00,Luxembourg,Luxembourg,LU,210.83,269.99,74.79,52.27,entsoe.eu,false,
2023-01-03 02:00:00,Luxembourg,Luxembourg,LU,156.89,211.55,78.88,44.68,entsoe.eu,false,
2023-01-03 03:00:00,Luxembourg,Luxembourg,LU,158.74,212.81,78.25,44.2,entsoe.eu,false,
2023-01-03 04:00:00,Luxembourg,Luxembourg,LU,179.78,236.34,75.04,41.72,entsoe.eu,false,
